#mjd mag magerr
55061.92495 20.359 0.093
55061.95567 20.24 0.075
55063.91983 20.301 0.075
55063.96385 20.286 0.077
55064.92123 20.266 0.083
55064.96554 20.39 0.086
55066.9101 20.204 0.083
55066.9547 20.245 0.077
55067.91645 20.201 0.083
55067.96095 20.298 0.101
55069.90321 20.305 0.08
55069.94783 20.166 0.076
55080.87447 20.153 0.182
55084.86328 20.418 0.131
55087.8561 20.177 0.093
55087.90102 20.231 0.098
55088.96983 20.297 0.082
55089.01522 20.213 0.112
55089.94575 20.28 0.09
55089.99043 20.126 0.088
55093.83742 20.156 0.078
55093.88197 20.041 0.074
55096.82922 20.258 0.086
55097.0086 20.466 0.174
55114.88129 20.134 0.125
55119.89543 20.365 0.096
55119.95369 20.24 0.159
55123.75701 20.334 0.099
55123.81528 20.2 0.105
55126.97962 20.601 0.18
55127.83335 20.454 0.119
55127.87711 20.367 0.134
55142.70367 20.638 0.12
55142.75225 20.093 0.122
55144.77893 20.391 0.107
55144.82312 20.322 0.128
55151.72951 20.755 0.177
55151.77264 20.334 0.132
55166.70482 20.483 0.2
55168.63388 20.252 0.177
55175.61235 20.365 0.102
55175.65693 20.512 0.122
55181.59432 20.232 0.153
55181.63835 20.393 0.129
55183.64264 20.478 0.168
55189.58065 20.549 0.166
55189.62568 20.704 0.207
55199.58572 20.425 0.123
55203.71454 20.496 0.171
55203.75755 20.503 0.176
55207.63105 20.333 0.098
55207.67527 20.486 0.141
55209.59692 20.38 0.105
55209.64161 20.349 0.103
55213.63324 20.59 0.138
55213.67993 20.588 0.236
55379.92464 20.726 0.167
55381.89589 20.4 0.172
55381.93917 20.578 0.161
55384.82654 20.282 0.148
55384.87011 20.415 0.119
55385.87004 20.229 0.121
55385.91323 20.33 0.099
55386.86508 20.599 0.177
55386.9085 20.448 0.169
55387.86986 20.549 0.158
55387.91326 20.492 0.114
55388.86593 20.269 0.135
55388.90989 20.507 0.13
55390.85378 20.288 0.181
55391.87523 20.8 0.171
55392.83243 20.777 0.153
55392.87523 20.097 0.131
55394.79893 20.156 0.141
55395.84201 20.377 0.173
55396.79513 20.764 0.229
55396.83918 20.64 0.155
55397.83512 20.592 0.132
55398.8311 20.336 0.154
55400.82877 20.377 0.171
55411.79886 20.569 0.205
55418.84113 20.66 0.155
55421.79893 20.422 0.122
55422.75108 20.7 0.166
55422.7948 20.423 0.162
55423.74736 20.124 0.152
55423.79277 20.524 0.13
55424.80172 20.458 0.125
55425.7616 20.565 0.229
55425.80567 20.194 0.118
55426.80117 20.644 0.184
55426.84435 20.294 0.108
55427.79702 20.315 0.127
55427.84074 20.329 0.136
55428.79276 20.61 0.23
55429.81415 20.467 0.204
55429.85711 20.429 0.158
55430.80481 20.512 0.187
55431.75634 20.289 0.156
55431.8002 20.23 0.234
55436.89187 20.065 0.181
55436.90417 20.563 0.24
55436.95227 20.305 0.207
55438.88854 20.263 0.201
55438.89482 20.693 0.165
55438.89795 20.541 0.215
55438.90083 20.476 0.19
55438.90368 20.507 0.235
55438.90924 20.56 0.205
55438.91201 20.513 0.147
55438.92391 20.713 0.165
55438.93548 20.134 0.158
55440.87505 20.265 0.127
55440.87821 20.49 0.127
55440.88426 20.276 0.117
55440.88672 20.524 0.148
55440.88937 20.638 0.116
55440.89203 20.328 0.14
55440.89515 20.239 0.123
55440.8983 20.516 0.146
55440.90142 20.486 0.125
55440.90436 20.379 0.11
55440.90727 20.637 0.127
55440.91022 20.421 0.101
55440.91314 20.532 0.142
55440.91588 20.708 0.201
55440.91867 20.501 0.116
55440.92146 20.426 0.128
55440.92425 20.513 0.12
55440.93094 20.439 0.13
55440.93362 20.56 0.194
55440.93621 20.418 0.13
55440.93948 20.47 0.113
55440.94263 20.376 0.126
55440.9458 20.436 0.135
55440.94881 20.384 0.114
55440.9518 20.47 0.149
55440.95487 20.344 0.15
55440.95789 20.39 0.154
55441.873 20.444 0.14
55441.8759 20.44 0.109
55441.88644 20.558 0.109
55441.88961 20.342 0.102
55441.89252 20.567 0.148
55441.89541 20.515 0.122
55441.89826 20.475 0.104
55441.90105 20.332 0.112
55441.90368 20.443 0.103
55441.90632 20.348 0.108
55441.90904 20.141 0.113
55441.91178 20.243 0.113
55441.91443 20.511 0.117
55441.9172 20.438 0.107
55441.91979 20.451 0.145
55441.9224 20.758 0.163
55441.92544 20.594 0.097
55441.92808 20.426 0.099
55441.93181 20.275 0.107
55441.93456 20.563 0.105
55441.93725 20.604 0.105
55441.94046 20.472 0.11
55441.94324 20.595 0.096
55441.94544 20.433 0.144
55441.9485 20.38 0.099
55441.95192 20.667 0.14
55441.95466 20.68 0.108
55441.95784 20.452 0.133
55441.96079 20.303 0.102
55441.9639 20.304 0.14
55441.96713 20.384 0.097
55441.97009 20.461 0.093
55441.97292 20.453 0.098
55441.9753 20.187 0.121
55441.97755 20.279 0.119
55441.97978 20.229 0.117
55441.98347 20.533 0.111
55441.98627 20.327 0.101
55441.9885 20.796 0.159
55441.99075 20.471 0.148
55441.9938 20.467 0.137
55442.0059 20.514 0.135
55442.00905 20.589 0.114
55442.01214 20.541 0.13
55442.01751 20.361 0.15
55442.7038 20.527 0.147
55442.70732 20.233 0.147
55442.71095 20.544 0.206
55442.71446 20.741 0.193
55442.71806 20.126 0.102
55442.72166 20.448 0.137
55442.72525 20.45 0.162
55442.7327 20.341 0.103
55442.74182 20.345 0.095
55442.7488 20.404 0.113
