#mjd mag magerr
55061.92501 19.51794 0.04226
55061.95573 19.43648 0.03789
55063.91987 19.49091 0.04054
55063.9639 19.53879 0.04
55064.92128 19.46207 0.04342
55064.9656 19.44979 0.04551
55066.91014 19.51759 0.04342
55066.95474 19.59208 0.04419
55067.91649 19.53442 0.05299
55067.96099 19.44073 0.05703
55069.90324 19.45946 0.04209
55069.94786 19.46621 0.04373
55080.87449 19.5671 0.09717
55080.95988 19.35309 0.1448
55084.86328 19.65994 0.07278
55084.90782 19.61504 0.12896
55087.85609 19.44729 0.04555
55087.90101 19.47609 0.04262
55088.96983 19.48093 0.04564
55089.01521 19.50895 0.05028
55089.94574 19.46593 0.04728
55089.99042 19.61394 0.05302
55093.83741 19.42673 0.04234
55093.88196 19.50429 0.04383
55096.8292 19.52815 0.04944
55097.00858 19.5225 0.05593
55104.99862 19.60689 0.06628
55107.79764 19.3397 0.0883
55114.88125 19.48911 0.05991
55114.92522 19.57593 0.12681
55119.89538 19.37131 0.05112
55119.95365 19.5038 0.06455
55123.75696 19.42692 0.04542
55123.81523 19.51325 0.05106
55126.97957 19.52755 0.07591
55127.83329 19.60184 0.05797
55127.87706 19.68489 0.06308
55135.82555 19.60085 0.10453
55135.86926 19.65291 0.14739
55138.71472 19.6951 0.11778
55138.75871 19.65014 0.13737
55142.7036 19.58203 0.0586
55142.75219 19.59929 0.06807
55144.77886 19.48478 0.04664
55144.82305 19.42543 0.06205
55151.72943 19.54507 0.0601
55151.77257 19.48386 0.05417
55166.70473 19.44623 0.10127
55166.74897 19.62321 0.11619
55168.63378 19.4991 0.09115
55168.6775 19.50769 0.10112
55175.61224 19.49856 0.04818
55175.65684 19.44326 0.04354
55181.59421 19.65516 0.08008
55181.63825 19.58313 0.06965
55183.59204 19.5475 0.10594
55183.64253 19.55443 0.06264
55189.58054 19.77721 0.08574
55189.62557 19.57277 0.0736
55199.58559 19.5937 0.0582
55201.58642 19.38209 0.17747
55202.58667 19.61376 0.06787
55203.71441 19.52572 0.06797
55203.75743 19.56907 0.07524
55207.63092 19.53965 0.05367
55207.67514 19.60054 0.05597
55209.5968 19.5055 0.04717
55209.64149 19.60936 0.04983
55213.63312 19.63297 0.07095
55213.6798 19.38892 0.07374
55377.85123 20.21082 0.15695
55377.89535 19.87802 0.11329
55379.8591 20.04764 0.10925
55379.92482 19.57393 0.08288
55380.87684 20.01179 0.12986
55380.92078 20.00395 0.10204
55381.89606 19.55508 0.08907
55381.93934 19.65963 0.07099
55384.82671 19.72399 0.06899
55384.87028 19.71455 0.06037
55385.87021 19.61938 0.05858
55385.91339 19.67986 0.05636
55386.86524 19.92179 0.0722
55386.90867 19.81302 0.06257
55387.87002 19.68198 0.06129
55387.91342 19.61561 0.04994
55388.86609 19.70233 0.07553
55388.91005 19.68496 0.05578
55390.80957 20.02118 0.10276
55390.85393 19.71163 0.07199
55391.80613 19.84282 0.09766
55391.87538 19.81104 0.06479
55392.83258 19.73326 0.07518
55392.87538 19.69309 0.05949
55394.79908 19.52872 0.0793
55394.8431 19.62717 0.06248
55395.79551 19.91059 0.12894
55395.84215 19.67417 0.06534
55396.79527 20.182 0.14585
55396.83932 19.809 0.06407
55397.79163 19.97573 0.11637
55397.83526 19.83632 0.07496
55398.78764 19.74905 0.10597
55398.83124 19.83354 0.11965
55399.78802 19.51867 0.13677
55399.83261 19.81406 0.10686
55400.8289 19.96416 0.10966
55401.78133 19.91845 0.20456
55401.82518 19.77889 0.14046
55402.8246 20.14345 0.15775
55403.81973 19.90302 0.14138
55404.84266 20.02876 0.15055
55405.8416 20.00801 0.14966
55407.83003 19.96935 0.23135
55411.79896 19.95216 0.10914
55412.75232 19.6494 0.13419
55412.79539 19.74249 0.132
55413.79945 19.9204 0.11262
55414.75161 19.73417 0.1603
55414.79555 19.77488 0.09281
55415.75266 20.01666 0.13516
55416.79342 19.92232 0.11554
55417.75979 19.51251 0.12657
55417.84511 19.97482 0.11283
55418.79843 19.82343 0.11109
55418.84121 19.88224 0.09409
55419.75121 20.08494 0.15104
55419.79504 19.70701 0.0929
55420.78929 20.01121 0.13094
55420.83264 19.99349 0.12661
55421.73664 19.84071 0.08079
55421.79901 19.76274 0.05696
55422.75115 19.67568 0.06927
55422.79487 19.8253 0.06718
55423.74742 19.68107 0.07289
55423.79284 19.71213 0.06346
55424.75349 19.85604 0.08659
55424.80178 19.64243 0.05889
55425.76166 19.8892 0.09517
55425.80573 19.65535 0.05588
55426.80123 19.80648 0.07392
55426.8444 19.71708 0.0531
55427.79708 19.76417 0.08117
55427.8408 19.81451 0.07007
55428.79281 19.78906 0.08285
55428.83703 19.73178 0.07545
55429.8142 19.73232 0.08395
55429.85716 19.61732 0.09774
55430.75769 19.62834 0.10298
55430.80485 19.8387 0.09805
55431.75639 19.95293 0.11915
55431.80024 19.62937 0.09677
55432.73907 19.56083 0.16005
55432.78359 19.56532 0.10887
55434.73769 19.76343 0.13582
55436.88575 19.74197 0.13395
55436.88891 20.04398 0.12254
55436.8919 19.70227 0.09946
55436.89501 19.85372 0.10367
55436.89797 19.89137 0.12215
55436.90109 19.90772 0.12585
55436.9042 19.75826 0.13275
55436.91041 20.04685 0.12795
55436.91351 19.75637 0.13374
55436.91641 19.86645 0.16274
55436.91931 19.92489 0.12746
55436.92221 20.04542 0.12856
55436.92514 19.68099 0.11376
55436.92806 19.75151 0.10187
55436.93096 19.45035 0.10055
55436.93413 19.7663 0.11655
55436.93703 19.61278 0.11166
55436.93974 19.69777 0.10046
55436.94297 19.64756 0.15283
55436.94613 19.72541 0.11099
55436.94915 19.89702 0.11815
55436.95231 19.83495 0.12074
55436.95826 19.688 0.10455
55436.96403 19.87846 0.11774
55436.96671 19.87864 0.13144
55438.88857 19.43924 0.08107
55438.89169 20.0289 0.10896
55438.89485 20.13789 0.11296
55438.89798 19.91776 0.09457
55438.90086 19.92346 0.08329
55438.90371 19.65014 0.08478
55438.9065 19.82497 0.09076
55438.90927 19.94111 0.09417
55438.91204 20.11476 0.10385
55438.91487 19.99254 0.09886
55438.91763 19.86142 0.09966
55438.92084 20.00789 0.10877
55438.92394 19.85253 0.11287
55438.92672 20.05536 0.11085
55438.93259 19.52302 0.12506
55438.93551 19.93274 0.10106
55438.93833 19.6974 0.09546
55438.94106 19.84921 0.10646
55438.94411 19.6555 0.11766
55438.94678 19.87485 0.10566
55438.95017 19.60428 0.09197
55438.95913 19.84708 0.10166
55438.96141 19.94986 0.10685
55440.87507 19.55197 0.06249
55440.87823 19.87114 0.06937
55440.88428 19.59126 0.07918
55440.88675 19.7286 0.06459
55440.8894 19.68524 0.06651
55440.89205 19.55068 0.06019
55440.89518 19.84062 0.06358
55440.89832 19.72699 0.06687
55440.90145 19.7104 0.0659
55440.90439 19.71932 0.06607
55440.90729 19.8501 0.0672
55440.91025 19.52229 0.06117
55440.91316 19.77902 0.06957
55440.91591 19.62843 0.08348
55440.9187 19.68806 0.0684
55440.92149 19.73481 0.06689
55440.92426 19.71158 0.06548
55440.93095 19.71996 0.06588
55440.93364 19.828 0.06747
55440.93623 19.74245 0.0614
55440.9395 19.73408 0.07007
55440.94264 19.7871 0.06738
55440.94582 19.7811 0.06807
55440.94883 19.81697 0.07128
55440.95182 19.88771 0.07478
55440.95489 19.77124 0.06968
55440.95791 19.74063 0.06679
55441.87301 19.7189 0.06079
55441.87592 19.78686 0.05823
55441.88645 19.76887 0.05982
55441.88962 19.72344 0.05479
55441.89254 19.7587 0.05792
55441.89542 19.73712 0.06321
55441.89828 19.64009 0.05582
55441.90107 19.66256 0.05822
55441.9037 19.62966 0.05911
55441.90634 19.6293 0.05581
55441.90906 19.58566 0.05255
55441.9118 19.72071 0.05872
55441.91445 19.82974 0.05921
55441.91722 19.67599 0.05322
55441.91981 19.83293 0.0676
55441.92242 19.78905 0.06528
55441.92546 19.76234 0.05982
55441.9281 19.65247 0.05348
55441.93183 19.71673 0.06211
55441.93458 19.71494 0.05879
55441.93727 19.69267 0.05413
55441.94048 19.66135 0.05812
55441.94326 19.8086 0.0591
55441.94546 19.68896 0.05231
55441.94852 19.76755 0.0573
55441.95194 19.7834 0.05781
55441.95469 19.65521 0.05541
55441.95786 19.84941 0.05841
55441.96081 19.66106 0.05702
55441.96392 19.78177 0.05801
55441.96715 19.65351 0.05427
55441.97012 19.83551 0.0581
55441.97294 19.74907 0.06529
55441.97532 19.72274 0.05851
55441.97757 19.86802 0.06407
55441.9798 19.75914 0.05963
55441.9835 19.63882 0.06002
55441.9863 19.80741 0.05911
55441.98852 19.69764 0.06169
55441.99078 19.81288 0.06402
55441.99382 19.82425 0.07129
55442.00593 19.79954 0.06503
55442.00906 19.74038 0.06469
55442.01216 19.8027 0.0702
55442.01486 19.88342 0.08271
55442.01753 19.85152 0.11143
55442.02001 19.95756 0.1089
55442.02226 19.94548 0.14589
55442.70382 19.84233 0.07307
55442.70734 19.90221 0.07665
55442.71097 19.74892 0.07237
55442.71448 19.80107 0.06805
55442.71808 19.93632 0.07977
55442.72168 19.73886 0.06118
55442.72527 19.75153 0.06207
55442.73272 19.76055 0.06439
55442.74184 19.72587 0.05488
55442.74882 19.71813 0.05578
55442.75572 19.81408 0.05968
55442.76147 19.79262 0.06047
55442.76615 19.62179 0.05408
55442.77616 19.61846 0.05989
55442.78135 19.81624 0.05758
55442.78615 19.67669 0.05349
55442.79145 19.77653 0.05372
55442.79615 19.63637 0.05479
55442.80186 19.68697 0.05478
55442.8093 19.68878 0.0479
55442.81443 19.63842 0.0503
55442.81939 19.72193 0.05349
55442.82447 19.69215 0.05218
55442.8293 19.71453 0.0493
55442.83541 19.67503 0.0491
55442.84012 19.76653 0.05721
55442.84597 19.68792 0.05259
55442.85112 19.6941 0.05448
55442.85657 19.69549 0.05101
55442.86387 19.77819 0.061
55442.87002 19.68761 0.0534
55442.87503 19.77078 0.0541
55442.88048 19.74578 0.05031
55442.88617 19.76445 0.05268
55442.89221 19.67926 0.05207
55442.89785 19.66772 0.05168
55442.90297 19.68544 0.05481
55442.90871 19.7862 0.05525
55442.91368 19.77404 0.05308
55442.91875 19.76585 0.05647
55442.92384 19.70025 0.0533
55442.93037 19.78542 0.0565
55442.93642 19.72496 0.05307
55442.94588 19.79373 0.06882
55442.95166 19.75744 0.0569
55442.95754 19.62301 0.05009
55442.96246 19.79177 0.05868
55442.96833 19.75224 0.05589
55442.97317 19.64513 0.0526
55442.97782 19.78332 0.05568
55442.98206 19.72557 0.05329
55442.9872 19.75256 0.05631
55442.99348 19.75197 0.05731
55442.99858 19.67186 0.05368
55443.00329 19.81221 0.05849
55443.01002 19.65217 0.05847
55443.01702 19.72762 0.0844
55443.02387 19.52208 0.12458
55443.67742 19.77618 0.08651
55443.68488 19.81334 0.10447
55443.69287 19.70309 0.09765
55443.70415 19.99536 0.08557
55443.71028 19.86606 0.07771
55443.71632 19.68494 0.07248
55443.72231 19.84141 0.06567
55443.72832 19.79302 0.07116
55443.736 19.9747 0.07747
55443.74306 19.63431 0.05847
55443.74812 19.74161 0.06197
55443.75372 19.82685 0.06296
55443.75946 19.69187 0.06146
55443.76526 19.78788 0.06578
55443.77007 19.64652 0.06537
55443.78027 19.85768 0.07008
55443.78539 19.78493 0.06338
55443.79156 19.71265 0.05618
55443.79717 19.68838 0.06137
55443.80302 19.83819 0.06077
55443.80895 19.66331 0.05836
55443.81493 19.69728 0.05636
55443.8204 19.7086 0.05663
55443.82634 19.68029 0.05307
55443.83239 19.64968 0.05158
55443.83783 19.64902 0.05309
55443.84415 19.70058 0.05078
55443.84958 19.68097 0.05769
55443.85553 19.70546 0.05487
55443.86252 19.69729 0.05481
55443.87576 19.66505 0.0515
55443.88141 19.7654 0.04987
55443.88892 19.85583 0.06071
55443.89412 19.79336 0.05886
55443.90077 19.63141 0.05479
55443.90658 19.74994 0.05677
55443.91235 19.74861 0.05658
55443.91779 19.72787 0.06307
55443.92403 19.78398 0.06376
55443.92967 19.77197 0.05946
55443.93496 19.71843 0.05829
55443.94073 19.6443 0.05808
55443.94779 19.76513 0.06197
55443.95355 19.64555 0.05299
55443.95925 19.58377 0.05578
55443.9693 19.92098 0.06918
55443.97555 19.6547 0.05687
55443.98144 19.6772 0.05989
55443.98725 19.81401 0.06708
55443.99456 19.69062 0.06077
55444.00093 19.81213 0.06299
55444.0061 19.74164 0.05919
55444.01187 19.64734 0.06057
55444.0175 19.53741 0.08536
55444.02231 19.91377 0.11859
55444.66648 19.93432 0.1016
55444.67221 20.04942 0.10397
55444.67727 19.82442 0.10129
55444.68199 20.06761 0.16089
55444.68857 19.85664 0.08324
55444.69526 19.87084 0.09113
55444.70198 19.8525 0.08111
55444.7091 20.04183 0.10031
55444.71487 19.7227 0.07291
55444.72103 19.76936 0.06634
55444.72796 19.88627 0.0811
55444.73377 19.71697 0.07309
55444.74094 19.78798 0.06603
55444.74655 19.7431 0.06215
55444.75167 19.79145 0.0649
55444.75678 19.82627 0.06651
55444.76225 19.64696 0.05881
55444.7673 19.67833 0.059
55444.77353 19.72172 0.0618
55444.77876 19.72335 0.05582
55444.78368 19.72127 0.05836
55444.79848 19.65013 0.05628
55444.80403 19.71794 0.05879
55444.81599 19.70711 0.05772
55444.8213 19.67579 0.05622
55444.83332 19.81913 0.0623
55444.83854 19.71942 0.06174
55444.84549 19.76487 0.05689
55444.85161 19.69074 0.05862
55444.85679 19.7594 0.05909
55444.86267 19.67805 0.05745
55444.86777 19.69216 0.05811
55444.87321 19.66241 0.053
55444.87872 19.68659 0.05473
55444.88467 19.75095 0.05501
55444.89016 19.69695 0.05981
55444.89581 19.87861 0.06884
55444.90153 19.68274 0.05103
55444.90845 19.78244 0.06345
55444.91349 19.80494 0.05674
55444.92279 19.77835 0.0581
55444.93139 19.65467 0.05384
55444.94041 19.75601 0.05808
55444.94568 19.61783 0.05244
55444.951 19.84052 0.06708
55444.95724 19.85862 0.06482
55444.96289 19.75538 0.0591
55444.96923 19.59653 0.05253
55444.97411 19.6524 0.05939
55444.98062 19.73473 0.06022
55444.98915 19.67018 0.07918
55444.99553 19.60766 0.05673
55445.00157 19.70813 0.06256
55445.00779 19.70981 0.06189
55445.01282 19.87669 0.0663
55445.01777 19.90409 0.0887
55445.66261 19.94258 0.09789
55445.66749 19.67994 0.07621
55445.67244 19.62932 0.07299
55445.67731 19.71062 0.08265
55445.68422 19.71644 0.07917
55445.6905 19.74862 0.06967
55445.69681 19.75621 0.07317
55445.70294 19.70541 0.07535
55445.70921 19.84196 0.06906
55445.71534 19.86474 0.08262
55445.72141 19.76246 0.07599
55445.72791 19.6142 0.07119
55445.73457 19.62079 0.0744
55445.74013 19.77485 0.06597
55445.7456 19.75937 0.06568
55445.75096 19.80559 0.06781
55445.75643 19.70629 0.05889
55445.76191 19.73028 0.06219
55445.76784 19.75965 0.0582
55445.7737 19.70203 0.05517
55445.779 19.64557 0.05467
55445.78479 19.84695 0.05401
55445.79025 19.7266 0.05488
55445.79613 19.71958 0.05327
55445.81095 19.84356 0.06449
55445.81845 19.71754 0.05399
55445.82455 19.75919 0.05039
55445.83024 19.68881 0.05222
55445.84021 19.76638 0.05673
55445.84549 19.72183 0.05109
55445.85174 19.72907 0.05152
55445.85762 19.78537 0.0507
55445.8636 19.74423 0.0502
55445.86963 19.67907 0.04743
55445.87567 19.58923 0.0445
55445.88207 19.73697 0.05218
55445.88844 19.74165 0.05249
55445.89432 19.63305 0.05012
55445.89983 19.71589 0.0484
55445.90668 19.74234 0.05141
55445.91299 19.67344 0.04753
55445.91722 19.71529 0.05219
55445.92351 19.67213 0.05238
55445.92915 19.69916 0.05133
55445.93496 19.76131 0.04858
55445.94048 19.8082 0.0506
55445.95216 19.69502 0.05228
55445.95886 19.67739 0.04962
55445.97191 19.60902 0.0488
55445.97872 19.81988 0.05331
55445.98437 19.69847 0.04921
55445.98972 19.76828 0.0515
55445.99581 19.66858 0.048
