#mjd mag magerr
55061.92501 18.81194 0.02656
55061.95573 18.75747 0.02479
55063.91987 18.79691 0.02482
55063.9639 18.81979 0.0263
55064.92128 18.80207 0.02908
55064.9656 18.87178 0.02878
55066.91014 18.82359 0.02977
55066.95474 18.80108 0.02563
55067.91649 18.76942 0.03454
55067.96099 18.82073 0.03352
55069.90324 18.83846 0.02769
55069.94786 18.78421 0.0282
55080.87449 18.8711 0.06148
55080.95988 18.77809 0.07241
55084.86328 18.79694 0.03935
55087.85609 18.77729 0.02854
55087.90101 18.76809 0.02858
55088.96983 18.77393 0.02813
55089.01521 18.85095 0.03092
55089.94574 18.73093 0.029
55089.99042 18.79494 0.03011
55093.83741 18.79073 0.0287
55093.88196 18.79129 0.0277
55096.8292 18.84615 0.0303
55097.00858 18.8695 0.03487
55104.99862 18.86989 0.04082
55107.79764 18.7697 0.05865
55114.88125 18.80312 0.03586
55114.92522 18.87794 0.07815
55119.89538 18.86031 0.03274
55119.95365 18.8328 0.03833
55123.75696 18.79792 0.03024
55123.81523 18.77325 0.03073
55126.97957 18.77155 0.04518
55127.83329 18.75284 0.03043
55127.87706 18.72289 0.03405
55135.82555 18.92585 0.06472
55135.86926 18.77191 0.07638
55138.71472 18.78309 0.06625
55142.7036 18.78403 0.03317
55142.75219 18.83429 0.03833
55144.77886 18.80078 0.03196
55144.82305 18.79343 0.03486
55151.72943 18.87007 0.03831
55151.77257 18.77386 0.03268
55166.70473 18.90523 0.06261
55166.74897 18.93721 0.07175
55168.63378 18.7911 0.05216
55168.6775 18.75069 0.063
55175.61224 18.77656 0.02799
55175.65684 18.76726 0.02734
55181.59421 18.73417 0.04556
55181.63825 18.75913 0.0408
55183.59204 18.79551 0.06107
55183.64253 18.78743 0.03665
55189.58054 18.75521 0.04198
55189.62557 18.71477 0.03503
55194.59026 18.81712 0.06793
55199.58559 18.7757 0.03137
55201.58642 18.92209 0.07715
55202.58667 18.74877 0.03394
55203.71441 18.74673 0.03672
55203.75743 18.79507 0.03986
55207.63092 18.62164 0.03234
55207.67514 18.75754 0.02964
55209.5968 18.7735 0.0269
55209.64149 18.70936 0.02675
55213.63312 18.73897 0.04164
55213.6798 18.73692 0.04527
55377.85123 18.77782 0.06112
55377.89535 18.87402 0.05508
55378.90615 18.93197 0.08357
55379.8591 18.69064 0.0565
55379.92482 18.75493 0.03828
55380.87684 18.80379 0.05314
55380.92078 18.73095 0.04828
55381.89606 18.83808 0.04404
55381.93934 18.75163 0.03667
55384.82671 18.86999 0.03517
55384.87028 18.80255 0.03313
55385.87021 18.80437 0.03195
55385.91339 18.81486 0.02833
55386.86524 18.79179 0.03193
55386.90867 18.81902 0.03144
55387.87002 18.79298 0.03068
55387.91342 18.77061 0.02714
55388.86609 18.86033 0.03766
55388.91005 18.79896 0.02896
55390.80957 18.79319 0.04385
55390.85393 18.79663 0.03788
55391.80613 18.68082 0.04514
55391.87538 18.79004 0.03268
55392.83258 18.79726 0.03805
55392.87538 18.84809 0.03256
55394.79908 18.85172 0.04648
55394.8431 18.82117 0.03415
55395.79551 18.76959 0.05106
55395.84215 18.85017 0.03505
55396.79527 18.95 0.05415
55396.83932 18.808 0.03204
55397.79163 18.85773 0.05774
55397.83526 18.82632 0.03502
55398.78764 18.91305 0.06891
55398.83124 18.86053 0.05202
55399.78802 18.90667 0.06325
55399.83261 18.78406 0.0583
55400.78534 19.01757 0.07114
55400.8289 18.90916 0.05292
55401.78133 18.79644 0.08623
55401.82518 18.95289 0.06902
55402.77979 18.91498 0.10436
55402.8246 18.77645 0.0795
55403.81973 18.84402 0.07794
55404.77424 18.83474 0.08226
55404.84266 18.79176 0.05793
55405.8416 18.76701 0.06174
55407.7691 18.90362 0.08315
55407.83003 18.91535 0.07447
55408.78389 18.69062 0.10383
55411.79896 18.94416 0.04784
55412.75232 18.8334 0.06285
55412.79539 18.87949 0.0529
55413.75577 18.90125 0.07523
55414.75161 18.87917 0.08228
55414.79555 18.84188 0.04585
55415.75266 18.99866 0.08881
55415.79727 18.86812 0.0677
55416.75096 18.98138 0.07467
55416.79342 18.70632 0.05242
55417.84511 19.01182 0.06644
55418.79843 18.81643 0.05627
55418.84121 18.93824 0.04651
55419.75121 18.96894 0.074
55419.79504 18.82701 0.04965
55420.78929 18.93921 0.08422
55420.83264 18.85749 0.05175
55421.73664 18.8227 0.0371
55421.79901 18.79774 0.02812
55422.75115 18.81668 0.03544
55422.79487 18.8333 0.03316
55423.74742 18.84207 0.03598
55423.79284 18.85213 0.02962
55424.75349 18.81804 0.04426
55424.80178 18.78543 0.02968
55425.76166 18.8482 0.04126
55425.80573 18.80735 0.02916
55426.80123 18.82448 0.03794
55426.8444 18.75308 0.02888
55427.79708 18.76217 0.03954
55427.8408 18.80051 0.03385
55428.79281 18.77806 0.03941
55428.83703 18.83978 0.0387
55429.8142 18.79832 0.0416
55429.85716 18.81232 0.03849
55430.75769 18.87134 0.05615
55430.80485 18.9647 0.0503
55431.75639 18.87093 0.05462
55431.80024 18.91837 0.05373
55432.73907 18.94483 0.0756
55432.78359 18.76632 0.06761
55433.70425 18.89791 0.11831
55433.7493 18.77186 0.06993
55434.69401 18.95916 0.10003
55434.73769 18.84543 0.07333
55435.69148 18.93843 0.09665
55436.88575 18.91397 0.05482
55436.88891 18.74698 0.05079
55436.8919 18.82527 0.0557
55436.89501 18.73072 0.05283
55436.89797 18.72837 0.0621
55436.90109 18.89272 0.05631
55436.9042 18.78226 0.05911
55436.90728 18.94946 0.0623
55436.91041 18.82385 0.0616
55436.91351 18.97937 0.06258
55436.91641 18.84645 0.05801
55436.91931 18.82389 0.05784
55436.92221 18.85942 0.05733
55436.92514 18.91599 0.06022
55436.92806 18.85151 0.06011
55436.93096 18.77135 0.056
55436.93413 18.6723 0.05391
55436.93703 18.78378 0.05752
55436.93974 18.87678 0.05181
55436.94297 18.78556 0.06069
55436.94613 18.77441 0.06485
55436.94915 18.69002 0.0573
55436.95231 18.75294 0.0546
55436.9553 18.73552 0.05282
55436.95826 18.946 0.0584
55436.96116 18.96394 0.06081
55436.96403 18.86946 0.05687
55438.88857 18.87823 0.04921
55438.89169 18.8259 0.05283
55438.89485 18.76289 0.04654
55438.89798 18.75276 0.04694
55438.90086 18.94946 0.04946
55438.90371 18.82814 0.04595
55438.9065 18.79498 0.04382
55438.90927 18.76411 0.04345
55438.91204 18.85076 0.04891
55438.91487 18.81154 0.04533
55438.91763 18.91242 0.04633
55438.92084 18.90089 0.05483
55438.92672 18.81836 0.04991
55438.92954 18.9399 0.05363
55438.93259 18.87202 0.05553
55438.93551 18.93074 0.05082
55438.93833 18.8524 0.05231
55438.94106 18.93021 0.05491
55438.94411 18.9325 0.05402
55438.94678 18.83485 0.05142
55438.95017 18.86229 0.05162
55438.95913 18.80508 0.04763
55438.96141 18.89287 0.05041
55440.87507 18.83097 0.03476
55440.87823 18.72214 0.03324
55440.88428 18.81126 0.03211
55440.88675 18.8456 0.03397
55440.8894 18.78524 0.03233
55440.89205 18.86568 0.03216
55440.89518 18.75262 0.03375
55440.89832 18.84799 0.03383
55440.90145 18.8094 0.0332
55440.90439 18.80932 0.03404
55440.90729 18.8251 0.034
55440.91025 18.73929 0.03294
55440.91316 18.86702 0.03524
55440.91591 18.84143 0.03449
55440.9187 18.80206 0.0329
55440.92149 18.85281 0.03429
55440.92426 18.77658 0.03058
55440.93095 18.81396 0.03256
55440.93364 18.85 0.03195
55440.93623 18.85145 0.03488
55440.9395 18.90308 0.03644
55440.94264 18.8091 0.03267
55440.94582 18.7971 0.03543
55440.94883 18.77997 0.03337
55440.95182 18.89671 0.03726
55440.95489 18.79624 0.03326
55440.95791 18.79763 0.03357
55441.87301 18.8379 0.0289
55441.87592 18.79986 0.02956
55441.88645 18.77687 0.02796
55441.88962 18.93444 0.03066
55441.89254 18.8167 0.02895
55441.89542 18.82312 0.03053
55441.89828 18.78209 0.02944
55441.90107 18.81956 0.03142
55441.9037 18.76566 0.02972
55441.90634 18.8243 0.02981
55441.90906 18.79366 0.02808
55441.9118 18.78371 0.02894
55441.91445 18.81574 0.02844
55441.91722 18.79999 0.03161
55441.91981 18.88093 0.0338
55441.92242 18.76106 0.03107
55441.92546 18.83434 0.02795
55441.9281 18.82747 0.03081
55441.93183 18.82773 0.02924
55441.93458 18.77594 0.02838
55441.93727 18.83667 0.03182
55441.94048 18.84035 0.03003
55441.94326 18.8216 0.03109
55441.94546 18.86296 0.03098
55441.94852 18.79655 0.02879
55441.95194 18.7924 0.02823
55441.95469 18.82521 0.02951
55441.95786 18.86041 0.02991
55441.96081 18.82406 0.03003
55441.96392 18.77577 0.0309
55441.96715 18.79951 0.02903
55441.97012 18.77151 0.02921
55441.97294 18.75107 0.0296
55441.97532 18.84774 0.02803
55441.97757 18.87502 0.03144
55441.9798 18.86414 0.03223
55441.9835 18.80482 0.03044
55441.9863 18.80141 0.03012
55441.98852 18.86764 0.03137
55441.99078 18.78488 0.03046
55441.99382 18.75025 0.0311
55442.00593 18.91654 0.03385
55442.00906 18.86138 0.03417
55442.01216 18.8847 0.0365
55442.01486 18.83242 0.03933
55442.01753 18.89052 0.0466
55442.02001 18.92456 0.0537
55442.02226 18.99248 0.0654
55442.70382 18.86634 0.03573
55442.70734 18.80021 0.03481
55442.71097 18.83191 0.03514
55442.71448 18.81607 0.0348
55442.71808 18.85232 0.03326
55442.72168 18.74787 0.03305
55442.72527 18.90953 0.03303
55442.73272 18.83455 0.03109
55442.74184 18.77587 0.03115
55442.74882 18.73813 0.03024
55442.75572 18.81008 0.03035
55442.76147 18.82662 0.02984
55442.76615 18.83279 0.03075
55442.77616 18.80946 0.03176
55442.78135 18.80124 0.03035
55442.78615 18.79969 0.02866
55442.79145 18.78453 0.02814
55442.79615 18.80437 0.02898
55442.80186 18.80097 0.02846
55442.8093 18.81978 0.02687
55442.81443 18.75942 0.02868
55442.81939 18.80093 0.02717
55442.82447 18.75816 0.02536
55442.8293 18.79153 0.02629
55442.83541 18.79503 0.02778
55442.84012 18.78252 0.02574
55442.84597 18.82592 0.02797
55442.85112 18.8071 0.02895
55442.85657 18.77149 0.02682
55442.86387 18.82419 0.0317
55442.87002 18.77361 0.02849
55442.87503 18.81778 0.02731
55442.88048 18.75678 0.028
55442.88617 18.80645 0.02616
55442.89221 18.87426 0.02843
55442.89785 18.76671 0.02805
55442.90297 18.73044 0.02632
55442.90871 18.8272 0.028
55442.91368 18.77004 0.02655
55442.91875 18.83285 0.02884
55442.92384 18.82325 0.02899
55442.93037 18.84542 0.0298
55442.93642 18.85796 0.02814
55442.95166 18.84144 0.0274
55442.95754 18.86501 0.02985
55442.96246 18.79377 0.02956
55442.96833 18.81024 0.03017
55442.97317 18.84113 0.02948
55442.97782 18.78132 0.02767
55442.98206 18.80757 0.02757
55442.9872 18.81756 0.0305
55442.99348 18.77497 0.03071
55442.99858 18.86286 0.02975
55443.00329 18.77821 0.02919
55443.01002 18.90517 0.02994
55443.01702 18.85662 0.03653
55443.02387 18.86408 0.06726
55443.67742 18.86218 0.04571
55443.68488 18.91034 0.04426
55443.69287 18.8561 0.04312
55443.70415 18.81736 0.03856
55443.71028 18.82106 0.03871
55443.71632 18.82494 0.03456
55443.72231 18.77441 0.03463
55443.72832 18.83002 0.03552
55443.736 18.8427 0.03396
55443.74306 18.85031 0.03113
55443.74812 18.7956 0.02984
55443.75372 18.84285 0.03262
55443.75946 18.84187 0.03083
55443.76526 18.94788 0.03326
55443.77007 18.75452 0.03275
55443.78027 18.82468 0.03437
55443.78539 18.82793 0.02966
55443.79156 18.81865 0.02985
55443.79717 18.81937 0.02846
55443.80302 18.77419 0.02756
55443.80895 18.81731 0.02893
55443.81493 18.81727 0.03061
55443.8204 18.8516 0.03065
55443.82634 18.81629 0.02754
55443.83239 18.81168 0.02854
55443.83783 18.77703 0.02896
55443.84415 18.82258 0.02715
55443.84958 18.81197 0.02888
55443.85553 18.77047 0.02803
55443.86252 18.79029 0.02771
55443.87576 18.79404 0.02927
55443.88141 18.8474 0.02714
55443.88892 18.82183 0.02845
55443.89412 18.80036 0.03112
55443.90077 18.81341 0.03156
55443.90658 18.85594 0.03013
55443.91235 18.8576 0.02936
55443.91779 18.85587 0.03234
55443.92403 18.80697 0.03053
55443.92967 18.75197 0.02953
55443.93496 18.84243 0.03186
55443.94073 18.8103 0.03015
55443.94779 18.74313 0.02964
55443.95355 18.73555 0.02917
55443.95925 18.79877 0.02985
55443.9693 18.80498 0.03397
55443.97555 18.7737 0.03052
55443.98144 18.8202 0.03108
55443.98725 18.85401 0.03765
55443.99456 18.82462 0.03333
55444.00093 18.81813 0.03178
55444.0061 18.87464 0.03096
55444.01187 18.84234 0.03392
55444.0175 18.88641 0.04102
55444.02231 18.83578 0.06657
55444.66648 18.88132 0.05868
55444.67221 18.92742 0.05651
55444.67727 18.94842 0.05326
55444.68199 18.86361 0.06343
55444.68857 18.78863 0.04376
55444.69526 18.87285 0.04229
55444.70198 18.8065 0.03962
55444.7091 18.87383 0.04406
55444.71487 18.8417 0.0393
55444.72103 18.88936 0.03726
55444.72796 18.81827 0.03841
55444.73377 18.80597 0.03379
55444.74094 18.78498 0.03385
55444.74655 18.7391 0.03387
55444.75167 18.86545 0.0335
55444.75678 18.85527 0.03352
55444.76225 18.81996 0.0313
55444.7673 18.88733 0.03079
55444.77353 18.84872 0.03059
55444.77876 18.79035 0.02973
55444.78368 18.76627 0.037
55444.79848 18.84913 0.03154
55444.80403 18.85094 0.03028
55444.81599 18.70811 0.03162
55444.8213 18.8138 0.02873
55444.83332 18.78813 0.0318
55444.83854 18.78442 0.02891
55444.84549 18.82487 0.02987
55444.85161 18.84674 0.03172
55444.85679 18.8424 0.02948
55444.86267 18.84005 0.03247
55444.86777 18.82716 0.03628
55444.87321 18.8544 0.02879
55444.87872 18.76159 0.02935
55444.88467 18.78595 0.02921
55444.89016 18.80495 0.03032
55444.89581 18.77962 0.0327
55444.90153 18.79574 0.02833
55444.90845 18.78544 0.03229
55444.91349 18.82494 0.02957
55444.92279 18.75935 0.0284
55444.93139 18.80467 0.02877
55444.94041 18.82901 0.02827
55444.94568 18.82383 0.03044
55444.951 18.84052 0.03257
55444.95724 18.85062 0.02946
55444.96289 18.86138 0.02871
55444.96923 18.79753 0.02814
55444.97411 18.9074 0.03108
55444.98062 18.83273 0.03074
55444.98915 18.83418 0.03358
55444.99553 18.84366 0.03153
55445.00157 18.86313 0.03251
55445.00779 18.84481 0.03247
55445.01282 18.78669 0.0339
55445.01777 18.82609 0.03991
55445.02227 18.92003 0.0567
55445.66261 18.86158 0.05017
55445.66749 18.91594 0.04528
55445.67244 18.93132 0.04176
55445.67731 18.89561 0.043
55445.68422 18.90744 0.04143
55445.6905 18.84862 0.03784
55445.69681 18.78222 0.03465
55445.70294 18.85841 0.0374
55445.70921 18.78496 0.03491
55445.71534 18.85475 0.04432
55445.72141 18.84346 0.04136
55445.72791 18.9172 0.03846
55445.73457 18.83179 0.03809
55445.74013 18.84585 0.03353
55445.7456 18.88037 0.03326
55445.75096 18.84759 0.03531
55445.75643 18.78329 0.03256
55445.76191 18.85028 0.03247
55445.76784 18.75765 0.03049
55445.7737 18.78603 0.02805
55445.779 18.78657 0.02973
55445.78479 18.79895 0.03009
55445.79025 18.8296 0.02915
55445.79613 18.82258 0.02862
55445.81095 18.82256 0.03108
55445.81845 18.76854 0.02818
55445.82455 18.79819 0.02727
55445.83024 18.85081 0.02803
55445.84021 18.77138 0.03054
55445.84549 18.81483 0.02658
55445.85174 18.79706 0.02653
55445.85762 18.83437 0.0257
55445.8636 18.80423 0.02659
55445.86963 18.83707 0.02595
55445.87567 18.87023 0.02647
55445.88207 18.79197 0.02676
55445.88844 18.82965 0.02559
55445.89432 18.85805 0.02723
55445.89983 18.8119 0.02748
55445.90668 18.78234 0.02799
55445.91299 18.82344 0.02574
55445.91722 18.83429 0.02818
55445.92351 18.79213 0.02507
55445.92915 18.74216 0.02635
55445.93496 18.77231 0.02546
55445.94048 18.8232 0.02659
55445.95216 18.78602 0.02786
55445.95886 18.76538 0.02731
55445.97191 18.81102 0.02619
55445.97872 18.79988 0.02632
55445.98437 18.77748 0.02451
55445.98972 18.80328 0.0269
55445.99581 18.80858 0.02758
55446.00245 18.83313 0.02647
55446.00827 18.83373 0.02802
55446.01787 18.865 0.03793
55446.0233 18.93076 0.05704
55446.66046 18.81535 0.04509
55446.66501 18.80319 0.04276
55446.67089 18.82055 0.0406
55446.67601 18.86094 0.04448
55446.6814 18.86456 0.04217
55446.68915 18.87392 0.03711
55446.70044 18.8792 0.04123
55446.70781 18.78512 0.03504
55446.71375 18.90425 0.03781
55446.71998 18.7935 0.03398
55446.7269 18.83215 0.03433
55446.73768 18.92655 0.038
55446.74263 18.79009 0.03134
55446.74841 18.85003 0.03422
55446.75986 18.7562 0.0293
55446.76487 18.81594 0.0296
55446.77004 18.7491 0.03066
55446.77518 18.83198 0.02847
55446.78018 18.76617 0.02775
55446.78654 18.81602 0.02841
55446.79243 18.78102 0.02691
55446.79818 18.82652 0.02926
55446.80822 18.76222 0.03061
55446.81336 18.73418 0.028
55446.81934 18.84012 0.02865
55446.82569 18.85995 0.02768
55446.83186 18.8389 0.02851
55446.83803 18.76697 0.02856
55446.84316 18.79741 0.02715
55446.84946 18.83078 0.02719
55446.85529 18.86845 0.03459
55446.86132 18.79957 0.03169
55446.86741 18.88547 0.03768
55446.87321 18.79448 0.02546
55446.87945 18.84038 0.02579
55446.88583 18.82797 0.02662
55446.89176 18.83965 0.02641
55446.89901 18.82292 0.0339
55446.90569 18.8078 0.02849
55446.91293 18.79076 0.02749
55446.91958 18.83738 0.02676
55446.92538 18.8339 0.02751
55446.93113 18.84107 0.02831
55446.93686 18.8214 0.02729
55446.94237 18.76869 0.02735
55446.94842 18.76467 0.0261
55446.95451 18.77104 0.02592
55446.96034 18.77986 0.02574
55446.96641 18.78962 0.02646
55446.97287 18.76239 0.02751
55446.97827 18.76689 0.02658
55446.98464 18.78477 0.02693
55446.99026 18.87445 0.02606
55446.99646 18.75808 0.02759
55447.00329 18.80257 0.03054
55447.02248 18.82392 0.04446
55448.00377 18.83942 0.02575
55448.65527 18.81736 0.05334
55448.70146 18.83768 0.04236
55449.82958 18.79958 0.02851
55449.87259 18.78751 0.02749
55450.82585 18.762 0.03006
55450.86998 18.76319 0.02763
55451.65338 18.83253 0.0455
55451.70095 18.77542 0.03492
55452.64792 18.86644 0.04998
55452.69243 18.87792 0.03892
55453.64519 18.8127 0.04863
55453.6895 18.83905 0.039
55454.64058 18.85142 0.05157
55454.68793 18.85279 0.05079
55455.63923 18.84676 0.05623
55455.7154 18.76714 0.04183
55456.63346 18.86315 0.06226
55456.67702 18.83544 0.04692
55457.63067 18.88721 0.06852
55457.6732 18.82806 0.04601
55458.66069 18.90686 0.05462
55458.7057 18.84403 0.04804
55459.69034 18.81315 0.08761
55460.63624 18.92294 0.07058
55460.72453 18.76668 0.05651
55461.62523 18.80372 0.08184
55461.67649 18.84675 0.07969
55462.80848 18.86958 0.07183
55463.71104 18.87934 0.07682
55466.61784 18.83293 0.05062
55466.61959 18.74854 0.04615
55466.62134 18.83448 0.04984
55466.6231 18.81531 0.04474
55466.62486 18.82341 0.04413
55466.62661 18.84907 0.04281
