#mjd mag magerr
55061.92501 20.84046 0.10767
55061.95573 20.57986 0.09897
55063.91987 20.86069 0.14193
55064.92128 20.99442 0.11795
55064.9656 20.75898 0.11765
55066.91014 20.61139 0.10135
55066.95474 20.94164 0.10966
55069.90324 21.2361 0.14114
55084.86328 20.70679 0.16676
55087.85609 20.78475 0.12035
55087.90101 20.81415 0.10345
55088.96983 20.88898 0.11394
55089.01521 20.90843 0.12595
55089.94574 21.09964 0.11345
55093.83741 20.85566 0.12006
55093.88196 20.7261 0.11776
55096.8292 20.90635 0.14737
55097.00858 20.97379 0.16216
55123.75696 20.97394 0.13164
55123.81523 21.1927 0.19683
55142.7036 20.86274 0.16723
55144.77886 20.78158 0.16166
55151.72943 20.74231 0.12587
55151.77257 20.63544 0.12375
55175.61224 20.38353 0.13438
55175.65684 20.65328 0.13137
55183.59204 20.93817 0.17369
55199.58559 20.98568 0.14416
55207.63092 20.6825 0.1284
55207.67514 20.85468 0.12666
55209.5968 20.92855 0.17934
55209.64149 21.04591 0.14484
55381.93934 20.81189 0.13195
55384.82671 21.05226 0.14586
55384.87028 21.07648 0.14385
55385.87021 20.95902 0.15893
55386.86524 20.68294 0.11367
55387.91342 20.82751 0.11399
55390.85393 21.07506 0.19085
55392.83258 20.55283 0.19206
55392.87538 20.65571 0.14285
55395.84215 21.00428 0.14555
55396.83932 20.79146 0.13204
55398.83124 20.85948 0.14054
55399.83261 20.89744 0.17294
55423.74742 20.70164 0.14204
55423.79284 21.25155 0.15784
55424.75349 20.70922 0.14706
55426.8444 20.89526 0.12714
55428.83703 21.11767 0.16613
55436.93974 20.84059 0.19046
55440.87507 20.83634 0.15874
55440.88428 20.96858 0.13865
55440.89832 21.26288 0.14763
55440.90439 21.34549 0.15813
55440.92426 21.10678 0.15523
55440.95489 20.86074 0.15254
55440.95791 21.22001 0.15874
55441.87301 21.11987 0.14284
55441.88645 20.85837 0.15774
55441.88962 20.83451 0.18694
55441.89254 20.65187 0.15345
55441.89542 21.06161 0.13324
55441.89828 21.27486 0.16204
55441.9037 20.94408 0.17034
55441.90634 20.86722 0.14584
55441.90906 20.80266 0.12914
55441.9118 21.18542 0.15414
55441.91445 21.33645 0.13884
55441.91722 21.10502 0.16924
55441.91981 20.94489 0.15075
55441.92242 20.85783 0.17184
55441.92546 20.91478 0.16473
55441.9281 20.98003 0.19653
55441.93183 20.9339 0.14555
55441.93458 21.32609 0.16893
55441.93727 20.72357 0.13266
55441.94326 20.9364 0.13506
55441.94546 20.97909 0.16133
55441.94852 21.09638 0.12925
55441.95194 21.0081 0.17984
55441.95469 21.03257 0.14204
55441.95786 21.06703 0.15784
