#mjd mag magerr
55061.92501 20.01634 0.0628
55061.95573 19.95277 0.06125
55063.91987 20.03413 0.05892
55063.9639 20.00661 0.06494
55064.92128 19.95226 0.07003
55064.9656 20.07022 0.07498
55066.91014 19.93497 0.06656
55066.95474 19.98635 0.06328
55067.91649 20.33716 0.09852
55067.96099 20.24927 0.09127
55069.90324 19.97508 0.07082
55069.94786 20.18255 0.0889
55080.87449 20.07181 0.16453
55087.85609 19.8981 0.07072
55087.90101 19.85453 0.06487
55088.96983 20.07816 0.06618
55089.01521 20.09332 0.0758
55089.94574 20.19734 0.07926
55089.99042 19.85301 0.07585
55093.83741 20.05193 0.07355
55093.88196 19.96651 0.0658
55096.8292 19.98405 0.07795
55097.00858 19.80478 0.08265
55104.99862 19.80634 0.12043
55107.79764 20.05766 0.13667
55114.88125 19.94497 0.09172
55114.92522 19.85465 0.1749
55119.89538 20.02919 0.07486
55119.95365 19.81806 0.08625
55123.75696 19.85279 0.06896
55123.81523 19.89714 0.08257
55126.97957 20.06565 0.12429
55127.83329 19.89878 0.07542
55127.87706 20.02978 0.09052
55138.71472 19.83256 0.14609
55142.7036 20.03026 0.09696
55142.75219 19.91663 0.11035
55144.77886 19.93755 0.07374
55144.82305 19.95924 0.09216
55151.72943 19.65482 0.07854
55151.77257 19.93631 0.07671
55166.70473 20.17296 0.13249
55166.74897 19.93884 0.16928
55168.63378 20.31937 0.16838
55168.6775 20.21576 0.18909
55175.61224 20.02936 0.07477
55175.65684 19.94735 0.07177
55181.59421 19.91733 0.10961
55181.63825 20.14898 0.1032
55183.59204 20.05031 0.14826
55183.64253 19.86352 0.09751
55189.58054 19.75534 0.10742
55189.62557 20.26955 0.09631
55194.59026 19.96255 0.19701
55199.58559 19.94892 0.0778
55202.58667 19.74235 0.09403
55203.71441 20.06297 0.11084
55203.75743 20.06193 0.09769
55207.63092 19.9003 0.07921
55207.67514 20.0439 0.07321
55209.5968 19.87539 0.07093
55209.64149 19.81217 0.06497
55213.63312 19.7927 0.08228
55213.6798 19.86563 0.09861
55377.85123 19.96033 0.21005
55377.89535 19.92852 0.11264
55379.8591 20.15324 0.16154
55379.92482 20.03507 0.10658
55380.87684 20.4475 0.19007
55380.92078 20.18059 0.12779
55381.93934 20.21468 0.10768
55384.82671 20.09495 0.08825
55384.87028 20.05798 0.08396
55385.87021 20.06844 0.0749
55385.91339 19.93075 0.07177
55386.86524 19.9929 0.08128
55386.90867 20.10542 0.08424
55387.87002 19.84823 0.08162
55387.91342 20.01882 0.07775
55388.86609 20.05111 0.09469
55388.91005 19.81867 0.06942
55390.80957 19.97103 0.11367
55390.85393 19.77544 0.09139
55391.80613 20.06698 0.11952
55391.87538 20.03418 0.08167
55392.83258 20.06274 0.10787
55392.87538 19.96907 0.0866
55394.79908 20.04473 0.11021
55394.8431 19.92556 0.0899
55395.79551 20.33289 0.16097
55395.84215 20.18712 0.09725
55396.79527 20.17975 0.14545
55396.83932 20.21861 0.08727
55397.83526 19.79467 0.08696
55398.78764 20.42412 0.14832
55398.83124 20.27174 0.14438
55399.83261 19.76457 0.10914
55400.78534 20.13795 0.1903
55401.82518 20.31865 0.17824
55403.81973 19.84955 0.17729
55404.84266 20.21688 0.14031
55405.8416 20.09603 0.16809
55407.83003 20.0637 0.22214
55411.79896 20.12558 0.12145
55412.75232 20.11569 0.16846
55412.79539 19.90406 0.13353
55413.75577 20.13613 0.17104
55413.79945 19.89721 0.12145
55414.75161 19.96647 0.18336
55414.79555 19.99948 0.11912
55415.75266 19.72717 0.16137
55415.79727 20.13271 0.16223
55416.79342 20.22389 0.15499
55417.84511 19.821 0.1187
55418.79843 19.95708 0.10712
55418.84121 20.05181 0.09994
55419.75121 20.0297 0.16071
55419.79504 19.9957 0.11073
55420.78929 20.40813 0.19549
55420.83264 20.32284 0.12915
55421.73664 19.97064 0.08952
55421.79901 19.9703 0.0757
55422.75115 20.00076 0.12165
55422.79487 19.9446 0.08789
55423.74742 19.90965 0.08583
55423.79284 19.88726 0.07425
55424.75349 19.83795 0.11611
55424.80178 19.894 0.08296
55425.76166 19.88212 0.10693
55425.80573 19.92453 0.07799
55426.80123 19.97282 0.09553
55426.8444 19.8896 0.07371
55427.79708 19.57489 0.10508
55427.8408 19.96766 0.08584
55428.83703 19.85582 0.12429
55429.8142 20.1685 0.09894
55429.85716 20.01797 0.09388
55430.75769 20.0993 0.19178
55430.80485 20.07949 0.10634
55431.75639 20.17336 0.16375
55431.80024 19.87664 0.15957
55432.73907 20.19153 0.19059
55432.78359 20.05093 0.17797
55436.88575 20.3617 0.16299
55436.88891 20.02053 0.12106
55436.8919 20.10824 0.17755
55436.89501 20.08426 0.12557
55436.89797 19.96087 0.19135
55436.9042 20.2235 0.18975
55436.90728 20.34807 0.13948
55436.91041 20.15499 0.16166
55436.91641 20.09242 0.17277
55436.91931 20.09205 0.17535
55436.92514 20.22408 0.15348
55436.92806 20.22873 0.15386
55436.93096 19.88985 0.13296
55436.93703 20.09553 0.17494
55436.93974 19.97368 0.13716
55436.94297 20.10506 0.15056
55436.94613 19.75703 0.14616
55436.94915 20.06718 0.16866
55436.9553 20.32051 0.14136
55436.96116 20.36671 0.14586
55436.96671 19.95838 0.13946
55438.88857 20.26096 0.14665
55438.89169 19.98005 0.12307
55438.89485 20.25578 0.12458
55438.90371 20.16939 0.12076
55438.90927 20.00992 0.14685
55438.91204 20.19629 0.11907
55438.91487 20.14738 0.12928
55438.91763 19.99236 0.14896
55438.92084 20.13615 0.12178
55438.92394 20.19662 0.16565
55438.92672 20.22013 0.16355
55438.92954 20.15528 0.15405
55438.93833 20.12548 0.1157
55438.94106 20.30038 0.18535
55438.94411 20.04891 0.14419
55438.94678 20.0167 0.12557
55438.95017 19.95169 0.14505
55438.95913 20.12248 0.12357
55438.96141 20.00485 0.13097
55440.87507 19.87866 0.0814
55440.87823 20.04741 0.08515
55440.88428 19.94957 0.08173
55440.88675 19.95274 0.08939
55440.8894 19.84352 0.07938
55440.89205 19.88365 0.07925
55440.89518 19.96785 0.08031
55440.89832 19.96942 0.08654
55440.90145 19.98684 0.08284
55440.90439 19.86992 0.0817
55440.90729 20.07613 0.08306
55440.91025 19.94446 0.09016
55440.91316 20.04216 0.08475
55440.91591 20.16897 0.09035
55440.9187 19.9238 0.07945
55440.92149 20.02586 0.07946
55440.92426 19.98817 0.08225
55440.93095 20.1601 0.08256
55440.93364 20.00515 0.09037
55440.93623 20.14549 0.09105
55440.9395 19.9916 0.09112
55440.94264 20.03129 0.09307
55440.94582 19.87235 0.07115
55440.94883 19.97388 0.09032
55440.95182 20.04625 0.09044
55440.95489 19.9042 0.08173
55440.95791 19.96202 0.09433
55441.87301 19.87831 0.0761
55441.87592 19.98422 0.07463
55441.88645 19.95555 0.07532
55441.88962 19.98359 0.08037
55441.89254 19.91442 0.0699
55441.89542 19.71689 0.0775
55441.89828 19.90866 0.07641
55441.90107 20.21665 0.07665
55441.9037 19.9108 0.06746
55441.90634 19.95197 0.07695
55441.90906 20.10008 0.08124
55441.9118 19.91387 0.07095
55441.91445 19.91027 0.07492
55441.91722 20.01216 0.07814
55441.91981 19.8143 0.07009
55441.92242 19.97222 0.07413
55441.92546 19.92376 0.07071
55441.9281 20.21973 0.08452
55441.93183 19.74011 0.06682
55441.93458 19.83455 0.06943
55441.93727 20.08531 0.07659
55441.94048 19.8202 0.07722
55441.94326 19.90516 0.07048
55441.94546 19.86289 0.07894
55441.94852 19.93211 0.07491
55441.95194 20.02074 0.07342
55441.95469 19.95584 0.07241
55441.95786 20.04089 0.07462
55441.96081 19.92853 0.07632
55441.96392 19.89395 0.07264
55441.96715 19.86829 0.0757
55441.97012 20.22294 0.08013
55441.97294 19.91646 0.07196
55441.97532 19.92007 0.07566
55441.97757 19.95342 0.07561
55441.9798 19.91662 0.07984
55441.9835 19.99545 0.06981
55441.9863 19.99149 0.10857
55441.98852 19.99697 0.083
55441.99078 19.90792 0.07969
55441.99382 20.12551 0.08339
55442.00593 19.9237 0.0854
55442.00906 20.14649 0.09969
55442.01216 19.96863 0.10768
55442.01486 20.24394 0.0949
55442.01753 20.11215 0.12918
55442.02001 20.30946 0.12519
55442.70382 19.71819 0.07456
55442.70734 19.8194 0.08849
55442.71097 20.12405 0.09205
55442.71448 19.87387 0.08493
55442.71808 19.76629 0.0775
55442.72168 19.96644 0.08384
55442.72527 20.12171 0.0868
55442.73272 19.82937 0.08346
55442.74184 19.75205 0.0845
55442.74882 19.73608 0.07608
55442.75572 20.01677 0.08171
55442.76147 19.69453 0.07061
55442.76615 19.91296 0.07882
55442.77616 19.96522 0.08537
55442.78135 19.92415 0.07674
55442.78615 20.03193 0.0778
55442.79145 19.92403 0.0731
55442.79615 19.93931 0.07664
55442.80186 20.19659 0.09605
55442.8093 19.78456 0.0708
55442.81443 19.80465 0.07176
55442.81939 19.87961 0.07306
55442.82447 19.91561 0.07404
