#mjd mag magerr
55061.92501 20.51134 0.07539
55061.95573 20.37877 0.07052
55063.91987 20.51813 0.07487
55063.9639 20.34961 0.06803
55064.92128 20.41926 0.07987
55064.9656 20.43121 0.08564
55066.91014 20.43697 0.07662
55066.95474 20.42635 0.07454
55067.91649 20.26516 0.10592
55067.96099 20.68627 0.10571
55069.90324 20.46008 0.0747
55069.94786 20.45355 0.08012
55084.86328 20.41577 0.15672
55087.85609 20.4531 0.08131
55087.90101 20.57753 0.08603
55088.96983 20.47516 0.07655
55089.01521 20.46531 0.08169
55089.94574 20.42734 0.08605
55089.99042 20.59801 0.09702
55093.83741 20.46293 0.07185
55093.88196 20.46951 0.07956
55096.8292 20.47505 0.09133
55097.00858 20.58878 0.09992
55104.99862 20.63734 0.1503
55114.88125 20.35697 0.09907
55119.89538 20.25519 0.10905
55119.95365 20.47306 0.10191
55123.75696 20.27679 0.08533
55123.81523 20.52414 0.09325
55126.97957 20.53265 0.13168
55127.83329 20.54578 0.10928
55127.87706 20.61077 0.1072
55138.71472 20.49756 0.16128
55142.7036 20.34227 0.09536
55142.75219 20.42262 0.10276
55144.77886 20.61755 0.09851
55144.82305 20.48624 0.10933
55151.72943 20.59882 0.10441
55151.77257 20.45432 0.11628
55168.6775 20.51476 0.13762
55175.61224 20.42336 0.10013
55175.65684 20.31635 0.07918
55181.59421 20.42533 0.12506
55181.63825 20.59098 0.12126
55183.64253 20.19353 0.09691
55189.62557 20.30755 0.13038
55199.58559 20.45692 0.09748
55202.58667 20.60535 0.12686
55203.71441 20.42497 0.10157
55203.75743 20.46893 0.12173
55207.63092 20.39431 0.09393
55207.67514 20.2649 0.08658
55209.5968 20.37239 0.07792
55209.64149 20.27717 0.07754
55213.63312 20.5507 0.11291
55213.6798 20.55762 0.1385
55379.92482 20.78907 0.14716
55381.89606 20.42337 0.12537
55381.93934 20.59567 0.11128
55384.82671 20.50695 0.10822
55384.87028 20.89998 0.1397
55385.87021 20.72044 0.09858
55385.91339 20.58975 0.08634
55386.86524 20.5999 0.13655
55386.90867 20.78542 0.13669
55387.87002 20.93023 0.12469
55387.91342 20.66182 0.09053
55388.86609 20.80111 0.13354
55388.91005 20.73167 0.10354
55390.80957 20.74203 0.15685
55390.85393 20.54844 0.13776
55391.87538 20.95618 0.13111
55392.83258 20.55474 0.12195
55392.87538 20.50007 0.09964
55394.79908 20.50173 0.18746
55394.8431 20.94656 0.12677
55395.84215 20.52212 0.10109
55396.83932 20.71061 0.11182
55397.83526 20.52167 0.12439
55398.83124 20.90274 0.18997
55414.75161 20.33947 0.18584
55416.75096 20.53856 0.2533
55416.79342 20.61189 0.22014
55417.84511 20.857 0.19144
55418.79843 20.43707 0.20896
55418.84121 20.73281 0.14121
55419.79504 20.6827 0.17048
55421.73664 20.79064 0.16266
55421.79901 20.5903 0.08898
55422.75115 20.76076 0.14704
55422.79487 20.8036 0.11417
55423.74742 20.74165 0.12669
55423.79284 20.72126 0.10111
55424.75349 20.79495 0.168
55424.80178 20.51 0.09954
55425.76166 20.87112 0.14794
55425.80573 20.43153 0.09239
55426.8444 20.4956 0.09374
55427.79708 20.55889 0.17427
55428.79281 20.37334 0.11534
55428.83703 20.87182 0.19761
55429.8142 20.7265 0.19019
55429.85716 20.66197 0.12426
55430.80485 20.3145 0.12226
55436.90109 20.82553 0.18245
55436.91041 20.31199 0.18345
55436.91351 20.17229 0.17106
55436.92221 20.27236 0.14638
55436.95826 20.4944 0.19795
55436.96403 20.54177 0.21374
55438.89485 20.27278 0.14967
55438.89798 20.46066 0.16375
55438.90086 20.5156 0.13667
55438.90371 20.74539 0.14635
55438.9065 20.63135 0.16026
55438.90927 20.62492 0.15115
55438.93551 20.40264 0.17536
55438.93833 20.62449 0.21465
55438.95017 20.43169 0.16974
55438.95913 20.31448 0.13756
55438.96141 20.64885 0.20175
55440.87507 20.68766 0.11464
55440.87823 20.4584 0.09863
55440.88428 20.52257 0.09081
55440.88675 20.57674 0.10825
55440.8894 20.68152 0.11393
55440.89205 20.44865 0.09652
55440.89518 20.54985 0.09188
55440.90729 20.38913 0.09604
55440.91025 20.19846 0.09365
55440.91316 20.82216 0.11581
55440.91591 20.61197 0.10982
55440.9187 20.4458 0.1144
55440.92149 20.51186 0.1274
55440.92426 20.66317 0.10042
55440.93364 20.92515 0.11973
55440.93623 20.94249 0.16918
55440.9395 20.7726 0.13178
55440.94264 20.73229 0.12263
55440.94582 20.61335 0.11689
55440.94883 20.86888 0.12609
55440.95489 20.6482 0.10558
55440.95791 20.81402 0.122
55441.87301 20.57431 0.09199
55441.87592 20.55322 0.08851
55441.88645 20.84654 0.11857
55441.88962 20.9726 0.15668
55441.89254 20.54942 0.09118
55441.89542 20.38689 0.10038
55441.89828 20.45766 0.09049
55441.90107 20.46065 0.09382
55441.9037 20.5228 0.09511
55441.90634 20.35698 0.08453
55441.90906 20.50008 0.08953
55441.9118 20.54987 0.09601
55441.91445 20.51927 0.0871
55441.91722 20.71416 0.10001
55441.91981 20.5673 0.10696
55441.92242 20.46922 0.1015
55441.92546 20.58776 0.08159
55441.9281 20.61973 0.10979
55441.93183 20.35311 0.09099
55441.93458 20.94755 0.13387
55441.93727 20.68831 0.13005
55441.94048 20.7372 0.10169
55441.94326 20.48916 0.09134
55441.94546 20.23189 0.08173
55441.94852 20.54711 0.09299
55441.95194 20.53374 0.07781
55441.95469 20.43884 0.08729
55441.95786 20.61489 0.09439
55441.96081 20.53153 0.08831
55441.96392 20.58395 0.1023
55441.96715 20.67329 0.09168
55441.97012 20.45394 0.10709
55441.97294 20.53546 0.09213
55441.97532 20.46807 0.08454
55441.97757 20.49942 0.09738
55441.9798 20.70662 0.10111
55441.9835 20.45345 0.09518
55441.9863 20.43949 0.09818
55441.98852 20.64297 0.10358
55441.99078 20.43392 0.09227
55441.99382 20.47151 0.08729
55442.00593 20.7347 0.12537
55442.00906 20.91049 0.12877
55442.01216 20.55563 0.11378
55442.01753 20.72315 0.14147
55442.02001 20.67546 0.21065
55442.70734 20.8094 0.14804
55442.71097 20.85405 0.15165
55442.71448 20.79688 0.16982
55442.71808 20.92729 0.17322
55442.72168 20.83244 0.12064
55442.72527 20.37171 0.09522
55442.73272 20.37037 0.1036
55442.74184 20.62805 0.10491
55442.74882 20.64108 0.09391
55442.75572 20.59777 0.0971
55442.76147 20.67653 0.10977
55442.76615 20.50397 0.09202
55442.77616 20.36422 0.10231
55442.78135 20.49315 0.08503
55442.78615 20.55293 0.11273
55442.79145 20.50103 0.08282
55442.79615 20.5533 0.11807
55442.80186 20.47559 0.08718
55442.8093 20.29455 0.08573
55442.81443 20.58765 0.10084
55442.82447 20.35861 0.08924
55442.8293 20.44875 0.0914
55442.83541 20.36366 0.08208
55442.84012 20.82839 0.11102
55442.84597 20.42346 0.08356
55442.85112 20.52317 0.106
55442.85657 20.48817 0.08982
55442.86387 20.53651 0.1078
55442.87002 20.45865 0.09438
55442.87503 20.4157 0.09215
55442.88048 20.42115 0.08682
55442.89785 20.48834 0.09418
55442.90297 20.49608 0.09836
55442.90871 20.46544 0.0908
55442.91368 20.73797 0.10554
55442.91875 20.43511 0.09659
55442.92384 20.41169 0.09169
55442.93037 20.26909 0.082
55442.93642 20.47485 0.08798
55442.94588 20.65994 0.11685
55442.95166 20.65504 0.10394
55442.95754 20.75097 0.10314
55442.96246 20.55768 0.09317
55442.96833 20.5208 0.09674
55442.97317 20.51564 0.0923
55442.97782 20.34611 0.09199
55442.98206 20.52635 0.0911
55442.9872 20.54725 0.09729
55442.99348 20.73562 0.11691
55442.99858 20.60648 0.0949
55443.00329 20.65917 0.09631
55443.01002 20.54974 0.12018
55443.01702 20.88558 0.14295
55443.67742 20.87836 0.15006
55443.69287 20.49708 0.11945
55443.70415 20.38654 0.10768
55443.71028 20.78032 0.13427
55443.71632 20.35509 0.09845
55443.72231 20.18052 0.10277
55443.72832 20.52586 0.11197
55443.736 20.30652 0.09466
55443.74306 20.60798 0.10585
55443.74812 20.55563 0.09587
55443.75372 20.64831 0.10616
55443.75946 20.8163 0.12597
55443.76526 20.70235 0.10836
55443.77007 20.80673 0.14425
55443.78027 20.48302 0.13175
55443.78539 20.59696 0.10876
55443.79156 20.72057 0.10297
55443.79717 20.48081 0.09156
55443.80302 20.64865 0.08458
55443.80895 20.71314 0.10647
55443.81493 20.58055 0.0905
55443.8204 20.73972 0.11076
55443.82634 20.3859 0.0863
55443.83239 20.52791 0.08939
55443.83783 20.62299 0.10427
55443.84958 20.67814 0.11154
55443.85553 20.52261 0.08928
55443.86252 20.53663 0.12586
55443.87576 20.69033 0.10059
55443.88141 20.82085 0.12085
55443.88892 20.91714 0.11557
55443.89412 20.36138 0.0868
55443.90077 20.57911 0.10016
55443.90658 20.62578 0.10169
55443.91235 20.64849 0.09768
55443.91779 20.8633 0.13609
55443.92403 20.50823 0.09441
55443.92967 20.51634 0.09078
55443.93496 20.85909 0.12057
55443.94073 20.72706 0.10896
55443.94779 20.78481 0.11327
55443.95355 20.43768 0.10885
55443.95925 20.54347 0.09359
55443.9693 20.4471 0.1071
55443.97555 20.36143 0.09386
55443.98144 20.65053 0.10068
55443.99456 20.92575 0.10667
55444.00093 20.56785 0.09176
55444.0061 20.55857 0.10128
55444.01187 20.5354 0.10467
55444.0175 20.51155 0.12088
55444.02231 20.42732 0.22585
55444.66648 20.77092 0.17017
55444.67727 20.41702 0.16625
55444.68857 20.33908 0.12456
55444.70198 20.21616 0.12507
55444.71487 20.79828 0.14195
55444.72103 20.61256 0.12447
55444.72796 20.67223 0.18822
55444.73377 20.48635 0.09347
55444.74655 20.62002 0.11118
55444.75167 20.50519 0.10137
55444.75678 20.64187 0.10915
55444.76225 20.4746 0.09617
55444.7673 20.61305 0.09287
55444.77353 20.6989 0.09427
55444.77876 20.42144 0.09228
55444.78368 20.60539 0.10528
55444.79848 20.82888 0.12965
55444.80403 20.78789 0.11075
55444.81599 20.45222 0.08997
55444.8213 20.53295 0.09636
55444.83332 20.22199 0.087
55444.85161 20.8083 0.0964
55444.85679 20.71439 0.09668
55444.86267 20.46717 0.09328
55444.86777 20.85997 0.11286
55444.87321 20.74033 0.10878
55444.87872 20.82614 0.11066
55444.88467 20.23912 0.0767
55444.89016 20.31931 0.0838
55444.89581 20.88449 0.10967
55444.90153 20.71005 0.10547
55444.90845 20.30932 0.09726
55444.91349 20.59879 0.09518
55444.92279 20.53851 0.08977
55444.93139 20.51633 0.09158
55444.94041 20.39414 0.09566
55444.94568 20.78169 0.09957
55444.951 20.69759 0.10148
55444.95724 20.82935 0.10735
55444.96289 20.5612 0.09706
55444.96923 20.85545 0.10666
55444.97411 20.51335 0.09327
55444.98062 20.8183 0.10715
55444.98915 20.40747 0.09846
55444.99553 20.66369 0.10835
55445.00157 20.87218 0.11227
55445.00779 20.57898 0.09855
55445.01282 20.58438 0.13165
55445.01777 20.36341 0.13146
55445.02227 20.25086 0.19104
55445.66749 20.74341 0.15648
55445.67244 20.76475 0.15524
55445.67731 20.34948 0.11697
55445.68422 20.31856 0.10799
55445.6905 20.20626 0.10137
55445.69681 20.60221 0.11927
55445.70294 20.50182 0.15626
55445.70921 20.51801 0.12356
55445.71534 20.33813 0.12599
55445.72141 20.74511 0.16707
55445.72791 20.56024 0.10988
55445.74013 20.62665 0.10547
55445.7456 20.80357 0.13157
55445.75096 20.77059 0.11367
55445.75643 20.55776 0.10266
55445.76191 20.69005 0.11507
55445.76784 20.5098 0.10107
55445.7737 20.58123 0.09655
55445.779 20.53205 0.09178
55445.78479 20.47321 0.08688
55445.79025 20.70491 0.10036
55445.79613 20.63391 0.09748
55445.81095 20.48178 0.12915
55445.81845 20.41222 0.07909
55445.82455 20.27672 0.07528
55445.83024 20.40841 0.08267
55445.84021 20.53488 0.10288
55445.84549 20.42264 0.07611
55445.85174 20.55447 0.08588
55445.85762 20.54651 0.08001
55445.8636 20.69842 0.10518
55445.86963 20.75107 0.08601
55445.87567 20.86088 0.10795
55445.88844 20.42026 0.08518
55445.89432 20.78001 0.09727
55445.89983 20.80285 0.08456
55445.90668 20.40164 0.07412
55445.91299 20.60909 0.10217
55445.91722 20.56301 0.08317
55445.92351 20.78042 0.09685
55445.92915 20.50451 0.08506
55445.93496 20.57957 0.08208
55445.94048 20.47019 0.0812
55445.95216 20.72292 0.09438
55445.95886 20.44028 0.07999
55445.97191 20.66361 0.08728
55445.97872 20.59722 0.0826
55445.98437 20.40734 0.07677
55445.98972 20.50037 0.08137
55445.99581 20.72045 0.09837
55446.00245 20.65922 0.08479
55446.00827 20.56146 0.08896
55446.01324 20.60978 0.09557
55446.01787 20.717 0.13717
55446.0233 20.71247 0.22354
55446.66501 20.77267 0.17846
55446.67601 20.55325 0.13185
55446.6814 20.87425 0.15498
55446.68915 20.22851 0.11157
55446.70044 20.70973 0.12238
55446.70781 20.47792 0.11388
55446.71375 20.62748 0.12125
55446.71998 20.67456 0.12634
55446.7269 20.53315 0.10778
55446.73768 20.51089 0.14836
55446.74263 20.602 0.10036
55446.74841 20.89882 0.12447
55446.75986 20.48988 0.09029
55446.76487 20.56771 0.09386
55446.77004 20.59809 0.08958
55446.77518 20.54622 0.09526
55446.78018 20.39454 0.07779
55446.78654 20.62434 0.09528
55446.79243 20.49283 0.08561
55446.79818 20.54164 0.08609
55446.80822 20.32098 0.0833
55446.81336 20.59642 0.09227
55446.81934 20.34467 0.0833
55446.82569 20.62909 0.08318
55446.83186 20.69934 0.09527
55446.83803 20.47898 0.0961
55446.84316 20.53709 0.07712
55446.84946 20.63862 0.09099
55446.85529 20.66873 0.09708
55446.86132 20.3866 0.09225
55446.86741 20.57042 0.09232
55446.88583 20.28667 0.06982
55446.89176 20.66333 0.08922
55446.89901 20.51822 0.12515
55446.90569 20.68508 0.09916
55446.91293 20.39092 0.0895
55446.91958 20.19888 0.06992
55446.92538 20.40995 0.07176
55446.93113 20.48159 0.0811
55446.93686 20.47778 0.09069
55446.94237 20.56881 0.08468
55446.94842 20.58004 0.0875
55446.95451 20.6448 0.08989
55446.96034 20.56766 0.08607
