#mjd mag magerr
55061.92501 19.61734 0.04106
55061.95573 19.59077 0.03989
55063.91987 19.56313 0.03715
55063.9639 19.55161 0.03712
55064.92128 19.55526 0.0466
55064.9656 19.68821 0.04716
55066.91014 19.60597 0.0435
55066.95474 19.64135 0.04182
55067.91649 19.67016 0.05547
55067.96099 19.71927 0.05562
55069.90324 19.60308 0.04276
55069.94786 19.57855 0.04341
55080.87449 19.54481 0.09273
55080.95988 19.71906 0.13477
55084.86328 19.56577 0.06953
55087.85609 19.5611 0.04549
55087.90101 19.59453 0.04853
55088.96983 19.69516 0.04417
55089.01521 19.58632 0.05025
55089.94574 19.64234 0.04668
55089.99042 19.537 0.04973
55093.83741 19.56593 0.04375
55093.88196 19.55751 0.04251
55096.8292 19.64706 0.04794
55097.00858 19.69478 0.05681
55104.99862 19.89134 0.07431
55107.79764 19.84065 0.10758
55114.88125 19.57597 0.05988
55114.92522 19.95265 0.13503
55119.89538 19.53619 0.05074
55119.95365 19.69306 0.06563
55123.75696 19.56679 0.04704
55123.81523 19.61014 0.05147
55126.97957 19.67665 0.07036
55127.83329 19.69078 0.05506
55127.87706 19.80677 0.06348
55138.71472 19.80356 0.1191
55138.75871 19.76786 0.15417
55142.7036 19.67927 0.0614
55142.75219 19.63463 0.06449
55144.77886 19.60055 0.0541
55144.82305 19.59624 0.05934
55151.72943 19.78282 0.06337
55151.77257 19.65731 0.05326
55166.70473 19.93096 0.16257
55168.63378 19.77037 0.08586
55168.6775 19.76476 0.09168
55175.61224 19.69536 0.05107
55175.65684 19.64335 0.04734
55181.59421 19.58133 0.07431
55181.63825 19.43798 0.06289
55183.59204 19.81031 0.10578
55183.64253 19.70252 0.06243
55189.58054 19.55934 0.07058
55189.62557 19.59555 0.06377
55194.59026 19.79355 0.12207
55199.58559 19.51692 0.04847
55201.58642 19.61992 0.13266
55202.58667 19.53535 0.06053
55203.71441 19.59297 0.0632
55203.75743 19.54193 0.07288
55207.63092 19.48931 0.05909
55207.67514 19.5279 0.04762
55209.5968 19.42139 0.04292
55209.64149 19.69417 0.05022
55213.63312 19.5877 0.06297
55213.6798 19.73063 0.07777
55377.85123 19.75633 0.12246
55377.89535 19.78252 0.09929
55379.8591 19.56524 0.10187
55379.92482 19.58907 0.07412
55380.87684 19.7585 0.10502
55380.92078 19.51259 0.08982
55381.89606 19.74937 0.07253
55381.93934 19.45568 0.05964
55384.82671 19.54195 0.05933
55384.87028 19.52298 0.05206
55385.87021 19.52444 0.04816
55385.91339 19.56175 0.04597
55386.86524 19.6209 0.05462
55386.90867 19.54542 0.05203
55387.87002 19.63123 0.05851
55387.91342 19.58082 0.05238
55388.86609 19.70111 0.06897
55388.91005 19.62067 0.0505
55390.80957 19.70803 0.0799
55390.85393 19.51544 0.05804
55391.80613 19.64998 0.08178
55391.87538 19.55218 0.04869
55392.83258 19.61574 0.06586
55392.87538 19.67707 0.05965
55394.79908 19.38773 0.07426
55394.8431 19.57456 0.05276
55395.79551 19.61189 0.10086
