#mjd mag magerr
61.92501 18.99483 0.03618
61.95573 18.98375 0.03359
63.91987 18.99254 0.03267
63.9639 19.00051 0.03317
64.92128 18.96546 0.04132
64.9656 18.97896 0.04148
66.91014 18.99486 0.03902
66.95474 18.9675 0.03602
67.91649 19.13777 0.05627
67.96099 19.13673 0.05475
69.90324 19.00532 0.03025
69.94786 18.97803 0.03003
80.87449 19.02547 0.13587
80.95988 18.99298 0.14337
84.86328 18.97039 0.0465
87.85609 19.00724 0.03637
87.90101 18.99719 0.03208
88.96983 19.09491 0.03555
89.01521 18.9337 0.03288
89.94574 18.99576 0.03707
89.99042 18.99982 0.03477
93.83741 18.99049 0.02997
93.88196 19.00776 0.03018
96.8292 19.04072 0.03367
97.00858 19.13017 0.04141
104.99862 19.16399 0.04859
107.79764 18.98792 0.07071
114.88125 19.03399 0.04273
114.92522 19.01004 0.08485
119.89538 18.94613 0.03882
119.95365 19.1185 0.0416
123.75696 19.03325 0.0359
123.81523 19.05686 0.03675
126.97957 19.05582 0.04707
127.83329 19.0232 0.03863
127.87706 19.02662 0.04072
135.82555 19.15552 0.07705
135.86926 19.08444 0.07446
138.71472 19.2125 0.07991
138.75871 18.93235 0.08192
142.7036 18.96444 0.03911
142.75219 19.14607 0.04893
144.77886 19.0112 0.03617
144.82305 18.97371 0.04434
151.72943 19.03762 0.04178
151.77257 19.16082 0.03962
166.70473 19.02181 0.08974
166.74897 19.01584 0.08881
168.63378 18.95024 0.0746
168.6775 19.15018 0.06394
175.61224 19.10228 0.03755
175.65684 19.07481 0.03696
181.59421 19.10303 0.05876
181.63825 18.94914 0.04666
183.59204 19.18097 0.07337
183.64253 19.03858 0.04083
189.58054 19.06789 0.04979
189.62557 19.00721 0.04368
194.59026 19.1175 0.08467
199.58559 19.0423 0.04116
201.58642 19.04312 0.12509
380.87684 19.12275 0.06571
380.92078 18.96207 0.06527
381.89606 19.02633 0.04484
381.93934 19.01934 0.04289
386.86524 19.01665 0.03993
386.90867 19.11099 0.03933
391.80613 19.18027 0.06537
391.87538 19.15027 0.04474
396.79527 19.10233 0.06736
396.83932 19.00164 0.04097
401.78133 18.93631 0.09763
401.82518 18.87681 0.08209
407.7691 19.12509 0.10524
407.83003 18.99349 0.07986
413.75577 19.20536 0.08467
413.79945 18.97381 0.06545
416.75096 19.17548 0.08482
416.79342 19.11319 0.06178
419.75121 19.08012 0.08664
419.79504 19.0711 0.06324
422.75115 19.01682 0.05043
422.79487 19.05389 0.0412
426.80123 19.03175 0.05323
426.8444 19.00437 0.0441
429.8142 19.05379 0.05167
429.85716 18.9684 0.04196
432.73907 19.01266 0.0813
432.78359 19.04001 0.07295
435.69148 19.06815 0.10028
438.88857 19.08167 0.0583
438.89169 19.16541 0.06209
438.89485 18.96422 0.05509
438.89798 18.92261 0.05214
438.90086 19.04909 0.05649
438.90371 19.01255 0.04998
438.9065 18.90668 0.05012
438.90927 19.02735 0.05194
438.91204 19.04212 0.05406
438.91487 19.17959 0.05901
438.91763 18.96487 0.05226
438.92084 18.88622 0.05761
438.92394 19.09977 0.06478
438.92672 19.03007 0.063
438.92954 19.04819 0.06916
438.93259 18.93759 0.0613
438.93551 19.05756 0.05822
438.93833 19.0834 0.06666
438.94106 19.00656 0.05921
438.94411 18.9911 0.05606
438.94678 19.12241 0.06272
438.95017 19.03024 0.05946
438.95913 18.99717 0.0573
438.96141 19.13249 0.06209
441.87301 18.97451 0.03399
441.87592 18.86643 0.03027
441.88645 19.00839 0.03389
441.88962 18.9498 0.03198
441.89254 18.97457 0.03159
441.89542 18.89916 0.03169
441.89828 18.95621 0.03224
441.90107 18.92394 0.03166
441.9037 18.92274 0.03004
441.90634 18.95219 0.03254
441.90906 18.91049 0.03089
441.9118 18.97293 0.03131
441.91445 18.95144 0.0312
441.91722 18.91566 0.02944
441.91981 18.97207 0.03534
441.92242 19.00455 0.03511
441.92546 18.95705 0.03096
441.9281 18.97363 0.03343
441.93183 18.95022 0.032
441.93458 18.94972 0.03177
441.93727 18.93509 0.03212
441.94048 18.92166 0.03172
441.94326 19.01128 0.03233
441.94546 18.97985 0.03317
441.94852 18.99733 0.03314
441.95194 18.94521 0.03122
441.95469 18.94838 0.03214
441.95786 18.91819 0.03187
441.96081 18.97062 0.03293
441.96392 18.95061 0.03405
441.96715 18.96449 0.0304
441.97012 18.92028 0.03115
441.97294 18.97169 0.03271
441.97532 18.99757 0.03104
441.97757 18.93747 0.03141
441.9798 18.93742 0.03207
441.9835 18.92918 0.03016
441.9863 18.92039 0.03241
441.98852 18.9954 0.03507
441.99078 18.91636 0.03247
441.99382 18.93702 0.03321
442.00593 18.9695 0.03614
442.00906 18.98166 0.0387
442.01216 19.02106 0.03919
442.01486 19.02366 0.04649
442.01753 19.00685 0.0526
442.02001 19.04275 0.0771
442.02226 19.11507 0.06964
444.66648 18.92168 0.05764
444.67221 18.93424 0.05282
444.67727 19.05152 0.05204
444.68857 19.01909 0.04417
444.69526 19.03527 0.04823
444.70198 19.01996 0.04412
444.7091 19.03238 0.04599
444.71487 18.8902 0.0386
444.72103 18.93781 0.03888
444.72796 18.91171 0.03896
444.73377 18.932 0.03559
444.74094 19.01006 0.03727
444.74655 18.89065 0.03411
444.75167 18.97633 0.03673
444.75678 18.91378 0.03429
444.76225 18.88329 0.03204
444.7673 18.92785 0.03308
444.77353 18.89563 0.03441
444.77876 18.89547 0.03261
444.78368 18.91961 0.03414
444.79848 18.9161 0.03097
444.80403 18.93724 0.03175
444.81599 18.9233 0.03312
444.8213 18.92897 0.03053
444.83332 18.96138 0.03108
444.83854 18.98559 0.03216
444.84549 18.9014 0.03152
444.85161 18.96895 0.03174
444.85679 18.95477 0.03101
444.86267 18.97995 0.03621
444.86777 19.03253 0.04037
444.87321 18.93269 0.03006
444.87872 18.96733 0.0344
444.88467 18.91352 0.03275
444.89016 18.99289 0.03271
444.89581 18.9848 0.03669
444.90153 18.9435 0.03029
444.90845 18.95715 0.03381
444.91349 18.95232 0.03196
444.92279 18.97155 0.03168
444.93139 19.03875 0.03174
444.94041 18.96924 0.03148
444.94568 18.94129 0.03192
444.951 19.00191 0.03737
444.95724 18.99819 0.036
444.96289 18.89672 0.03118
444.96923 18.93884 0.03157
444.97411 18.8998 0.03247
444.98062 19.0145 0.03282
444.98915 18.98828 0.03668
444.99553 18.95106 0.03179
445.00157 18.9677 0.03193
445.00779 19.02742 0.03448
445.01282 18.95864 0.0382
445.01777 18.92929 0.05157
445.02227 19.01064 0.05992
448.65527 18.93538 0.05681
448.70146 18.976 0.04426
451.65338 18.92471 0.04452
451.70095 18.9041 0.03805
454.64058 19.05345 0.05809
