#mjd mag magerr
55061.92501 20.53234 0.08488
55061.95573 20.37577 0.07501
55063.91987 20.44313 0.07008
55063.9639 20.52661 0.0768
55064.92128 20.57026 0.08682
55064.9656 20.69522 0.09971
55066.91014 20.56497 0.08281
55066.95474 20.53635 0.07733
55067.91649 20.88016 0.12603
55069.90324 20.48308 0.08079
55069.94786 20.65655 0.07862
55084.86328 20.40177 0.1274
55087.85609 20.5971 0.09489
55087.90101 20.46453 0.09452
55088.96983 20.48816 0.07975
55089.01521 20.37432 0.09218
55089.94574 20.49934 0.10053
55089.99042 20.717 0.09782
55093.83741 20.69793 0.09551
55093.88196 20.58951 0.08066
55096.8292 20.58306 0.09542
55097.00858 20.85478 0.14318
55114.88125 20.43597 0.12194
55119.89538 20.81119 0.11524
55119.95365 20.64706 0.15624
55123.75696 20.68679 0.10491
55123.81523 20.63214 0.11832
55126.97957 20.67965 0.13308
55142.7036 20.62727 0.11755
55144.77886 20.46555 0.09371
55144.82305 20.63824 0.12731
55151.77257 20.76731 0.11727
55175.61224 20.91735 0.10536
55175.65684 20.78635 0.09636
55181.63825 20.48998 0.13303
55194.59026 20.52455 0.18142
55199.58559 20.63592 0.11497
55202.58667 20.72635 0.13878
55203.71441 21.11397 0.13777
55203.75743 20.94593 0.17116
55207.63092 20.79431 0.12732
55207.67514 20.4079 0.10734
55209.5968 20.71639 0.10139
55209.64149 20.60017 0.1035
55213.63312 20.8327 0.17186
55381.89606 20.29537 0.11198
55381.93934 20.59968 0.14046
55384.87028 20.81798 0.14799
55385.87021 20.90244 0.13056
55385.91339 20.67374 0.11281
55386.86524 20.7759 0.11456
55386.90867 20.68442 0.13669
55387.87002 20.73423 0.11133
55387.91342 20.44682 0.08997
55388.91005 20.63367 0.10295
55391.87538 20.72218 0.12891
55392.83258 20.57774 0.13345
55392.87538 20.61407 0.1123
55394.79908 20.62373 0.14398
55394.8431 20.78856 0.12547
55395.84215 20.57612 0.11918
55396.83932 20.51461 0.14194
55397.83526 20.90167 0.14141
55400.8289 20.38074 0.19186
55417.84511 20.768 0.20219
55418.84121 20.61081 0.1442
55421.79901 20.7643 0.11626
55422.79487 20.9406 0.12966
55423.74742 20.40165 0.13209
55423.79284 20.61126 0.1141
55424.80178 20.605 0.11064
55425.76166 20.60212 0.14005
55425.80573 20.74053 0.10394
55426.80123 20.87483 0.12561
55426.8444 20.8476 0.11274
55427.8408 20.87466 0.12394
55428.79281 20.79034 0.14612
55428.83703 20.75383 0.13565
55429.8142 20.9045 0.16885
55429.85716 20.97597 0.14089
55436.88575 20.3837 0.17458
55436.95826 20.4614 0.22745
55438.90927 20.84792 0.16185
55440.87823 20.4734 0.11491
55440.88428 20.78357 0.10718
55440.88675 20.98774 0.13502
55440.8894 20.58652 0.10384
55440.89205 20.88865 0.12359
55440.89832 20.57442 0.10172
55440.90145 20.79184 0.1179
55440.90439 20.78692 0.14991
55440.90729 20.61213 0.10802
55440.91025 20.88646 0.12721
55440.91316 20.66616 0.11401
55440.91591 20.96097 0.136
55440.9187 21.0768 0.1191
55440.92149 20.66186 0.1258
55440.92426 20.57817 0.10522
55440.93364 20.75915 0.11923
55440.93623 20.92049 0.12591
55440.94264 20.75529 0.12423
55440.94582 20.65835 0.15187
55440.94883 20.89688 0.12799
55440.95791 20.58602 0.13339
55441.87301 20.47231 0.09698
55441.87592 20.81322 0.11139
55441.88645 20.85854 0.11038
55441.88962 20.9576 0.11482
55441.89254 20.77942 0.11156
55441.89542 20.58289 0.13546
55441.89828 21.08766 0.13526
55441.90107 20.74965 0.10052
55441.90634 20.80997 0.1087
55441.90906 20.65908 0.10611
55441.9118 20.86887 0.1031
55441.91445 20.65527 0.11188
55441.91722 20.69416 0.1093
55441.91981 20.80231 0.13855
55441.92242 20.50923 0.13597
55441.92546 20.71176 0.09508
55441.9281 20.64373 0.1015
55441.93183 20.70011 0.10957
55441.93458 20.75255 0.12397
55441.93727 20.86331 0.10447
55441.94048 20.7292 0.10919
55441.94326 20.80516 0.09783
55441.94546 20.94889 0.11749
55441.94852 20.7201 0.10368
55441.95194 20.62874 0.10618
55441.95469 20.62484 0.10237
55441.95786 20.94289 0.11098
55441.96081 20.55353 0.11118
55441.96392 20.62695 0.11549
55441.96715 20.70429 0.09848
55441.97012 20.70394 0.1029
55441.97294 20.67546 0.10091
55441.97532 20.55607 0.09513
55441.97757 20.83842 0.10358
55441.9798 20.99962 0.113
55441.9835 20.59545 0.10057
55441.9863 20.89749 0.11247
55441.98852 20.46398 0.12197
55441.99078 20.70292 0.10866
55441.99382 21.08551 0.12156
55442.00593 20.8907 0.12307
55442.01216 20.99863 0.14186
55442.01486 20.91494 0.15096
55442.70734 20.9674 0.16083
55442.71097 20.95205 0.14544
55442.71448 20.61788 0.1295
55442.71808 20.79029 0.12861
55442.72527 20.94371 0.12596
55442.74184 21.00705 0.12093
55442.74882 20.84808 0.12345
55442.75572 20.93277 0.15789
55442.76147 20.83653 0.15234
55442.76615 20.84097 0.11092
55442.78135 20.89915 0.10902
55442.78615 20.97294 0.10634
55442.79145 20.72703 0.1104
55442.79615 20.9223 0.10653
55442.80186 20.74259 0.10645
55442.8093 20.85955 0.0991
55442.81443 20.73965 0.09833
55442.81939 20.92861 0.10175
55442.82447 20.67661 0.09989
55442.8293 20.89975 0.09756
55442.83541 20.95766 0.1131
55442.84597 20.73146 0.09846
55442.85112 21.03317 0.12533
55442.85657 20.79017 0.09087
55442.86387 20.89651 0.10722
55442.87002 20.95366 0.10645
55442.87503 20.8407 0.1062
55442.88048 20.75615 0.09129
55442.88617 20.61317 0.08761
55442.89221 20.75142 0.10822
55442.89785 20.86534 0.09892
55442.90297 20.92508 0.10922
55442.90871 20.73444 0.12136
55442.91368 20.84497 0.10186
55442.91875 20.74911 0.15381
55442.92384 20.81768 0.12124
55442.93037 20.74109 0.1045
55442.93642 20.79485 0.10161
55442.95166 20.46903 0.10878
55442.95754 21.15096 0.12692
55442.96246 20.98868 0.10817
55442.97317 20.80564 0.11116
55442.97782 20.75511 0.10661
55442.98206 20.85235 0.11303
55442.9872 20.90125 0.11691
55442.99348 21.01662 0.10882
55442.99858 20.76748 0.11289
55443.00329 20.67517 0.11356
55443.01002 20.86474 0.10586
55443.67742 20.56236 0.14956
55443.68488 20.39577 0.15604
55443.70415 20.45954 0.15556
55443.71632 21.01208 0.13974
55443.72231 20.82152 0.14455
55443.72832 20.81286 0.16654
55443.736 20.66952 0.11105
55443.74306 20.57098 0.11605
55443.74812 20.82863 0.11745
55443.75372 21.07931 0.13115
55443.75946 20.9473 0.12627
55443.76526 20.60535 0.12745
55443.77007 20.92473 0.13076
55443.78539 20.72196 0.11816
55443.79156 20.87657 0.12705
55443.79717 20.74081 0.11575
55443.80302 21.06966 0.13475
55443.80895 21.04714 0.14335
55443.81493 20.50955 0.10778
55443.82634 20.6289 0.10728
55443.83239 20.54591 0.09638
55443.83783 20.553 0.10087
55443.84415 20.85441 0.10497
55443.84958 20.77414 0.09874
55443.85553 20.88061 0.10387
55443.86252 20.75363 0.12596
55443.87576 20.54133 0.10369
55443.88141 20.94285 0.11646
55443.88892 20.80314 0.11207
55443.89412 20.91138 0.12417
55443.90077 20.57712 0.09476
55443.90658 20.68778 0.10199
55443.91235 20.73949 0.10687
55443.92403 20.88723 0.15606
55443.93496 20.77009 0.11508
55443.94073 20.95406 0.12026
55443.95355 20.80068 0.10685
55443.95925 20.41247 0.10338
55443.9693 20.7951 0.15757
55444.00093 20.51085 0.10415
55444.0061 20.77957 0.12037
55444.01187 20.8224 0.10767
55444.0175 20.59555 0.14877
55444.73377 20.49135 0.15125
55444.74094 20.73742 0.11946
55444.74655 20.58602 0.14136
55444.75167 20.55519 0.13965
55444.75678 20.53587 0.11895
55444.76225 20.8926 0.12495
55444.7673 20.62105 0.11316
55444.77353 20.7589 0.11336
55444.77876 20.82244 0.12746
55444.78368 20.91339 0.11837
55444.79848 20.70487 0.11925
55444.80403 20.81989 0.09986
55444.81599 20.53622 0.10026
55444.8213 20.86895 0.12625
55444.83332 20.74299 0.10278
55444.83854 20.57776 0.11306
55444.84549 20.51033 0.10096
55444.85161 20.8683 0.12018
55444.85679 20.95839 0.11477
55444.87321 20.71432 0.10298
55444.87872 20.70314 0.10886
55444.88467 20.63212 0.11877
55444.89016 20.9453 0.12827
55444.90153 20.61405 0.11926
55444.90845 20.62832 0.10705
55444.91349 20.79879 0.10007
55444.92279 20.55151 0.09627
55444.93139 20.85833 0.11026
55444.94041 20.77314 0.09985
55444.94568 20.50169 0.09187
55444.95724 20.67535 0.11615
55444.96289 20.79021 0.10446
55444.96923 20.58945 0.10557
55444.97411 20.72835 0.11275
55444.98062 20.8133 0.10685
55444.99553 20.70369 0.14364
55445.00157 21.06818 0.12236
55445.00779 20.68898 0.11554
55445.66749 20.52241 0.1326
55445.68422 20.47456 0.14546
55445.6905 20.87127 0.14305
55445.69681 20.53421 0.14976
55445.70294 20.90982 0.13527
55445.70921 20.54702 0.11967
55445.71534 20.72812 0.19506
55445.73457 20.89833 0.16466
55445.74013 20.62766 0.14055
55445.7456 20.70357 0.12367
55445.75643 20.96676 0.12715
55445.76191 20.63505 0.10517
55445.76784 20.9248 0.15324
55445.7737 20.83723 0.10745
55445.779 20.90105 0.12646
55445.78479 20.62021 0.11036
55445.79025 20.6709 0.10395
55445.79613 20.67691 0.10078
55445.81095 20.64478 0.09976
55445.82455 20.74872 0.08118
55445.83024 20.67341 0.10136
55445.84021 20.58288 0.09768
55445.84549 20.84664 0.10398
55445.85174 20.85747 0.10517
55445.85762 20.65752 0.10299
55445.8636 20.65142 0.09309
55445.86963 20.61707 0.11308
