#mjd mag magerr
55061.92501 20.07819 0.07672
55061.95573 20.22001 0.07209
55063.91987 20.0769 0.06842
55063.9639 20.26301 0.07925
55064.92128 20.1521 0.08055
55064.9656 20.12078 0.0841
55066.91014 20.263 0.09152
55066.95474 20.21484 0.08036
55067.91649 20.50039 0.12152
55067.96099 20.19787 0.12835
55069.90324 20.15609 0.07403
55069.94786 20.21052 0.07668
55084.86328 20.04815 0.09608
55087.85609 20.17644 0.07575
55087.90101 20.21368 0.08169
55088.96983 20.13081 0.07541
55089.01521 20.34384 0.08787
55089.94574 19.98929 0.09203
55089.99042 20.05932 0.09383
55093.83741 20.14195 0.07108
55093.88196 20.25489 0.07013
55096.8292 20.22379 0.07516
55097.00858 20.10419 0.08475
55104.99862 20.42957 0.13727
55114.88125 20.21316 0.09498
55119.89538 20.4975 0.10813
55119.95365 20.11593 0.08641
55123.75696 20.22532 0.07797
55123.81523 20.2156 0.08425
55126.97957 20.22912 0.11217
55127.83329 20.35206 0.09285
55127.87706 20.37267 0.12975
55142.7036 20.26605 0.10534
55142.75219 20.30131 0.10657
55144.77886 20.27618 0.08956
55144.82305 20.35737 0.11137
55151.72943 20.39766 0.11886
55151.77257 20.14052 0.09256
55166.70473 20.19511 0.17644
55168.63378 20.55191 0.14026
55168.6775 20.23157 0.14371
55175.61224 20.18473 0.0694
55175.65684 20.28986 0.0741
55181.59421 20.45031 0.12804
55181.63825 20.2448 0.09695
55183.59204 20.33748 0.15446
55183.64253 20.20867 0.09771
55189.62557 20.18499 0.10372
55199.58559 20.19189 0.09033
55202.58667 20.25144 0.10497
55203.71441 20.06579 0.10391
55203.75743 20.21417 0.10365
55207.63092 20.25126 0.08225
55207.67514 20.11077 0.07606
55209.5968 20.23516 0.09027
55209.64149 20.16939 0.08036
55213.6798 20.48927 0.11123
55377.89535 20.15776 0.17067
55379.92482 19.97726 0.08494
55380.92078 20.31765 0.13727
55381.89606 19.85726 0.08348
55381.93934 20.05811 0.08976
55384.82671 20.13994 0.09476
55384.87028 20.1914 0.08217
55385.87021 20.01436 0.06717
55385.91339 20.12525 0.07116
55386.86524 20.05947 0.08328
55386.90867 20.03742 0.07743
55387.87002 20.01224 0.07854
55387.91342 19.98453 0.06357
55388.86609 20.12512 0.09821
55388.91005 20.21168 0.07377
55390.80957 20.23121 0.12206
55390.85393 20.25994 0.09637
55391.80613 20.46512 0.14214
55391.87538 20.07396 0.08249
55392.83258 19.99592 0.09306
55392.87538 20.04609 0.0727
55394.79908 20.12011 0.1011
55394.8431 20.26345 0.09047
55395.79551 20.24708 0.11505
55395.84215 20.13916 0.09021
55396.79527 19.8454 0.12077
55396.83932 19.90977 0.07738
55397.79163 20.26877 0.13799
55397.83526 19.99587 0.08981
