#mjd mag magerr
55061.92501 20.02146 0.05783
55061.95573 19.91286 0.06131
55063.91987 19.90969 0.05628
55063.9639 19.91986 0.06141
55064.92128 20.08641 0.06279
55064.9656 19.98898 0.06568
55066.91014 19.8294 0.06149
55066.95474 19.84364 0.05392
55067.91649 20.36762 0.10427
55067.96099 20.22549 0.0976
55069.90324 19.8461 0.0651
55069.94786 19.90096 0.0643
55080.87449 20.17238 0.13409
55084.86328 19.96679 0.08592
55087.85609 20.00575 0.06458
55087.90101 19.96515 0.06597
55088.96983 20.01999 0.06427
55089.01521 19.96143 0.06919
55089.94574 20.03764 0.06989
55089.99042 20.14667 0.07458
55093.83741 19.97166 0.06591
55093.88196 19.9621 0.0665
55096.8292 20.00535 0.06995
55097.00858 19.90779 0.07923
55104.99862 20.31444 0.12747
55114.88125 19.78794 0.07522
55119.89538 19.92791 0.09002
55119.95365 20.12731 0.08801
55123.75696 20.06294 0.07358
55123.81523 20.0267 0.07918
55126.97957 19.93313 0.0962
55127.83329 20.30869 0.08747
55127.87706 20.28899 0.09551
55142.7036 20.30474 0.09235
55142.75219 20.4977 0.11385
55144.77886 20.23058 0.08422
55144.82305 20.12972 0.09369
55151.72943 20.02931 0.08021
55151.77257 20.09944 0.07639
55166.74897 19.97874 0.17998
55168.63378 19.85097 0.14925
55168.6775 20.0785 0.11929
55175.61224 20.13853 0.07713
55175.65684 19.90928 0.07252
55181.59421 20.41023 0.12362
55181.63825 19.98393 0.10711
55183.59204 19.74817 0.14571
55183.64253 19.98756 0.08323
55189.58054 20.28003 0.11935
55189.62557 20.03922 0.09336
55199.58559 20.22268 0.09279
55202.58667 19.88855 0.08478
55203.71441 20.21338 0.11453
55203.75743 19.98448 0.11893
55207.63092 20.0015 0.08376
55207.67514 20.13068 0.07749
55209.5968 19.93255 0.06532
55209.64149 20.00591 0.07259
55213.63312 20.27512 0.1088
55213.6798 20.38306 0.1308
55379.8591 20.31866 0.13444
55379.92482 20.06838 0.09986
55380.92078 20.50493 0.12017
55381.89606 20.25269 0.10685
55381.93934 20.03789 0.09158
55384.82671 20.21426 0.09339
55384.87028 20.09748 0.0707
55385.87021 20.03202 0.07716
55385.91339 20.15886 0.0685
55386.86524 20.19094 0.08859
55386.90867 20.21827 0.07966
55387.87002 20.21717 0.08067
55387.91342 19.87651 0.05718
55388.91005 20.2575 0.07885
55390.80957 20.39624 0.11644
55390.85393 20.29706 0.0924
55391.80613 20.30544 0.11247
55391.87538 20.41353 0.09296
55392.83258 20.18083 0.09212
55392.87538 20.11871 0.0744
55394.79908 20.08324 0.10018
55394.8431 20.29155 0.08938
55395.84215 20.09528 0.0806
55396.79527 20.16496 0.12565
55396.83932 19.96746 0.07457
55397.79163 20.0506 0.1225
55397.83526 20.1533 0.09668
55398.83124 20.51848 0.12914
55399.83261 20.16244 0.11715
55400.8289 20.56157 0.12626
55404.84266 19.89363 0.11232
55411.75477 20.317 0.14624
55411.79896 20.14647 0.10314
55412.79539 20.26184 0.12356
