#mjd mag magerr
55061.95573 18.9048 0.07057
55063.9639 18.93452 0.07678
55069.90324 19.30661 0.04316
55069.94786 19.29979 0.04537
55080.87449 19.5344 0.13097
55080.95988 19.57923 0.18864
55084.86328 19.24161 0.06203
55087.85609 19.23435 0.04698
55087.90101 19.23217 0.04635
55088.96983 19.20817 0.05143
55089.01521 19.23354 0.05405
55089.94574 19.25168 0.05767
55089.99042 19.24747 0.0514
55093.83741 19.20875 0.038
55093.88196 19.24087 0.04087
55096.8292 19.19024 0.04884
55097.00858 19.07736 0.05146
55104.99862 19.21136 0.05614
55107.79764 19.2724 0.0888
55114.88125 19.17055 0.05258
55114.92522 19.37312 0.11509
55119.89538 19.20458 0.05039
55119.95365 19.2604 0.05114
55123.75696 19.16311 0.04224
55123.81523 19.2368 0.04332
55126.97957 19.24324 0.05842
55127.83329 19.24214 0.05118
55127.87706 19.1125 0.05099
55135.82555 19.22269 0.1213
55135.86926 19.38138 0.08927
55138.71472 19.50001 0.10661
55138.75871 19.39124 0.12551
55142.7036 19.17757 0.05712
55142.75219 19.21002 0.06549
55144.77886 19.11776 0.04951
55144.82305 19.1484 0.06382
55151.72943 19.20154 0.05486
55151.77257 19.1711 0.04512
55166.70473 19.41298 0.09689
55166.74897 19.28098 0.10105
55168.63378 19.19671 0.08193
55168.6775 19.37744 0.0858
55175.61224 19.27241 0.04648
55175.65684 19.17078 0.03969
55181.59421 19.26293 0.06829
55181.63825 19.29169 0.05559
55183.59204 19.33549 0.06991
55183.64253 19.25952 0.05319
55189.58054 19.31309 0.06672
55189.62557 19.28714 0.06363
55194.59026 19.46397 0.10302
55199.58559 19.30954 0.04967
55201.58642 19.35261 0.16678
55202.58667 19.20198 0.05865
55203.71441 19.2758 0.06094
55203.75743 19.11613 0.06287
55207.63092 19.24482 0.04853
55207.67514 19.19976 0.04239
55209.5968 19.22715 0.04017
55209.64149 19.19394 0.03945
55213.63312 19.19124 0.05691
55213.6798 19.35569 0.06379
55377.85123 18.7309 0.1083
55377.89535 19.02882 0.08416
55378.90615 18.58086 0.10504
55379.8591 19.07133 0.06632
55379.92482 19.04831 0.0565
55380.87684 19.07056 0.06976
55380.92078 19.09187 0.06062
55381.89606 19.02388 0.05411
55381.93934 19.02344 0.04602
55384.82671 19.14215 0.04423
55384.87028 19.01693 0.04134
55385.87021 18.99013 0.03642
55385.91339 18.97542 0.03589
55386.86524 19.01136 0.04411
55386.90867 19.08716 0.04412
55387.87002 18.90572 0.04815
55387.91342 18.9603 0.03385
55388.86609 18.70028 0.07463
55388.91005 18.90454 0.04195
55390.80957 18.96516 0.079
55390.85393 18.83838 0.07511
55391.80613 18.83215 0.06704
55391.87538 18.71293 0.05091
55392.83258 18.931 0.07618
55392.87538 18.77484 0.05383
55394.79908 19.07822 0.05537
55394.8431 18.99243 0.04144
55395.79551 18.9266 0.07631
55395.84215 18.90454 0.05383
55396.79527 19.02487 0.07822
55396.83932 18.99882 0.04235
55397.79163 18.93395 0.08312
55397.83526 18.91643 0.04515
55398.78764 18.71762 0.0759
55398.83124 18.83727 0.06554
55399.78802 19.06622 0.08066
55399.83261 19.07896 0.07211
55400.78534 18.99078 0.07974
55400.8289 19.03178 0.07234
55401.78133 19.09596 0.09831
55401.82518 18.86217 0.09069
55402.77979 18.88301 0.14445
55402.8246 18.93957 0.11619
55403.77642 19.25616 0.14872
55403.81973 18.81665 0.09953
55404.77424 18.99782 0.09537
55404.84266 18.80802 0.07565
55405.8416 18.89092 0.10499
55407.7691 18.95168 0.09714
55407.83003 18.94279 0.11029
55411.79896 19.04126 0.06291
55412.75232 18.87807 0.08643
55412.79539 19.03488 0.06459
55413.75577 18.93814 0.09213
55413.79945 18.90659 0.0631
55414.75161 18.88862 0.09629
55414.79555 18.89027 0.05272
55415.75266 19.24895 0.09384
55415.79727 19.05417 0.07931
55416.75096 19.07833 0.09803
55416.79342 18.75037 0.06828
55417.75979 18.94672 0.08501
55417.84511 18.80465 0.06332
55418.79843 18.80835 0.06556
55418.84121 18.85076 0.05519
55419.75121 18.99134 0.10125
55419.79504 18.96345 0.06819
55420.78929 18.81995 0.10774
55420.83264 18.89237 0.08327
55421.73664 18.83256 0.06431
55421.79901 18.76011 0.04569
55422.75115 18.80078 0.05981
55422.79487 18.76615 0.05002
55423.74742 18.86373 0.04834
55423.79284 18.72387 0.04692
55424.75349 18.76908 0.06589
55424.80178 18.75035 0.04136
