#mjd mag magerr
55061.92501 19.47583 0.04064
55061.95573 19.44575 0.03922
55063.91987 19.59354 0.04183
55063.9639 19.44151 0.03905
55064.92128 19.57646 0.04599
55064.9656 19.51896 0.04946
55066.91014 19.49486 0.04313
55066.95474 19.5505 0.04307
55067.91649 19.63477 0.07306
55067.96099 19.86073 0.07553
55069.90324 19.57932 0.04682
55069.94786 19.54203 0.04705
55080.87449 19.60647 0.10485
55080.95988 19.58198 0.12722
55084.86328 19.37239 0.06828
55087.85609 19.57324 0.0489
55087.90101 19.54319 0.04378
55088.96983 19.65691 0.04958
55089.01521 19.5227 0.04451
55089.94574 19.56676 0.04769
55089.99042 19.48182 0.04516
55093.83741 19.52949 0.04398
55093.88196 19.51676 0.0435
55096.8292 19.45072 0.04844
55097.00858 19.54418 0.05469
55104.99862 19.66599 0.06831
55107.79764 19.69992 0.10963
55114.88125 19.46699 0.06137
55114.92522 19.79704 0.14365
55119.89538 19.65513 0.0622
55119.95365 19.5465 0.05931
55123.75696 19.46225 0.05749
55123.81523 19.49386 0.04819
55126.97957 19.49582 0.0621
55127.83329 19.7042 0.05752
55127.87706 19.62261 0.06148
55135.82555 19.49352 0.10109
55135.86926 19.89444 0.12735
55138.71472 19.9865 0.13932
55142.7036 19.54244 0.05834
55142.75219 19.64107 0.0648
55144.77886 19.5092 0.05484
55144.82305 19.63072 0.06536
55151.72943 19.69862 0.06681
55151.77257 19.65082 0.05964
55166.70473 19.45281 0.09104
55168.63378 19.47924 0.08627
55168.6775 19.48018 0.08119
55175.61224 19.52628 0.0494
55175.65684 19.53281 0.05163
55181.59421 19.59703 0.0989
55181.63825 19.50714 0.06766
55183.59204 19.82397 0.14384
55183.64253 19.52758 0.06072
55189.58054 19.52989 0.06664
55189.62557 19.58521 0.06342
55194.59026 19.4125 0.09925
55199.58559 19.4073 0.05231
55201.58642 19.77012 0.13572
55380.87684 19.71575 0.09744
55380.92078 19.57607 0.07944
55381.89606 19.46033 0.06337
55381.93934 19.54534 0.05953
55386.86524 19.51265 0.05228
55386.90867 19.47899 0.05165
55391.80613 19.69227 0.08331
55391.87538 19.58327 0.0532
55396.79527 19.51634 0.08412
55396.83932 19.36864 0.05052
55401.78133 19.6403 0.18809
55401.82518 19.45481 0.10001
55407.83003 19.68149 0.0947
55413.75577 19.78136 0.11324
55413.79945 19.54481 0.08809
55416.75096 19.50948 0.10054
55416.79342 19.59019 0.10653
55419.75121 19.54612 0.0959
55419.79504 19.6421 0.07686
55422.75115 19.44283 0.0572
55422.79487 19.50189 0.05104
55426.80123 19.43875 0.06714
55426.8444 19.42537 0.05043
55429.8142 19.5048 0.06588
55429.85716 19.4464 0.05834
55432.73907 19.68066 0.12383
55432.78359 19.47401 0.10061
55435.69148 19.50515 0.10106
55438.88857 19.51367 0.08374
55438.89169 19.40541 0.07825
55438.89485 19.62222 0.07774
55438.89798 19.49261 0.07547
55438.90086 19.48009 0.07235
55438.90371 19.63055 0.07678
55438.9065 19.41968 0.06747
55438.90927 19.43235 0.06439
55438.91204 19.48612 0.0889
55438.91487 19.65459 0.07976
55438.91763 19.64287 0.07797
55438.92084 19.42522 0.08331
55438.92394 19.77377 0.09242
55438.92672 19.52407 0.08355
55438.92954 19.51519 0.09022
55438.93259 19.49459 0.08225
55438.93551 19.67056 0.09184
55438.93833 19.6824 0.09201
55438.94106 19.61156 0.08116
55438.94411 19.5081 0.07659
55438.94678 19.43241 0.08147
55438.95017 19.58524 0.08239
55438.95913 19.49117 0.07455
55438.96141 19.57249 0.07922
55441.87301 19.39952 0.04285
55441.87592 19.34743 0.04458
55441.88645 19.50339 0.04744
55441.88962 19.3558 0.04507
55441.89254 19.40657 0.04461
55441.89542 19.47917 0.0477
55441.89828 19.39021 0.04388
55441.90107 19.56294 0.04887
55441.9037 19.43374 0.04656
55441.90634 19.42119 0.04477
55441.90906 19.47349 0.0446
55441.9118 19.45693 0.04522
55441.91445 19.40045 0.04554
55441.91722 19.53166 0.0505
55441.91981 19.49107 0.05426
55441.92242 19.45355 0.04885
55441.92546 19.49005 0.04419
55441.9281 19.44663 0.04806
55441.93183 19.41723 0.04564
55441.93458 19.45972 0.04678
55441.93727 19.48309 0.04735
55441.94048 19.47366 0.04675
55441.94326 19.39928 0.04484
55441.94546 19.49685 0.04869
55441.94852 19.51333 0.04597
55441.95194 19.37421 0.04177
55441.95469 19.35838 0.04345
55441.95786 19.40719 0.04446
55441.96081 19.51762 0.04736
55441.96392 19.46361 0.04818
55441.96715 19.41249 0.04341
55441.97012 19.45228 0.04388
55441.97294 19.44469 0.04791
55441.97532 19.48557 0.04474
55441.97757 19.41647 0.04624
55441.9798 19.41842 0.0444
55441.9835 19.47618 0.04338
55441.9863 19.46439 0.04831
55441.98852 19.4364 0.04919
55441.99078 19.51736 0.04868
55441.99382 19.49502 0.04901
55442.00593 19.4685 0.05107
55442.00906 19.57266 0.05973
55442.01216 19.53407 0.05474
55442.01486 19.42366 0.06224
55442.01753 19.61185 0.07784
55442.02001 19.64975 0.09097
55442.02226 19.38107 0.12184
55444.66648 19.84968 0.09255
55444.67221 19.77224 0.08749
55444.67727 19.46652 0.06459
55444.68857 19.43109 0.06053
55444.69526 19.47327 0.05741
55444.70198 19.43196 0.06605
55444.7091 19.37138 0.05476
55444.71487 19.5222 0.06152
55444.72103 19.47381 0.05313
55444.72796 19.43271 0.05411
55444.73377 19.418 0.04934
55444.74094 19.40506 0.05093
55444.74655 19.43765 0.04894
55444.75167 19.38733 0.04698
55444.75678 19.45478 0.04764
55444.76225 19.46029 0.04527
55444.7673 19.39085 0.04361
55444.77353 19.53063 0.04885
55444.77876 19.42147 0.04542
55444.78368 19.27961 0.04598
55444.79848 19.4631 0.04568
55444.80403 19.45824 0.04786
55444.81599 19.4513 0.04696
55444.8213 19.42097 0.04087
55444.83332 19.43637 0.0427
55444.83854 19.4476 0.04801
55444.84549 19.4624 0.04475
55444.85161 19.53895 0.04686
55444.85679 19.53076 0.04295
55444.86267 19.54395 0.05992
55444.86777 19.43453 0.054
55444.87321 19.47569 0.04776
55444.87872 19.46833 0.04744
55444.88467 19.53352 0.05056
55444.89016 19.5159 0.04964
55444.89581 19.4708 0.0534
55444.90153 19.4835 0.04443
55444.90845 19.49414 0.04725
55444.91349 19.51031 0.04419
55444.92279 19.46355 0.04589
55444.93139 19.45875 0.0439
55444.94041 19.46524 0.0437
55444.94568 19.5263 0.04565
55444.951 19.51091 0.04873
55444.95724 19.4472 0.04745
55444.96289 19.35372 0.04609
55444.96923 19.40084 0.04111
55444.97411 19.4908 0.04722
55444.98062 19.5015 0.04725
55444.98915 19.46828 0.04914
55444.99553 19.44606 0.04533
55445.00157 19.4957 0.04636
55445.00779 19.48742 0.04733
55445.01282 19.46764 0.05983
55445.01777 19.53129 0.06423
55445.02227 19.50764 0.08386
55448.65527 19.35738 0.08824
55448.70146 19.479 0.06757
55451.65338 19.56071 0.07004
55451.70095 19.50511 0.05806
55454.64058 19.43445 0.07634
55454.68793 19.49459 0.07154
55457.63067 19.46798 0.08507
55457.6732 19.52648 0.07017
55460.63624 19.35746 0.09005
55460.72453 19.51106 0.07822
55463.63005 19.7095 0.18443
55463.71104 19.66307 0.11336
55466.61784 19.41821 0.07741
55466.61959 19.32259 0.06967
55466.62134 19.61798 0.06895
55466.6231 19.35408 0.06445
55466.62486 19.54156 0.07332
55466.62661 19.42169 0.0713
55466.62943 19.57805 0.06654
55466.63143 19.47417 0.06953
55466.63348 19.45974 0.06615
55466.67604 19.4054 0.08495
55471.77466 19.41957 0.04508
55471.82993 19.35479 0.07028
55477.66775 19.32123 0.04846
55477.71276 19.42945 0.04757
55480.61506 19.40298 0.06366
55480.65805 19.29028 0.04966
55484.66377 19.42071 0.05398
55484.70695 19.36692 0.052
55485.61939 19.3351 0.0675
55485.66329 19.3701 0.05835
55497.84041 19.54085 0.09227
55497.89223 19.41495 0.08512
55514.69377 19.36372 0.05824
55514.73749 19.48728 0.06676
55516.67238 19.46542 0.0799
55516.71654 19.52551 0.07501
55517.61497 19.25101 0.06753
55517.6584 19.42765 0.06865
55518.61481 19.48799 0.0842
55518.6578 19.73173 0.09765
55527.74242 19.35225 0.07365
55532.78408 19.3018 0.04451
55532.82836 19.46602 0.06011
55537.58157 19.22916 0.08152
55537.62557 19.24009 0.05228
55538.57995 19.38339 0.05073
55538.62381 19.33643 0.04683
56469.87982 19.21057 0.06943
56469.91685 19.28382 0.06503
56471.87375 19.34437 0.08351
56471.91001 19.28271 0.06191
56473.86804 19.4461 0.10925
56473.90477 19.30319 0.08756
56475.86334 19.30201 0.09279
56475.9008 19.26519 0.07178
56476.86102 19.36118 0.08294
56476.89765 19.19714 0.08972
56477.85777 19.33557 0.09445
56485.83631 19.21994 0.05136
56486.83403 19.19926 0.04993
56486.87106 19.20696 0.04384
56488.83006 19.21174 0.05242
56488.86647 19.19814 0.04212
56489.82698 19.24492 0.05622
56489.86366 19.19389 0.0456
56491.8581 19.31354 0.09608
56498.802 18.95278 0.08186
56498.83888 19.15699 0.08337
56502.79167 19.29555 0.05518
56502.82864 19.12228 0.05352
56503.78903 19.07819 0.04359
56503.82769 19.15122 0.049
56504.82017 19.30865 0.05576
56504.86992 19.23343 0.0466
56504.90811 19.17074 0.04341
56505.81768 19.17912 0.05283
56505.9509 19.06313 0.04238
56505.98842 19.25169 0.05645
56506.89349 19.17992 0.04718
56507.80198 19.17035 0.04349
56507.84712 19.14071 0.04093
56507.99891 19.16533 0.04418
56508.90167 19.1882 0.0356
56509.79634 19.25351 0.04223
56509.83877 19.19594 0.04051
56510.8262 19.14059 0.03434
56511.79111 19.14314 0.04144
56511.84089 19.12941 0.03869
56512.78788 19.21841 0.04503
56512.82519 19.16616 0.04516
56513.78624 19.10973 0.03962
56513.82352 19.14463 0.03733
56514.7834 19.17719 0.04519
56514.82081 19.16218 0.04076
56515.78106 19.09469 0.04304
56515.82231 19.16155 0.03863
56516.77774 19.11609 0.04103
56516.81437 19.11853 0.03552
56517.77605 19.17154 0.0459
56517.81715 19.20011 0.03605
56517.97309 19.19468 0.03647
56518.87478 19.12333 0.03481
56518.96686 19.16044 0.03572
56519.00311 19.16957 0.03765
56519.90443 19.14454 0.03289
56519.96504 19.15888 0.03134
56520.00171 19.20501 0.03636
56520.90327 19.15851 0.03481
56520.95521 19.10458 0.03437
56520.99262 19.11128 0.03508
56537.84525 19.08503 0.03299
56537.9874 19.08647 0.03239
56551.66063 19.28937 0.09204
56551.72202 19.18623 0.07991
56551.75862 19.15684 0.05767
56565.92832 19.12701 0.04141
56565.98151 19.16869 0.04465
56566.01544 19.15959 0.04926
56579.73584 19.15185 0.0597
56579.85963 19.22031 0.05361
56579.88516 19.16578 0.0565
56596.59731 19.23167 0.05525
56596.81771 19.16906 0.06188
56596.84238 19.20541 0.05033
56625.70494 19.2349 0.04213
56625.74386 19.2267 0.04209
56639.58002 19.15462 0.07372
56639.60438 19.33623 0.07251
56697.60505 19.22814 0.06201
56699.60928 19.27261 0.08916
56816.96412 19.21961 0.0502
56816.97531 19.35373 0.07213
56818.96227 19.25736 0.04106
56818.97512 19.27795 0.06768
56819.96647 19.15922 0.12162
56819.97765 19.21758 0.08549
56820.96625 19.29774 0.08517
56820.97769 19.46227 0.10669
56821.96237 19.50081 0.09297
56821.9727 19.14379 0.10539
56822.96143 19.30098 0.07566
56822.97681 19.15272 0.09295
56823.96094 19.44901 0.10011
56823.97346 19.20331 0.07912
56824.96428 19.23277 0.06667
56824.97573 19.21791 0.0723
56826.96127 19.47779 0.07024
56826.97472 19.14929 0.08751
56827.96384 19.11556 0.05146
56827.97622 19.20181 0.07541
56828.9654 19.19315 0.05365
56828.97804 19.29221 0.07183
56829.96383 19.28489 0.04639
56829.97653 19.18149 0.05146
56830.96102 19.21533 0.04659
56830.97338 19.22943 0.05223
56831.96161 19.13425 0.0381
56831.97427 19.20587 0.04876
56832.9648 19.11171 0.03959
56832.97563 19.19909 0.04653
56833.96568 19.29614 0.04127
56833.97644 19.20172 0.05685
56834.96484 19.15706 0.03899
56834.9776 19.26522 0.06159
56835.96569 19.12811 0.04413
56835.97723 19.2608 0.06152
56836.96625 19.22592 0.03972
56836.97711 19.25609 0.05438
56837.96638 19.20477 0.03777
56837.98211 19.25346 0.06887
56838.96389 19.12704 0.0331
56838.9786 19.15093 0.05182
56840.96951 19.1656 0.04264
56840.98137 19.31823 0.06022
56844.96636 19.1871 0.04149
56844.97887 19.2267 0.0454
56847.96648 19.20353 0.03746
56847.98151 19.27154 0.04253
56851.97048 19.24066 0.06435
56851.98675 19.3119 0.07302
56856.96087 19.40351 0.08005
56856.98328 19.2335 0.05824
56859.96515 19.20978 0.03547
56859.98697 19.17415 0.04644
56863.94981 19.11418 0.03347
56867.98799 19.16344 0.03723
56868.96536 19.13116 0.03536
56868.98567 19.17538 0.03732
56874.97428 19.15803 0.03211
56874.99622 19.17681 0.03772
56875.98151 19.09453 0.03686
56875.99752 19.14458 0.04164
56878.9086 19.21548 0.0552
56878.93847 19.27003 0.06265
56879.92838 19.29564 0.06527
56879.95816 19.20805 0.06513
56882.96877 19.16442 0.07721
56882.98848 19.26409 0.08485
56884.99956 19.17156 0.05468
56890.94091 19.18447 0.03529
56890.97479 19.15678 0.03468
56972.71463 19.20086 0.05023
56972.73749 19.30731 0.05165
56979.72374 19.39996 0.08291
56980.71766 19.31825 0.05515
56980.83416 19.26732 0.05123
56981.71538 19.18508 0.04321
56981.77818 19.22038 0.04526
56984.71333 19.47286 0.08265
56984.78092 19.44081 0.07856
56986.72544 19.25303 0.05105
56986.79095 19.34253 0.08244
56987.70535 19.18295 0.05259
56987.76948 19.24781 0.05334
56988.66321 19.3082 0.05087
56989.60286 19.24723 0.05073
56989.66828 19.35354 0.05885
56990.59847 19.17972 0.05219
56990.66232 19.23717 0.04904
56991.66882 19.18148 0.13906
57000.62591 19.23294 0.04657
57000.65668 19.42249 0.06556
57011.62365 19.24855 0.04831
57011.65019 19.21339 0.04923
57018.60146 19.40971 0.05664
57018.62586 19.22949 0.04925
57030.59868 19.23736 0.05034
57040.60372 19.2905 0.05231
57040.65327 19.44781 0.07148
57059.60766 19.33355 0.05153
57059.61723 19.27229 0.04985
57064.61072 19.33138 0.05445
57064.62756 19.36821 0.06384
57069.61019 19.29786 0.05968
57069.6409 19.36015 0.06314
57089.61859 19.66539 0.09726
57089.62798 19.4632 0.10105
57179.97424 19.38669 0.108
57180.95646 19.67477 0.08048
57185.96692 19.34788 0.08048
57187.96362 19.27007 0.05052
57188.93765 19.37193 0.05322
57188.96808 19.35483 0.05856
57189.95594 19.44544 0.05163
57190.94422 19.51363 0.05775
57190.9766 19.35367 0.13229
57191.9217 19.41892 0.06244
57191.95614 19.3424 0.0536
57192.94672 19.35171 0.07042
57192.97846 19.52539 0.13503
57193.93573 19.31508 0.06419
57193.96862 19.29792 0.0768
57194.94374 19.43302 0.05424
57194.97431 19.35206 0.07147
57195.94595 19.51331 0.06193
57195.97546 19.36587 0.08554
57196.92539 19.35355 0.0687
57196.97637 19.33843 0.09999
57197.91796 19.38554 0.05276
57197.96971 19.32833 0.06061
57198.93165 19.36273 0.05344
57198.96479 19.4548 0.05753
57199.9472 19.43032 0.05678
57199.9815 19.33271 0.12156
57207.95261 19.37366 0.08118
57207.98422 19.52886 0.08212
57208.90735 19.63657 0.11583
57208.94607 19.38915 0.07325
57209.93937 19.44776 0.07942
57209.97959 19.28469 0.06681
57210.9363 19.34455 0.06133
57210.97519 19.28398 0.07043
57211.94997 19.31675 0.05886
57211.98409 19.40545 0.08371
57212.9376 19.33702 0.09528
57212.97329 19.50991 0.1017
57214.96163 19.4422 0.05052
57216.93262 19.31672 0.04746
57216.97994 19.40195 0.05346
57218.92712 19.41385 0.04717
57218.977 19.42982 0.05347
57219.94247 19.46622 0.04304
57219.97077 19.39669 0.04286
57220.92305 19.4063 0.04275
57220.98129 19.34273 0.04661
57225.95176 19.34754 0.03978
57226.95332 19.32482 0.03675
57227.93417 19.34047 0.04243
57227.97035 19.29071 0.04057
57231.91879 19.4674 0.0517
57231.96902 19.40205 0.04456
57232.8829 19.22167 0.06972
57237.93379 19.47627 0.07915
57237.98326 19.55282 0.08163
