#mjd mag magerr
55061.92501 19.60581 0.05601
55061.95573 19.69276 0.05803
55063.91987 19.56608 0.05084
55063.9639 19.49949 0.05238
55064.92128 19.67586 0.05894
55064.9656 19.72841 0.06495
55066.91014 19.66233 0.06018
55066.95474 19.562 0.05503
55067.91649 19.85745 0.08707
55067.96099 19.5862 0.07289
55069.90324 19.53757 0.05255
55069.94786 19.5639 0.05624
55080.87449 19.86339 0.15231
55080.95988 19.51392 0.14173
55084.86328 19.59838 0.0878
55087.85609 19.57758 0.0604
55087.90101 19.5965 0.05934
55088.96983 19.53926 0.05583
55089.01521 19.45614 0.05495
55089.94574 19.53296 0.05846
55089.99042 19.42242 0.05815
55093.83741 19.56819 0.05684
55093.88196 19.65486 0.05724
55096.8292 19.61536 0.05785
55097.00858 19.69655 0.07389
55104.99862 19.80083 0.0884
55107.79764 19.73734 0.10361
55114.88125 19.71759 0.07293
55114.92522 19.99208 0.14481
55119.89538 19.70592 0.07079
55119.95365 19.68259 0.07083
55123.75696 19.66068 0.06002
55123.81523 19.60275 0.06301
55126.97957 19.46039 0.0788
55127.83329 19.52081 0.06351
55127.87706 19.52569 0.06779
55135.82555 19.96752 0.13
55135.86926 19.73808 0.12264
55138.75871 20.05852 0.17816
55142.7036 19.70295 0.07246
55142.75219 19.55892 0.07509
55144.77886 19.66483 0.06821
55144.82305 19.82528 0.07869
55151.72943 19.71558 0.0771
55151.77257 19.59746 0.06429
55166.70473 19.55263 0.13497
55166.74897 19.55151 0.15866
55168.63378 19.87608 0.12679
55168.6775 19.79305 0.13779
55175.61224 19.50329 0.05659
55175.65684 19.55267 0.05599
55181.59421 19.50685 0.08865
55181.63825 19.45397 0.07593
55183.59204 19.4028 0.09782
55183.64253 19.40528 0.06595
55189.58054 19.78911 0.09112
55189.62557 19.59676 0.07632
55194.59026 19.9271 0.14299
55199.58559 19.59164 0.0623
55201.58642 19.50454 0.16601
55202.58667 19.49888 0.07186
55203.71441 19.57965 0.07268
55203.75743 19.63059 0.07744
55207.63092 19.43491 0.06182
55207.67514 19.4226 0.05745
55209.5968 19.4952 0.05679
55209.64149 19.59403 0.05834
55213.63312 19.56638 0.07555
55213.6798 19.4896 0.10488
55377.85123 19.64379 0.12228
55377.89535 19.86398 0.11518
55378.90615 19.70728 0.16492
55379.8591 19.78223 0.10657
55379.92482 19.46585 0.07708
55380.87684 19.5039 0.10569
55380.92078 19.73737 0.10686
55381.89606 19.39595 0.08398
55381.93934 19.46543 0.0695
55384.82671 19.55359 0.06499
55384.87028 19.48758 0.0616
55385.87021 19.44816 0.05371
55385.91339 19.36617 0.05581
55386.86524 19.52911 0.06148
55386.90867 19.54124 0.06039
55387.87002 19.53593 0.06163
55387.91342 19.43645 0.05086
55388.86609 19.74914 0.08081
55388.91005 19.46395 0.05715
55390.80957 19.76043 0.08828
55390.85393 19.55368 0.0738
55391.80613 19.70822 0.11447
55391.87538 19.56232 0.06731
55392.83258 19.49982 0.07569
55392.87538 19.36792 0.05588
55394.79908 19.64563 0.0882
55394.8431 19.45636 0.06492
55395.79551 19.42986 0.08867
55395.84215 19.51365 0.06821
55396.79527 19.62402 0.14276
55396.83932 19.47083 0.06111
55397.79163 19.54199 0.11689
55397.83526 19.54444 0.06819
55398.78764 19.71254 0.14127
55398.83124 19.58196 0.09127
55399.78802 19.83156 0.12838
55399.83261 19.22638 0.0988
55400.78534 19.4061 0.1143
55400.8289 19.56795 0.12275
55401.82518 19.50167 0.11915
55402.8246 19.70822 0.15795
55403.81973 19.29571 0.15587
55404.77424 19.78521 0.15808
55404.84266 19.45103 0.12387
55405.8416 19.83227 0.12258
55407.83003 19.73919 0.13092
55411.79896 19.47785 0.08304
55412.75232 19.74656 0.13058
55412.79539 19.53767 0.09919
55413.75577 19.92378 0.15514
55413.79945 19.64286 0.11905
55414.75161 19.38332 0.13486
55414.79555 19.73537 0.0947
55415.75266 19.46383 0.11587
55415.79727 19.6356 0.15194
55416.75096 19.38723 0.10906
55416.79342 19.739 0.12011
55417.75979 19.29978 0.10914
55417.84511 19.31744 0.10945
55418.79843 19.65867 0.10947
55418.84121 19.69059 0.09684
55419.75121 19.73952 0.16732
55419.79504 19.5511 0.09861
55420.83264 19.70725 0.09774
55421.73664 19.6458 0.07984
55421.79901 19.46437 0.05632
55422.75115 19.60124 0.07169
55422.79487 19.58257 0.06787
55423.74742 19.60634 0.09396
55423.79284 19.52348 0.05893
55424.75349 19.59526 0.08158
55424.80178 19.51416 0.06319
55425.76166 19.4998 0.0824
55425.80573 19.54313 0.05562
55426.80123 19.55034 0.08223
55426.8444 19.50381 0.05841
55427.79708 19.66365 0.08087
55427.8408 19.66744 0.06949
55428.79281 19.49416 0.07277
55428.83703 19.57137 0.07427
55429.8142 19.51838 0.07746
55429.85716 19.61684 0.07661
55430.75769 19.34762 0.10846
55431.75639 19.66133 0.11189
55431.80024 19.44902 0.10535
55432.73907 19.95163 0.12416
55432.78359 19.74067 0.12567
55433.7493 19.6581 0.15277
55434.73769 19.57681 0.12615
55436.88575 19.4167 0.10466
55436.88891 19.64776 0.10668
55436.8919 19.43987 0.09489
55436.89501 19.72576 0.10246
55436.89797 19.58169 0.13966
55436.90109 19.93443 0.12556
55436.9042 19.62936 0.09858
55436.90728 19.72478 0.10857
55436.91041 19.52854 0.11948
55436.91351 19.89566 0.12965
55436.91641 19.77424 0.11237
55436.91931 19.64705 0.10677
55436.92221 19.96632 0.11676
55436.92514 19.75722 0.11735
55436.92806 19.56705 0.12107
55436.93096 19.72397 0.10626
55436.93413 19.66935 0.12166
55436.93703 19.74069 0.15924
55436.93974 19.72867 0.10706
55436.94297 19.84532 0.12757
55436.94613 19.90787 0.11006
55436.94915 19.73048 0.11316
55436.95231 19.79331 0.11497
55436.9553 19.89162 0.11198
55436.95826 19.91274 0.12236
55436.96116 19.84218 0.13115
55436.96403 19.65861 0.10428
55436.96671 19.37233 0.1059
55438.88857 19.84679 0.10377
55438.89169 19.75563 0.10368
55438.89485 19.55038 0.08759
55438.89798 19.60886 0.08787
55438.90086 19.61122 0.09966
55438.90371 19.59972 0.08877
55438.9065 19.88819 0.10206
55438.90927 19.67919 0.1002
55438.91204 19.54348 0.09978
55438.91487 19.74381 0.09568
55438.91763 19.77509 0.09906
55438.92084 19.63681 0.11696
55438.92394 19.5349 0.12745
55438.92672 19.8656 0.12994
55438.92954 19.53397 0.10527
55438.93259 19.90429 0.11717
55438.93551 19.75843 0.10878
55438.93833 19.6322 0.09937
55438.94106 19.54232 0.10895
55438.94411 19.59544 0.09868
55438.94678 19.95362 0.10937
55438.95017 19.56785 0.09117
55438.95913 19.37148 0.11447
55438.96141 19.60587 0.11295
55440.87507 19.57107 0.07347
55440.87823 19.58229 0.07247
55440.88428 19.62846 0.06738
55440.88675 19.49835 0.06267
55440.8894 19.573 0.06397
55440.89205 19.56214 0.06337
55440.89518 19.56252 0.07377
55440.89832 19.55985 0.06716
55440.90145 19.56122 0.06875
55440.90439 19.61996 0.06607
55440.90729 19.51048 0.06689
55440.91025 19.46971 0.06311
55440.91316 19.5999 0.06778
55440.91591 19.6015 0.06459
55440.9187 19.77298 0.07705
55440.92149 19.60351 0.06605
55440.92426 19.61493 0.06358
55440.93095 19.69469 0.07346
55440.93364 19.77556 0.07316
55440.93623 19.55614 0.06666
55440.9395 19.61469 0.07497
55440.94264 19.60504 0.06847
55440.94582 19.57714 0.06769
55440.94883 19.61917 0.07096
55440.95182 19.74886 0.07256
55440.95489 19.55363 0.07107
55440.95791 19.55165 0.06838
55441.87301 19.40141 0.06
55441.87592 19.55459 0.05832
55441.88645 19.64827 0.06451
55441.88962 19.56126 0.05931
55441.89254 19.55808 0.05544
55441.89542 19.54604 0.05982
55441.89828 19.56202 0.05951
55441.90107 19.5328 0.0627
55441.9037 19.63052 0.0631
55441.90634 19.61455 0.06156
55441.90906 19.62159 0.0624
55441.9118 19.47519 0.05352
55441.91445 19.53864 0.05889
55441.91722 19.51071 0.05549
55441.91981 19.6203 0.07148
55441.92242 19.55637 0.061
55441.92546 19.62271 0.0607
55441.9281 19.56572 0.06061
55441.93183 19.57611 0.0597
55441.93458 19.49608 0.05682
55441.93727 19.53776 0.0601
55441.94048 19.52418 0.05444
55441.94326 19.56812 0.05603
55441.94546 19.56601 0.06121
55441.94852 19.39165 0.05282
55441.95194 19.59917 0.05803
55441.95469 19.5576 0.05472
55441.95786 19.54523 0.0555
55441.96081 19.60321 0.06509
55441.96392 19.5264 0.05721
55441.96715 19.5861 0.05644
55441.97012 19.53883 0.06019
55441.97294 19.54554 0.05939
55441.97532 19.54138 0.05721
55441.97757 19.43727 0.06309
55441.9798 19.53065 0.05963
55441.9835 19.44929 0.05858
55441.9863 19.46679 0.06143
55441.98852 19.48861 0.05882
55441.99078 19.60252 0.06379
55441.99382 19.58037 0.07281
55442.00593 19.63536 0.06951
55442.00906 19.50672 0.07817
55442.01216 19.51014 0.06672
55442.01486 19.73894 0.07659
55442.01753 19.72658 0.1012
55442.02001 19.58133 0.0918
55442.02226 19.73583 0.1276
55442.70382 19.56723 0.07429
55442.70734 19.53342 0.08078
55442.71097 19.62921 0.06669
55442.71448 19.53638 0.08106
55442.71808 19.56071 0.06777
55442.72168 19.57045 0.06757
55442.72527 19.58698 0.0616
55442.73272 19.62573 0.06538
55442.74184 19.69447 0.06629
55442.74882 19.57917 0.06041
55442.75572 19.57166 0.05788
55442.76147 19.57371 0.06029
55442.76615 19.69199 0.05871
55442.77616 19.62218 0.06938
55442.78135 19.60252 0.05957
55442.78615 19.60006 0.06066
55442.79145 19.60625 0.05551
55442.79615 19.54487 0.057
55442.80186 19.56163 0.06088
55442.8093 19.65359 0.05472
55442.81443 19.61045 0.06149
55442.81939 19.4993 0.05339
55442.82447 19.6633 0.05369
55442.8293 19.60752 0.05739
55442.83541 19.53778 0.0508
55442.84012 19.39664 0.05589
55442.84597 19.53383 0.05681
55442.85112 19.58537 0.05799
55442.85657 19.64034 0.05669
55442.86387 19.48442 0.07048
55442.87002 19.5549 0.05788
55442.87503 19.53535 0.05663
55442.88048 19.56005 0.05668
55442.88617 19.49426 0.05729
55442.89221 19.5754 0.05802
55442.89785 19.55638 0.05491
55442.90297 19.48848 0.05526
55442.90871 19.49164 0.05621
55442.91368 19.52273 0.05529
55442.91875 19.59633 0.05778
55442.92384 19.53886 0.05919
55442.93037 19.57741 0.0622
55442.93642 19.55483 0.05491
55442.94588 19.62637 0.07478
55442.95166 19.61566 0.05935
55442.95754 19.56282 0.0587
55442.96246 19.57776 0.0598
55442.96833 19.63541 0.06479
55442.97317 19.56211 0.05709
55442.97782 19.52436 0.05399
55442.98206 19.45476 0.05342
55442.9872 19.58609 0.05849
55442.99348 19.70504 0.06537
55442.99858 19.52504 0.05503
55443.00329 19.60349 0.0593
55443.01002 19.58154 0.06082
55443.01702 19.57363 0.0804
55443.02387 19.37677 0.13321
55443.67742 19.63348 0.0848
55443.68488 19.74956 0.09429
55443.69287 19.54575 0.07731
55443.70415 19.38799 0.076
55443.71028 19.4541 0.06789
55443.71632 19.61269 0.07456
55443.72231 19.64709 0.07516
55443.72832 19.64248 0.07449
55443.736 19.51544 0.06688
55443.74306 19.74639 0.07046
55443.74812 19.62331 0.06118
55443.75372 19.4897 0.06009
55443.75946 19.67825 0.06706
55443.76526 19.68859 0.06838
55443.77007 19.68709 0.07056
55443.78027 19.47961 0.07448
55443.78539 19.69991 0.06117
55443.79156 19.51684 0.05968
55443.79717 19.62406 0.0573
55443.80302 19.58978 0.05661
55443.80895 19.53699 0.05857
55443.81493 19.66692 0.06159
55443.8204 19.54405 0.05954
55443.82634 19.57 0.05768
55443.83239 19.51368 0.05687
55443.83783 19.51116 0.0557
55443.84415 19.55755 0.0551
55443.84958 19.70833 0.06797
55443.85553 19.61246 0.06309
55443.86252 19.56081 0.05678
55443.87576 19.55317 0.05827
55443.88141 19.60282 0.06141
55443.88892 19.55392 0.05959
55443.89412 19.55612 0.05894
55443.90077 19.47235 0.05567
55443.90658 19.61576 0.0609
55443.91235 19.60139 0.06227
55443.91779 19.56646 0.06806
55443.92403 19.49948 0.06068
55443.92967 19.70926 0.06467
55443.93496 19.65875 0.06238
55443.94073 19.62266 0.05898
55443.94779 19.5451 0.06097
55443.95355 19.70231 0.06777
55443.95925 19.46386 0.07106
55443.9693 19.56344 0.06806
55443.97555 19.53708 0.05817
55443.98144 19.64359 0.07006
55443.98725 19.60751 0.06719
55443.99456 19.57136 0.06039
55444.00093 19.57723 0.06308
55444.0061 19.59485 0.06478
55444.01187 19.66118 0.06778
55444.0175 19.67608 0.08347
55444.02231 19.74572 0.14346
55444.66648 19.88238 0.10151
55444.67221 19.60035 0.09933
55444.67727 19.61702 0.09432
55444.68199 19.92817 0.15198
55444.68857 19.6633 0.08228
55444.69526 19.71406 0.08652
55444.70198 19.35886 0.07702
55444.7091 19.87751 0.0917
55444.71487 19.78352 0.08207
55444.72103 19.47677 0.07057
55444.72796 19.62612 0.07231
55444.73377 19.65319 0.07497
55444.74094 19.45312 0.06312
55444.74655 19.59883 0.07121
55444.75167 19.69561 0.07137
55444.75678 19.56077 0.0592
55444.76225 19.4838 0.05769
55444.7673 19.44184 0.0577
55444.77353 19.65226 0.0595
55444.77876 19.57615 0.06231
55444.78368 19.58361 0.06391
55444.79848 19.6491 0.06239
55444.80403 19.59807 0.06138
55444.81599 19.53391 0.0632
55444.8213 19.58668 0.05976
55444.83332 19.55579 0.06359
55444.83854 19.59672 0.06507
55444.84549 19.49449 0.05779
55444.85161 19.58546 0.06292
55444.85679 19.72941 0.0623
55444.86267 19.58776 0.05943
55444.86777 19.67904 0.06873
55444.87321 19.70091 0.06071
55444.87872 19.49331 0.05692
55444.88467 19.60595 0.06009
55444.89016 19.61702 0.06372
55444.89581 19.59302 0.06692
55444.90153 19.53655 0.0626
55444.90845 19.52294 0.0686
55444.91349 19.55565 0.06278
55444.92279 19.47563 0.0571
55444.93139 19.55716 0.06088
55444.94041 19.45183 0.05269
55444.94568 19.60971 0.05561
55444.951 19.85212 0.07119
