#mjd mag magerr
55061.92501 19.52283 0.05475
55061.95573 19.78075 0.04735
55063.91987 19.54554 0.04812
55063.9639 19.55951 0.04655
55064.92128 19.50146 0.05467
55064.9656 19.69696 0.05382
55066.91014 19.56686 0.05146
55066.95474 19.5155 0.05165
55067.91649 19.81577 0.08204
55067.96099 19.86373 0.08409
55069.90324 19.63232 0.04434
55080.87449 19.47047 0.11492
55084.86328 19.55139 0.0664
55087.85609 19.60624 0.0492
55087.90101 19.70819 0.04865
55088.96983 19.56491 0.04609
55089.01521 19.6337 0.04919
55089.94574 19.54476 0.04928
55089.99042 19.53082 0.04764
55093.83741 19.54549 0.04378
55093.88196 19.50776 0.0426
55096.8292 19.56372 0.04913
55097.00858 19.72117 0.05983
55104.99862 19.71899 0.0691
55107.79764 19.58692 0.09485
55114.88125 19.56399 0.0607
55114.92522 19.29904 0.10984
55119.89538 19.66213 0.06081
55119.95365 19.7435 0.06509
55123.75696 19.65025 0.0554
55123.81523 19.72386 0.05726
55126.97957 19.74482 0.07377
55127.83329 19.6182 0.05593
55127.87706 19.52861 0.06257
55135.86926 19.77644 0.11866
55138.71472 19.5815 0.09727
55138.75871 19.79735 0.1776
55142.7036 19.66044 0.06044
55142.75219 19.48207 0.08248
55144.77886 19.50119 0.05514
55144.82305 19.69472 0.06686
55151.72943 19.54462 0.06481
55151.77257 19.58982 0.05815
55166.70473 19.59481 0.12231
55166.74897 19.61984 0.10837
55168.63378 19.52224 0.11004
55168.6775 19.62918 0.10105
55175.61224 19.64428 0.05308
55175.65684 19.53081 0.04779
55181.59421 19.46203 0.07526
55181.63825 19.56714 0.06617
55183.59204 19.24097 0.0815
55183.64253 19.51958 0.05734
55189.58054 19.54489 0.08401
55189.62557 19.44721 0.06143
55194.59026 19.67351 0.15432
55199.58559 19.6383 0.06018
55201.58642 19.33512 0.15462
55380.87684 20.01775 0.12031
55380.92078 19.97007 0.10051
55381.89606 19.75133 0.07994
55381.93934 19.62034 0.06492
55386.86524 19.74466 0.06375
55386.90867 19.73199 0.05693
55391.80613 19.70627 0.11046
55391.87538 19.66027 0.06227
55396.79527 19.85033 0.10024
55396.83932 19.63465 0.06264
55401.78133 20.03231 0.19098
55401.82518 19.85281 0.12358
55407.7691 20.10909 0.14551
55407.83003 19.64549 0.12892
55413.79945 19.68581 0.09283
55416.75096 19.93948 0.12226
55416.79342 19.95619 0.11032
55419.75121 19.94112 0.13861
55419.79504 19.8341 0.10155
55422.75115 20.01882 0.09542
55422.79487 19.76289 0.06858
55426.80123 19.72375 0.07889
55426.8444 19.64337 0.06445
55429.8142 19.70679 0.0758
55429.85716 19.6454 0.06752
55432.73907 19.76066 0.13562
55432.78359 19.65501 0.15497
55435.69148 19.46315 0.17944
55438.88857 19.70367 0.10521
55438.89169 19.8494 0.1265
55438.89485 20.07322 0.11819
55438.89798 19.72061 0.08714
55438.90086 19.93209 0.1054
55438.90371 19.80455 0.10194
55438.9065 20.03368 0.09881
55438.90927 19.95235 0.09333
55438.91204 19.79412 0.0875
55438.91487 19.88459 0.08465
55438.91763 19.61087 0.08376
55438.92084 19.80522 0.10427
55438.92394 20.03577 0.1179
55438.92672 19.83207 0.10951
55438.92954 20.10919 0.13878
55438.93259 19.69759 0.10392
55438.93551 19.85156 0.1197
55438.93833 19.9714 0.12498
55438.94106 19.81456 0.11391
55438.94411 19.9171 0.11523
55438.94678 19.94641 0.11442
55438.95017 19.97024 0.11294
55438.95913 19.61417 0.08683
55438.96141 19.67749 0.0906
55441.87301 19.64451 0.05053
55441.87592 19.72144 0.05355
55441.88645 19.83939 0.05712
55441.88962 19.7968 0.05881
55441.89254 19.66557 0.05198
55441.89542 19.72817 0.05208
55441.89828 19.64421 0.05105
55441.90107 19.68094 0.05445
55441.9037 19.70474 0.05663
