#mjd mag magerr
55061.92501 19.43902 0.06221
55061.95573 19.31582 0.07028
55063.91987 19.22403 0.07257
55063.9639 19.26748 0.07137
55064.92128 19.3099 0.08185
55064.9656 19.27157 0.07497
55066.91014 19.26083 0.07116
55066.95474 19.35021 0.07075
55067.91649 19.33743 0.11703
55067.96099 19.30473 0.1081
55069.90324 19.24854 0.057
55069.94786 19.24175 0.05601
55080.87449 19.26 0.13965
55080.95988 19.33659 0.18666
55084.86328 19.4341 0.08661
55087.85609 19.24414 0.08199
55087.90101 19.22992 0.06462
55088.96983 19.34933 0.06846
55089.01521 19.14387 0.07377
55089.94574 19.29692 0.08222
55089.99042 19.17338 0.06954
55093.83741 19.33665 0.05946
55093.88196 19.29553 0.0613
55096.8292 19.14104 0.07609
55097.00858 19.27777 0.0846
55104.99862 19.378 0.08276
55107.79764 19.60912 0.1227
55114.88125 19.36226 0.08065
55119.89538 19.42473 0.06836
55119.95365 19.18148 0.08389
55123.75696 19.21485 0.07037
55123.81523 19.23184 0.06238
55126.97957 19.38428 0.08051
55127.83329 19.40857 0.05933
55127.87706 19.3174 0.07603
55135.82555 19.57175 0.15687
55135.86926 19.53437 0.12658
55138.71472 19.15475 0.11871
55142.7036 19.49887 0.07011
55142.75219 19.14903 0.09357
55144.77886 19.55047 0.06959
55144.82305 19.43251 0.06975
55151.72943 19.18846 0.08619
55151.77257 19.29973 0.07768
55166.70473 19.22227 0.12091
55166.74897 19.26593 0.14011
55168.63378 19.31362 0.09288
55168.6775 19.3224 0.09593
55175.61224 19.11263 0.06777
55175.65684 19.1283 0.06401
55181.59421 19.10159 0.09348
55181.63825 19.3288 0.06813
55183.59204 19.36406 0.08559
55183.64253 19.23966 0.06473
55189.58054 19.3579 0.09288
55189.62557 19.39242 0.08188
55194.59026 19.42447 0.15661
55199.58559 19.2632 0.06148
55202.58667 19.29177 0.06261
55203.71441 19.31703 0.0818
55203.75743 19.33928 0.07278
55207.63092 19.33164 0.06247
55207.67514 19.27234 0.06253
55209.5968 19.3055 0.06424
55209.64149 19.16934 0.05805
55213.63312 19.07529 0.07365
55213.6798 19.18537 0.09177
55377.89535 19.24394 0.1112
55378.90615 19.09779 0.12183
55379.8591 19.27965 0.09828
55379.92482 19.10439 0.0656
55380.87684 19.24571 0.08722
55380.92078 19.05658 0.09599
55381.89606 19.19852 0.06801
55381.93934 19.16985 0.06003
55384.82671 19.26819 0.07519
55384.87028 19.24158 0.06821
55385.87021 19.26671 0.07061
55385.91339 19.26333 0.05282
55386.86524 19.0144 0.0708
55386.90867 19.1341 0.06619
55387.87002 19.24417 0.05488
55387.91342 19.2707 0.05212
55388.86609 19.22862 0.09631
55388.91005 19.24994 0.05299
55390.80957 19.18559 0.08819
55390.85393 19.18138 0.08151
55391.80613 19.3955 0.0822
55391.87538 19.09447 0.06459
55392.83258 19.25161 0.06781
55392.87538 19.24809 0.05679
55394.79908 19.1151 0.07432
55394.8431 19.16804 0.06261
55395.79551 19.28103 0.07844
55395.84215 19.20435 0.05894
55396.79527 19.20282 0.08201
55396.83932 19.10908 0.06681
55397.79163 19.30433 0.11701
55397.83526 19.17071 0.07209
55398.78764 19.14152 0.08883
55398.83124 19.09441 0.0778
55399.83261 19.18179 0.1056
55400.78534 19.29269 0.10336
55400.8289 19.22806 0.0856
55401.78133 19.51759 0.14499
55401.82518 19.19092 0.1061
55402.8246 19.37672 0.14959
55403.81973 19.29503 0.1333
55404.77424 19.19041 0.1337
55404.84266 19.37351 0.10581
55405.8416 19.15262 0.09793
55407.7691 19.29584 0.13771
55407.83003 19.51353 0.10084
55411.79896 19.39126 0.09713
55412.75232 19.23082 0.09677
55412.79539 19.14667 0.09229
55413.75577 19.40435 0.11578
55413.79945 19.00529 0.09539
55414.75161 19.30201 0.1092
55414.79555 19.22421 0.09337
55415.75266 19.36098 0.12344
55415.79727 19.10077 0.11849
55416.75096 19.24629 0.12779
55416.79342 19.23477 0.09138
55417.75979 19.11012 0.12479
55417.84511 19.23487 0.09775
55418.79843 19.04075 0.10672
55418.84121 19.13754 0.09278
55419.75121 19.09352 0.11342
55419.79504 19.27037 0.08457
55420.78929 19.0157 0.11443
55420.83264 19.06143 0.10972
55421.73664 19.22186 0.08189
55421.79901 19.17156 0.05697
55422.75115 19.00566 0.07321
55422.79487 19.16651 0.06283
55423.74742 19.16931 0.06579
55423.79284 19.11778 0.05673
55424.75349 19.44417 0.07861
55424.80178 19.25262 0.06424
55425.76166 19.05792 0.06681
55425.80573 19.22785 0.05885
55426.80123 19.23253 0.06639
55426.8444 19.16479 0.05107
55427.79708 19.0708 0.07387
55427.8408 19.18188 0.06151
55428.79281 19.17928 0.07382
55428.83703 19.24889 0.06032
55429.8142 19.18272 0.06771
55429.85716 19.17131 0.05921
55430.75769 19.18767 0.08471
55430.80485 19.26637 0.07669
55431.75639 19.29034 0.08689
55431.80024 19.14681 0.10148
55432.73907 19.45441 0.1394
55432.78359 19.36534 0.10411
55433.7493 19.29529 0.10977
55434.69401 19.50003 0.19232
55435.69148 19.34034 0.12505
55436.88575 19.30801 0.1073
55436.88891 19.37263 0.07689
55436.89501 19.27507 0.08391
55436.89797 19.41373 0.10759
55436.90109 19.28058 0.08782
55436.90728 19.28967 0.0898
55436.91041 19.49299 0.11727
55436.91351 19.28601 0.0954
55436.91641 19.26019 0.10209
55436.91931 19.42088 0.09381
55436.92221 19.19365 0.09181
55436.92514 19.4961 0.09363
55436.92806 19.23246 0.08341
55436.93096 19.37019 0.0838
55436.93413 19.34137 0.09727
55436.93703 19.38082 0.09332
55436.93974 19.27331 0.08747
55436.94297 19.42482 0.10228
55436.94613 19.46627 0.11159
55436.94915 19.3255 0.08798
55436.95231 19.1537 0.07938
55436.9553 19.13156 0.08003
55436.95826 19.26813 0.08243
55436.96116 19.28144 0.0908
55436.96403 19.43496 0.10159
55436.96671 19.45652 0.10761
55438.88857 19.35429 0.0822
55438.89169 19.09434 0.08359
55438.89485 19.33442 0.07659
55438.89798 19.34153 0.08238
55438.90086 19.26176 0.08678
55438.90371 19.47367 0.08489
55438.9065 19.19635 0.08099
55438.90927 19.35604 0.0745
55438.91204 19.084 0.07829
55438.91487 19.49013 0.07851
55438.91763 19.41073 0.10128
55438.92394 19.27887 0.10597
55438.92672 19.41311 0.07805
55438.92954 19.43475 0.0891
55438.93259 19.21873 0.10379
55438.93551 19.35256 0.09188
55438.93833 19.11325 0.08942
55438.94106 19.17617 0.09727
55438.94411 19.31764 0.08311
55438.94678 19.43352 0.09657
55438.95017 19.22895 0.08449
55438.95913 19.2763 0.07942
55438.96141 19.35888 0.08228
55440.87507 19.19338 0.05923
55440.87823 19.24142 0.05792
55440.88428 19.24751 0.05944
55440.88675 19.26799 0.06487
55440.8894 19.23967 0.05882
55440.89205 19.09895 0.06062
55440.89518 19.22562 0.05212
55440.89832 19.30763 0.05931
55440.90145 19.24937 0.05952
55440.90439 19.15229 0.05543
55440.90729 19.26989 0.05862
55440.91025 19.20898 0.06773
55440.91316 19.09813 0.0667
55440.91591 18.99335 0.0632
55440.9187 19.18923 0.06732
55440.92149 19.13693 0.06802
55440.92426 19.26655 0.06149
55440.93095 19.29007 0.05541
55440.93364 19.28081 0.05798
55440.93623 19.30408 0.06172
55440.9395 19.18959 0.06293
55440.94264 19.11741 0.06681
55440.94582 19.21932 0.06502
55440.94883 19.24361 0.06181
55440.95182 19.28627 0.06583
55440.95489 19.2121 0.0731
55440.95791 19.3083 0.06522
55441.87301 19.16516 0.05175
55441.87592 19.25464 0.05216
55441.88645 19.20143 0.05267
55441.88962 19.2255 0.05288
55441.89254 19.21878 0.04912
55441.89542 19.22189 0.05599
55441.89828 19.13694 0.05508
55441.90107 19.2596 0.05102
55441.9037 19.21593 0.05195
55441.90634 19.25155 0.05455
55441.90906 19.20848 0.05077
55441.9118 19.12646 0.05287
55441.91445 19.17848 0.04669
55441.91722 19.25946 0.05856
55441.91981 19.05461 0.05697
55441.92242 19.21282 0.06434
55441.92546 19.20368 0.04894
55441.9281 19.31089 0.05204
55441.93183 19.2327 0.04999
55441.93458 19.08704 0.0566
55441.93727 19.18924 0.05469
55441.94048 19.18394 0.04949
55441.94326 19.27148 0.05215
55441.94546 19.19135 0.04836
55441.94852 19.14144 0.0501
55441.95194 19.19208 0.04976
55441.95469 19.22868 0.05038
55441.95786 19.17247 0.04777
55441.96081 19.20884 0.0538
55441.96392 19.18641 0.05846
55441.96715 19.18048 0.05298
55441.97012 19.15837 0.05055
55441.97294 19.27707 0.04884
55441.97532 19.28011 0.05507
55441.97757 19.24032 0.05415
55441.9798 19.31758 0.0528
55441.9835 19.12642 0.05087
55441.9863 19.23314 0.05337
55441.98852 19.17858 0.05285
55441.99078 19.22026 0.05333
55441.99382 19.26757 0.05255
55442.00593 19.25946 0.06186
55442.00906 19.25332 0.06214
55442.01216 19.30513 0.05939
55442.01486 19.27565 0.0637
55442.01753 19.31474 0.08953
55442.02001 19.21589 0.09155
55442.02226 19.3799 0.09656
55442.70382 19.23522 0.05625
55442.70734 19.16257 0.06342
55442.71097 19.24318 0.06324
55442.71448 19.276 0.05993
55442.71808 19.0919 0.05469
55442.72168 19.29028 0.05583
55442.72527 19.17575 0.05075
55442.73272 19.16644 0.04969
55442.74184 19.15508 0.05364
55442.74882 19.18615 0.05826
55442.75572 19.23042 0.05296
55442.76147 19.05699 0.04975
55442.76615 19.18703 0.05134
55442.77616 19.18506 0.04957
55442.78135 19.20622 0.04801
55442.78615 19.22516 0.04783
55442.79145 19.15187 0.04523
55442.79615 19.17866 0.04855
55442.80186 19.19868 0.05233
55442.8093 19.17501 0.04455
55442.81443 19.16053 0.0491
55442.81939 19.20979 0.04826
55442.82447 19.21551 0.04747
55442.8293 19.1718 0.04836
55442.83541 19.19084 0.04876
55442.84012 19.18001 0.0459
55442.84597 19.27506 0.05109
55442.85112 19.19572 0.04897
55442.85657 19.21301 0.04918
55442.86387 19.29248 0.04999
55442.87002 19.23914 0.0489
55442.87503 19.24298 0.05321
55442.88048 19.24908 0.04896
55442.88617 19.21788 0.04644
55442.89221 19.21456 0.04591
55442.89785 19.16016 0.05434
55442.90297 19.0949 0.05324
55442.90871 19.2116 0.05037
55442.91368 19.06715 0.05404
55442.91875 19.296 0.05441
55442.92384 19.12885 0.05273
55442.93037 19.28648 0.0485
55442.93642 19.1559 0.04924
55442.94588 19.25133 0.06106
55442.95166 19.23908 0.05199
55442.95754 19.28373 0.05269
55442.96246 19.23856 0.05118
55442.96833 19.25884 0.05182
55442.97317 19.22004 0.05038
55442.97782 19.25194 0.05095
55442.98206 19.21745 0.0472
55442.9872 19.28482 0.05235
55442.99348 19.22566 0.05212
55442.99858 19.26277 0.05027
55443.00329 19.21782 0.05087
55443.01002 19.20605 0.05302
55443.01702 19.19844 0.07313
55443.02387 19.48835 0.10044
55443.67742 19.19479 0.08492
55443.68488 19.28907 0.07031
55443.69287 19.12244 0.06659
55443.70415 19.19453 0.0625
55443.71028 19.1878 0.06839
55443.71632 19.13371 0.05182
55443.72231 19.28481 0.06019
55443.72832 19.20975 0.06044
55443.736 19.11216 0.06231
55443.74306 19.30849 0.05753
55443.74812 19.21393 0.05212
55443.75372 19.1632 0.06209
55443.75946 19.20759 0.06201
55443.76526 19.21063 0.06739
55443.77007 19.16045 0.06762
55443.78027 19.17847 0.06181
55443.78539 19.13272 0.04763
55443.79156 18.92 0.05939
55443.79717 19.15686 0.06014
55443.80302 19.13284 0.04951
55443.80895 19.08706 0.05982
55443.81493 19.22739 0.05954
55443.8204 19.3378 0.06119
55443.82634 19.28263 0.05258
55443.83239 19.12963 0.0553
55443.83783 19.07495 0.06014
55443.84415 19.13104 0.04844
55443.84958 19.10892 0.05444
55443.85553 19.16978 0.05263
55443.86252 19.25646 0.05417
55443.87576 19.18262 0.05231
55443.88141 19.18064 0.05605
55443.88892 19.14248 0.05604
55443.89412 19.16423 0.05869
55443.90077 19.24903 0.06001
55443.90658 19.09978 0.04922
55443.91235 19.1516 0.05769
55443.91779 19.22502 0.06541
55443.92403 18.97047 0.06816
55443.92967 19.26311 0.06546
55443.93496 19.23432 0.05707
55443.94073 19.20973 0.05311
55443.94779 19.18769 0.0618
55443.95355 19.26876 0.04914
55443.95925 19.19295 0.05002
55443.9693 19.06184 0.06293
55443.97555 19.2713 0.06543
55443.98144 19.27435 0.0549
55443.98725 19.15194 0.06833
55443.99456 19.07389 0.07251
55444.00093 19.0859 0.05884
55444.0061 19.26606 0.06087
55444.01187 19.25131 0.05473
55444.0175 19.18722 0.07249
55444.02231 19.42664 0.08864
55444.66648 19.11232 0.09782
55444.67221 19.20295 0.08853
55444.67727 18.99595 0.08482
55444.68857 19.21653 0.07741
55444.69526 19.21771 0.06843
55444.70198 19.22323 0.06136
55444.7091 19.23568 0.0675
55444.71487 19.19744 0.06209
55444.72103 19.15857 0.0572
55444.72796 19.24648 0.06421
55444.73377 19.18245 0.05653
55444.74094 19.02791 0.06
55444.74655 19.10222 0.05871
55444.75167 19.1853 0.05752
55444.75678 19.19365 0.05281
55444.76225 19.18431 0.05421
55444.7673 19.15991 0.05511
55444.77353 19.2059 0.07103
55444.77876 19.18322 0.05632
55444.78368 19.27316 0.05731
55444.79848 19.2329 0.05164
55444.80403 19.1398 0.04846
55444.81599 19.24092 0.0528
55444.8213 19.20444 0.05062
55444.83332 19.26278 0.05274
55444.83854 19.29951 0.0538
55444.84549 19.20962 0.04986
55444.85161 19.13205 0.04808
55444.85679 19.17608 0.04785
55444.86267 19.1684 0.06656
55444.86777 19.18457 0.06363
55444.87321 19.16336 0.05923
55444.87872 19.21143 0.06003
55444.88467 19.17662 0.0617
55444.89016 19.12705 0.07031
55444.89581 19.17699 0.06364
55444.90153 19.23199 0.04987
55444.90845 19.22003 0.06398
55444.91349 19.15028 0.05207
55444.92279 18.99573 0.0601
55444.93139 19.21517 0.05071
55444.94041 19.19015 0.0488
55444.94568 19.3084 0.05084
55444.951 19.17533 0.05996
55444.95724 19.26874 0.06192
55444.96289 19.25839 0.04832
55444.96923 19.16913 0.05834
55444.97411 19.18734 0.05586
55444.98062 19.2331 0.0575
55444.98915 19.25374 0.05644
55444.99553 19.13814 0.05214
55445.00157 19.27546 0.05555
55445.00779 19.24586 0.05617
55445.01282 19.25241 0.06338
55445.01777 19.28592 0.06508
55445.02227 19.19673 0.09847
55445.66261 19.21095 0.09301
55445.66749 18.99476 0.07407
55445.67244 19.30739 0.0659
55445.67731 19.21689 0.07739
55445.68422 19.17432 0.06381
55445.6905 19.15231 0.06991
55445.69681 19.14774 0.06638
55445.70294 19.13339 0.06012
55445.70921 19.10132 0.06962
55445.71534 18.99519 0.07477
55445.72791 19.21059 0.06894
55445.73457 19.05776 0.06447
55445.74013 19.23736 0.05491
55445.7456 19.07327 0.06043
55445.75096 19.21668 0.06904
55445.75643 19.26305 0.05715
55445.76191 19.32347 0.05954
55445.76784 19.12479 0.06703
