#mjd mag magerr
55061.92501 19.79946 0.05684
55061.95573 19.73186 0.05682
55063.91987 19.83969 0.05428
55063.9639 19.75186 0.06849
55064.92128 19.73441 0.07008
55064.9656 19.80298 0.06359
55066.91014 19.7254 0.05999
55066.95474 19.73664 0.05722
55067.91649 19.76362 0.08519
55067.96099 19.62749 0.07114
55069.90324 19.7931 0.06689
55069.94786 19.84896 0.07618
55084.86328 19.77479 0.08542
55087.85609 19.77975 0.06638
55087.90101 19.85415 0.06697
55088.96983 19.71598 0.06876
55089.01521 19.79343 0.06719
55089.94574 19.68064 0.0598
55089.99042 19.72967 0.06439
55093.83741 19.97366 0.06301
55093.88196 19.8421 0.068
55096.8292 19.88535 0.06456
55097.00858 20.00379 0.08642
55104.99862 19.97244 0.09769
55107.79764 20.08102 0.16977
55114.88125 19.88894 0.08268
55114.92522 19.85872 0.21885
55119.89538 19.95691 0.08363
55119.95365 19.64331 0.07872
55123.75696 19.77194 0.06788
55123.81523 19.8787 0.08427
55126.97957 19.68613 0.09999
55127.83329 19.78969 0.07098
55127.87706 20.02999 0.10031
55135.82555 19.88682 0.14041
55135.86926 20.02984 0.1717
55138.71472 19.7677 0.16655
55142.7036 19.85574 0.08905
55144.77886 19.80958 0.06945
55144.82305 19.75272 0.0795
55151.72943 19.98231 0.09709
55151.77257 19.83544 0.0673
55166.70473 19.93279 0.12568
55166.74897 19.84674 0.16279
55168.63378 20.14397 0.12856
55175.61224 19.79153 0.07364
55175.65684 19.82528 0.06484
55181.59421 19.62623 0.10874
55181.63825 19.72793 0.09882
55183.59204 19.93417 0.11224
55183.64253 19.92056 0.08093
55189.58054 19.87503 0.10676
55189.62557 19.93522 0.08457
55199.58559 20.00568 0.0837
55202.58667 20.03354 0.08369
55203.71441 19.89438 0.10185
55203.75743 19.99848 0.09966
55207.63092 19.9365 0.07899
55207.67514 19.82569 0.075
55209.5968 19.72855 0.06921
55209.64149 19.77291 0.07998
55213.63312 19.66812 0.10581
55213.6798 19.85307 0.09431
55377.85123 20.11461 0.14789
55377.89535 19.86939 0.14926
55379.8591 19.83366 0.12514
55379.92482 20.02638 0.09596
55380.92078 19.94693 0.15735
55381.89606 20.04869 0.09496
55381.93934 19.90189 0.08758
55384.82671 19.96126 0.09669
55384.87028 19.67047 0.08249
55385.87021 20.03002 0.07327
55385.91339 19.98285 0.07179
55386.86524 19.82594 0.08349
55386.90867 19.87027 0.08605
55387.87002 19.94017 0.08355
55387.91342 19.93951 0.06597
55388.86609 19.93187 0.13016
55388.91005 19.9435 0.07096
55389.97252 20.00029 0.13094
55390.80957 20.22524 0.09895
55390.85393 20.06706 0.09409
55391.80613 19.84244 0.11477
55391.87538 20.17353 0.08247
55392.83258 20.04583 0.09232
55392.87538 19.70172 0.06971
55394.79908 20.12524 0.14585
55394.8431 19.92355 0.08299
55395.79551 20.21187 0.15518
55395.84215 19.90628 0.0819
55396.79527 20.12996 0.12095
55396.83932 19.92246 0.07127
55397.79163 20.2466 0.14468
55397.83526 19.7873 0.07111
55398.78764 20.27283 0.15386
55398.83124 19.97248 0.10285
55399.78802 20.1022 0.13379
55399.83261 19.93544 0.15584
55400.8289 19.90457 0.13785
55404.84266 20.01463 0.18807
55407.83003 20.10543 0.14167
55411.75477 20.113 0.13645
55411.79896 20.10447 0.10054
55412.79539 20.22784 0.17814
55413.79945 20.17748 0.15149
55414.75161 20.16949 0.20245
55414.79555 20.12606 0.1203
55415.79727 19.95156 0.11865
55416.79342 20.08147 0.11548
55417.84511 20.18599 0.12066
55418.79843 19.99095 0.11321
55418.84121 20.26369 0.11227
55419.75121 20.16687 0.13975
55419.79504 19.95819 0.1227
55420.83264 19.86666 0.11301
55421.73664 19.85608 0.09788
55421.79901 19.86641 0.07248
55422.75115 19.92999 0.10487
55422.79487 19.82219 0.07778
55423.74742 19.86564 0.07697
55423.79284 20.00955 0.07399
55424.75349 20.12922 0.10279
55424.80178 19.81178 0.06471
55425.76166 20.12177 0.10415
55425.80573 19.69436 0.0665
55426.80123 19.83601 0.11563
55426.8444 19.96526 0.06607
55427.79708 19.97656 0.09606
55427.8408 19.99569 0.07967
55428.79281 19.95028 0.09098
55428.83703 19.86366 0.08266
55429.8142 19.87147 0.10705
55429.85716 19.86471 0.09027
55430.75769 19.78237 0.11958
55430.80485 19.81326 0.12028
55431.80024 20.14864 0.10769
55432.78359 20.11621 0.16647
55435.74218 19.87385 0.14563
55436.88575 20.16893 0.13957
55436.88891 19.99644 0.11368
55436.8919 20.19798 0.15188
55436.89501 19.97746 0.11126
55436.89797 20.10571 0.13767
55436.90109 19.92253 0.14324
55436.9042 19.80561 0.13419
55436.90728 19.87112 0.13557
55436.91041 20.09294 0.13337
55436.92221 20.26113 0.17805
