#mjd mag magerr
55061.92501 20.10694 0.0662
55061.95573 20.20447 0.06042
55063.91987 20.11791 0.06279
55063.9639 20.14679 0.06252
55064.92128 20.34807 0.07487
55064.9656 20.13978 0.06898
55066.91014 20.28059 0.07547
55066.95474 19.98708 0.06343
55067.91649 20.27542 0.08845
55067.96099 20.43274 0.08579
55069.90324 20.09746 0.06582
55069.94786 20.13621 0.07168
55080.95988 19.96509 0.21787
55084.86328 20.23594 0.11005
55087.85609 20.09329 0.07389
55087.90101 20.13909 0.07347
55088.96983 20.16993 0.08358
55089.01521 20.26095 0.07995
55089.94574 20.08593 0.07232
55089.99042 20.31694 0.07459
55093.83741 20.10273 0.06848
55093.88196 20.16929 0.07427
55096.8292 20.06416 0.07227
55097.00858 20.0755 0.10073
55104.99862 20.34789 0.11043
55107.79764 19.8487 0.15586
55114.88125 19.94512 0.09426
55119.89538 20.31431 0.09282
55119.95365 20.1678 0.09577
55123.75696 20.13992 0.07414
55123.81523 20.15725 0.08535
55126.97957 20.48355 0.12586
55127.83329 20.22184 0.09101
55127.87706 20.29489 0.09395
55138.71472 19.9311 0.13377
55138.75871 20.48614 0.18905
55142.7036 20.13503 0.08107
55142.75219 20.36729 0.10055
55144.77886 20.12678 0.08104
55144.82305 20.34343 0.10109
55151.72943 20.37907 0.10751
55151.77257 20.29586 0.0953
55168.63378 20.5221 0.15679
55175.61224 20.23355 0.07548
55175.65684 20.09926 0.06752
55181.59421 19.90317 0.14121
55181.63825 20.33213 0.09934
55183.59204 20.09351 0.19724
55183.64253 20.14443 0.10439
55189.58054 20.27821 0.119
55189.62557 20.22977 0.10055
55199.58559 20.2167 0.08533
55202.58667 20.19476 0.10328
55203.71441 20.17972 0.10321
55203.75743 20.28507 0.12268
55207.63092 20.24764 0.08392
55207.67514 20.27854 0.09065
55209.5968 20.1125 0.07341
55209.64149 20.10836 0.07399
55213.63312 20.44197 0.10655
55377.89535 20.01102 0.14057
55378.90615 20.23897 0.16958
55379.8591 20.39564 0.17263
55379.92482 20.26793 0.12286
55380.87684 20.50279 0.16994
55380.92078 20.22995 0.12883
55381.89606 20.20808 0.10006
55381.93934 20.05563 0.09656
55384.82671 19.98399 0.10706
55384.87028 20.10455 0.08375
55385.87021 20.05937 0.07786
55385.91339 20.03185 0.07375
55386.86524 20.01478 0.09438
55386.90867 20.12502 0.08815
55387.87002 20.09498 0.07945
55387.91342 20.24461 0.06937
55388.86609 20.16333 0.0994
55388.91005 20.03396 0.07076
55390.80957 20.27919 0.15254
55390.85393 20.08463 0.09557
55391.80613 20.08482 0.16264
55391.87538 20.06704 0.08017
55392.83258 19.97526 0.11435
55392.87538 20.03809 0.08516
55394.79908 20.03172 0.10388
55394.8431 20.11617 0.08856
55395.79551 20.17259 0.16736
55395.84215 19.86917 0.08461
55396.79527 20.176 0.16265
55396.83932 19.997 0.08445
55397.79163 20.31473 0.16355
55397.83526 20.15332 0.10124
55398.78764 20.40705 0.16765
55398.83124 20.01753 0.10536
55399.83261 20.29506 0.12055
55400.8289 20.45416 0.14364
55405.8416 20.47701 0.18824
55407.83003 20.15035 0.15978
55411.79896 20.33716 0.12351
55412.75232 20.5214 0.2172
55413.79945 20.3854 0.18235
55414.79555 20.23788 0.14472
55415.75266 20.09866 0.1664
55415.79727 20.08212 0.14306
55416.79342 20.55032 0.17795
55417.75979 20.50651 0.19654
55417.84511 20.41982 0.16608
55418.79843 20.21344 0.17648
55419.79504 20.52401 0.17891
55420.83264 20.3485 0.12631
55421.73664 20.3877 0.10867
55421.79901 20.15574 0.07415
55422.75115 20.23468 0.10095
55422.79487 20.3143 0.08396
55423.74742 20.31107 0.10436
55423.79284 20.16112 0.08954
