#mjd mag magerr
55061.92501 20.11081 0.07785
55061.95573 19.94576 0.06381
55063.91987 20.08808 0.08694
55063.9639 19.99249 0.07213
55064.92128 19.94186 0.0833
55064.9656 19.98241 0.07432
55066.91014 20.00933 0.07993
55066.95474 19.768 0.06828
55067.91649 20.11045 0.13125
55067.96099 19.8542 0.10546
55069.90324 19.98757 0.0791
55069.94786 20.0929 0.0788
55084.86328 19.98038 0.13227
55087.85609 20.13558 0.08847
55087.90101 20.0485 0.082
55088.96983 20.00826 0.08189
55089.01521 20.07514 0.0821
55089.94574 20.22496 0.08911
55089.99042 19.96542 0.08301
55093.83741 19.90119 0.07101
55093.88196 19.99786 0.07681
55096.8292 20.05536 0.09286
55097.00858 20.04755 0.11123
55104.99862 19.92283 0.13193
55114.88125 19.92759 0.13489
55119.89538 20.11792 0.10004
55119.95365 19.88559 0.10539
55123.75696 20.04368 0.09967
55123.81523 20.13675 0.09447
55126.97957 19.87039 0.10667
55127.83329 20.1298 0.10712
55127.87706 19.86369 0.11196
55135.86926 19.55608 0.13183
55142.7036 20.01195 0.08695
55142.75219 19.92492 0.11846
55144.77886 19.87083 0.08139
55144.82305 19.89228 0.08788
55151.72943 20.23058 0.12146
55151.77257 19.94646 0.09436
55166.70473 19.91563 0.16945
55168.63378 19.84708 0.18576
55168.6775 20.09405 0.15758
55175.61224 20.04829 0.08696
55175.65684 19.94567 0.07621
55181.59421 20.24785 0.13793
55181.63825 19.92797 0.13279
55183.64253 19.84928 0.11679
55189.58054 20.12911 0.12709
55189.62557 20.38576 0.12893
55199.58559 20.06764 0.09519
55202.58667 19.96188 0.10551
55203.71441 20.06066 0.11108
55203.75743 19.90459 0.13128
55207.63092 20.08991 0.10419
55207.67514 20.0606 0.0934
55209.5968 20.1712 0.09841
55209.64149 20.10703 0.09538
55213.63312 19.83637 0.11655
55213.6798 20.2706 0.13597
55381.89606 20.31895 0.12305
55381.93934 20.20443 0.14335
55384.82671 20.62458 0.15224
55384.87028 20.23758 0.13725
55385.87021 20.25616 0.11745
55385.91339 20.30417 0.10746
55386.86524 20.68911 0.15113
55386.90867 20.38224 0.10425
55387.87002 20.40593 0.11408
55387.91342 20.30045 0.093
55388.86609 20.05214 0.14622
55388.91005 20.39995 0.12062
55390.80957 19.99843 0.14735
55391.87538 20.09632 0.13625
55392.83258 20.00083 0.15004
55392.87538 20.24092 0.10674
55394.79908 20.60563 0.19474
55394.8431 20.40736 0.14895
55395.84215 20.37765 0.12016
55396.83932 20.24983 0.11845
55397.79163 20.10299 0.17766
55397.83526 20.33444 0.10406
55398.78764 20.50354 0.20165
55398.83124 20.17696 0.14814
55411.79896 20.27185 0.16512
55413.79945 20.67887 0.18919
55421.73664 20.0608 0.13888
55421.79901 20.18137 0.12425
55422.75115 20.31724 0.15624
55422.79487 20.63557 0.13693
55423.74742 20.18534 0.14014
55423.79284 20.33648 0.11366
55424.75349 20.23326 0.13481
55424.80178 20.41616 0.12005
55425.76166 20.5898 0.15375
55425.80573 20.37513 0.11506
55426.80123 20.41935 0.12814
55426.8444 20.3938 0.09882
55427.79708 20.35365 0.13774
55427.8408 20.34444 0.14554
55428.79281 20.51015 0.13554
55428.83703 20.07637 0.14084
55429.8142 20.18238 0.13883
55429.85716 20.50884 0.14086
55430.75769 20.27262 0.19303
55431.80024 20.18202 0.16283
55436.88891 20.16677 0.15865
55436.89797 20.26669 0.13766
55436.9042 20.21636 0.17565
55436.92806 20.44304 0.23503
55438.9065 20.42519 0.16843
55438.91204 20.22748 0.13955
55438.91487 20.36782 0.18054
55438.91763 20.67809 0.14874
55438.92954 20.61697 0.18114
55438.94106 20.40332 0.18573
55440.87507 20.54607 0.17083
55440.88428 20.47546 0.12155
55440.88675 20.21135 0.14443
55440.8894 20.455 0.12744
55440.89205 20.45114 0.16873
55440.89518 20.63552 0.11764
55440.89832 20.34185 0.11014
55440.90145 20.61522 0.14562
55440.90439 20.44595 0.12903
55440.90729 20.39348 0.10725
55440.91025 20.14271 0.12765
55440.91316 20.1439 0.10885
55440.91591 20.2915 0.17353
55440.9187 20.35498 0.11114
55440.92149 20.70051 0.14042
55440.92426 20.74293 0.13984
55440.93095 20.54369 0.12194
55440.93364 20.55456 0.12784
55440.93623 20.24514 0.12463
55440.9395 20.59169 0.13774
55440.94264 20.45804 0.11394
55440.94582 20.07214 0.12845
55440.94883 20.31017 0.15043
55440.95182 20.22186 0.12124
55440.95489 20.70663 0.14804
55440.95791 20.41865 0.12824
55441.87301 20.47742 0.11435
55441.87592 20.34759 0.10077
55441.88645 20.24527 0.12236
55441.88962 20.51326 0.12665
55441.89254 20.27809 0.10297
55441.89542 20.49904 0.11776
55441.89828 20.40102 0.10486
55441.90107 20.2048 0.12805
55441.9037 20.57152 0.11765
55441.90634 20.42355 0.13073
55441.90906 20.53159 0.11326
55441.9118 20.25319 0.11945
55441.91445 20.77463 0.13984
55441.91722 20.41871 0.11594
55441.91981 20.1003 0.11635
55441.92242 20.29537 0.13085
55441.92546 20.39672 0.10636
55441.9281 20.33872 0.10796
55441.93183 20.38011 0.12875
55441.93458 20.28608 0.11366
55441.93727 20.38176 0.12065
55441.94048 20.18318 0.13146
55441.94326 20.24412 0.12136
55441.94546 20.37101 0.12935
55441.94852 20.28566 0.09656
55441.95194 20.42917 0.15455
55441.95469 20.3646 0.10976
55441.95786 20.61623 0.11705
55441.96081 20.20921 0.13724
55441.96392 20.4424 0.11126
55441.96715 20.2601 0.08879
55441.97012 20.37783 0.09486
55441.97294 20.32254 0.11455
55441.97532 20.41038 0.11225
55441.97757 20.25027 0.10116
55441.9798 20.24965 0.12356
55441.9835 20.33029 0.11354
55441.9863 20.32779 0.13166
55441.98852 20.64061 0.15495
55441.99078 20.34752 0.10246
55441.99382 20.67338 0.12816
