#mjd mag magerr
55069.90324 20.06609 0.06699
55069.94786 19.90352 0.07199
55084.86328 20.01215 0.10433
55087.85609 19.83544 0.08692
55087.90101 19.82268 0.06915
55088.96983 19.74582 0.08839
55089.01521 19.62584 0.08597
55089.94574 19.51329 0.07807
55089.99042 19.57232 0.09104
55093.83741 19.82895 0.05951
55093.88196 19.82489 0.05865
55096.8292 19.87379 0.0637
55097.00858 19.94619 0.09253
55104.99862 20.06157 0.09201
55107.79764 20.00387 0.13222
55114.88125 19.87116 0.09637
55119.89538 19.7165 0.08267
55119.95365 19.96992 0.08321
55123.75696 19.85232 0.07148
55123.81523 19.9516 0.07506
55126.97957 19.87312 0.11667
55127.83329 20.11106 0.08066
55127.87706 19.74367 0.09107
55135.82555 19.84906 0.15415
55135.86926 19.97636 0.1504
55138.71472 20.312 0.19994
55142.7036 19.87705 0.06976
55142.75219 19.92531 0.10008
55144.77886 19.95018 0.07658
55144.82305 19.95237 0.08898
55151.72943 19.98166 0.07929
55151.77257 19.97652 0.07038
55166.70473 20.16411 0.15434
55168.63378 20.21391 0.13656
55168.6775 20.05157 0.12594
55175.61224 20.03174 0.06282
55175.65684 19.80685 0.05736
55181.59421 19.94731 0.10494
55181.63825 19.9648 0.08847
55183.59204 20.02548 0.12415
55183.64253 19.75266 0.09391
55189.58054 19.82694 0.09539
55189.62557 19.95299 0.10222
55194.59026 19.83029 0.16094
55199.58559 19.81389 0.08504
55202.58667 19.86045 0.09786
55203.71441 19.96379 0.09009
55203.75743 20.06917 0.0938
55207.63092 19.98227 0.0782
55207.67514 19.82477 0.06536
55209.5968 19.91416 0.06101
55209.64149 19.73439 0.06198
55213.63312 19.88099 0.08569
55213.6798 19.83927 0.10025
55377.85123 19.62992 0.10692
55377.89535 19.72276 0.1179
55378.86379 19.83744 0.18224
55378.90615 19.45846 0.1442
55379.8591 19.69182 0.0916
55379.92482 19.73526 0.07215
55380.87684 19.72648 0.10318
55380.92078 19.75864 0.11068
55381.89606 19.64125 0.0703
55381.93934 19.6251 0.06429
55384.82671 19.50894 0.07218
55384.87028 19.6804 0.06779
55385.87021 19.67837 0.06467
55385.91339 19.50525 0.04769
55386.86524 19.52147 0.0724
55386.90867 19.50542 0.06705
55387.87002 19.63124 0.06613
55387.91342 19.71653 0.0564
55388.86609 19.50312 0.09211
55388.91005 19.66468 0.0539
55389.97252 19.51409 0.18009
55390.80957 19.72021 0.09198
55390.85393 19.52794 0.0688
55391.80613 19.79512 0.09177
55391.87538 19.63996 0.06173
55392.83258 19.66392 0.08589
55392.87538 19.67409 0.06028
55394.79908 19.82611 0.0945
55394.8431 19.66245 0.0635
55395.79551 19.71608 0.10959
55395.84215 19.70916 0.0693
55396.79527 19.5634 0.08506
55396.83932 19.67577 0.0683
55397.79163 19.55277 0.11689
55397.83526 19.69487 0.08848
55398.78764 19.64561 0.1557
55398.83124 19.61735 0.08594
55399.78802 19.54041 0.11365
55399.83261 19.50957 0.09879
55400.78534 19.90038 0.17405
55400.8289 19.8121 0.12024
55401.78133 19.92435 0.15003
55401.82518 19.59616 0.14146
55402.8246 19.79107 0.12668
55403.77642 19.90199 0.16231
55403.81973 19.776 0.18916
55404.84266 19.78527 0.10944
55405.8416 19.9363 0.12191
55407.7691 19.61254 0.13408
55407.83003 19.58731 0.14038
55411.79896 19.60565 0.07829
55412.75232 19.65224 0.11695
55412.79539 19.49024 0.08499
55413.75577 19.75753 0.11237
55413.79945 19.61505 0.09991
55414.75161 19.74947 0.12213
55414.79555 19.73849 0.09074
55415.79727 19.83933 0.15371
55416.75096 19.64359 0.12751
55416.79342 19.48438 0.11133
55417.75979 19.63485 0.1351
55417.84511 19.92978 0.1137
55418.79843 19.5037 0.08811
55418.84121 19.58192 0.0862
55419.79504 19.56758 0.09281
55420.78929 19.45944 0.12389
55420.83264 19.71054 0.10671
55421.73664 19.51608 0.09307
55421.79901 19.33147 0.05687
55422.75115 19.55453 0.07398
55422.79487 19.60511 0.06487
55423.74742 19.49431 0.07523
55423.79284 19.53226 0.05738
55424.75349 19.70322 0.07972
55424.80178 19.6403 0.06101
55425.76166 19.70874 0.07367
55425.80573 19.64214 0.05836
55426.80123 19.60627 0.07506
55426.8444 19.61575 0.05483
55427.79708 19.54303 0.06793
55427.8408 19.59193 0.06048
55428.79281 19.50352 0.06335
55428.83703 19.60065 0.0666
55429.8142 19.67599 0.09057
55429.85716 19.76202 0.07348
55430.75769 19.55528 0.08441
55430.80485 19.57184 0.08171
55431.75639 19.70667 0.10783
55431.80024 19.89155 0.12896
55432.73907 19.73658 0.14096
55432.78359 19.75213 0.15964
55433.70425 19.60505 0.19369
55434.73769 19.81335 0.15092
55435.69148 19.81884 0.13661
55436.88575 19.7816 0.09745
55436.88891 19.5986 0.11037
