#mjd mag magerr
55061.92501 20.20121 0.10162
55061.95573 20.26297 0.09854
55063.91987 20.3051 0.08442
55063.9639 20.2628 0.09074
55064.92128 20.07885 0.11004
55064.9656 20.26975 0.11132
55066.91014 20.42003 0.09864
55066.95474 20.16077 0.08979
55067.96099 20.07911 0.11954
55069.90324 20.23631 0.09611
55069.94786 20.22892 0.09565
55084.86328 20.11228 0.13516
55087.85609 20.23302 0.10441
55087.90101 20.28085 0.09587
55088.96983 20.32162 0.09672
55089.01521 20.13477 0.09943
55089.94574 20.10168 0.08702
55089.99042 20.1828 0.09127
55093.83741 20.39568 0.10347
55093.88196 20.29022 0.08804
55096.8292 20.27216 0.09841
55097.00858 20.37014 0.16028
55114.88125 20.4018 0.14251
55119.89538 20.32038 0.12404
55119.95365 20.30262 0.11995
55123.75696 20.21404 0.10181
55123.81523 20.09766 0.0988
55127.83329 20.7115 0.13381
55127.87706 20.39951 0.11591
55586.61685 20.07574 0.10037
55586.66038 20.21418 0.14315
55733.91212 20.04396 0.12576
55750.83279 20.57929 0.15888
55750.87598 20.06746 0.11638
55756.93392 20.20233 0.20411
55759.89212 20.11397 0.15447
55762.79606 20.27678 0.18499
55762.8402 20.2436 0.13804
55766.7805 20.54253 0.16847
55768.77509 20.53198 0.20675
55768.82037 20.24479 0.12766
55769.80074 20.43087 0.15835
55769.84468 19.92623 0.10098
55770.78189 20.34588 0.14879
55770.82573 20.34535 0.12097
55771.78074 20.44855 0.13835
55771.82449 20.24409 0.11737
55774.80363 20.51237 0.122
55775.7599 20.18229 0.15978
55779.79086 20.23327 0.10659
55780.79415 20.15524 0.14778
55782.7956 20.07394 0.13299
55793.74743 19.88777 0.14428
55793.79097 20.27278 0.16517
55794.75972 20.38195 0.12159
55794.81629 20.10887 0.1219
55809.7101 20.172 0.17141
55813.70671 19.93451 0.19656
55821.63464 20.23417 0.13788
55822.63132 20.48962 0.16208
55822.67415 20.07195 0.13258
55823.62908 20.11978 0.13741
55823.67275 20.42097 0.12588
55824.6697 20.44752 0.14855
55838.65944 19.91263 0.11978
55849.60547 20.58624 0.15667
55849.65079 20.19623 0.14579
55850.64918 19.94112 0.11112
55851.60318 20.25244 0.11982
55851.64641 20.10223 0.10828
55852.60416 20.29839 0.14488
55852.6481 20.32071 0.11579
55853.60163 20.47903 0.1276
55853.6463 20.26639 0.11056
55854.60164 20.28402 0.1306
55854.64607 20.18148 0.1147
55866.64679 20.25947 0.11577
55867.58757 19.84249 0.15656
55867.63053 20.39541 0.19026
55868.63002 20.12761 0.14345
55880.87841 20.59256 0.16801
55882.86968 20.09893 0.13574
55882.87146 20.18287 0.13235
55883.86679 19.8451 0.13377
55887.68352 20.20352 0.11531
55889.80049 20.15201 0.1051
55889.84447 20.48485 0.11917
55894.58144 19.91716 0.13621
55896.58202 20.23418 0.16277
55925.67897 19.9314 0.09417
55930.58585 19.77234 0.14491
55930.62499 19.76926 0.13122
55932.62858 19.79282 0.15988
55936.65247 19.99316 0.14977
55939.6851 19.7058 0.12447
55943.69972 19.8667 0.12238
55943.74446 20.08918 0.15947
55944.67224 20.15594 0.1084
55958.61566 19.93964 0.14298
55958.67117 20.16237 0.19747
55962.61935 20.30727 0.15559
56067.96802 20.51448 0.15268
56075.93073 20.27416 0.14629
56076.96161 20.26665 0.14397
56084.95914 20.23509 0.18201
56093.88544 20.59418 0.15877
56097.90204 20.08344 0.12417
56100.87134 20.06266 0.12919
56100.93113 20.19844 0.14508
56102.85884 20.30811 0.14439
56102.88948 20.19278 0.14325
56102.91975 20.44571 0.10881
56103.89198 20.31717 0.16356
56104.89266 19.8505 0.16627
56116.93261 20.05726 0.13111
56123.8333 20.19003 0.15985
56123.86323 20.23767 0.1208
56124.85579 19.84918 0.15599
56125.83541 20.38852 0.14546
56125.8655 20.44178 0.13717
56125.89611 20.02558 0.10996
56126.79674 20.4965 0.25467
56126.82683 20.17345 0.14728
56128.8202 20.15964 0.1169
56129.81763 19.87838 0.12588
56129.84839 20.4063 0.14567
56130.78415 20.31715 0.17196
56130.81619 19.86765 0.17485
56132.81342 20.03831 0.10748
56133.77702 20.17965 0.13069
56133.80732 20.36547 0.11678
56135.77548 20.17966 0.14827
56135.80558 20.30545 0.13516
56136.81139 20.08979 0.13057
56136.84105 20.06458 0.13845
56143.77946 20.11102 0.15669
56144.82138 20.27049 0.15717
56147.78019 20.04104 0.17916
56147.81614 20.10699 0.16287
56148.73743 20.27832 0.13746
56148.76798 20.04473 0.1508
56151.84315 20.25788 0.1132
56151.87618 20.0515 0.089
56165.82275 20.03148 0.10356
56166.82415 20.30286 0.11177
