#mjd mag magerr
55061.92501 19.09994 0.03182
55061.95573 19.14147 0.03113
55063.91987 19.06891 0.03068
55063.9639 19.05879 0.03095
55064.92128 19.08007 0.03216
55064.9656 19.05178 0.03316
55066.91014 19.05959 0.03286
55066.95474 19.04008 0.02958
55067.91649 19.10842 0.04271
55067.96099 19.07273 0.04148
55069.90324 19.04346 0.03364
55069.94786 19.12321 0.03457
55080.87449 19.1611 0.08061
55080.95988 19.00609 0.09556
55084.86328 19.08093 0.05261
55087.85609 19.08929 0.03539
55087.90101 19.10709 0.03475
55088.96983 19.08793 0.0325
55089.01521 19.10295 0.03531
55089.94574 19.04093 0.03445
55089.99042 19.10494 0.03548
55093.83741 19.10173 0.03656
55093.88196 19.07729 0.03277
55096.8292 19.12815 0.03663
55097.00858 19.0145 0.04012
55104.99862 19.02589 0.05704
55107.79764 19.1317 0.0941
55114.88125 19.06511 0.04271
55114.92522 19.27894 0.09556
55119.89538 19.08331 0.04166
55119.95365 19.0498 0.04387
55123.75696 19.01192 0.03618
55123.81523 19.09225 0.03577
55126.97957 19.08955 0.05754
55127.83329 19.11484 0.03975
55127.87706 19.15089 0.04292
55135.82555 19.27385 0.07359
55135.86926 19.13491 0.07967
55138.71472 19.16709 0.08262
55138.75871 19.27614 0.08821
55142.7036 19.06703 0.03944
55142.75219 19.06929 0.04311
55144.77886 19.05578 0.0375
55144.82305 19.04843 0.04221
55151.72943 19.16407 0.04288
55151.77257 19.10386 0.04003
55166.70473 19.27123 0.09667
55166.74897 19.37221 0.09341
55168.63378 19.1381 0.0656
55168.6775 19.10969 0.0609
55175.61224 19.08155 0.03509
55175.65684 19.12826 0.03315
55181.59421 19.17917 0.05842
55181.63825 19.16113 0.05454
55183.59204 18.96251 0.06512
55183.64253 19.01743 0.04192
55189.58054 19.17821 0.05462
55189.62557 19.07777 0.04404
55194.59026 19.21412 0.08913
55199.58559 19.0297 0.0389
55201.58642 19.14409 0.09519
55202.58667 19.12976 0.045
55203.71441 19.00672 0.04914
55203.75743 19.09007 0.0506
55207.63092 19.07965 0.04011
55207.67514 19.00354 0.03562
55209.5968 19.0365 0.03364
55209.64149 19.00636 0.0339
55213.63312 19.02897 0.04904
55213.6798 19.10991 0.0576
55377.85123 19.22682 0.07989
55377.89535 19.35202 0.07933
55378.90615 19.38597 0.09096
55379.8591 19.18064 0.06858
55379.92482 19.22493 0.05243
55380.87684 19.11979 0.0738
55380.92078 19.30495 0.07116
55381.89606 19.01408 0.04773
55381.93934 19.16663 0.04793
55384.82671 19.17299 0.04443
55384.87028 19.06455 0.03871
55385.87021 19.18738 0.03982
55385.91339 19.18086 0.0376
55386.86524 19.15479 0.04098
55386.90867 19.17202 0.03991
55387.87002 19.11598 0.03791
55387.91342 19.20561 0.03613
55388.86609 19.25033 0.05228
55388.91005 19.13696 0.03742
55390.80957 19.26019 0.06111
55390.85393 19.11563 0.04515
55391.80613 19.11282 0.05821
55391.87538 19.17904 0.04254
55392.83258 19.07726 0.04652
55392.87538 19.12109 0.03933
55394.79908 19.28872 0.05874
55394.8431 19.20717 0.0482
55395.79551 19.15959 0.05993
55395.84215 19.20817 0.0457
55396.79527 19.309 0.07311
55396.83932 19.224 0.04251
55397.79163 19.25173 0.0823
55397.83526 19.12632 0.0444
55398.78764 19.09105 0.0812
55398.83124 19.14353 0.0591
55399.78802 19.20567 0.08551
55399.83261 19.31906 0.07018
55400.78534 19.53657 0.0993
55400.8289 19.18416 0.07289
55401.78133 19.27244 0.10811
55401.82518 19.22189 0.08549
55402.77979 19.09698 0.11714
55402.8246 19.42445 0.11287
55403.81973 19.17203 0.10011
55404.77424 19.45174 0.11422
55404.84266 19.30576 0.077
55405.8416 19.45001 0.08909
55406.79514 19.01458 0.10896
55407.7691 19.30062 0.11761
55407.83003 19.46135 0.1296
55408.78389 19.32962 0.16092
55411.79896 19.32516 0.05854
55412.75232 19.2184 0.08527
55412.79539 19.37049 0.07421
55413.75577 19.36125 0.09715
55413.79945 19.2354 0.07993
55414.75161 19.40117 0.09907
55414.79555 19.31088 0.06388
55415.75266 19.34366 0.08566
55415.79727 19.39312 0.11841
55416.75096 19.35938 0.1133
55416.79342 19.23432 0.06711
55417.75979 19.34851 0.09604
55417.84511 19.52983 0.08562
55418.79843 19.30943 0.08677
55418.84121 19.21824 0.05895
55419.75121 19.29194 0.11691
55419.79504 19.44401 0.06953
55420.78929 19.54021 0.10065
55420.83264 19.36049 0.07166
55421.73664 19.22171 0.04736
55421.79901 19.18274 0.03879
55422.75115 19.27868 0.04751
55422.79487 19.2053 0.04163
55423.74742 19.23507 0.05212
55423.79284 19.24512 0.04189
55424.75349 19.29404 0.062
55424.80178 19.21143 0.03913
55425.76166 19.2752 0.05572
55425.80573 19.16335 0.03783
55426.80123 19.18248 0.04914
55426.8444 19.24608 0.03838
55427.79708 19.25517 0.0574
55427.8408 19.24451 0.04681
55428.79281 19.22106 0.06297
55428.83703 19.25578 0.05227
55429.8142 19.28932 0.06137
55429.85716 19.28632 0.05337
55430.75769 19.38834 0.0835
55430.80485 19.2597 0.06248
55431.75639 19.26793 0.07828
55431.80024 19.26237 0.0697
55432.73907 19.31083 0.09918
55432.78359 19.22331 0.08958
55433.70425 19.4649 0.11841
55433.7493 19.35886 0.12627
55434.73769 19.16043 0.11245
55435.69148 19.47842 0.17738
