#mjd mag magerr
55061.92501 18.94919 0.03016
55061.95573 18.94002 0.02757
55063.91987 18.9009 0.02903
55063.9639 18.92101 0.02895
55064.92128 18.9771 0.03958
55064.9656 18.96978 0.04102
55066.91014 18.885 0.03023
55066.95474 18.85284 0.03319
55067.91649 19.02039 0.04569
55067.96099 18.94787 0.04348
55069.90324 18.88009 0.03296
55069.94786 18.96752 0.03138
55080.87449 18.69895 0.06576
55080.95988 18.87737 0.1088
55084.86328 18.92115 0.04993
55087.85609 18.85544 0.03004
55087.90101 18.88468 0.02875
55088.96983 18.86981 0.02849
55089.01521 18.90884 0.03049
55089.94574 18.87829 0.03079
55089.99042 18.84532 0.03004
55093.83741 18.86595 0.0291
55093.88196 18.87689 0.03028
55096.8292 18.85079 0.03112
55097.00858 18.86719 0.03605
55104.99862 18.92757 0.04045
55107.79764 18.86587 0.06763
55114.88125 18.86016 0.0384
55114.92522 18.85821 0.07646
55119.89538 18.8615 0.0348
55119.95365 18.87693 0.03457
55123.75696 18.86932 0.03157
55123.81523 18.8706 0.03214
55126.97957 18.91212 0.04228
55127.83329 18.86006 0.03245
55127.87706 18.93067 0.03826
55586.61685 18.63969 0.02988
55586.66038 18.63688 0.03373
55588.66264 18.77288 0.05418
55722.89872 18.66973 0.04092
55723.91976 18.75975 0.04084
55723.9634 18.7786 0.0356
55730.87802 18.82552 0.108
55730.92322 18.64157 0.06021
55733.86776 18.68819 0.05301
55733.91212 18.73409 0.04679
55750.83279 18.78419 0.04516
55750.87598 18.67576 0.03652
55753.86132 18.9288 0.06012
55756.88391 18.86728 0.07195
55759.84878 18.79279 0.05478
55759.89212 18.78481 0.05039
55762.79606 18.77381 0.06343
55762.8402 18.77365 0.04966
55766.7805 18.72973 0.04165
55766.83041 18.75189 0.03932
55768.77509 18.64165 0.04438
55768.82037 18.72429 0.0394
55769.80074 18.82878 0.03791
55769.84468 18.71502 0.03061
55770.78189 18.84833 0.04198
55770.82573 18.73036 0.03333
55771.78074 18.80136 0.04169
55771.82449 18.8369 0.0368
55774.75968 18.76076 0.04228
55774.80363 18.70261 0.03324
55775.7599 18.90069 0.05928
55775.80332 18.69872 0.08498
55779.7464 18.88095 0.04781
55779.79086 18.75433 0.03536
55780.74948 18.73427 0.0449
55780.79415 18.73102 0.03575
55782.7508 18.69693 0.06196
55782.7956 18.75421 0.04545
55783.7573 18.86139 0.07772
55783.80103 18.58973 0.04533
55784.74207 18.81759 0.07871
55789.73736 18.77304 0.08042
55789.78039 18.60753 0.05466
55790.73125 18.80404 0.0674
55790.77463 18.6149 0.0501
55791.73123 18.75139 0.06201
55791.77527 18.57299 0.05253
55793.74743 18.69546 0.04856
55793.79097 18.65284 0.04772
55794.75972 18.73898 0.0359
55794.81629 18.81176 0.04409
55809.66644 18.75889 0.07225
55809.7101 18.76578 0.04715
55811.66044 18.62109 0.06326
55811.7042 18.65275 0.05024
55812.65876 18.81679 0.06687
55812.70198 18.709 0.04732
55813.66257 18.63259 0.05898
55813.70671 18.71252 0.05209
55818.70874 18.85056 0.17449
55820.63925 18.67941 0.04751
55820.68324 18.5162 0.06985
55821.63464 18.73981 0.04317
55822.63132 18.82554 0.04969
55822.67415 18.67735 0.03397
55823.62908 18.55631 0.04136
55823.67275 18.65895 0.03499
55824.62608 18.76849 0.05373
55824.6697 18.6196 0.03437
55838.61464 18.62956 0.04515
55838.65944 18.66947 0.04689
55842.61856 18.64807 0.07075
55842.66208 18.62322 0.05452
55843.61073 18.66569 0.09503
55843.65444 18.53901 0.06178
55844.60924 18.50523 0.06536
55844.65374 18.46987 0.0588
55849.60547 18.49683 0.03593
55849.65079 18.72835 0.05026
55850.60468 18.5847 0.03486
55850.64918 18.6341 0.0355
55851.60318 18.64235 0.03606
55851.64641 18.67607 0.03136
55852.60416 18.71018 0.04205
55852.6481 18.65541 0.03087
55853.60163 18.64687 0.03693
55853.6463 18.57754 0.02883
55854.60164 18.528 0.03799
55854.64607 18.66906 0.0295
55867.58757 18.61569 0.04982
55868.5865 18.62637 0.04694
55868.63002 18.74289 0.04001
55880.92255 18.60365 0.05088
55882.87146 18.70423 0.04187
55882.91495 18.7597 0.04662
55883.86679 18.76175 0.04138
55883.91496 18.782 0.05712
55887.68352 18.7197 0.03568
55888.8957 18.74896 0.05655
55889.84447 18.57155 0.03193
55894.58144 18.64671 0.04224
55895.57997 18.72825 0.11062
55898.82137 18.64088 0.05356
55898.86551 18.75534 0.05306
55899.80997 18.71693 0.10682
55903.58342 18.76503 0.07792
55906.58378 18.74641 0.05053
55930.58585 18.61049 0.06107
55930.62499 18.63239 0.05638
55932.62858 18.76114 0.05311
55939.6851 18.77721 0.04349
55940.64013 18.79955 0.07099
55943.69972 18.68116 0.036
55943.74446 18.76017 0.04745
55958.61566 18.75019 0.05088
55958.67117 18.72257 0.05489
55962.61935 18.68876 0.05213
56060.97134 18.73009 0.05663
56063.96519 18.73713 0.06525
56065.96588 18.87499 0.07084
56066.96916 18.91013 0.06353
56067.96802 18.71869 0.0513
56068.98301 18.72625 0.09426
56070.97101 18.80788 0.0542
56071.95528 18.76381 0.05618
56075.93073 18.80417 0.05428
56076.96161 18.75356 0.04574
56084.95914 18.7841 0.06594
56090.89626 18.84797 0.08477
56094.8793 18.9034 0.05607
56100.87134 18.81172 0.05016
56101.86099 18.99937 0.06365
56102.85884 18.81017 0.04877
56102.88948 18.94262 0.04682
56103.85688 18.82277 0.05943
56104.86298 18.78361 0.04598
56116.93261 18.78995 0.05072
56123.80269 18.75549 0.04462
56123.8333 18.78157 0.04248
56124.8239 18.75669 0.04406
56125.89611 18.70135 0.03632
56126.79674 18.69842 0.04624
56126.82683 18.97587 0.05193
56130.78415 18.8619 0.0559
56133.77702 18.70057 0.04177
56133.80732 18.60153 0.06747
56135.77548 18.73902 0.04867
56136.78168 18.7373 0.05118
56137.77719 18.83562 0.05379
56143.75013 18.75396 0.08413
56143.77946 18.7376 0.06348
56143.81202 18.68601 0.05883
56144.79078 18.68646 0.05862
56145.74531 18.85415 0.10196
56146.74205 18.64077 0.09047
56146.77217 18.59931 0.06183
56147.75046 18.77983 0.04934
56147.78019 18.70848 0.05952
56148.73743 18.87239 0.04675
56151.87618 18.72968 0.0252
56166.82415 18.80459 0.03514
56166.85436 18.68055 0.02897
56168.73084 18.88058 0.05717
56169.70528 18.95156 0.09426
56169.73488 18.79201 0.07174
56169.78208 18.66129 0.06074
56170.70609 18.76182 0.08275
56170.73648 18.79493 0.07045
56170.76821 18.72474 0.07093
56176.74473 18.74402 0.04284
56176.77537 18.80894 0.04725
56177.67775 18.84049 0.03637
56177.71467 18.77581 0.03078
56177.7448 18.71996 0.02948
56178.65701 18.93185 0.04986
56178.7245 18.70372 0.03759
56178.75548 18.83662 0.03024
56189.71737 18.8002 0.03918
56194.65274 18.74928 0.05113
56194.68156 18.70048 0.04382
56194.73072 18.78395 0.04035
56195.63238 18.80954 0.05808
56195.68489 18.69825 0.04636
56195.74387 18.75899 0.04618
56196.64868 18.78539 0.05336
56196.67925 18.88187 0.05489
56196.70945 18.76961 0.04688
56197.62224 18.78576 0.07504
56197.68048 18.75834 0.05686
56198.63271 18.84199 0.08078
56198.66294 18.75131 0.07268
56198.69225 18.81983 0.0665
56202.61563 18.7768 0.08045
56202.64754 18.74386 0.07864
56224.66207 18.83237 0.04499
56224.69182 18.83983 0.05462
56225.74851 18.80723 0.04831
56225.84088 18.8403 0.0476
56226.75858 18.8552 0.09102
56227.72154 18.84934 0.06012
56227.75148 18.86157 0.0629
56228.67316 18.7944 0.05494
56228.71 18.91257 0.05674
56229.61202 18.84804 0.06537
56229.68338 18.75983 0.06102
56230.64599 18.70613 0.06564
56230.73676 18.87993 0.06714
56231.86041 18.70328 0.05552
56232.82116 18.8522 0.0508
56233.78371 18.89315 0.06325
56234.68453 18.71315 0.03631
56234.71313 18.90768 0.04379
56235.61461 18.72782 0.0352
56235.64419 18.80535 0.03268
56236.58514 18.87464 0.0509
56236.61561 18.74874 0.03516
56237.58477 18.72905 0.04122
56237.61509 18.72574 0.03277
56238.58334 18.68086 0.04162
56238.61531 18.656 0.03124
56239.58294 18.77642 0.04061
56239.61141 18.71956 0.03153
56251.83071 18.73412 0.03177
56251.86073 18.67543 0.03303
56252.58576 18.74255 0.0337
56252.60631 18.7244 0.03082
56252.62487 18.77912 0.03518
56252.64555 18.69104 0.0348
56252.66096 18.78307 0.03478
56252.69879 18.72421 0.03476
56252.71706 18.80207 0.03549
56252.73499 18.74642 0.03122
56252.75258 18.77109 0.03352
56252.76856 18.6186 0.03373
56252.78929 18.75107 0.0418
56252.80517 18.70061 0.03423
56252.821 18.78734 0.03375
56252.83831 18.69707 0.03184
56252.85634 18.78404 0.03363
56253.58621 18.74205 0.03901
56253.60335 18.69722 0.03992
56253.62054 18.73728 0.03854
56253.63682 18.70582 0.03583
56253.6539 18.73791 0.03772
56253.6721 18.61801 0.03807
56253.70902 18.66044 0.04628
56253.7307 18.62543 0.03962
56253.75003 18.68583 0.04882
56253.76637 18.64347 0.04157
56253.78832 18.70382 0.04167
56253.8078 18.77829 0.04614
56253.82956 18.72514 0.04241
56253.85372 18.65616 0.04173
56254.74613 18.80751 0.04173
56254.77889 18.71856 0.04515
56255.68248 18.75948 0.05321
56255.7252 18.73748 0.05071
56256.62657 18.72516 0.04829
56257.58763 18.74132 0.06115
56257.64219 18.69952 0.04832
56258.58614 18.72024 0.06652
56258.61848 18.77105 0.05603
56259.59443 18.70341 0.05665
56259.62495 18.73957 0.0591
56265.629 18.72574 0.03025
56265.6592 18.73921 0.03727
56266.58222 18.73499 0.0506
56267.58751 18.75453 0.03034
56267.61751 18.71576 0.03092
56268.59364 18.70866 0.02738
56268.62314 18.64334 0.02486
56269.58319 18.75603 0.03242
56269.58435 18.70606 0.02896
56269.58546 18.69131 0.02893
56269.58657 18.7079 0.02879
56269.58771 18.65814 0.02711
56269.58893 18.77144 0.03038
