#mjd mag magerr
55377.35572 18.93 0.085
55377.39866 19.1 0.09
55377.39992 18.942 0.084
55385.45055 18.883 0.042
55405.31791 18.972 0.095
55417.2658 19.062 0.18
55420.29012 18.778 0.161
55420.33236 18.964 0.155
55423.36104 18.879 0.063
55423.3622 18.842 0.04
55423.42997 18.818 0.063
55426.41214 18.859 0.094
55426.45492 18.79 0.094
55429.4164 18.925 0.105
55429.4193 18.747 0.045
55429.45973 18.844 0.104
55429.4631 18.822 0.04
55438.45768 18.922 0.067
55438.45985 18.809 0.06
55438.50133 18.915 0.068
55438.50375 18.969 0.065
55441.4736 18.787 0.043
55441.47585 18.842 0.05
55444.47219 18.843 0.043
55444.51091 18.876 0.05
55445.16066 18.895 0.056
55445.22096 18.841 0.045
55447.50358 18.775 0.04
55448.15094 18.873 0.063
55448.17319 18.81 0.049
55448.19523 18.889 0.054
55448.21648 18.824 0.042
55457.22723 18.878 0.054
55457.23398 18.82 0.08
55457.27161 18.8 0.046
55457.2782 18.82 0.08
55460.22474 18.748 0.057
55460.23297 18.75 0.05
55460.26812 18.911 0.06
55460.2758 18.976 0.057
55463.21794 18.929 0.084
55463.26203 18.88 0.081
55463.2902 18.804 0.063
55465.51239 18.817 0.1
55467.11045 18.982 0.08
55468.25926 18.839 0.06
55468.48769 18.922 0.065
55470.31371 18.863 0.117
55471.10724 18.972 0.069
55471.15494 18.87 0.049
55480.18682 18.936 0.042
55480.18792 18.815 0.046
55480.23103 18.845 0.038
55480.23405 18.899 0.046
55483.19922 18.852 0.048
55483.20315 18.891 0.055
55483.24586 18.877 0.045
55483.24696 18.794 0.051
55486.2214 18.859 0.06
55486.22398 18.901 0.141
55486.26632 18.866 0.06
55486.26742 19.011 0.109
55502.23161 18.936 0.057
55502.31332 18.968 0.057
55506.26793 18.877 0.056
55506.26903 18.807 0.082
55506.34983 18.912 0.083
55506.35099 18.917 0.059
55545.0989 19.169 0.115
55545.14235 18.984 0.105
55579.19701 18.938 0.073
55693.48937 18.955 0.114
55693.49055 18.863 0.128
55694.47651 18.876 0.06
55694.4777 18.954 0.062
55702.45998 18.864 0.14
55702.46117 18.895 0.141
55706.46367 18.927 0.065
55707.48683 18.876 0.128
55721.41086 18.972 0.065
55721.42703 18.852 0.049
55721.45478 18.967 0.052
55721.47145 18.802 0.049
55724.4003 18.931 0.067
55724.44493 19.033 0.049
55724.45589 18.946 0.052
55725.39315 19.064 0.104
55725.43717 18.909 0.062
55730.39659 18.86 0.103
55730.44048 19.041 0.1
55730.44224 18.82 0.072
55733.36934 18.983 0.077
55733.37764 18.969 0.128
55733.41369 18.993 0.065
55733.4215 18.912 0.121
55753.36682 18.944 0.073
55753.4088 18.927 0.039
55753.41036 18.946 0.051
55779.30307 18.866 0.048
55779.30422 18.781 0.043
55779.34753 18.946 0.044
55779.34869 18.903 0.051
55782.46525 18.93 0.073
55782.47618 18.82 0.041
55783.26404 18.958 0.074
55783.26699 19.054 0.074
55783.32307 18.891 0.068
55793.25543 18.83 0.063
55793.25666 19.069 0.074
55793.29916 18.925 0.071
55793.3004 18.992 0.076
55809.17041 18.979 0.119
55809.22679 18.962 0.146
55838.12623 18.934 0.057
55838.17863 19.027 0.067
55873.29168 18.914 0.142
55884.08435 18.892 0.07
55884.08555 19.051 0.091
55884.12764 18.998 0.066
55884.12885 18.999 0.081
55891.09165 18.899 0.05
55891.09293 18.798 0.053
55891.13481 18.881 0.05
55891.13606 18.911 0.056
55931.14666 18.783 0.175
55931.14783 18.975 0.171
55939.20077 18.969 0.072
55939.20342 19.085 0.087
55944.10942 18.857 0.126
55944.11214 18.954 0.133
55944.11335 18.889 0.126
55944.14158 18.96 0.134
55947.11602 18.933 0.077
55947.11721 18.967 0.082
55947.15901 18.99 0.078
55952.13079 19.045 0.059
55952.13202 19.016 0.054
55952.1743 18.972 0.067
55952.17545 18.977 0.057
55962.12719 19.009 0.078
55962.17087 18.948 0.084
