#mjd mag magerr
55061.92501 20.13819 0.08689
55061.95573 20.30202 0.08405
55063.91987 20.3479 0.08781
55063.9639 20.31601 0.07449
55064.92128 20.3281 0.09206
55064.9656 20.33678 0.0896
55066.91014 20.159 0.07849
55066.95474 20.11184 0.0764
55067.91649 20.45239 0.16013
55067.96099 20.45687 0.12668
55069.90324 20.31809 0.08209
55069.94786 20.41252 0.09053
55084.86328 20.39315 0.11961
55087.85609 20.33444 0.08542
55087.90101 20.25068 0.0811
55088.96983 20.21481 0.0814
55089.01521 20.31284 0.09236
55089.94574 20.4103 0.08904
55089.99042 20.32333 0.08266
55093.83741 20.33895 0.07851
55093.88196 20.28689 0.07925
55096.8292 20.29579 0.08373
55097.00858 20.40319 0.10402
55104.99862 20.57457 0.13767
55114.88125 20.30116 0.10172
55119.89538 20.4655 0.10084
55119.95365 20.37793 0.10479
55123.75696 20.19832 0.09026
55123.81523 20.4976 0.10204
55126.97957 20.37912 0.15075
55127.83329 20.20306 0.11294
55127.87706 20.47267 0.10466
55135.86926 20.24436 0.19948
55142.7036 20.56605 0.11644
55142.75219 20.11131 0.10178
55144.77886 20.17818 0.08927
55144.82305 20.74737 0.12816
55151.72943 20.37466 0.10257
55151.77257 20.49452 0.10835
55168.6775 20.44357 0.13931
55175.61224 20.51473 0.09265
55175.65684 20.34586 0.07809
55181.59421 20.34231 0.11768
55183.64253 20.35467 0.1063
55189.58054 20.12894 0.13016
55189.62557 20.25599 0.09832
55199.58559 20.18289 0.09013
55202.58667 20.40644 0.1223
55203.71441 20.49079 0.11964
55203.75743 20.21517 0.11042
55207.63092 20.33327 0.09533
55207.67514 20.27777 0.09394
55209.5968 20.24916 0.07688
55209.64149 20.34739 0.08296
55213.63312 20.48299 0.11963
55213.6798 20.25627 0.15118
55379.8591 20.11782 0.14176
55379.92482 20.31826 0.11373
55380.92078 20.68465 0.14766
55381.89606 20.04126 0.10557
55381.93934 20.1881 0.10276
55384.82671 20.18994 0.09096
55384.87028 20.1694 0.08887
55385.87021 20.30836 0.08865
55385.91339 20.20725 0.07776
55386.86524 20.36947 0.10087
55386.90867 20.46842 0.1038
55387.87002 20.30324 0.08933
55387.91342 20.25153 0.07605
55388.86609 20.34212 0.16036
55388.91005 20.18068 0.07577
55390.80957 20.13321 0.10797
55390.85393 20.49894 0.11076
55391.80613 20.46212 0.18653
55391.87538 20.27396 0.09508
55392.83258 20.40592 0.11171
55392.87538 20.36809 0.09525
55394.79908 20.39911 0.15876
55394.8431 20.36245 0.10716
55395.84215 20.30516 0.09793
55396.79527 20.3394 0.13245
55396.83932 20.27977 0.10466
55397.83526 20.38687 0.11105
55398.83124 20.43535 0.12254
55399.78802 20.25341 0.20665
55399.83261 20.08257 0.13071
55400.78534 20.38338 0.18206
55400.8289 20.2711 0.12999
55401.82518 20.30316 0.1586
55404.84266 20.35327 0.16472
55411.79896 20.24365 0.14204
55412.79539 20.54024 0.15464
55414.79555 20.23349 0.16426
55416.79342 20.13038 0.15557
55417.84511 20.23578 0.13534
55418.79843 20.1557 0.1333
55418.84121 20.40592 0.12399
55419.79504 20.54358 0.141
55421.73664 20.35608 0.12295
55421.79901 20.33447 0.08325
55422.75115 20.17953 0.10525
55422.79487 20.1151 0.08565
55423.74742 20.10931 0.0967
55423.79284 20.11426 0.08172
55424.75349 20.53622 0.12445
55424.80178 20.2323 0.08718
55425.76166 20.28474 0.11696
55425.80573 20.10314 0.07474
55426.80123 20.40427 0.12473
55426.8444 20.18975 0.07682
55427.79708 20.20003 0.10386
55427.8408 20.48193 0.1051
55428.79281 20.13652 0.11985
55428.83703 20.20365 0.10599
55429.8142 20.34799 0.13146
55429.85716 20.42802 0.11432
55430.75769 20.11828 0.12876
55430.80485 20.26085 0.16121
55431.75639 20.41867 0.15389
55436.89501 20.52067 0.18613
55436.90109 20.45461 0.15985
55436.91931 20.70227 0.17034
55436.92514 20.40123 0.17364
55436.92806 20.0829 0.16924
55436.93096 20.33707 0.22933
55436.94915 20.09078 0.20383
