#mjd mag magerr
55061.92501 19.69594 0.04914
55061.95573 19.66347 0.04566
55063.91987 19.61491 0.04452
55063.9639 19.67678 0.04647
55064.92128 19.65708 0.0502
55064.9656 19.67478 0.0505
55066.91014 19.68459 0.04861
55066.95474 19.68108 0.04638
55067.91649 19.71442 0.05638
55067.96099 19.68973 0.05603
55069.90324 19.67446 0.04837
55069.94786 19.63721 0.04982
55080.87449 19.7031 0.13572
55080.95988 19.79009 0.16829
55084.86328 19.72894 0.07728
55087.85609 19.69129 0.0666
55087.90101 19.64409 0.05709
55088.96983 19.71793 0.05372
55089.01521 19.63294 0.05787
55089.94574 19.59593 0.05675
55089.99042 19.64294 0.0669
55093.83741 19.80173 0.05391
55093.88196 19.58229 0.04812
55096.8292 19.76415 0.05581
55097.00858 19.7115 0.06091
55104.99862 19.68489 0.09138
55107.79764 19.5237 0.12557
55114.88125 19.78112 0.07733
55119.89538 19.6313 0.06298
55119.95365 19.8288 0.07631
55123.75696 19.56992 0.05409
55123.81523 19.71425 0.06072
55126.97957 19.95055 0.09289
55127.83329 19.70984 0.07623
55127.87706 19.67789 0.06498
55135.82555 19.95685 0.1462
55135.86926 19.76491 0.15689
55138.71472 19.9831 0.12658
55138.75871 19.81314 0.18655
55142.7036 19.77003 0.06668
55142.75219 19.56129 0.09045
55144.77886 19.61878 0.05361
55144.82305 19.68243 0.08511
55151.72943 19.64107 0.07107
55151.77257 19.91086 0.07183
55166.70473 19.94323 0.12176
55166.74897 19.76021 0.13198
55168.63378 19.7781 0.1403
55168.6775 19.94669 0.10941
55175.61224 19.67056 0.05256
55175.65684 19.64326 0.05218
55181.59421 19.84517 0.09223
55181.63825 19.71213 0.07622
55183.59204 19.66951 0.14253
55183.64253 19.69843 0.06574
55189.58054 19.76121 0.08814
55189.62557 19.66377 0.08637
55194.59026 19.62612 0.16188
55199.58559 19.6767 0.06258
55201.58642 19.78909 0.1643
55202.58667 19.58176 0.08033
55203.71441 19.73072 0.07366
55203.75743 19.81807 0.08881
55207.63092 19.74364 0.05987
55207.67514 19.80354 0.06287
55209.5968 19.7495 0.05674
55209.64149 19.66236 0.05512
55213.63312 19.63497 0.07406
55213.6798 19.67892 0.08693
55377.89535 19.80902 0.11349
55379.92482 19.67493 0.08098
55380.92078 19.82495 0.10724
55381.89606 19.61708 0.09526
55381.93934 19.76863 0.07259
55384.82671 19.67999 0.07098
55384.87028 19.77955 0.07286
55385.87021 19.68837 0.05968
55385.91339 19.65685 0.05597
55386.86524 19.64178 0.06621
55386.90867 19.76202 0.06097
55387.87002 19.74098 0.06069
55387.91342 19.60461 0.04934
55388.86609 19.75233 0.07703
55388.91005 19.78696 0.06287
55390.80957 19.72618 0.08747
55390.85393 19.72463 0.07659
55391.80613 19.87582 0.11515
55391.87538 19.80904 0.06919
55392.83258 19.72626 0.07727
55392.87538 19.71209 0.05799
55394.79908 19.76872 0.0812
55394.8431 19.69917 0.06478
55395.79551 19.78059 0.10173
55395.84215 19.91317 0.07442
55396.79527 19.823 0.10977
55396.83932 19.748 0.06457
55397.79163 19.76373 0.12406
55397.83526 19.78332 0.07556
55398.78764 19.85705 0.11137
55398.83124 19.65954 0.09157
55399.83261 19.90406 0.10616
55400.78534 19.82357 0.16036
55400.8289 19.79616 0.10376
55401.82518 19.61889 0.11587
55404.84266 19.48376 0.13416
55405.8416 19.84301 0.12267
55407.7691 19.47462 0.15828
55407.83003 19.70835 0.1288
55411.79896 19.53116 0.08351
55412.75232 19.9114 0.12811
55412.79539 19.99749 0.11824
55413.79945 19.4804 0.10768
55414.75161 19.74817 0.15479
55414.79555 19.58188 0.08557
55415.75266 19.95766 0.1281
55415.79727 19.88212 0.12856
55416.75096 19.94338 0.13887
55416.79342 19.71432 0.09927
55417.75979 19.57951 0.14746
55417.84511 19.77382 0.10483
55418.79843 19.58644 0.1044
55418.84121 19.56024 0.07821
55419.75121 19.74394 0.12737
55419.79504 19.78001 0.09648
55420.83264 19.68049 0.1124
55421.73664 19.75471 0.078
55421.79901 19.68374 0.05566
55422.75115 19.79868 0.08046
55422.79487 19.6413 0.07087
55423.74742 19.77107 0.07598
55423.79284 19.63112 0.06026
55424.75349 19.68204 0.10124
55424.80178 19.65143 0.06348
55425.76166 19.8772 0.11266
55425.80573 19.76135 0.06128
55426.80123 19.79748 0.07831
55426.8444 19.69909 0.0554
55427.79708 19.75717 0.08267
55427.8408 19.75851 0.07287
55428.79281 19.81506 0.08205
55428.83703 19.79878 0.07785
55429.8142 19.87832 0.09594
55429.85716 19.74632 0.07375
55430.75769 19.62134 0.11278
55431.75639 19.69293 0.11376
55431.80024 19.67837 0.09527
55432.73907 19.87183 0.15305
55432.78359 19.83132 0.12356
55433.7493 19.83186 0.18855
55434.73769 19.81143 0.17889
55436.88891 19.86698 0.11854
55436.8919 19.68527 0.09396
55436.89797 19.75837 0.13155
55436.90109 19.50472 0.15034
55436.9042 20.00626 0.14355
55436.90728 19.99046 0.11855
55436.91041 19.81885 0.14654
55436.91351 19.91537 0.11304
55436.91641 19.64845 0.11485
55436.92514 19.71899 0.13925
55436.92806 19.69151 0.16074
55436.93096 19.78935 0.16033
55436.93413 19.6053 0.13134
55436.93703 19.76377 0.12335
55436.93974 19.80977 0.13784
55436.94297 19.75156 0.17193
55436.94613 19.60441 0.13777
55436.94915 19.84002 0.15014
55436.95231 19.54395 0.14804
55436.9553 19.78651 0.11726
55436.95826 19.878 0.14984
55436.96116 19.74794 0.14285
55436.96403 19.69347 0.12203
55436.96671 19.78764 0.12494
55438.88857 19.70923 0.10965
55438.89169 20.0419 0.10107
55438.89485 20.01889 0.11256
55438.89798 19.90576 0.10286
55438.90086 19.77846 0.09788
55438.90371 19.74114 0.09447
55438.9065 19.83398 0.09226
55438.91204 19.70676 0.10885
55438.91487 19.95054 0.09346
55438.91763 19.62142 0.08927
55438.92394 19.51953 0.08949
55438.92672 19.64436 0.11045
55438.92954 19.88189 0.10187
55438.93259 19.72702 0.10897
55438.93551 19.71474 0.10266
55438.93833 19.7654 0.09986
55438.94106 19.75321 0.10656
55438.94411 19.7525 0.09877
55438.94678 19.59985 0.10106
55438.95017 19.86229 0.11436
55438.95913 19.67608 0.09137
55438.96141 19.94786 0.10146
55440.87507 19.74297 0.06818
55440.87823 19.84114 0.07027
55440.88428 19.73426 0.06241
55440.88675 19.7886 0.06189
55440.8894 19.81724 0.06362
55440.89205 19.74268 0.06718
55440.89518 19.70162 0.06588
55440.89832 19.71899 0.06087
55440.90145 19.6184 0.07459
55440.90439 19.81532 0.06407
55440.90729 19.7151 0.06311
55440.91025 19.85229 0.07436
55440.91316 19.85502 0.06807
55440.91591 19.77343 0.06939
55440.9187 19.69506 0.0635
55440.92149 19.74281 0.0646
55440.92426 19.67458 0.07348
55440.93095 19.63696 0.06139
55440.93364 19.666 0.05888
55440.93623 19.69345 0.06749
55440.9395 19.83708 0.07527
55440.94264 19.6471 0.05989
55440.94582 19.7811 0.06687
55440.94883 19.74897 0.07058
55440.95182 19.81071 0.06859
55440.95489 19.67024 0.06698
