#mjd mag magerr
55061.92501 19.72121 0.06259
55061.95573 19.68197 0.05894
55063.91987 19.6091 0.0622
55063.9639 19.5988 0.06116
55064.92128 19.65485 0.06155
55064.9656 19.63375 0.0654
55066.91014 19.59503 0.06283
55066.95474 19.57577 0.0656
55067.91649 19.77429 0.09047
55067.96099 19.60711 0.08374
55069.90324 19.60431 0.06123
55069.94786 19.73192 0.06532
55080.87449 20.03269 0.1735
55084.86328 19.77228 0.08577
55087.85609 19.75502 0.06449
55087.90101 19.72184 0.06585
55088.96983 19.67063 0.06318
55089.01521 19.77177 0.06959
55089.94574 19.61868 0.06042
55089.99042 19.6658 0.06783
55093.83741 19.79868 0.06507
55093.88196 19.57922 0.05891
55096.8292 19.78316 0.06452
55097.00858 19.80014 0.08017
55104.99862 19.73685 0.08882
55114.88125 19.5808 0.07301
55114.92522 19.94236 0.15874
55119.89538 19.76738 0.09548
55119.95365 19.80662 0.08441
55123.75696 19.58604 0.06417
55123.81523 19.82066 0.07045
55126.97957 19.72424 0.09648
55127.83329 19.62951 0.06742
55127.87706 19.87451 0.08215
55135.86926 19.67001 0.16062
55166.74897 19.31348 0.11534
55189.62557 19.80934 0.08446
55203.75743 19.59578 0.09109
55213.63312 19.57318 0.08602
55213.6798 19.69784 0.10091
55379.8591 19.93731 0.10951
55379.92482 19.57263 0.07915
55380.87684 19.60538 0.1128
55381.89606 19.52078 0.07437
55381.93934 19.50054 0.0778
55417.84511 19.51262 0.13263
55420.78929 19.56935 0.17732
55424.75349 19.49572 0.09331
55436.96671 19.45922 0.12848
55438.91763 19.66669 0.09201
55438.93833 19.85942 0.12812
55438.94106 19.57438 0.12233
55438.94411 19.65975 0.09698
55438.94678 19.54255 0.10303
55438.95017 19.61788 0.10527
55438.96141 19.58773 0.09166
55440.8894 19.50988 0.06806
55440.89205 19.45484 0.06446
55441.93727 19.51018 0.06458
55441.94326 19.47377 0.06006
55441.94546 19.61359 0.06715
55441.94852 19.55503 0.06439
55441.95194 19.51707 0.06992
55441.95469 19.62021 0.06165
55441.97757 19.65636 0.09519
55441.9835 19.48516 0.065
55441.9863 19.63672 0.07568
55441.98852 19.53711 0.06643
55441.99382 19.48108 0.06599
55442.02226 19.50846 0.12297
55442.8093 19.50839 0.05448
55442.97317 19.46399 0.06836
55442.97782 19.58443 0.06405
55443.01002 19.51487 0.059
55443.01702 19.42683 0.06968
55443.02387 19.69334 0.12112
55443.69287 19.76182 0.10957
55443.74306 19.63816 0.06533
55443.86252 19.61388 0.06414
55443.9693 19.59862 0.06813
55444.68857 19.66049 0.08019
55444.70198 19.41959 0.0719
55444.7091 19.62156 0.0726
55444.74094 19.68002 0.07252
55444.74655 19.53523 0.0665
55444.7673 19.5611 0.06754
55444.78368 19.5003 0.06361
55444.90153 19.48227 0.05708
55444.96923 19.4055 0.05444
55444.99553 19.59731 0.06277
55445.68422 19.32201 0.06515
55445.85762 19.53394 0.05822
55445.8636 19.61405 0.05548
55445.89432 19.43324 0.05454
55445.90668 19.54295 0.05667
55446.68915 19.51501 0.07256
55446.77518 19.5759 0.06189
55446.87945 19.56777 0.06267
55446.89176 19.57867 0.0622
55446.91958 19.59315 0.05967
55446.99026 19.47045 0.05722
55446.99646 19.51708 0.05869
55448.65527 19.38803 0.08331
55451.70095 19.54667 0.07197
55452.64792 19.80639 0.09644
55452.69243 19.5314 0.07409
55454.64058 19.42971 0.09461
55457.6732 19.50835 0.08528
55458.66069 19.51507 0.09325
55458.7057 19.46961 0.08763
55460.72453 19.44935 0.08267
55461.67649 19.54587 0.1237
55463.71104 19.42072 0.1472
55466.61784 19.6254 0.09815
55466.61959 19.52452 0.08542
55466.62134 19.76768 0.09179
55466.6231 19.61178 0.08732
55466.62486 19.64768 0.08629
55466.62661 19.5252 0.08006
55466.62943 19.57513 0.09402
55466.63143 19.7042 0.08457
55466.63348 19.57912 0.08176
55466.67604 19.77402 0.11584
55471.82993 19.54112 0.13464
55472.62548 19.43376 0.08224
55472.66936 19.45726 0.06638
55473.62096 19.40063 0.1315
55479.65968 19.64837 0.07063
55482.66188 19.55268 0.06738
55482.67843 19.57834 0.07249
55485.66329 19.5431 0.07829
55486.61418 19.70921 0.09902
55486.658 19.51646 0.12112
55499.59404 19.53338 0.08364
55499.63881 19.46588 0.06841
55502.82148 19.61658 0.07837
55503.8732 19.80951 0.10344
55504.91868 19.40904 0.07895
55507.89267 19.58314 0.08652
55513.7418 19.47525 0.0709
55514.69377 19.52314 0.07938
55514.73749 19.62714 0.09152
55515.74236 19.65014 0.08023
55517.6584 19.43269 0.09839
55539.62283 19.47902 0.06455
55540.61811 19.54573 0.06916
55540.66215 19.57933 0.07168
55558.75663 19.5407 0.07984
55561.77682 19.65855 0.09675
55580.71648 19.61844 0.1488
55586.61685 19.42674 0.06491
55586.66038 19.47618 0.07179
55588.66264 19.67247 0.11713
55588.70647 19.89603 0.13458
55722.89872 19.71953 0.09867
55723.91976 19.73377 0.09016
55723.9634 19.63773 0.07605
55730.92322 19.80018 0.12842
55733.86776 19.57818 0.10299
55733.91212 19.58096 0.09068
55750.83279 19.66529 0.08814
55750.87598 19.43746 0.07612
55753.86132 19.47801 0.12192
55756.88391 19.39928 0.12489
55756.93392 19.69733 0.11689
55759.84878 19.68326 0.11337
55759.89212 19.45098 0.09431
55762.79606 19.97678 0.14414
55762.8402 19.5206 0.09325
55766.7805 19.48953 0.09733
55766.83041 19.6173 0.08691
55768.77509 19.80699 0.1065
55768.82037 19.57079 0.08599
55769.80074 19.44487 0.06682
55769.84468 19.47023 0.06193
55770.78189 19.53789 0.07598
55770.82573 19.41735 0.06384
55771.78074 19.55655 0.07589
55771.82449 19.52809 0.06513
55774.75968 19.58642 0.08512
55774.80363 19.59537 0.07356
55775.7599 19.52529 0.07828
55775.80332 19.61885 0.08748
55779.7464 19.73167 0.10386
55779.79086 19.61427 0.07184
55780.74948 19.6572 0.10025
55780.79415 19.71524 0.07785
55782.7508 19.43943 0.13049
55782.7956 19.70394 0.10382
55783.7573 19.8164 0.13201
55783.80103 19.54499 0.1193
55784.74207 19.94044 0.15192
55789.73736 19.70004 0.1461
55789.78039 19.65167 0.11676
55790.73125 19.93079 0.146
55790.77463 19.54517 0.10024
55791.73123 19.38185 0.10546
55791.77527 19.78445 0.12818
55793.74743 19.67777 0.1085
55793.79097 19.64078 0.09822
55794.75972 19.38495 0.07475
55794.81629 19.53988 0.08604
