#mjd mag magerr
55061.92501 19.62181 0.05899
55061.95573 19.58577 0.05624
55063.91987 19.68708 0.062
55063.9639 19.68249 0.05497
55064.92128 19.63786 0.05715
55064.9656 19.66841 0.05947
55066.91014 19.60933 0.06157
55066.95474 19.651 0.05612
55067.91649 19.75545 0.09686
55067.96099 19.7992 0.08998
55069.90324 19.73557 0.05943
55069.94786 19.7029 0.05903
55080.95988 19.74092 0.15462
55084.86328 19.68438 0.0928
55087.85609 19.73258 0.0619
55087.90101 19.4925 0.05375
55088.96983 19.61626 0.05722
55089.01521 19.72214 0.06153
55089.94574 19.74796 0.06046
55089.99042 19.54742 0.05925
55093.83741 19.74219 0.05814
55093.88196 19.64186 0.05685
55096.8292 19.73636 0.05795
55097.00858 19.53055 0.07778
55104.99862 19.87183 0.09429
55107.79764 20.06833 0.15727
55114.88125 19.78159 0.07739
55114.92522 19.99208 0.17563
55119.89538 19.63792 0.07987
55119.95365 19.58259 0.08232
55123.75696 19.75268 0.06641
55123.81523 19.70175 0.0637
55126.97957 19.53639 0.08399
55127.83329 19.61581 0.07458
55127.87706 19.63368 0.07778
55135.82555 19.79452 0.11871
55138.71472 19.6365 0.11626
55142.7036 19.71295 0.07495
55142.75219 19.83092 0.09167
55144.77886 19.92883 0.07001
55144.82305 19.72528 0.08808
55151.72943 19.70758 0.07211
55151.77257 19.83346 0.07758
55166.70473 19.52962 0.15716
55166.74897 19.62051 0.18185
55168.63378 19.84708 0.12679
55168.6775 19.79205 0.12001
55175.61224 19.62429 0.05769
55175.65684 19.70767 0.05788
55181.59421 19.94185 0.09762
55181.63825 19.61997 0.08111
55183.59204 19.9198 0.13059
55183.64253 19.77128 0.07723
55189.58054 19.88111 0.09701
55189.62557 19.64776 0.09388
55199.58559 19.75264 0.06389
55202.58667 19.84988 0.0824
55203.71441 19.51966 0.07148
55203.75743 19.65759 0.08763
55207.63092 19.62691 0.07458
55207.67514 19.7216 0.06743
55209.5968 19.7212 0.05899
55209.64149 19.56903 0.05964
55213.63312 19.71037 0.07742
55213.6798 19.6566 0.09074
55377.85123 19.77379 0.12258
55377.89535 19.63698 0.10219
55378.90615 19.84228 0.16202
55379.8591 19.73523 0.10966
55379.92482 19.64885 0.08098
55380.87684 19.6979 0.12458
55380.92078 19.86637 0.13045
55381.89606 19.67395 0.07928
55381.93934 19.71943 0.07649
55384.82671 19.74958 0.07368
55384.87028 19.66258 0.07299
55385.87021 19.65216 0.0627
55385.91339 19.67617 0.05861
55386.86524 19.65911 0.06527
55386.90867 19.75724 0.06559
55387.87002 19.73593 0.0684
55387.91342 19.63145 0.05603
55388.86609 19.83114 0.0864
55388.91005 19.83495 0.06402
55390.80957 19.75543 0.10197
55390.85393 19.69168 0.09018
55391.80613 19.90121 0.10338
55391.87538 19.65832 0.0731
55392.83258 19.70583 0.08898
55392.87538 19.61992 0.06507
55394.79908 19.82663 0.0916
55394.8431 19.56736 0.06612
55395.79551 19.56086 0.11321
55395.84215 19.64565 0.0733
55396.79527 19.43501 0.10828
55396.83932 19.57983 0.0657
55397.79163 19.80399 0.12369
55397.83526 19.59444 0.06609
55398.78764 19.93153 0.13398
55398.83124 19.88496 0.08817
55399.78802 19.65056 0.14197
55399.83261 19.76438 0.1027
55400.78534 19.4721 0.17966
55400.8289 19.84295 0.10026
55401.82518 19.47167 0.14794
55402.8246 19.55222 0.17215
55404.77424 19.74821 0.20057
55404.84266 19.70503 0.11728
55405.8416 19.91027 0.14777
55407.7691 19.61491 0.20295
55411.79896 19.81085 0.0985
55412.75232 19.39656 0.12243
55412.79539 19.66268 0.12336
55413.75577 19.84779 0.17473
55413.79945 19.57587 0.11915
55414.79555 19.84937 0.10574
55415.75266 19.77983 0.14408
55415.79727 19.51959 0.11245
55416.75096 19.35723 0.15726
55416.79342 19.761 0.12241
55417.84511 20.01044 0.12534
55418.79843 19.95467 0.13472
55418.84121 19.58159 0.11998
55419.79504 19.7111 0.10957
55420.78929 19.89417 0.16912
55420.83264 19.48825 0.13212
55421.73664 19.7308 0.07984
