#mjd mag magerr
55061.92501 20.61534 0.09327
55061.95573 20.65377 0.08319
55063.91987 20.59413 0.08236
55063.9639 20.52561 0.09307
55064.92128 20.57026 0.09301
55064.9656 20.62521 0.09242
55066.91014 20.82897 0.09788
55066.95474 20.61935 0.08042
55067.91649 20.66216 0.10978
55067.96099 20.52227 0.09823
55069.90324 20.73608 0.08907
55069.94786 20.62355 0.09998
55084.86328 20.84776 0.14595
55087.85609 20.9051 0.12027
55087.90101 20.62252 0.106
55088.96983 20.66816 0.11121
55089.01521 20.77032 0.09928
55089.94574 20.68534 0.09005
55089.99042 20.69501 0.09552
55093.83741 20.57993 0.09262
55093.88196 20.56152 0.08396
55096.8292 20.80606 0.10671
55114.88125 20.77197 0.12708
55119.89538 20.72219 0.11573
55119.95365 21.16206 0.15963
55123.75696 20.49079 0.09622
55123.81523 20.86014 0.11881
55126.97957 20.98765 0.16527
55127.83329 21.09078 0.12387
55127.87706 21.04277 0.14957
55142.7036 20.95527 0.12175
55142.75219 20.68763 0.13844
55144.77886 21.17955 0.15377
55144.82305 20.77524 0.18398
55151.72943 20.78482 0.14598
55151.77257 21.27431 0.17735
55175.61224 20.75035 0.102
55175.65684 20.89335 0.09852
55183.64253 20.83253 0.14764
55189.58054 20.95834 0.25715
55199.58559 20.80492 0.12397
55202.58667 21.19135 0.2059
55203.71441 21.19697 0.17372
55203.75743 20.63893 0.20034
55207.63092 20.67331 0.11914
55207.67514 20.7019 0.10455
55209.5968 20.76239 0.10089
55209.64149 20.65817 0.09791
55213.63312 20.8607 0.13992
55213.6798 20.60262 0.14126
55377.89535 20.49252 0.18211
55381.89606 20.49337 0.13297
55381.93934 20.64467 0.13246
55384.82671 20.55795 0.12021
55384.87028 20.98998 0.12971
55385.87021 20.73044 0.11167
55385.91339 20.53874 0.09134
55386.86524 20.8319 0.12975
55386.90867 20.65242 0.1179
55387.87002 20.87723 0.12334
55387.91342 20.55082 0.0974
55388.91005 20.67667 0.09905
55390.85393 20.98743 0.15555
55391.87538 20.81418 0.15279
55392.83258 20.44174 0.11725
55392.87538 20.63107 0.11425
55394.79908 20.74873 0.15398
55394.8431 20.44656 0.10548
55396.83932 20.93961 0.11594
55397.79163 20.68437 0.21727
55397.83526 21.00167 0.14598
55398.78764 20.68912 0.16039
55399.83261 20.46357 0.16051
55400.8289 20.57874 0.20727
55411.79896 20.94358 0.19188
55414.75161 20.64147 0.18544
55414.79555 20.66048 0.14387
55416.79342 20.83489 0.19355
55418.84121 20.81481 0.14151
55420.83264 20.91784 0.20652
55421.73664 20.77664 0.17166
55421.79901 20.6973 0.10027
55422.75115 20.61476 0.16784
55422.79487 21.0636 0.12936
55423.74742 20.68465 0.12279
55423.79284 20.82926 0.1092
55424.75349 20.75395 0.18797
55424.80178 20.716 0.10874
55425.80573 20.69753 0.10852
55426.80123 20.72482 0.16294
55426.8444 20.7776 0.10441
55427.8408 20.94765 0.12923
55428.79281 20.55034 0.20141
55428.83703 20.56783 0.14273
55429.8142 20.7065 0.12842
55429.85716 20.60197 0.11631
55436.88891 20.87453 0.18064
55436.91041 20.75299 0.21194
55438.88857 20.43296 0.16924
55438.89169 20.89205 0.16645
55438.89798 20.69265 0.18725
55438.90086 21.0076 0.14987
55438.9065 20.87435 0.18885
55438.90927 21.07792 0.17244
55438.93833 20.86248 0.25424
55438.94106 20.42638 0.18885
55438.94678 20.6307 0.21134
55440.87507 20.77766 0.18559
55440.87823 20.8684 0.1266
55440.88428 20.74657 0.10817
55440.88675 20.58374 0.13203
55440.8894 20.77652 0.11552
55440.89205 20.96965 0.13748
55440.89518 20.61385 0.10416
55440.90145 21.03584 0.13778
55440.90439 20.56192 0.11384
55440.90729 20.76113 0.10672
55440.91025 21.05446 0.1387
55440.91316 21.15016 0.15078
55440.91591 20.92397 0.12331
55440.9187 20.62181 0.10801
55440.92149 20.81586 0.11781
55440.92426 20.56217 0.11001
55440.93095 20.6381 0.10522
55440.93364 20.86015 0.11633
55440.93623 20.69749 0.10653
55440.9395 20.8646 0.13988
55440.94264 20.82229 0.12982
55440.94582 20.58135 0.11869
55440.94883 21.10788 0.14428
55440.95182 20.59425 0.11232
55440.95489 20.8272 0.12725
55440.95791 20.95502 0.14908
55441.87301 20.84031 0.11597
55441.87592 20.69322 0.0952
55441.88645 20.88054 0.15186
55441.88962 20.6476 0.09923
55441.89254 20.74142 0.10377
55441.89542 20.68589 0.11407
55441.89828 20.89166 0.10218
55441.90107 20.72765 0.1109
55441.9037 20.7998 0.09851
55441.90634 20.81197 0.1134
55441.90906 20.77508 0.10072
55441.9118 20.75887 0.1068
55441.91445 20.66927 0.09929
55441.91722 20.54016 0.09561
55441.91981 20.6503 0.15094
55441.92242 20.60222 0.11109
55441.92546 20.85476 0.11786
55441.9281 20.83473 0.11099
55441.93183 20.40711 0.09259
55441.93458 20.81655 0.11428
55441.93727 20.69131 0.10566
55441.94048 20.9672 0.11329
55441.94326 20.91516 0.1184
55441.94546 20.70889 0.11759
55441.94852 21.04011 0.10788
55441.95194 20.64274 0.10378
55441.95469 20.81284 0.11287
55441.95786 20.88289 0.11488
55441.96081 20.72953 0.10879
55441.96392 20.82095 0.11788
55441.96715 20.57129 0.12336
55441.97012 20.66194 0.0992
55441.97294 20.73046 0.10571
55441.97532 20.68107 0.11321
55441.97757 20.79342 0.11797
55441.9798 20.76662 0.1108
55441.9835 20.79745 0.11626
55441.9863 21.01649 0.13196
55441.98852 20.94297 0.15055
55441.99078 21.04192 0.12905
55441.99382 20.87651 0.12996
55442.00593 20.9167 0.14226
55442.00906 21.06449 0.13287
55442.01216 20.91463 0.21124
55442.01753 20.56815 0.21595
55442.02001 20.53446 0.18426
55442.70382 20.80719 0.12061
55442.71097 20.62005 0.12885
55442.71448 21.02588 0.14558
55442.71808 20.42129 0.11206
55442.72168 20.86744 0.13423
55442.72527 20.73971 0.1382
55442.73272 20.94537 0.13463
55442.74882 20.78807 0.13646
55442.75572 20.74277 0.1386
55442.76147 20.91353 0.11794
55442.76615 20.75997 0.11479
