#mjd mag magerr
55061.92501 19.64821 0.09403
55061.95573 19.68997 0.08487
55063.91987 19.7481 0.0935
55063.9639 19.7078 0.1073
55064.92128 19.77185 0.10455
55064.9656 19.78075 0.10882
55066.91014 19.53303 0.10524
55066.95474 19.64376 0.10166
55067.91649 19.76529 0.13761
55067.96099 20.0141 0.15958
55069.90324 19.96631 0.07089
55069.94786 19.94092 0.08657
55080.87449 20.00869 0.15712
55084.86328 20.05928 0.10626
55087.85609 19.80202 0.07895
55087.90101 19.85384 0.07592
55088.96983 19.78362 0.07295
55089.01521 19.77677 0.07687
55089.94574 19.94468 0.08064
55089.99042 19.91881 0.08947
55093.83741 19.71468 0.07165
55093.88196 19.64522 0.07117
55096.8292 19.90616 0.08155
55097.00858 19.86814 0.10173
55104.99862 19.95485 0.1043
55107.79764 19.95369 0.1794
55114.88125 19.7128 0.07919
55114.92522 19.71335 0.23426
55119.89538 19.78238 0.09258
55119.95365 19.99362 0.09758
55123.75696 19.92704 0.08053
55123.81523 19.78466 0.09621
55126.97957 19.95524 0.14492
55127.83329 19.9145 0.08707
55127.87706 19.74951 0.09124
55142.7036 19.93536 0.11331
55142.75219 20.03354 0.12032
55144.77886 19.79169 0.10201
55144.82305 19.8258 0.10281
55151.72943 19.83956 0.0943
55151.77257 19.92607 0.11667
55166.70473 20.10749 0.16881
55166.74897 19.87348 0.16789
55168.63378 20.14714 0.15769
55168.6775 19.84774 0.17502
55175.61224 19.96472 0.08261
55175.65684 20.09364 0.08935
55181.59421 20.18683 0.1346
55181.63825 19.91667 0.11065
55183.64253 20.06076 0.10207
55189.58054 19.96923 0.11905
55189.62557 20.08734 0.10883
55199.58559 19.90696 0.10458
55202.58667 20.05301 0.11956
55203.71441 19.99046 0.12277
55203.75743 20.03378 0.11064
55207.63092 19.68781 0.09631
55207.67514 20.05192 0.09853
55209.5968 20.15677 0.09153
55209.64149 19.98403 0.08222
55213.63312 20.16618 0.11867
55213.6798 20.08784 0.13622
55379.8591 20.05931 0.14988
55379.92482 20.23563 0.12779
55380.87684 19.80738 0.13678
55380.92078 20.05825 0.12886
55381.89606 20.09878 0.13449
55381.93934 19.78954 0.09558
55384.82671 20.08703 0.10478
55384.87028 19.9915 0.09035
55385.87021 19.82025 0.0946
55385.91339 19.8627 0.09881
55386.86524 20.15014 0.10496
55386.90867 20.08475 0.11676
55387.87002 20.03115 0.09922
55387.91342 20.06919 0.09925
55388.86609 20.28847 0.1568
55388.91005 20.01304 0.08566
55390.80957 20.0157 0.11309
55391.80613 19.82901 0.1319
55391.87538 20.08014 0.10588
55392.83258 20.36421 0.12671
55392.87538 19.99386 0.10862
55394.79908 19.88452 0.10271
55394.8431 20.13015 0.12688
55395.84215 20.17791 0.11149
55396.83932 20.09665 0.09123
55397.79163 19.88555 0.16309
55397.83526 19.83208 0.10072
55398.83124 19.83085 0.14299
55399.78802 20.14225 0.1623
55400.8289 20.08289 0.15411
55404.84266 19.93971 0.19398
55407.83003 20.10109 0.17165
55411.79896 20.25188 0.14715
55413.79945 20.22638 0.2107
55414.79555 20.36773 0.15746
55418.84121 20.08023 0.13381
55419.79504 20.09031 0.18011
55420.83264 19.89164 0.14827
55421.79901 20.24328 0.09459
55422.75115 20.21439 0.17296
55422.79487 19.967 0.0956
55423.74742 20.07842 0.113
55423.79284 20.27507 0.10757
55424.75349 19.83272 0.14975
55424.80178 19.90771 0.09041
55425.76166 19.9277 0.13861
55425.80573 19.96876 0.09304
55426.80123 19.87582 0.12502
55426.8444 19.94177 0.0873
55427.79708 20.18866 0.12928
55427.8408 19.92573 0.1131
55428.79281 20.44465 0.15096
55428.83703 19.91704 0.13277
55429.8142 20.17225 0.1223
55429.85716 20.00503 0.14268
55430.75769 20.21804 0.1415
55430.80485 20.41328 0.1513
55431.75639 20.25556 0.19459
55431.80024 19.99826 0.15637
55436.88575 20.06818 0.17908
55436.88891 20.40561 0.17938
55436.8919 20.06958 0.16739
55436.89797 19.89937 0.18217
55436.9042 20.11015 0.12841
55436.90728 20.14326 0.18978
55436.91041 20.1855 0.18229
55436.91931 20.22252 0.20757
55436.92221 20.11875 0.1885
55436.92514 20.31056 0.17597
55436.92806 19.97132 0.16398
55436.93096 20.11171 0.17626
55436.93703 20.12409 0.16101
55436.93974 20.25039 0.17468
55436.94297 20.31926 0.16937
55436.9553 20.04354 0.20056
55436.96116 19.78424 0.15878
55436.96403 20.4122 0.16069
55436.96671 20.16822 0.15676
55438.88857 20.15252 0.15866
55438.89169 19.83808 0.14608
55438.89485 20.10659 0.1206
