#mjd mag magerr
55126.97957 18.58313 0.05218
55384.87028 18.70347 0.0347
55391.80613 18.67744 0.04527
55392.83258 18.76283 0.04136
55398.78764 18.93583 0.06026
55414.79555 18.66907 0.04997
55426.80123 18.65401 0.04127
55429.85716 18.95971 0.04892
55430.75769 18.80237 0.05667
55431.75639 18.91581 0.05884
55432.73907 18.8376 0.07938
55433.70425 19.01312 0.12358
55434.73769 18.83909 0.10624
55435.74218 18.73485 0.08392
55436.88575 18.58493 0.05847
55436.89501 18.46346 0.05012
55436.89797 18.51571 0.06176
55436.90109 18.48053 0.0594
55436.94915 18.93593 0.06167
55436.95231 18.66596 0.0519
55436.9553 18.85874 0.05964
55436.95826 18.65743 0.05343
55436.96116 18.56733 0.05236
55436.96403 18.51456 0.06133
55436.96671 18.85597 0.05877
55438.88857 18.90858 0.05723
55438.89169 18.75104 0.05004
55440.87507 18.62833 0.03857
55440.87823 18.6868 0.03653
55440.88428 18.74559 0.03618
55440.88675 18.6771 0.03468
55440.8894 18.65883 0.03529
55440.89205 18.61613 0.03554
55440.89518 18.79633 0.03395
55440.89832 18.84088 0.03495
55440.90145 18.98556 0.03673
55440.9395 18.80421 0.03694
55440.94264 18.61215 0.03443
55440.94582 18.73814 0.0365
55440.94883 18.63269 0.03597
55440.95182 18.66934 0.03765
55440.95489 18.67474 0.03626
55440.95791 18.68801 0.03648
55441.87301 18.65887 0.031
55441.87592 18.77358 0.03148
55441.88645 18.92437 0.03338
55441.88962 19.00851 0.0353
55441.93727 18.73356 0.03126
55441.94048 18.90949 0.03334
55441.94326 18.6834 0.03166
55441.94546 18.69409 0.03193
55441.94852 18.68138 0.0308
55441.95194 18.6921 0.03261
55441.95469 18.67657 0.03
55441.95786 18.70703 0.03192
55441.96081 18.78218 0.0335
55441.96392 18.72185 0.03351
55441.96715 18.65877 0.03107
55441.97012 18.67821 0.03151
55441.97294 18.75997 0.03269
55441.97532 18.64476 0.03112
55441.97757 18.67252 0.03277
55441.9798 18.60855 0.03229
55441.9835 18.79877 0.03433
55441.9863 18.69021 0.03186
55441.98852 18.63411 0.03195
55441.99078 18.71565 0.03298
55441.99382 18.71836 0.03517
55442.00593 18.65964 0.03497
55442.00906 18.714 0.04108
55442.01216 18.58878 0.0402
55442.01486 18.73823 0.04304
55442.01753 18.66494 0.04792
55442.02001 18.67292 0.06338
55442.02226 18.7556 0.06629
55442.70382 18.66538 0.03636
55442.70734 18.68396 0.03688
55442.71097 18.72867 0.03808
55442.71448 18.66639 0.03376
55442.71808 18.73833 0.03635
55442.72168 18.66003 0.034
55442.72527 18.7458 0.03309
55442.73272 18.81648 0.03377
55442.84012 18.99088 0.03198
55442.84597 18.72688 0.02941
55442.85112 18.76961 0.02996
55442.85657 18.71907 0.02935
55442.86387 18.71105 0.0311
55442.87002 18.67626 0.02985
55442.87503 18.73859 0.02948
55442.88048 18.80072 0.02814
55442.93642 18.77788 0.02893
55442.94588 18.65731 0.03373
55442.95166 18.67053 0.03017
55442.95754 18.74409 0.03174
55442.96246 18.69814 0.03203
55442.96833 18.69252 0.03215
55442.97317 18.67434 0.03071
55442.97782 18.76977 0.03131
55442.98206 18.73164 0.03064
55442.9872 18.7393 0.03189
55442.99348 18.62354 0.03156
55442.99858 18.67675 0.0315
55443.00329 18.69381 0.03157
55443.01002 18.72413 0.03284
55443.01702 18.64686 0.03895
55443.02387 18.85946 0.08472
55443.67742 18.71095 0.04654
55443.68488 18.73218 0.04418
55443.69287 18.75022 0.04131
55443.70415 18.68476 0.04015
55443.71028 18.71451 0.03925
55443.71632 18.70803 0.03585
55443.72231 18.80735 0.03457
55443.736 18.77826 0.03574
55443.83783 18.92787 0.03102
55443.84415 18.85369 0.02917
55443.84958 18.74135 0.0298
55443.85553 18.72527 0.02968
55443.86252 18.67724 0.02977
55443.87576 18.77499 0.02941
55443.93496 18.8354 0.03111
55443.94073 18.71469 0.03197
55443.94779 18.72877 0.03306
55443.95355 18.66409 0.03056
55443.95925 18.64924 0.0323
55443.9693 18.51706 0.03446
55443.97555 18.73904 0.03395
55443.98144 18.74092 0.03313
55443.98725 18.62925 0.03391
55443.99456 18.70273 0.03454
55444.00093 18.65631 0.03267
55444.0061 18.59089 0.03086
55444.01187 18.67766 0.03434
55444.0175 18.78257 0.04347
55444.02231 18.70745 0.06815
55444.66648 18.80481 0.04803
55444.67221 18.68202 0.04948
55444.67727 18.70457 0.0454
55444.68199 18.89429 0.06105
55444.68857 18.69023 0.04418
55444.69526 18.75449 0.04309
55444.70198 18.76587 0.04282
55444.7091 18.73585 0.04044
55444.71487 18.76462 0.04073
55444.72103 18.80285 0.03634
55444.72796 18.84418 0.03725
55444.83854 18.9809 0.03202
55444.84549 18.88449 0.03027
55444.85161 18.74167 0.03009
55444.85679 18.7664 0.03037
55444.86267 18.68812 0.03127
55444.86777 18.79917 0.03212
55444.87321 18.89107 0.0318
55444.93139 18.64062 0.02921
55444.94041 18.64463 0.02887
55444.94568 18.65703 0.03111
55444.951 18.66822 0.03418
55444.95724 18.60531 0.03047
55444.96289 18.70246 0.03184
55444.96923 18.63524 0.03036
55444.97411 18.69678 0.03246
55444.98062 18.66983 0.03165
55444.98915 18.6666 0.03649
55444.99553 18.57964 0.03021
55445.00157 18.70641 0.03217
55445.00779 18.75682 0.03494
55445.01282 18.63727 0.03424
55445.01777 18.78072 0.04295
55445.02227 18.63982 0.06121
55445.66261 18.78619 0.0451
55445.66749 18.77218 0.04483
55445.67244 18.59306 0.04026
55445.67731 18.59437 0.0411
55445.68422 18.73409 0.04089
55445.6905 18.61509 0.03658
55445.69681 18.74633 0.03782
55445.70294 18.75024 0.03727
55445.70921 18.68158 0.03708
55445.71534 18.82617 0.0377
55445.72141 18.95969 0.03913
55445.84021 18.72007 0.02887
55445.84549 18.71148 0.02762
55445.85174 18.70369 0.02698
55445.85762 18.71744 0.02749
55445.8636 18.77183 0.0277
55445.86963 18.72962 0.0268
55445.92915 18.74733 0.02809
55445.93496 18.66421 0.02719
55445.94048 18.67829 0.02751
55445.95216 18.68104 0.02924
55445.95886 18.69669 0.02922
55445.97191 18.66245 0.0275
55445.97872 18.65654 0.02799
55445.98437 18.57245 0.02726
55445.98972 18.67735 0.02918
55445.99581 18.73874 0.02961
55446.00245 18.65459 0.02879
55446.00827 18.59978 0.02937
55446.01324 18.64115 0.03191
55446.01787 18.64743 0.03912
55446.0233 18.89896 0.07053
55446.66046 18.74441 0.04547
55446.66501 18.73325 0.04146
55446.67089 18.8768 0.04445
55446.67601 18.72373 0.03874
55446.6814 18.66145 0.04292
55446.68915 18.63579 0.03831
55446.70044 18.72106 0.03869
55446.70781 18.66914 0.03578
55446.71375 18.67705 0.03556
55446.83186 18.82978 0.02909
55446.83803 18.84564 0.02858
55446.84316 18.70051 0.02809
55446.84946 18.75232 0.03071
55446.85529 18.71794 0.0348
55446.86132 18.50575 0.03486
55446.92538 18.72402 0.02745
55446.93113 18.71295 0.02862
55446.93686 18.63933 0.02796
55446.94237 18.68375 0.02928
55446.94842 18.6585 0.02713
55446.95451 18.66047 0.02897
55446.96034 18.70463 0.02963
55446.96641 18.69802 0.02891
55446.97287 18.67774 0.02912
55446.97827 18.65467 0.02822
55446.98464 18.72778 0.02876
55446.99026 18.66902 0.02937
55446.99646 18.70458 0.02936
55447.00329 18.71984 0.03072
55447.02248 18.67773 0.05032
55448.00377 18.62746 0.02662
55448.65527 18.70348 0.04846
55448.70146 18.63371 0.03953
55449.82958 18.63463 0.02988
55449.87259 18.69452 0.02783
55450.82585 18.6846 0.0314
55450.86998 18.89471 0.02944
55451.65338 18.76085 0.0467
55451.70095 18.67825 0.03594
55452.64792 18.6657 0.047
55452.69243 18.63247 0.03851
55453.64519 18.6386 0.04705
55453.6895 18.79568 0.04001
55454.64058 18.74614 0.05355
55454.68793 18.75794 0.05409
55455.63923 18.63638 0.0548
55456.63346 18.62597 0.05456
55456.67702 18.69967 0.05042
55457.63067 18.56292 0.05942
55457.6732 18.76882 0.04905
55458.66069 18.61116 0.05015
55458.7057 18.79848 0.04956
55459.63016 18.80617 0.09959
55459.69034 18.73584 0.08156
55460.63624 18.62032 0.05934
55461.62523 18.87499 0.08623
55461.67649 18.71833 0.06173
55462.80848 18.52511 0.07574
55463.63005 18.88565 0.11078
55466.61784 18.74561 0.0527
55466.61959 18.81368 0.04923
55466.62134 18.67593 0.04446
55466.6231 18.79348 0.04695
55466.62486 18.73071 0.04573
55466.62661 18.68504 0.04331
