#mjd mag magerr
55061.92501 19.85946 0.05993
55061.95573 19.75186 0.0699
55063.91987 19.89269 0.07306
55063.9639 19.83086 0.0644
55064.92128 19.88342 0.07118
55064.9656 19.65898 0.06598
55066.91014 19.79539 0.06328
55066.95474 19.93464 0.06141
55067.91649 19.71163 0.09778
55067.96099 20.09049 0.1037
55069.90324 19.9461 0.08128
55069.94786 19.94997 0.07868
55080.95988 20.17137 0.13584
55084.86328 19.86779 0.09251
55087.85609 19.78575 0.07627
55087.90101 19.84715 0.06338
55088.96983 19.79698 0.07096
55089.01521 19.92944 0.07029
55089.94574 19.85264 0.07298
55089.99042 19.79267 0.06319
55093.83741 19.85866 0.06122
55093.88196 19.9681 0.0682
55096.8292 19.84035 0.06217
55097.00858 19.94678 0.07504
55107.79764 20.05802 0.12549
55114.88125 19.95994 0.0779
55114.92522 20.03172 0.14703
55119.89538 19.88991 0.09541
55119.95365 19.86931 0.0972
55123.75696 20.03694 0.07358
55123.81523 19.8027 0.09057
55126.97957 19.90713 0.10179
55127.83329 19.95069 0.09556
55127.87706 20.04099 0.10161
55135.82555 19.83681 0.1541
55135.86926 19.83784 0.15472
55138.75871 20.16214 0.137
55142.7036 20.05374 0.07846
55142.75219 20.0227 0.12215
55144.77886 19.87658 0.08222
55144.82305 19.86572 0.10088
55151.72943 19.87331 0.08281
55151.77257 19.80744 0.08308
55166.70473 19.67279 0.16326
55168.6775 19.74649 0.14067
55175.61224 19.89653 0.08432
55175.65684 20.15828 0.07552
55181.59421 20.08523 0.11743
55181.63825 19.89894 0.09912
55183.59204 19.98017 0.12943
55183.64253 19.77656 0.09551
55189.58054 19.88903 0.11276
55189.62557 20.10322 0.09836
55194.59026 19.66508 0.15108
55199.58559 19.71468 0.09778
55202.58667 20.27554 0.12822
55203.71441 20.02638 0.11773
55203.75743 19.71548 0.11604
55207.63092 20.0385 0.09302
55207.67514 19.92468 0.07669
55209.5968 19.91755 0.0777
55209.64149 20.06891 0.07848
55213.63312 20.35012 0.11432
55213.6798 20.16607 0.11415
55377.89535 19.90339 0.15155
55378.90615 20.20736 0.14238
55379.8591 20.07166 0.10385
55379.92482 20.09938 0.10275
55380.87684 20.30665 0.16807
55380.92078 20.20093 0.11647
55381.89606 20.07769 0.09136
55381.93934 20.26389 0.09957
55384.82671 19.99626 0.07661
55384.87028 19.91648 0.08268
55385.87021 20.12102 0.10115
55385.91339 19.84285 0.07519
55386.86524 20.19894 0.09258
55386.90867 19.90927 0.08645
55387.87002 19.89717 0.07452
55387.91342 19.90751 0.05935
55388.86609 19.95787 0.11618
55388.91005 19.7795 0.08713
55389.97252 20.48029 0.17082
55390.80957 20.19624 0.12744
55390.85393 20.23306 0.11148
55391.87538 20.06353 0.09136
55392.83258 20.15283 0.08742
55392.87538 19.95971 0.0736
55394.79908 20.37925 0.10347
55394.8431 19.79955 0.09088
55395.79551 20.31187 0.1356
55395.84215 20.00728 0.08509
55396.79527 20.20596 0.11615
55396.83932 19.90846 0.07597
55397.79163 20.3126 0.13429
55397.83526 20.1143 0.08669
55398.78764 20.36283 0.19075
55398.83124 19.75248 0.09526
55399.78802 20.2542 0.18576
55399.83261 20.25544 0.13125
55400.78534 19.88476 0.17865
55400.8289 20.38157 0.13935
55402.8246 19.94196 0.18717
55404.84266 20.29663 0.13031
55405.8416 20.06848 0.14276
55407.83003 20.34044 0.21615
55411.75477 19.898 0.23442
55411.79896 19.94847 0.12981
55412.79539 19.98484 0.1201
55413.75577 20.46997 0.17357
55413.79945 19.97748 0.13343
55414.75161 20.31649 0.21565
55414.79555 19.75807 0.104
55415.79727 20.14956 0.12358
55416.79342 19.96047 0.12585
55417.75979 20.06646 0.17112
55417.84511 20.03899 0.13308
55418.79843 19.95395 0.14787
55418.84121 20.34469 0.11178
55419.75121 20.36387 0.18817
55419.79504 20.20819 0.11336
55420.78929 20.30751 0.13409
55420.83264 20.40266 0.13277
55421.73664 20.05108 0.10808
55421.79901 20.04841 0.08097
55422.75115 20.05399 0.08818
55422.79487 19.98519 0.08707
55423.74742 19.92664 0.08017
55423.79284 19.85355 0.08888
55424.75349 20.20522 0.10878
55424.80178 19.98278 0.0779
55425.76166 20.05877 0.10895
55425.80573 20.00036 0.06979
55426.80123 19.99101 0.09266
55426.8444 20.08926 0.07155
55427.79708 20.19856 0.09866
55427.8408 19.99569 0.08566
55428.79281 20.27928 0.09567
55428.83703 20.08267 0.09455
55429.8142 20.09347 0.10085
55429.85716 20.01771 0.09466
55430.75769 20.42237 0.14707
55430.80485 20.05626 0.14567
55431.75639 19.90181 0.14176
55431.80024 20.25464 0.12908
55432.73907 19.9166 0.1415
55432.78359 20.38221 0.15387
55436.8919 20.39297 0.14898
55436.89797 19.8527 0.15406
55436.90109 20.14453 0.12865
55436.9042 19.78161 0.10641
55436.90728 20.18012 0.13507
55436.91041 20.46594 0.17036
55436.91351 20.24589 0.20594
55436.91641 20.08065 0.14955
55436.92514 20.32073 0.15576
55436.92806 19.95503 0.14996
55436.93096 20.25364 0.16415
55436.93413 20.45945 0.17706
55436.93703 20.09593 0.11638
55436.93974 19.80159 0.15317
55436.94297 19.90754 0.14707
55436.94613 20.2876 0.13736
55436.94915 20.14993 0.16167
55436.95231 20.22396 0.16236
55436.9553 20.37874 0.17515
55436.95826 20.09443 0.1187
55436.96116 20.34633 0.13596
55436.96403 20.24556 0.13046
55436.96671 20.08697 0.12798
55438.88857 20.38458 0.18464
55438.89169 20.12504 0.11856
55438.89485 20.43489 0.12846
55438.89798 20.36954 0.13415
55438.90086 20.34571 0.16754
55438.90371 20.31061 0.12448
55438.90927 20.43604 0.12966
55438.91204 19.92344 0.16124
55438.91487 20.11692 0.15245
55438.91763 20.43849 0.15824
55438.92084 20.27738 0.16155
55438.92672 20.22509 0.16555
55438.92954 20.06638 0.15784
55438.93259 20.41336 0.20434
55438.93551 20.38649 0.14744
55438.93833 20.03886 0.16187
55438.94106 20.05341 0.16055
55438.94411 20.0152 0.15376
55438.94678 20.3521 0.14786
55438.95017 20.09872 0.13285
55438.95913 20.09231 0.11276
55438.96141 20.07751 0.13886
55440.87507 20.39634 0.10796
55440.87823 20.1058 0.12264
55440.88428 19.98458 0.09217
55440.88675 19.9971 0.08078
55440.8894 19.90083 0.08718
55440.89205 20.14213 0.0899
55440.89518 20.25033 0.09039
55440.89832 20.18988 0.08786
55440.90145 20.27056 0.09125
55440.90439 20.19949 0.09095
55440.90729 19.98913 0.09796
55440.91025 20.11369 0.08658
55440.91316 19.78491 0.09445
55440.91591 20.27496 0.11036
55440.9187 19.95721 0.08148
55440.92149 20.07849 0.10437
55440.92426 20.04978 0.09276
55440.93095 20.0539 0.11874
55440.93364 20.06193 0.08477
55440.93623 20.05507 0.09484
55440.9395 20.20121 0.09625
55440.94264 20.33615 0.10054
55440.94582 20.31914 0.10287
55440.94883 20.37969 0.10276
55440.95182 20.05934 0.08716
55440.95489 19.99174 0.09806
55440.95791 20.26501 0.10047
55441.87301 20.26787 0.08527
55441.87592 20.01658 0.07507
55441.88645 20.22137 0.08257
55441.88962 20.00351 0.08858
55441.89254 19.97787 0.06901
55441.89542 20.26761 0.08126
55441.89828 20.11586 0.08787
55441.90107 20.1893 0.0761
55441.9037 20.18508 0.07998
55441.90634 19.89322 0.06829
55441.90906 20.12066 0.08906
55441.9118 19.97543 0.06949
55441.91445 19.92345 0.08647
55441.91722 19.95602 0.08278
55441.91981 19.99389 0.08979
55441.92242 20.03783 0.09917
55441.92546 20.01378 0.07727
55441.9281 20.15504 0.07529
55441.93183 20.1749 0.0789
55441.93458 19.98109 0.08087
55441.93727 20.06856 0.08879
55441.94048 20.09049 0.07536
55441.94326 20.2104 0.07891
55441.94546 19.98809 0.08675
55441.94852 20.00338 0.07848
55441.95194 19.9361 0.07539
55441.95469 19.86957 0.08207
55441.95786 20.28103 0.08139
55441.96081 20.09617 0.09207
55441.96392 20.11385 0.08073
55441.96715 19.94477 0.0853
55441.97012 20.03721 0.07209
55441.97294 20.16097 0.08727
55441.97532 19.99476 0.08898
55441.97757 19.86352 0.08087
55441.9798 20.13655 0.08028
55441.9835 20.21976 0.08769
55441.9863 19.98121 0.08206
55441.98852 20.10811 0.09415
55441.99078 19.92765 0.08747
55441.99382 20.16736 0.08627
55442.00593 20.04164 0.10516
55442.00906 20.129 0.08808
55442.01216 20.17878 0.08799
55442.01486 20.35123 0.12015
55442.01753 20.32094 0.12758
55442.02001 20.37292 0.17956
55442.70382 19.93238 0.09506
55442.70734 19.91696 0.09857
55442.71097 20.07167 0.10686
55442.71448 19.89239 0.07567
55442.71808 20.00533 0.07827
55442.72168 20.10903 0.08009
55442.72527 20.1888 0.07868
55442.73272 19.99248 0.07798
55442.74184 19.90135 0.07536
55442.74882 20.05092 0.08338
55442.75572 20.07171 0.0739
55442.76147 20.11643 0.09774
55442.76615 19.91795 0.08277
55442.77616 20.04005 0.06949
55442.78135 20.04604 0.07507
55442.78615 20.11626 0.07177
55442.79145 19.93126 0.0625
55442.79615 20.00974 0.08029
55442.80186 20.05365 0.07149
55442.8093 20.22679 0.07886
55442.81443 19.91457 0.07988
55442.81939 20.1286 0.07021
55442.82447 20.09074 0.06591
55442.8293 19.95903 0.0837
55442.83541 20.09237 0.06978
55442.84012 20.12788 0.07947
55442.84597 19.90587 0.06943
55442.85112 20.10361 0.0807
55442.85657 19.93207 0.06641
55442.86387 20.23104 0.08058
55442.87002 20.09026 0.0725
55442.87503 20.15459 0.0806
55442.88048 20.05672 0.07069
55442.88617 20.14255 0.06852
55442.89221 20.06799 0.0794
55442.89785 20.06615 0.07616
55442.90297 20.0788 0.0791
55442.90871 20.08896 0.06399
55442.91368 19.93197 0.07487
55442.91875 20.00102 0.07098
55442.92384 20.17148 0.08638
55442.93037 20.05061 0.08786
55442.93642 20.09388 0.0677
55442.94588 20.08531 0.08919
55442.95166 20.26353 0.09209
55442.95754 20.07609 0.07806
55442.96246 20.01714 0.076
55442.96833 20.27452 0.10428
55442.97317 20.21234 0.09794
55442.97782 19.92377 0.07459
55442.98206 19.99364 0.0751
55442.9872 19.95829 0.10166
55442.99348 20.16254 0.09625
55442.99858 19.86374 0.07438
55443.00329 20.1278 0.07357
55443.01002 20.14413 0.08815
55443.01702 20.08886 0.09177
55443.02387 20.32746 0.20525
55443.67742 20.29695 0.10246
55443.68488 20.08618 0.09868
55443.69287 20.40622 0.11254
55443.70415 19.98576 0.09856
55443.71028 19.90451 0.08127
55443.71632 20.01903 0.08516
55443.72231 20.07035 0.09196
55443.72832 19.94363 0.08105
55443.736 20.17426 0.08846
55443.74306 20.15968 0.08128
55443.74812 20.04995 0.09637
55443.75372 20.16615 0.08805
55443.75946 20.04103 0.06821
55443.76526 20.09731 0.08055
55443.77007 20.2119 0.09226
55443.78027 20.27842 0.09708
55443.78539 19.94215 0.09016
55443.79156 20.00734 0.08927
55443.79717 20.32137 0.09628
55443.80302 19.93175 0.07687
55443.80895 20.17857 0.08194
55443.81493 20.32774 0.09525
55443.8204 20.31306 0.08868
55443.82634 20.03233 0.07446
55443.83239 19.90513 0.08145
55443.83783 20.06587 0.06885
55443.84415 20.09769 0.07087
55443.84958 20.13535 0.08407
55443.85553 20.06027 0.07277
55443.86252 19.89824 0.08949
55443.87576 19.85499 0.07748
55443.88141 20.01377 0.07917
55443.88892 19.95158 0.08078
55443.89412 20.02482 0.07539
55443.90077 19.9297 0.07408
55443.90658 19.86243 0.09016
55443.91235 20.04214 0.07347
55443.91779 20.12976 0.08648
55443.92403 20.02851 0.10785
55443.92967 20.03155 0.09868
55443.93496 19.8724 0.09936
55443.94073 20.14069 0.08846
55443.94779 20.14477 0.0893
55443.95355 20.13109 0.09305
55443.95925 20.01124 0.07319
55443.9693 20.02007 0.09636
55443.97555 20.04704 0.08886
55443.98144 20.07992 0.08915
55443.98725 20.14925 0.09028
55443.99456 20.03073 0.10385
55444.00093 20.08131 0.07827
55444.0061 19.89088 0.09345
55444.01187 20.08766 0.0848
55444.0175 20.18957 0.10697
55444.66648 20.16181 0.15337
