#mjd mag magerr
55061.92501 19.52346 0.06272
55061.95573 19.53286 0.05662
55063.91987 19.53469 0.04959
55063.9639 19.61086 0.05691
55064.92128 19.56242 0.06239
55064.9656 19.69298 0.0555
55066.91014 19.59239 0.05959
55066.95474 19.59664 0.05442
55067.91649 19.51163 0.0769
55067.96099 19.61849 0.09301
55069.90324 19.6641 0.05781
55069.94786 19.55297 0.0635
55080.87449 19.83738 0.1183
55080.95988 19.83437 0.1767
55084.86328 19.87679 0.09091
55087.85609 19.56275 0.06169
55087.90101 19.62315 0.05209
55088.96983 19.50698 0.06986
55089.01521 19.73943 0.06599
55089.94574 19.65364 0.05551
55089.99042 19.66667 0.07368
55093.83741 19.59866 0.05314
55093.88196 19.6651 0.05762
55096.8292 19.67435 0.06137
55097.00858 19.62279 0.07334
55104.99862 19.52344 0.08311
55107.79764 19.70802 0.12859
55114.88125 19.75294 0.07601
55119.89538 19.84191 0.07874
55119.95365 19.54331 0.07542
55123.75696 19.56494 0.06489
55123.81523 19.3997 0.06569
55126.97957 19.87213 0.0953
55127.83329 19.67169 0.06529
55127.87706 19.69299 0.07534
55135.86926 19.70284 0.13423
55138.71472 19.7337 0.16785
55138.75871 19.81514 0.16978
55142.7036 19.61074 0.07806
55142.75219 19.4867 0.07548
55144.77886 19.66058 0.06256
55144.82305 19.51472 0.07062
55151.72943 19.66931 0.07442
55151.77257 19.42044 0.07369
55166.70473 19.85579 0.11528
55166.74897 19.82174 0.16399
55168.63378 19.57597 0.10977
55168.6775 19.7995 0.1091
55175.61224 19.67353 0.06396
55175.65684 19.75228 0.05895
55181.59421 19.89423 0.10274
55181.63825 19.66093 0.07327
55183.59204 19.64817 0.08679
55183.64253 19.56556 0.06198
55189.58054 19.78603 0.08737
55189.62557 19.50522 0.07858
55194.59026 19.62908 0.15257
55199.58559 19.65168 0.06642
55202.58667 19.47554 0.07311
55203.71441 19.70838 0.08049
55203.75743 19.59648 0.08549
55207.63092 19.5415 0.06847
55207.67514 19.65668 0.06152
55209.5968 19.70155 0.05684
55209.64149 19.55491 0.05751
55213.63312 19.50512 0.07932
55213.6798 19.56607 0.08717
55377.85123 19.39261 0.1329
55377.89535 19.74339 0.14156
55378.86379 19.86442 0.16805
55378.90615 19.62236 0.12761
55379.8591 19.93666 0.11555
