#mjd mag magerr
55061.92501 19.33321 0.05293
55061.95573 19.18297 0.05197
55063.91987 19.3651 0.05563
55063.9639 19.3528 0.05976
55064.92128 19.23384 0.05866
55064.9656 19.36076 0.06052
55066.91014 19.35903 0.06323
55066.95474 19.30177 0.05597
55067.91649 19.40429 0.09126
55067.96099 19.41311 0.07329
55069.90324 19.30131 0.05298
55069.94786 19.17492 0.05645
55080.87449 19.58369 0.12887
55080.95988 19.61047 0.14162
55084.86328 19.32728 0.06032
55087.85609 19.24203 0.05372
55087.90101 19.24384 0.04517
55088.96983 19.23263 0.06088
55089.01521 19.24977 0.06371
55089.94574 19.34768 0.05296
55089.99042 19.2798 0.06424
55093.83741 19.25568 0.05373
55093.88196 19.36622 0.05084
55096.8292 19.38116 0.05209
55097.00858 19.34214 0.0649
55104.99862 19.28984 0.06976
55107.79764 19.42169 0.13736
55114.88125 19.4128 0.0759
55114.92522 19.48635 0.17967
55119.89538 19.52638 0.06635
55119.95365 19.37362 0.06398
55123.75696 19.25904 0.06048
55123.81523 19.39966 0.06616
55126.97957 19.31624 0.09169
55127.83329 19.3885 0.06572
55127.87706 19.19151 0.07118
55135.82555 19.58114 0.11821
55135.86926 19.33601 0.12875
55138.71472 19.3931 0.10974
55138.75871 19.65372 0.12726
55142.7036 19.47036 0.07048
55142.75219 19.45154 0.07021
55144.77886 19.28269 0.06766
55144.82305 19.32681 0.07285
55151.72943 19.24356 0.07382
55151.77257 19.41407 0.06114
55166.70473 19.45849 0.11006
55166.74897 19.48648 0.11334
55168.63378 19.52014 0.14071
55168.6775 19.13374 0.11114
55175.61224 19.28972 0.06543
55175.65684 19.33564 0.05762
55181.59421 19.48283 0.08167
55181.63825 19.46966 0.07408
55183.59204 19.42006 0.09306
55183.64253 19.32976 0.06248
55189.58054 19.28423 0.0859
55189.62557 19.10534 0.07927
55194.59026 19.25084 0.15253
55199.58559 19.35396 0.07215
55202.58667 19.23201 0.07664
55203.71441 19.48846 0.08359
55203.75743 19.48978 0.0876
55207.63092 19.27881 0.07578
55207.67514 19.49292 0.06878
55209.5968 19.19678 0.05801
55209.64149 19.34903 0.06196
55213.63312 19.39018 0.08196
55213.6798 19.49284 0.09065
55377.85123 19.44518 0.12864
55377.89535 19.60018 0.1577
55378.90615 19.66644 0.13594
55379.8591 19.50031 0.10601
55379.92482 19.43563 0.07526
55380.87684 19.26538 0.11869
55380.92078 19.49725 0.10308
55381.89606 19.43578 0.11071
55381.93934 19.53354 0.0783
55384.82671 19.36004 0.07542
55384.87028 19.4535 0.0682
55385.87021 19.36925 0.06115
55385.91339 19.4417 0.06118
55386.86524 19.35814 0.066
55386.90867 19.43475 0.0664
55387.87002 19.32915 0.07436
55387.91342 19.31319 0.05826
55388.86609 19.29846 0.08489
55388.91005 19.40004 0.06668
55390.80957 19.4367 0.08452
55390.85393 19.37396 0.07855
55391.80613 19.45601 0.08635
55391.87538 19.39314 0.07661
55392.83258 19.47421 0.07409
55392.87538 19.49686 0.06381
55394.79908 19.27052 0.08084
55394.8431 19.31915 0.07064
55395.79551 19.44815 0.10365
55395.84215 19.29691 0.08572
55396.79527 19.39285 0.10082
55396.83932 19.45865 0.06847
55397.79163 19.63855 0.11642
55397.83526 19.48308 0.08544
55398.78764 19.32418 0.11032
55398.83124 19.30985 0.09404
55399.78802 19.60925 0.14452
55399.83261 19.59631 0.1105
55400.78534 19.5518 0.1662
55400.8289 19.64289 0.10426
55401.78133 19.38442 0.16736
55401.82518 19.29121 0.15314
55402.77979 19.65434 0.2069
55402.8246 19.79452 0.1551
55403.77642 19.70775 0.25199
55403.81973 19.71937 0.16925
55404.77424 19.5871 0.14296
55404.84266 19.70071 0.11764
55407.83003 19.34309 0.14788
55411.79896 19.40088 0.11113
55412.75232 19.37344 0.16865
55412.79539 19.4865 0.11972
55413.75577 19.56223 0.17043
55413.79945 19.73738 0.13922
55414.75161 19.6609 0.18398
55414.79555 19.63173 0.10743
55415.75266 19.26924 0.13477
55415.79727 19.48982 0.16249
55416.75096 19.54345 0.1476
55416.79342 19.53753 0.12905
55417.75979 19.44415 0.16148
55417.84511 19.70262 0.11908
55418.79843 19.68048 0.16816
55418.84121 19.62623 0.11308
55419.79504 19.26331 0.09886
55420.78929 19.66835 0.14618
55420.83264 19.25665 0.1163
55421.73664 19.41123 0.08262
55421.79901 19.52728 0.06464
55422.75115 19.34039 0.0996
55422.79487 19.381 0.06834
55423.74742 19.36643 0.07265
55423.79284 19.43107 0.06442
55424.75349 19.36672 0.0953
55424.80178 19.52371 0.06764
55425.76166 19.5597 0.08488
55425.80573 19.38777 0.06051
55426.80123 19.58882 0.08313
55426.8444 19.37977 0.05841
55427.79708 19.46766 0.08122
55427.8408 19.51073 0.06846
55428.79281 19.42065 0.0821
55428.83703 19.25704 0.08251
55429.8142 19.42725 0.07935
55429.85716 19.45603 0.08863
55430.75769 19.37104 0.09235
55430.80485 19.37728 0.10445
55431.75639 19.59556 0.10337
55431.80024 19.31526 0.10001
55432.73907 19.59194 0.11886
55432.78359 19.65516 0.15768
55434.73769 19.04282 0.14871
55435.69148 19.689 0.17647
55436.88575 19.36417 0.10613
55436.88891 19.54961 0.1433
55436.8919 19.38358 0.10375
55436.89501 19.49313 0.10445
55436.89797 19.66537 0.1156
55436.90109 19.59281 0.12153
55436.9042 19.29115 0.12511
55436.90728 19.54827 0.13252
55436.91351 19.48966 0.11253
55436.91641 19.23515 0.13436
55436.91931 19.59452 0.11103
55436.92221 19.80675 0.12155
55436.92514 19.46156 0.10371
55436.92806 19.41632 0.11882
55436.93096 19.54971 0.1093
55436.93413 19.4803 0.11373
55436.93703 19.54909 0.12114
55436.93974 19.39439 0.09814
55436.94297 19.50926 0.09943
55436.94613 19.70605 0.11062
55436.94915 19.60936 0.11523
55436.95231 19.43499 0.10292
55436.9553 19.39354 0.09682
55436.95826 19.45315 0.11062
55436.96116 19.61523 0.10661
55436.96403 19.4472 0.10263
55436.96671 19.58022 0.11988
55438.88857 19.48052 0.11639
55438.89169 19.27408 0.10841
55438.89485 19.45259 0.10911
55438.89798 19.5369 0.08788
55438.90086 19.44177 0.08719
55438.90371 19.51826 0.08816
55438.9065 19.45467 0.07937
55438.90927 19.34115 0.08955
55438.91204 19.69067 0.09534
55438.91487 19.39587 0.11125
55438.91763 19.37469 0.09371
55438.92084 19.39197 0.10003
55438.92394 19.4278 0.10941
55438.92672 19.41404 0.10591
55438.92954 19.78936 0.12113
55438.93259 19.44804 0.12253
55438.93551 19.4012 0.12392
55438.93833 19.56642 0.11454
55438.94106 19.54338 0.09926
55438.94411 19.31875 0.10317
55438.94678 19.20155 0.09673
55438.95017 19.47088 0.09788
55438.95913 19.26557 0.08885
55438.96141 19.48573 0.10663
55440.87507 19.20178 0.08094
55440.87823 19.40244 0.0699
55440.88428 19.42329 0.07388
55440.88675 19.52185 0.06713
55440.8894 19.46788 0.06637
55440.89205 19.34484 0.06965
55440.89518 19.24139 0.06893
55440.89832 19.33372 0.07773
55440.90145 19.46395 0.06805
55440.90439 19.39396 0.06264
55440.90729 19.42192 0.06958
55440.91025 19.40325 0.06478
55440.91316 19.48556 0.07054
55440.91591 19.45375 0.07782
55440.9187 19.32622 0.07902
55440.92149 19.35372 0.07361
55440.92426 19.44061 0.06538
55440.93095 19.38471 0.06875
55440.93364 19.45131 0.0643
55440.93623 19.38962 0.08049
55440.9395 19.45406 0.06993
55440.94264 19.44981 0.0783
55440.94582 19.2587 0.07753
55440.94883 19.3712 0.08313
55440.95182 19.33743 0.06962
55440.95489 19.55514 0.07892
55440.95791 19.32348 0.08004
55441.87301 19.40037 0.05965
55441.87592 19.34661 0.06637
55441.88645 19.34786 0.06503
55441.88962 19.54487 0.06604
55441.89254 19.51337 0.07142
55441.89542 19.44189 0.07233
55441.89828 19.39427 0.06061
55441.90107 19.55849 0.07962
55441.9037 19.47322 0.05822
55441.90634 19.4921 0.0709
55441.90906 19.36683 0.06283
55441.9118 19.54077 0.06231
55441.91445 19.42817 0.06438
55441.91722 19.44401 0.06809
55441.91981 19.2586 0.06874
55441.92242 19.37752 0.07686
55441.92546 19.34271 0.05605
55441.9281 19.35222 0.06149
55441.93183 19.49375 0.06162
55441.93458 19.39553 0.06979
55441.93727 19.18118 0.07615
55441.94048 19.53424 0.06012
55441.94326 19.45776 0.05887
55441.94546 19.35859 0.06226
55441.94852 19.34603 0.06818
55441.95194 19.41907 0.07022
55441.95469 19.47521 0.06115
55441.95786 19.4104 0.05894
55441.96081 19.45466 0.08083
55441.96392 19.51794 0.06022
55441.96715 19.51167 0.06409
55441.97012 19.38977 0.06462
55441.97294 19.41714 0.05669
55441.97532 19.32212 0.06084
55441.97757 19.33936 0.06643
55441.9798 19.36278 0.06354
55441.9835 19.33116 0.0646
55441.9863 19.30172 0.0667
55441.98852 19.44511 0.06633
55441.99078 19.5215 0.06169
55441.99382 19.43109 0.07806
55442.00593 19.38276 0.06918
55442.00906 19.26658 0.06798
55442.01216 19.36288 0.06817
55442.01486 19.35313 0.09355
