#mjd mag magerr
55061.92501 14.82421 0.00598
55061.95573 14.82697 0.00631
55063.91987 14.8361 0.007
55063.9639 14.8218 0.00746
55064.92128 14.84085 0.00668
55064.9656 14.83175 0.0064
55066.91014 14.83303 0.00649
55066.95474 14.83277 0.00813
55067.91649 14.84728 0.00666
55067.96099 14.83811 0.00837
55069.90324 14.81831 0.00722
55069.94786 14.81992 0.00633
55080.87449 14.83069 0.01079
55084.86328 14.81528 0.01083
55087.85609 14.80602 0.00596
55087.90101 14.80484 0.00662
55088.96983 14.81063 0.00577
55089.01521 14.80277 0.0062
55089.94574 14.80068 0.00705
55089.99042 14.81881 0.00659
55093.83741 14.80568 0.00686
55093.88196 14.80122 0.00596
55096.8292 14.81216 0.00718
55097.00858 14.81214 0.00634
55104.99862 14.80984 0.00607
55107.79764 14.84569 0.01039
55114.88125 14.8098 0.0066
55119.89538 14.82938 0.00672
55119.95365 14.82662 0.00695
55123.75696 14.82904 0.00569
55123.81523 14.82466 0.00555
55126.97957 14.84224 0.00738
55127.83329 14.8335 0.0064
55127.87706 14.83251 0.00617
55135.82555 14.83214 0.00779
55135.86926 14.82701 0.00871
55138.71472 14.8491 0.00865
55138.75871 14.83972 0.00945
55142.7036 14.83736 0.00627
55142.75219 14.83254 0.00671
55144.77886 14.83969 0.00593
55144.82305 14.8388 0.00614
55151.72943 14.81156 0.00544
55151.77257 14.82607 0.00531
55166.70473 14.84749 0.00842
55166.74897 14.81248 0.00842
55168.63378 14.85814 0.00933
55168.6775 14.85174 0.0102
55181.59421 14.83383 0.0145
55181.63825 14.83267 0.00858
55183.59204 14.83106 0.00852
55183.64253 14.82376 0.00694
55189.58054 14.83023 0.00706
55189.62557 14.83834 0.00642
55194.59026 14.85384 0.01194
55199.58559 14.83096 0.007
55202.58667 14.82101 0.02137
55203.71441 14.85346 0.00932
55203.75743 14.85578 0.00867
55207.63092 14.83081 0.01144
55207.67514 14.83692 0.00624
55209.5968 14.83978 0.00589
55209.64149 14.85103 0.00554
55213.63312 14.83418 0.02748
55213.6798 14.85584 0.02746
55377.85123 14.84518 0.00814
55377.89535 14.84118 0.00745
55378.90615 14.81144 0.00949
55379.8591 14.83231 0.0067
55379.92482 14.84563 0.00634
55380.87684 14.83138 0.00665
55380.92078 14.82625 0.00594
55381.89606 14.83778 0.00646
55381.93934 14.85054 0.00549
55384.82671 14.83104 0.00552
55384.87028 14.8345 0.00631
55385.87021 14.84325 0.0055
55385.91339 14.8327 0.00584
55386.86524 14.83114 0.00507
55386.90867 14.83675 0.00507
55387.87002 14.83515 0.00613
55387.91342 14.8292 0.00649
55388.91005 14.83204 0.00491
55390.80957 14.8367 0.00612
55390.85393 14.83396 0.00619
55391.80613 14.82502 0.00675
55391.87538 14.82113 0.00554
55392.83258 14.84321 0.0068
55392.87538 14.83586 0.00644
55394.79908 14.82652 0.00629
55394.8431 14.83315 0.00575
55395.79551 14.82815 0.0109
55395.84215 14.83691 0.00592
55396.79527 14.85785 0.00692
55396.83932 14.84466 0.00608
55397.79163 14.83655 0.00754
55397.83526 14.83008 0.00631
55398.78764 14.84818 0.00779
55398.83124 14.84085 0.00686
55399.78802 14.84825 0.0085
55399.83261 14.84631 0.00701
55400.78534 14.8558 0.00862
55400.8289 14.85588 0.00787
55401.78133 14.86442 0.01066
55401.82518 14.84321 0.00917
55402.77979 14.86133 0.01099
55402.8246 14.85151 0.00915
55403.77642 14.86175 0.01108
55403.81973 14.84937 0.01035
55404.77424 14.8301 0.01019
55404.84266 14.85871 0.00849
55405.8416 14.85373 0.00861
55407.7691 14.86798 0.01009
55407.83003 14.82109 0.00983
55411.79896 14.85688 0.01372
55412.75232 14.85544 0.01244
55412.79539 14.84449 0.01027
55414.75161 14.8639 0.04462
55414.79555 14.83873 0.00881
55415.75266 14.84424 0.01372
55416.75096 14.85145 0.01125
55416.79342 14.82453 0.01088
55417.84511 14.87062 0.03812
55418.79843 14.83248 0.01583
55418.84121 14.85223 0.01164
55419.79504 14.84531 0.01192
55420.78929 14.87335 0.03962
55420.83264 14.84464 0.01288
55421.73664 14.82423 0.00589
55421.79901 14.83128 0.00545
55422.75115 14.81739 0.006
55422.79487 14.825 0.00562
55423.74742 14.83042 0.00619
55423.79284 14.83207 0.00533
55424.75349 14.83772 0.0098
55424.80178 14.83471 0.00581
55425.76166 14.8477 0.00719
55425.80573 14.84576 0.00635
55426.80123 14.83782 0.00877
55426.8444 14.82877 0.00697
55427.79708 14.85666 0.00621
55427.8408 14.84273 0.00608
55428.79281 14.83465 0.00597
55428.83703 14.84304 0.00589
55429.8142 14.83225 0.00668
55429.85716 14.83803 0.00634
55430.75769 14.85004 0.00751
55430.80485 14.85728 0.00742
55431.75639 14.83956 0.00825
55431.80024 14.82926 0.00699
55432.73907 14.86394 0.00951
55432.78359 14.84717 0.00811
55433.70425 14.86322 0.01117
55433.7493 14.85932 0.00987
55434.69401 14.86294 0.01309
55434.73769 14.84682 0.01083
55435.69148 14.865 0.0116
55436.88575 14.84017 0.0073
55436.88891 14.85161 0.00741
55436.8919 14.85858 0.00774
55436.89501 14.86413 0.00765
55436.89797 14.85537 0.00736
55436.90109 14.85881 0.00784
55436.9042 14.87115 0.00759
55436.90728 14.86526 0.00792
55436.91041 14.8665 0.00803
55436.91351 14.86366 0.00778
55436.91641 14.85715 0.00866
55436.91931 14.84652 0.00782
55436.92221 14.86676 0.0083
55436.92514 14.87656 0.00739
