#mjd mag magerr
55061.92501 20.06521 0.08894
55061.95573 19.89597 0.09086
55063.91987 19.9471 0.11806
55063.9639 20.0488 0.08446
55064.92128 19.96085 0.09576
55064.9656 19.75275 0.10573
55066.91014 19.96003 0.11902
55067.91649 20.21029 0.18168
55067.96099 19.56711 0.1422
55069.90324 19.83331 0.06481
55069.94786 19.92392 0.0717
55080.87449 19.96569 0.15312
55080.95988 19.89047 0.28551
55084.86328 19.73328 0.09243
55087.85609 20.07502 0.08105
55087.90101 19.92785 0.07582
55088.96983 20.00762 0.07455
55089.01521 20.11577 0.09434
55089.94574 19.90168 0.07456
55089.99042 20.1378 0.09746
55093.83741 19.95768 0.07245
55093.88196 19.95122 0.06918
55096.8292 19.86416 0.09003
55097.00858 19.96514 0.11172
55104.99862 20.31884 0.12179
55107.79764 19.93669 0.13367
55114.88125 20.0658 0.09406
55119.89538 19.94538 0.08949
55119.95365 20.13262 0.10966
55123.75696 20.05804 0.08503
55123.81523 20.12566 0.08592
55127.83329 19.9555 0.08827
55127.87706 20.26451 0.10262
55138.71472 20.2221 0.18049
55142.7036 20.18236 0.10532
55142.75219 20.10854 0.10843
55144.77886 20.08869 0.1045
55144.82305 19.8818 0.10031
55151.72943 20.46055 0.10928
55151.77257 20.16807 0.09619
55168.63378 19.94614 0.15429
55168.6775 20.28174 0.15904
55175.61224 20.07672 0.0957
55175.65684 20.00664 0.08449
55181.59421 20.07183 0.18242
55183.59204 19.98706 0.119
55183.64253 20.02576 0.09698
55189.58054 20.28323 0.12814
55189.62557 19.99334 0.11332
55199.58559 20.01596 0.09539
55202.58667 20.11501 0.1112
55203.71441 20.24146 0.14523
55203.75743 20.26078 0.1289
55207.63092 19.94881 0.08559
55207.67514 20.08192 0.09184
55209.5968 19.95177 0.07895
55209.64149 20.07103 0.09161
55213.63312 20.13718 0.10567
55213.6798 19.75384 0.11067
55379.8591 20.01731 0.16417
55379.92482 20.33563 0.13179
55380.92078 20.09625 0.13426
55381.89606 20.23478 0.10732
55381.93934 20.21854 0.10397
55384.82671 20.07804 0.10159
55384.87028 20.1065 0.09235
55385.87021 20.29025 0.10609
55385.91339 20.0867 0.09422
55386.86524 20.34614 0.11645
55386.90867 20.08075 0.11816
55387.87002 20.05215 0.09103
55387.91342 19.99519 0.08677
55388.86609 20.18247 0.12113
55388.91005 20.07804 0.09486
55390.80957 20.2267 0.12658
55391.87538 20.40513 0.10878
55392.83258 20.22421 0.11742
55392.87538 19.95686 0.09944
55394.79908 20.34152 0.13508
55394.8431 20.07615 0.1002
55395.79551 20.00515 0.12707
55395.84215 20.15691 0.10739
55396.83932 20.11965 0.09073
55397.83526 20.13608 0.10182
55398.78764 19.91718 0.15179
55398.83124 19.77585 0.10822
55399.78802 19.95425 0.14961
55399.83261 20.03631 0.13608
55400.8289 19.93989 0.12104
55404.84266 20.11271 0.22247
55411.79896 20.28288 0.2044
55412.79539 19.7985 0.16414
55413.79945 20.15338 0.14836
55414.79555 20.18373 0.13968
55415.79727 19.78782 0.15989
55417.75979 20.05015 0.16552
55418.79843 20.22448 0.1853
55421.73664 20.22423 0.12188
55421.79901 20.07728 0.08221
55422.75115 20.25539 0.11399
55422.79487 20.3 0.11018
55423.74742 20.19543 0.1156
55423.79284 20.02007 0.08619
55424.75349 19.90372 0.10656
55424.80178 20.02471 0.0926
55425.76166 20.4647 0.1557
55425.80573 19.93976 0.08336
55426.80123 19.80982 0.13301
55426.8444 19.90777 0.08072
55427.79708 20.43766 0.12718
55427.8408 20.03673 0.08893
55428.79281 20.19565 0.12077
55428.83703 20.23404 0.10828
55429.8142 20.28125 0.13579
55429.85716 20.14903 0.1129
55430.80485 20.20628 0.14511
55431.75639 20.05356 0.13094
55431.80024 20.24326 0.14338
55432.78359 20.22517 0.18437
55436.88891 20.36861 0.1438
55436.89501 20.22213 0.1521
55436.90109 20.30981 0.17109
55436.92221 20.37975 0.19839
55436.92514 19.91756 0.15847
55436.93974 20.18339 0.14429
55436.94613 20.24606 0.15189
55436.94915 20.40436 0.17519
55436.95231 20.11799 0.17147
55436.9553 19.71254 0.13339
55436.95826 20.04515 0.12311
55436.96671 20.03522 0.16346
55438.88857 20.30052 0.13018
55438.89169 20.44608 0.15448
55438.89485 20.24859 0.14288
55438.89798 20.4739 0.1616
55438.90086 20.00777 0.11963
55438.90371 20.35726 0.1379
55438.9065 20.27767 0.12581
55438.90927 20.19915 0.11479
55438.91204 20.30767 0.13909
55438.91487 20.12587 0.13303
55438.91763 20.04469 0.11829
55438.92084 20.24797 0.16608
55438.92954 19.91536 0.14701
55438.93259 20.07804 0.14461
55438.93551 20.2502 0.145
55438.93833 20.16342 0.13492
55438.94411 20.17775 0.172
55438.95017 20.25288 0.13873
55438.95913 20.38357 0.15089
55438.96141 19.86973 0.12392
55440.87507 20.29678 0.12359
55440.87823 20.15344 0.10313
55440.88428 20.13729 0.09764
55440.88675 20.11585 0.10179
55440.8894 20.03288 0.09781
55440.89205 19.86984 0.09161
55440.89518 20.11639 0.0878
