#mjd mag magerr
55061.92501 19.15021 0.05134
55061.95573 19.21597 0.05138
55063.91987 19.3301 0.05464
55063.9639 19.2878 0.0542
55064.92128 19.09085 0.0526
55064.9656 19.21175 0.05773
55066.91014 19.16103 0.05247
55066.95474 19.14376 0.05062
55067.91649 19.30629 0.07221
55067.96099 19.21711 0.06156
55069.90324 19.07231 0.04545
55069.94786 19.12492 0.04601
55080.87449 19.23969 0.11171
55080.95988 19.33547 0.13054
55084.86328 19.13028 0.06338
55087.85609 19.14202 0.04845
55087.90101 19.08284 0.04556
55088.96983 19.17863 0.04734
55089.01521 19.08577 0.04927
55089.94574 19.16068 0.04622
55089.99042 19.1318 0.0518
55093.83741 19.13868 0.04539
55093.88196 19.19122 0.04557
55096.8292 19.19016 0.04604
55097.00858 19.20414 0.05275
55104.99862 19.28984 0.06337
55107.79764 19.32069 0.09279
55114.88125 19.1428 0.05707
55114.92522 19.06536 0.11335
55119.89538 19.16138 0.0553
55119.95365 19.21562 0.06089
55123.75696 19.15104 0.05181
55123.81523 19.18266 0.05359
55126.97957 19.14724 0.06935
55127.83329 19.1485 0.05576
55127.87706 19.28551 0.05941
55135.82555 19.51014 0.11422
55138.71472 19.3151 0.11883
55138.75871 18.90372 0.11628
55142.7036 19.29136 0.06818
55142.75219 19.30754 0.0736
55144.77886 19.37669 0.06576
55144.82305 19.2418 0.06626
55151.72943 19.36156 0.06614
55151.77257 19.25707 0.05665
55166.70473 19.48849 0.12015
55166.74897 19.23548 0.12582
55168.63378 19.02614 0.10648
55168.6775 19.18974 0.11264
55175.61224 19.23172 0.0561
55175.65684 19.26864 0.05762
55181.59421 19.37083 0.08798
55181.63825 19.37367 0.07497
55183.59204 19.23606 0.08369
55183.64253 19.06176 0.06188
55189.58054 19.31823 0.07673
55189.62557 19.33834 0.0704
55194.59026 19.08284 0.14126
55199.58559 19.23696 0.05792
55201.58642 19.41484 0.16371
55202.58667 19.32001 0.07146
55203.71441 19.17746 0.07514
55203.75743 19.18478 0.07336
55207.63092 19.19981 0.06136
55207.67514 19.24392 0.0628
55209.5968 19.08177 0.0601
55209.64149 19.24703 0.05359
55213.63312 19.20018 0.07084
55213.6798 19.26684 0.0876
55377.85123 19.46418 0.11595
55377.89535 19.17319 0.08259
55378.90615 19.57344 0.1112
55379.8591 19.25231 0.08145
55379.92482 19.17963 0.06668
55380.87684 19.44838 0.09681
55380.92078 19.22625 0.09049
55381.89606 19.24178 0.07237
55381.93934 19.15754 0.06202
55384.82671 19.29604 0.06324
55384.87028 19.0725 0.05335
55385.87021 19.23525 0.05586
55385.91339 19.1957 0.05421
55386.86524 19.20814 0.05921
55386.90867 19.13875 0.05602
55387.87002 19.04416 0.05253
55387.91342 19.06419 0.04762
55388.86609 19.14046 0.06794
55388.91005 19.08904 0.05031
55390.80957 19.3147 0.08292
55390.85393 19.25396 0.06777
55391.80613 19.32901 0.08036
55391.87538 19.29313 0.06244
55392.83258 19.26221 0.0684
55392.87538 19.13686 0.06142
55394.79908 19.21852 0.06926
55394.8431 19.19016 0.06285
55395.79551 19.32215 0.0935
55395.84215 19.22491 0.06206
55396.79527 19.15685 0.09054
55396.83932 19.19265 0.0592
55397.79163 19.41155 0.10124
55397.83526 19.24708 0.06469
55398.83124 19.25985 0.07517
55399.78802 19.31525 0.09578
55399.83261 19.52231 0.09981
55400.78534 19.3608 0.12234
55400.8289 19.07189 0.10316
55401.78133 19.35242 0.17935
55401.82518 19.21421 0.12107
55402.77979 19.37033 0.16623
55402.8246 19.46752 0.1448
55403.77642 19.28675 0.15624
55403.81973 19.40537 0.1285
55404.77424 19.2421 0.13687
55404.84266 19.31571 0.10665
55405.8416 19.38273 0.11524
55407.83003 18.99209 0.1305
55411.79896 19.55488 0.08961
55412.75232 19.27344 0.10536
55412.79539 19.1255 0.08685
55413.75577 19.11723 0.14432
55413.79945 19.26338 0.10398
55414.75161 19.5559 0.16964
55414.79555 19.14473 0.07842
55415.75266 19.38324 0.1278
55415.79727 19.27582 0.13527
55416.75096 19.36645 0.10732
55416.79342 19.45153 0.10064
55417.75979 19.25415 0.14549
55417.84511 19.39762 0.11275
55418.79843 19.17048 0.1011
55418.84121 19.15923 0.08147
55419.75121 19.39034 0.12867
55419.79504 19.19931 0.08952
55420.78929 19.40235 0.16807
55420.83264 19.43564 0.09236
55421.73664 19.26523 0.06914
55421.79901 19.07928 0.05007
55422.75115 19.12939 0.06227
55422.79487 19.149 0.06415
55423.74742 19.07543 0.06039
55423.79284 19.23307 0.05474
55424.75349 19.29272 0.07401
55424.80178 19.06571 0.06126
55425.76166 19.2177 0.07281
55425.80573 19.20077 0.05633
55426.80123 19.12282 0.06463
55426.8444 19.08177 0.05304
55427.79708 19.17466 0.07164
55427.8408 19.18473 0.06079
55428.79281 19.12765 0.06463
55428.83703 19.07604 0.06035
55429.8142 19.18025 0.07196
55429.85716 19.17603 0.06448
55430.75769 19.33404 0.08736
55430.80485 19.19328 0.078
55431.75639 19.27756 0.09349
55431.80024 19.10626 0.07855
55432.73907 19.13194 0.11876
55432.78359 19.12216 0.10831
55433.70425 19.25322 0.17332
55433.7493 19.43032 0.15134
55436.88575 19.26918 0.08895
55436.88891 19.24861 0.08307
55436.8919 19.25957 0.08698
55436.89501 19.18313 0.08628
55436.89797 19.39437 0.09333
55436.90109 19.31881 0.09047
55436.9042 19.23915 0.08855
55436.90728 19.29727 0.09087
55436.91041 19.2135 0.09338
55436.91351 19.47566 0.10584
55436.91641 19.24815 0.09293
55436.91931 19.14252 0.08617
55436.92221 19.29175 0.10687
55436.92514 19.19656 0.08604
55436.92806 19.33432 0.09724
55436.93096 19.26371 0.08692
55436.93413 19.3903 0.10254
55436.93703 19.10509 0.10257
55436.93974 19.35639 0.09504
55436.94297 19.12626 0.11051
55436.94613 19.08205 0.09135
55436.94915 19.03436 0.08588
55436.95231 19.22599 0.08963
55436.9553 19.21154 0.1169
55436.95826 19.32515 0.11292
55436.96116 19.32623 0.09463
55436.96403 19.44421 0.10243
55436.96671 19.24122 0.10579
55438.88857 19.29552 0.08462
55438.89169 19.22908 0.08045
55438.89485 19.43759 0.08494
55438.89798 19.0989 0.07611
55438.90086 19.12077 0.07143
55438.90371 19.30526 0.08816
55438.9065 19.28467 0.07558
55438.90927 19.24015 0.07789
55438.91204 18.85667 0.08735
55438.91487 19.19287 0.08171
55438.91763 19.3187 0.08772
55438.92084 19.28296 0.08785
55438.92394 19.3448 0.08455
55438.92672 19.24604 0.08834
55438.92954 19.09736 0.0764
55438.93259 19.13204 0.08449
55438.93551 19.1092 0.08817
55438.93833 19.39342 0.08988
55438.94106 19.32538 0.10834
55438.94411 19.25275 0.08271
55438.94678 19.30655 0.09194
55438.95017 19.18488 0.08082
55438.95913 19.23957 0.07956
55438.96141 19.13073 0.09046
55440.87507 19.12579 0.05909
55440.87823 19.17244 0.06402
55440.88428 19.23229 0.06262
55440.88675 19.23586 0.05975
55440.8894 19.26788 0.06327
55440.89205 19.13484 0.05897
55440.89518 19.22939 0.06215
55440.89832 19.29772 0.06016
55440.90145 19.25995 0.05947
55440.90439 19.20296 0.06403
55440.90729 19.13792 0.05741
55440.91025 19.16925 0.05631
55440.91316 19.38556 0.06745
55440.91591 19.31475 0.06435
55440.9187 19.30922 0.06175
55440.92149 19.12972 0.06492
55440.92426 19.2906 0.0574
55440.93095 19.18471 0.06386
55440.93364 19.13131 0.05822
