#mjd mag magerr
55061.92501 19.92899 0.06411
55061.95573 19.8208 0.05788
55063.91987 19.8021 0.05841
55063.9639 19.85452 0.05711
55064.92128 20.0033 0.06902
55064.9656 19.80662 0.06231
55066.91014 19.92322 0.06395
55066.95474 19.89923 0.06192
55067.91649 20.06787 0.10253
55067.96099 20.20645 0.11545
55069.90324 19.88461 0.06311
55069.94786 19.83679 0.06512
55084.86328 19.88061 0.09718
55087.85609 19.91635 0.07102
55087.90101 20.01117 0.07289
55088.96983 19.91717 0.0659
55089.01521 19.96854 0.07032
55089.94574 20.03568 0.07353
55089.99042 19.90247 0.06895
55093.83741 19.85975 0.06112
55093.88196 19.96887 0.0687
55096.8292 19.89624 0.06727
55097.00858 19.99036 0.07907
55104.99862 20.22836 0.10328
55114.88125 19.97255 0.10094
55119.89538 20.17258 0.08338
55119.95365 20.1634 0.09233
55123.75696 20.06712 0.07178
55123.81523 19.8828 0.07117
55126.97957 20.08324 0.09038
55127.83329 19.97314 0.07802
55127.87706 20.04051 0.09161
55213.6798 19.84969 0.10432
55503.8732 19.74119 0.09989
55514.69377 19.84399 0.10428
55514.73749 19.85407 0.11267
55515.74236 20.15078 0.10927
55517.6584 20.00482 0.09846
55518.6578 19.71874 0.15699
55539.62283 19.96368 0.07947
55540.61811 19.82368 0.07015
55540.66215 19.93558 0.07365
55580.71648 19.66951 0.1391
55586.61685 19.6822 0.06629
55586.66038 19.91869 0.08719
55588.66264 20.14101 0.14995
55722.89872 19.65847 0.0821
55723.91976 19.77891 0.08998
55723.9634 19.50017 0.06601
55730.92322 20.06962 0.16094
55733.86776 19.80951 0.11817
55733.91212 19.84776 0.09488
55750.83279 20.07592 0.09849
55750.87598 19.8973 0.08456
55753.86132 19.62732 0.13128
55756.88391 20.18765 0.13776
55759.84878 19.89992 0.11257
55759.89212 19.67725 0.10159
55762.79606 19.82001 0.12583
55762.8402 19.96827 0.12601
55766.7805 19.95353 0.0974
55766.83041 19.92652 0.09226
55768.77509 20.24222 0.13796
55768.82037 19.84918 0.08898
55769.80074 19.88508 0.08217
55769.84468 19.69723 0.0623
55770.78189 19.80159 0.08168
55770.82573 19.90553 0.07541
55771.78074 19.83788 0.08259
55771.82449 19.72513 0.06743
55774.75968 19.89295 0.10686
55774.80363 19.77215 0.07538
55775.7599 19.78672 0.10398
55775.80332 19.54123 0.09096
55779.7464 19.95855 0.10219
55779.79086 19.95475 0.08258
55780.74948 19.92197 0.09509
55780.79415 19.8833 0.08247
55782.7508 19.87412 0.12039
55782.7956 19.93977 0.10316
55783.7573 19.82148 0.15267
55783.80103 19.96331 0.16186
55789.78039 19.95432 0.14474
55790.73125 19.94075 0.14556
55791.73123 19.85295 0.14236
55791.77527 19.99155 0.14037
55793.74743 19.94977 0.10479
55793.79097 20.17201 0.131
55794.75972 19.9529 0.09158
55794.81629 19.70769 0.0887
55809.7101 19.85575 0.10298
55811.7042 19.91098 0.11906
55812.70198 20.08478 0.12586
55813.66257 19.92313 0.13729
55813.70671 19.82883 0.09838
55820.63925 19.68741 0.11055
55821.63464 19.78785 0.09658
55822.63132 19.81629 0.09978
55822.67415 19.59889 0.07218
55823.62908 19.83415 0.10466
55823.67275 19.82346 0.08486
55824.62608 19.83148 0.11558
55824.6697 19.83303 0.08357
55838.61464 19.84504 0.11188
55838.65944 19.99356 0.10497
55842.66208 19.85831 0.15337
55843.61073 20.13167 0.20217
55843.65444 19.86664 0.12629
55844.60924 20.02411 0.19878
55849.60547 19.77422 0.08743
55849.65079 19.85428 0.13441
55850.60468 19.7619 0.08178
55850.64918 19.89958 0.09437
55851.60318 19.66874 0.0829
55851.64641 19.87212 0.07483
55852.60416 19.94269 0.08851
55852.6481 19.95288 0.0802
55853.60163 19.78632 0.08789
55853.6463 19.7212 0.07705
55854.60164 19.69793 0.08563
55854.64607 19.76776 0.06845
55866.5884 19.81073 0.09726
55866.64679 19.78087 0.0793
55867.58757 20.06334 0.13696
55867.63053 20.1133 0.12736
55868.5865 19.89636 0.11357
55868.63002 19.87724 0.10456
55880.92255 19.99182 0.16527
55882.86968 19.62876 0.08812
55882.87146 19.66949 0.08391
55882.91495 19.92408 0.10754
55883.86679 19.96601 0.10603
55887.63181 20.07153 0.13907
55887.68352 20.07198 0.09291
55889.80049 19.72511 0.06638
55889.84447 19.68675 0.06867
55891.6225 19.75941 0.07897
55893.58261 19.82144 0.08518
55893.62546 19.91349 0.11116
55894.58144 19.50662 0.11063
55898.82137 19.63803 0.1371
55898.86551 19.95533 0.14879
55902.58519 19.68202 0.1632
55902.64414 19.92586 0.15254
55906.58378 19.52298 0.1024
55906.64029 19.64408 0.1155
55916.59575 19.89807 0.09585
55916.64026 19.84288 0.08296
55922.6423 19.64923 0.08367
55925.59941 19.74751 0.10107
55925.67897 19.84522 0.07489
55926.58279 19.88189 0.09305
55926.62543 19.78115 0.07747
55930.58585 19.86375 0.12624
55930.62499 19.85817 0.13888
55931.58458 19.76629 0.18447
55931.62692 19.74611 0.15089
55932.62858 20.06389 0.11499
55936.60917 19.97775 0.12132
55936.65247 19.81612 0.11997
55937.58951 19.9681 0.10752
55939.64879 20.13099 0.11176
55939.6851 19.96343 0.1092
55940.64013 19.64646 0.15418
55943.69972 19.82013 0.08309
55943.74446 19.88887 0.10519
55944.64379 19.98829 0.08359
55944.67224 19.99911 0.09349
55949.64923 19.73207 0.12114
55952.64932 19.87734 0.09938
55953.64127 19.93782 0.09149
55954.64157 19.86129 0.15861
55958.61566 20.1715 0.18145
55958.67117 19.89381 0.13577
55959.64574 19.73402 0.17986
55962.61935 20.138 0.13177
56059.98484 20.15154 0.16315
56060.97134 19.57056 0.12916
56063.96519 20.09539 0.16759
56065.96588 19.87981 0.17311
56066.96916 19.97491 0.12938
56067.96802 19.90722 0.12357
56070.97101 19.86215 0.11858
56071.95528 20.10106 0.11748
56075.93073 20.14626 0.10936
56075.96117 19.82494 0.09516
56076.96161 19.73453 0.08809
56078.92335 20.09767 0.1125
56078.95394 20.16238 0.1133
56079.91957 20.23309 0.15426
56079.94994 19.7085 0.08301
56079.97946 19.65309 0.17887
56084.95914 19.99195 0.12241
56086.90079 19.85624 0.18585
56086.9317 19.5895 0.11236
56086.96186 19.84047 0.11848
56087.95118 19.90574 0.11007
56088.93216 19.85913 0.11535
56088.96298 19.83221 0.09766
56089.90743 19.72165 0.12257
56089.9375 19.80937 0.10357
56090.89626 19.99693 0.1501
56091.93224 19.5204 0.10126
56091.96189 19.90328 0.10308
56092.88532 19.85078 0.10916
56092.91513 20.14994 0.10936
56092.94551 19.89481 0.09326
56093.88544 20.03979 0.1258
56093.91605 20.06083 0.11479
56094.8793 20.16193 0.1381
56094.90895 20.0474 0.11308
56094.93794 19.9283 0.09067
56095.89413 19.84715 0.10081
56095.92394 19.96793 0.1154
56095.95378 19.94333 0.10426
56096.8846 19.89849 0.09508
56096.91464 19.87425 0.09437
56096.94475 19.61596 0.07899
56097.90204 20.01827 0.10377
56099.86796 19.7894 0.08417
56099.8979 19.7665 0.07658
56099.92867 19.74596 0.06569
56100.87134 19.85622 0.1019
56100.9014 19.71459 0.09136
56100.93113 19.83085 0.08618
56101.89166 20.16418 0.12646
56101.92164 19.75386 0.08425
56102.85884 19.75199 0.09326
56102.88948 19.8638 0.10116
56102.91975 19.89523 0.08316
56103.85688 19.82227 0.13507
56103.89198 20.16096 0.12196
56103.92203 20.01183 0.11044
56104.86298 19.89608 0.105
56104.89266 19.65384 0.08657
56104.92258 20.00204 0.08517
56105.87772 19.77952 0.08858
56105.90846 19.76128 0.08727
56106.84826 19.85479 0.09556
56106.87859 19.97092 0.09258
56106.90907 19.83157 0.07446
56107.84497 19.93756 0.13517
56107.87579 19.88854 0.10016
56107.90655 19.76527 0.08339
56108.92686 19.82644 0.08176
56109.93363 19.70807 0.08607
56110.89782 20.01306 0.14118
56110.92786 19.83154 0.11836
56111.91431 19.99969 0.15245
56113.96218 20.14636 0.14155
56114.87108 19.9875 0.13767
56114.92357 20.05939 0.12727
56115.85803 19.67259 0.14511
56115.88797 20.01566 0.14975
56116.90131 20.04092 0.11267
56116.93261 19.73816 0.10707
56117.86349 19.91012 0.15908
56117.89333 19.97904 0.13894
56117.92405 19.81392 0.10798
56118.82762 19.69389 0.15907
56118.85812 20.18231 0.21666
56118.8884 20.02438 0.12309
56119.81535 19.99294 0.17709
56119.84536 20.05468 0.17155
56123.80269 19.82592 0.0886
56123.8333 19.86786 0.08617
56123.86323 19.88063 0.07988
56124.8239 19.83563 0.09232
56124.85579 20.09615 0.10885
56124.90647 20.00131 0.09689
56125.83541 19.55597 0.09516
56125.8655 19.63634 0.07117
56125.89611 19.92065 0.07937
56126.79674 19.54169 0.08361
56126.82683 19.69559 0.083
56127.84219 20.06951 0.12184
56127.87262 20.18038 0.09398
56128.79045 19.69341 0.10771
56128.8202 19.68792 0.07968
56128.8509 19.83396 0.07978
56129.81763 19.88436 0.09678
56129.84839 19.86163 0.07518
56130.78415 19.78169 0.1163
56130.81619 19.78888 0.10186
56130.84603 19.83 0.09147
56131.81956 19.88454 0.09599
56131.84966 19.68987 0.0808
56131.87991 19.98767 0.07876
56132.81342 19.86496 0.08478
56132.85526 19.87478 0.08638
56133.77702 19.82807 0.08807
56133.83817 19.88326 0.08748
56135.77548 19.93847 0.12515
56135.80558 19.86611 0.08318
56135.8357 19.7052 0.05707
56136.78168 19.73468 0.10178
56136.81139 19.63144 0.07977
56136.84105 19.81167 0.08
56137.77719 20.1062 0.13514
56137.84943 19.96609 0.1159
56143.77946 19.94721 0.21745
56144.79078 19.91876 0.12079
56144.82138 19.84425 0.10293
56146.77217 19.94562 0.17985
56146.83591 19.73526 0.10747
56147.78019 20.01762 0.13185
56147.81614 19.86721 0.11066
56148.73743 20.14317 0.10019
56148.76798 19.88702 0.09007
56148.79928 20.01463 0.10095
56151.84315 19.77281 0.0582
56151.87618 19.81317 0.06012
56151.91621 19.74233 0.05529
56164.86055 19.82 0.05429
56164.92052 19.91235 0.0534
56165.82275 19.88972 0.07705
56165.85221 19.83846 0.0586
56165.88255 19.81781 0.05309
56166.78411 19.86787 0.08365
56166.82415 19.99751 0.08587
56166.85436 19.86378 0.06826
56167.76082 19.65219 0.08058
56167.79008 19.71648 0.0797
56167.82893 19.84712 0.08877
56168.73084 20.10751 0.13757
56168.76135 19.77952 0.10883
56168.79094 19.91508 0.11009
56169.70528 19.91659 0.15211
56169.73488 19.93527 0.13014
56169.78208 19.80438 0.13463
56170.76821 20.20199 0.14779
56176.74473 19.808 0.09995
56176.77537 19.62624 0.09847
56177.67775 19.78858 0.0767
56177.71467 19.96326 0.08098
56177.7448 19.81081 0.0676
56178.65701 20.0949 0.1115
56178.7245 19.64373 0.07006
56178.75548 19.86564 0.06569
56189.71737 19.81383 0.0832
56189.74707 20.06701 0.07359
56194.65274 19.7599 0.10617
56194.68156 19.9778 0.11247
56194.73072 19.93281 0.08687
56195.63238 20.00404 0.14038
56195.68489 20.20265 0.11988
56195.74387 19.90595 0.10406
56196.64868 19.69225 0.1198
56196.67925 19.81427 0.1045
56196.70945 20.22395 0.1213
56198.66294 19.92096 0.19997
56207.82773 19.97708 0.1819
56224.66207 20.10647 0.11216
56224.69182 20.05103 0.11914
56225.84088 20.02852 0.12865
56227.72154 20.06529 0.13671
56227.75148 19.73729 0.1398
56228.67316 19.72799 0.12526
56228.71 19.96111 0.13038
56229.61202 20.09074 0.16935
56230.64599 20.06352 0.16615
56230.73676 20.15671 0.14777
56231.86041 19.84102 0.16326
56232.82116 20.00621 0.11509
56233.75399 20.24382 0.12823
56233.78371 19.86903 0.12915
56234.68453 20.01312 0.09355
56234.71313 19.95339 0.09384
56235.61461 20.08047 0.10265
56235.64419 19.82266 0.07056
56236.58514 20.02837 0.12857
56236.61561 19.94077 0.08177
56237.58477 19.8192 0.09017
56237.61509 20.06534 0.08196
56238.58334 19.95156 0.09857
56238.61531 19.85507 0.07305
56239.58294 19.77993 0.09725
56239.61141 19.87243 0.07097
56251.83071 19.99739 0.07867
56251.86073 19.95096 0.08526
56252.58576 19.83344 0.07748
56252.60631 19.74656 0.08086
56252.62487 19.96382 0.08985
56252.64555 19.93179 0.08174
56252.66096 19.95659 0.08044
56252.69879 19.96326 0.09281
56252.71706 19.97672 0.08591
56252.73499 19.82179 0.07376
56252.75258 19.783 0.07603
56252.76856 19.92487 0.08151
56252.78929 19.9052 0.1289
56252.80517 20.03572 0.10291
56252.821 19.80319 0.08345
56252.83831 19.8826 0.0778
56252.85634 20.10037 0.09247
56253.58621 19.98816 0.10366
56253.60335 19.9451 0.09526
56253.62054 20.08896 0.11617
56253.63682 19.95625 0.10185
56253.6539 19.97782 0.10096
56253.6721 19.8318 0.12045
56253.70902 20.11086 0.11436
56253.7307 19.87025 0.12495
56253.75003 19.85603 0.11815
56253.76637 19.69884 0.10096
56253.78832 20.25919 0.13144
56253.8078 19.80651 0.10578
56253.82956 20.00603 0.09454
56253.85372 20.22608 0.12555
56254.74613 20.15472 0.09636
56254.77889 20.01423 0.12845
56255.68248 19.97754 0.12305
56255.7252 20.03967 0.18525
56256.62657 19.99935 0.1119
56256.6557 20.07983 0.12835
56257.58763 19.85867 0.118
56257.64219 20.1417 0.12878
56258.58614 20.27688 0.17299
56258.61848 19.83887 0.13779
56259.59443 20.13309 0.14597
56259.62495 20.00224 0.13826
56265.629 20.0572 0.07836
56265.6592 20.1384 0.09965
56267.58751 19.9633 0.07668
56267.61751 19.97889 0.08177
56268.59364 19.966 0.07149
56268.62314 19.94864 0.06836
56269.58319 20.02225 0.08096
56269.58435 19.97854 0.07506
56269.58546 19.85035 0.06687
56269.58657 19.95931 0.07316
56269.58771 20.01557 0.07477
56269.58893 20.09263 0.07478
56269.59006 20.08313 0.07588
56269.59133 19.90131 0.07037
56269.59245 19.90842 0.06667
56269.59364 19.92831 0.06998
56269.59478 19.92722 0.06756
56269.596 19.76336 0.06336
56269.59713 19.86873 0.06907
56269.59843 19.93715 0.0639
56269.59956 19.83207 0.07356
56269.60977 19.83935 0.06866
56269.61093 19.89258 0.06657
56269.6121 19.95505 0.07017
56269.61321 19.87586 0.06587
56269.61434 20.01525 0.06997
56269.61547 19.82362 0.06436
56269.61659 19.89385 0.07008
56269.61773 19.98174 0.06776
56269.61884 20.02105 0.07418
56269.61995 19.92286 0.06609
56269.62115 19.93846 0.06879
56269.6223 19.78702 0.06367
56269.62343 19.85129 0.06547
56269.62457 19.98139 0.0628
56269.62569 20.09336 0.06897
56269.62688 19.97995 0.06908
56269.628 19.92935 0.0665
56269.6375 19.98698 0.07007
56269.63881 19.85375 0.06678
56269.64001 19.96881 0.05938
56269.64114 19.9216 0.06488
56269.64226 19.95922 0.07046
56269.64337 20.01787 0.06838
56269.6445 20.04261 0.06738
56269.64562 20.06919 0.07147
56269.64675 19.85594 0.06087
56269.64789 19.96447 0.06877
56269.64905 19.99343 0.07075
56269.65017 20.00031 0.06492
56269.65129 19.86554 0.06157
56269.65247 20.08588 0.07459
56269.65359 20.2052 0.08045
56269.65473 20.0318 0.07129
56269.65585 20.00174 0.06675
56269.65698 20.08554 0.07479
56269.65819 19.90798 0.06728
56269.65932 19.94216 0.06756
56269.66055 19.97476 0.06728
56269.66167 19.97437 0.06567
56269.66279 19.94774 0.07148
56269.66393 20.03883 0.07199
56269.66595 19.91389 0.06578
56269.66717 19.91692 0.06638
56269.66829 20.15416 0.07446
56269.66952 20.00447 0.07727
56269.67064 20.06395 0.07336
56269.67184 19.99236 0.0665
56269.673 20.02383 0.06806
56269.67412 19.99803 0.06507
56269.67533 19.99695 0.06456
56269.67646 19.98933 0.06618
56269.6776 20.01246 0.06771
56269.67883 19.94308 0.06567
56269.67997 19.9663 0.06509
56269.6812 19.89957 0.0636
56269.68232 19.8768 0.0619
56269.68343 20.03123 0.06927
56269.68473 19.91549 0.06418
56269.68592 19.96144 0.07266
56269.68705 19.99415 0.06789
56269.68816 19.91463 0.07241
56269.68929 19.86061 0.07808
56269.69041 20.02125 0.07058
56269.69157 19.97537 0.06777
56269.69269 19.99126 0.06278
56269.69383 20.00254 0.06967
56269.69496 20.00147 0.07156
56269.69608 20.04544 0.07217
56269.69898 19.85186 0.063
