#mjd mag magerr
61.92501 19.56299 0.05144
61.95573 19.5788 0.0496
63.91987 19.6091 0.05343
63.9639 19.65152 0.05401
64.92128 19.6083 0.05864
64.9656 19.61762 0.0672
66.91014 19.60322 0.05309
66.95474 19.58723 0.05174
67.91649 19.81887 0.09803
69.90324 19.60061 0.05403
69.94786 19.66779 0.05753
80.87449 19.4284 0.12758
80.95988 19.69223 0.19013
84.86328 19.54261 0.0809
87.85609 19.59034 0.05296
87.90101 19.56317 0.05333
88.96983 19.65317 0.05742
89.01521 19.64254 0.05745
89.94574 19.62369 0.05847
89.99042 19.57447 0.05389
93.83741 19.55875 0.05334
93.88196 19.65187 0.05483
96.8292 19.67724 0.0566
97.00858 19.74636 0.06461
104.99862 19.70336 0.07121
107.79764 19.6694 0.11428
114.88125 19.55655 0.06433
114.92522 19.59612 0.16305
119.89538 19.63458 0.06383
119.95365 19.7744 0.06529
123.75696 19.71012 0.06379
123.81523 19.66481 0.06008
126.97957 19.91124 0.09907
127.83329 19.61614 0.05995
127.87706 19.63151 0.06665
135.82555 19.8707 0.1261
135.86926 19.85338 0.1552
138.71472 19.49002 0.12879
138.75871 19.45624 0.11852
142.7036 19.54357 0.06091
142.75219 19.49502 0.06829
144.77886 19.59476 0.06378
144.82305 19.5214 0.06492
151.72943 19.65054 0.06424
151.77257 19.5951 0.06269
166.70473 19.60498 0.10488
166.74897 19.66798 0.14361
168.63378 19.70271 0.10195
168.6775 19.42344 0.10154
175.61224 19.45241 0.04915
175.65684 19.46578 0.0456
181.59421 19.44093 0.07978
181.63825 19.47669 0.07325
183.59204 19.49549 0.0828
183.64253 19.42652 0.05887
189.58054 19.67609 0.0815
189.62557 19.44814 0.06343
194.59026 19.67997 0.13667
199.58559 19.58554 0.05814
201.58642 19.49161 0.15491
202.58667 19.64398 0.07516
203.71441 19.5508 0.07088
203.75743 19.68613 0.08313
207.63092 19.54582 0.0573
207.67514 19.45177 0.05524
209.5968 19.56816 0.04974
209.64149 19.51493 0.05252
213.63312 19.53524 0.0683
213.6798 19.58469 0.07823
377.85123 19.5839 0.12059
377.89535 19.63782 0.09315
379.8591 19.60033 0.09046
379.92482 19.49031 0.06809
380.87684 19.61756 0.11
380.92078 19.46287 0.08209
381.89606 19.66788 0.07528
381.93934 19.45744 0.06119
384.82671 19.55715 0.06159
384.87028 19.43193 0.0538
385.87021 19.58313 0.05428
385.91339 19.63742 0.05176
386.86524 19.67236 0.06508
386.90867 19.57316 0.05709
387.87002 19.43472 0.0521
387.91342 19.5573 0.04961
388.86609 19.53728 0.07752
388.91005 19.54854 0.04833
390.80957 19.77916 0.0842
390.85393 19.58538 0.06452
391.80613 19.61815 0.08381
391.87538 19.50793 0.05441
392.83258 19.584 0.0652
392.87538 19.59284 0.05662
394.79908 19.67022 0.07782
394.8431 19.71043 0.06529
395.79551 19.7736 0.09163
395.84215 19.57454 0.06411
396.79527 19.73187 0.10029
396.83932 19.43282 0.05252
397.79163 19.50896 0.11857
397.83526 19.55543 0.06428
398.78764 19.56462 0.10215
398.83124 19.65627 0.07492
399.78802 19.54822 0.10063
