#mjd mag magerr
61.92501 19.59834 0.04205
61.95573 19.60077 0.03979
63.91987 19.53613 0.03794
63.9639 19.62361 0.04108
64.92128 19.51226 0.04382
64.9656 19.59822 0.04847
66.91014 19.56397 0.04449
66.95474 19.45034 0.03816
67.91649 19.61016 0.06057
67.96099 19.55527 0.05336
69.90324 19.52408 0.04187
69.94786 19.50655 0.04341
80.87449 19.53081 0.08485
80.95988 19.74806 0.11879
84.86328 19.37576 0.0566
87.85609 19.4691 0.0437
87.90101 19.52253 0.04266
88.96983 19.47915 0.04248
89.01521 19.46931 0.04238
89.94574 19.52134 0.04519
89.99042 19.57301 0.04694
93.83741 19.51593 0.04454
93.88196 19.55452 0.03943
96.8292 19.45605 0.04078
97.00858 19.52278 0.05054
104.99862 19.51234 0.06972
107.79764 19.44366 0.0871
114.88125 19.42897 0.0559
114.92522 19.54265 0.11696
119.89538 19.43719 0.04728
119.95365 19.55206 0.05727
123.75696 19.44879 0.04584
123.81523 19.40714 0.0455
126.97957 19.52965 0.07036
127.83329 19.37178 0.04769
127.87706 19.52577 0.06009
135.82555 19.55098 0.08774
135.86926 19.32127 0.09237
138.71472 19.69856 0.09423
138.75871 19.59186 0.11309
142.7036 19.48527 0.04853
142.75219 19.49663 0.0595
144.77886 19.48454 0.04752
144.82305 19.44824 0.05606
151.72943 19.74982 0.06746
151.77257 19.43431 0.05436
166.70473 19.42796 0.08853
166.74897 19.58284 0.10593
168.63378 19.46437 0.07957
168.6775 19.48576 0.08629
175.61224 19.48435 0.04622
175.65684 19.60335 0.04706
181.59421 19.55833 0.06975
181.63825 19.54698 0.06994
183.59204 19.68931 0.09775
183.64253 19.42953 0.05388
189.58054 19.55534 0.07408
189.62557 19.61755 0.07804
194.59026 19.59055 0.10929
199.58559 19.43792 0.04797
201.58642 19.49292 0.11299
202.58667 19.53235 0.06316
203.71441 19.49197 0.05844
203.75743 19.36893 0.06155
207.63092 19.4393 0.04883
207.67514 19.4679 0.04762
209.5968 19.40839 0.04242
209.64149 19.49517 0.04574
213.63312 19.59871 0.06261
213.6798 19.56162 0.07767
377.85123 19.48333 0.08836
377.89535 19.33652 0.0976
379.8591 19.40124 0.09048
379.92482 19.52207 0.06693
380.92078 19.51859 0.07924
381.89606 19.39437 0.06305
381.93934 19.46768 0.05775
384.82671 19.49495 0.05514
384.87028 19.48998 0.04988
385.87021 19.43544 0.04656
385.91339 19.40274 0.04269
386.86524 19.4899 0.05353
386.90867 19.44642 0.04695
387.87002 19.45623 0.05546
387.91342 19.44782 0.04964
388.86609 19.52611 0.05961
388.91005 19.38067 0.04236
390.80957 19.39903 0.06642
390.85393 19.39744 0.05614
391.80613 19.70698 0.07968
391.87538 19.44718 0.05286
392.83258 19.46374 0.06022
392.87538 19.45907 0.05171
394.79908 19.36473 0.06588
394.8431 19.45556 0.05017
395.79551 19.31189 0.0753
395.84215 19.34812 0.05282
396.79527 19.36675 0.08846
396.83932 19.49761 0.05773
397.79163 19.55237 0.0927
397.83526 19.53167 0.06424
398.78764 19.43212 0.08564
398.83124 19.42474 0.06331
399.78802 19.4538 0.0957
399.83261 19.23657 0.07968
400.78534 19.27294 0.09648
400.8289 19.32674 0.07424
401.78133 19.57828 0.1402
401.82518 19.59266 0.11822
402.77979 19.48448 0.17433
402.8246 19.62522 0.12223
403.77642 19.58289 0.16385
403.81973 19.71255 0.12783
404.84266 19.41888 0.08618
405.8416 19.24803 0.07989
407.7691 19.30172 0.1254
407.83003 19.2437 0.09333
411.79896 19.48058 0.07591
412.75232 19.40869 0.107
412.79539 19.30306 0.08153
413.79945 19.44721 0.07139
414.75161 19.34547 0.10626
414.79555 19.26848 0.07004
415.75266 19.39516 0.09431
415.79727 19.50871 0.0878
416.75096 19.38256 0.1309
416.79342 19.32189 0.08445
417.75979 19.50422 0.09255
417.84511 19.509 0.07701
418.79843 19.32408 0.07824
418.84121 19.3548 0.07379
419.79504 19.3967 0.08725
420.78929 19.41913 0.10007
420.83264 19.46984 0.07421
421.73664 19.41064 0.05748
421.79901 19.2813 0.04008
422.75115 19.32876 0.05322
422.79487 19.4246 0.04916
423.74742 19.44165 0.05441
423.79284 19.36626 0.04535
424.75349 19.52395 0.07438
424.80178 19.426 0.05622
425.76166 19.36212 0.07746
425.80573 19.44053 0.04248
426.80123 19.42182 0.05804
426.8444 19.4346 0.04772
427.79708 19.43489 0.06147
427.8408 19.48565 0.05018
428.79281 19.48534 0.0688
428.83703 19.50383 0.0612
429.8142 19.5115 0.06553
429.85716 19.37797 0.05346
430.75769 19.5663 0.08627
430.80485 19.4465 0.0699
431.75639 19.41436 0.08589
431.80024 19.47164 0.08068
432.73907 19.29053 0.09049
432.78359 19.42093 0.10562
433.70425 19.67942 0.21832
433.7493 19.43865 0.15424
434.73769 19.29583 0.11774
435.69148 19.48087 0.12751
436.88575 19.4807 0.08267
436.88891 19.38854 0.08329
436.8919 19.40624 0.0833
436.89501 19.50226 0.08251
