#mjd mag magerr
55061.92501 19.32594 0.03708
55061.95573 19.27447 0.0351
55063.91987 19.33591 0.03506
55063.9639 19.37778 0.03711
55064.92128 19.29307 0.03903
55064.9656 19.28278 0.03724
55066.91014 19.22459 0.03823
55066.95474 19.28408 0.03643
55067.91649 19.32942 0.04311
55067.96099 19.38273 0.04377
55069.90324 19.33746 0.03901
55069.94786 19.32521 0.04044
55080.87449 19.3381 0.085
55080.95988 19.58509 0.11923
55084.86328 19.34994 0.06599
55087.85609 19.37329 0.04475
55087.90101 19.31209 0.04142
55088.96983 19.29493 0.04235
55089.01521 19.36794 0.04738
55089.94574 19.30493 0.0437
55089.99042 19.36594 0.04624
55093.83741 19.36073 0.04064
55093.88196 19.34129 0.03715
55096.8292 19.29715 0.04338
55097.00858 19.4995 0.05693
55104.99862 19.54689 0.06857
55114.88125 19.45512 0.05717
55114.92522 19.36993 0.11449
55119.89538 19.3763 0.04982
55119.95365 19.3318 0.05768
55123.75696 19.51692 0.04453
55123.81523 19.36425 0.04787
55126.97957 19.46255 0.07022
55127.83329 19.42284 0.0512
55127.87706 19.48589 0.06168
55135.82555 19.39685 0.1372
55135.86926 19.59091 0.1375
55138.71472 19.59709 0.12148
55138.75871 19.71514 0.12618
55142.7036 19.41303 0.0542
55142.75219 19.49829 0.05918
55144.77886 19.30978 0.04764
55144.82305 19.38543 0.05287
55151.72943 19.30907 0.05412
55151.77257 19.38486 0.05357
55166.70473 19.52723 0.09707
55166.74897 19.51221 0.11709
55168.63378 19.1951 0.08166
55168.6775 19.38269 0.10472
55175.61224 19.49156 0.04461
55175.65684 19.33926 0.04205
55181.59421 19.45917 0.07043
55181.63825 19.42713 0.06298
55183.59204 19.41051 0.10335
55183.64253 19.40343 0.05726
55189.58054 19.67121 0.07745
55189.62557 19.52777 0.06354
55194.59026 19.23412 0.12563
55199.58559 19.3107 0.04814
55201.58642 19.47809 0.17717
55202.58667 19.41376 0.05881
55203.71441 19.49973 0.06887
55203.75743 19.53307 0.07593
55207.63092 19.52264 0.05476
55207.67514 19.48754 0.05108
55209.5968 19.5845 0.04597
55209.64149 19.34936 0.04564
55213.63312 19.41697 0.06286
55213.6798 19.46592 0.07308
55377.85123 19.44282 0.11396
55377.89535 19.24202 0.08602
55378.90615 19.54197 0.12172
55379.8591 19.54564 0.08786
55379.92482 19.55293 0.0697
55380.87684 19.66879 0.11666
55380.92078 19.45695 0.08265
55381.89606 19.34808 0.06759
55381.93934 19.48063 0.0619
55384.82671 19.38799 0.0579
55384.87028 19.28255 0.05159
55385.87021 19.34237 0.05808
55385.91339 19.42886 0.04708
55386.86524 19.36779 0.05603
55386.90867 19.42002 0.05169
55387.87002 19.26698 0.05442
55387.91342 19.27361 0.0401
55388.86609 19.50333 0.06615
55388.91005 19.36396 0.0453
55390.80957 19.55018 0.09337
55390.85393 19.59663 0.0652
55391.80613 19.54182 0.07998
55391.87538 19.39504 0.04643
55392.83258 19.36326 0.06219
55392.87538 19.40309 0.0501
55394.79908 19.31672 0.06054
55394.8431 19.35717 0.04711
55395.79551 19.52059 0.09446
55395.84215 19.43917 0.05526
55396.79527 19.533 0.09189
55396.83932 19.362 0.04999
55397.79163 19.41073 0.09209
55397.83526 19.34432 0.05628
55398.78764 19.50706 0.09838
55398.83124 19.28354 0.06789
55399.83261 19.40506 0.07878
55400.78534 19.39257 0.13237
55400.8289 19.34416 0.07319
55401.78133 19.38544 0.18496
55401.82518 19.54989 0.11757
55403.81973 19.75302 0.11979
55404.77424 19.75674 0.15369
55404.84266 19.47276 0.09428
55405.8416 19.30201 0.08909
55406.79514 19.35458 0.16184
55407.7691 19.35062 0.14749
55407.83003 19.73835 0.10752
55411.79896 19.52716 0.09298
55412.75232 19.4294 0.10602
55412.79539 19.38449 0.07956
55413.75577 19.55425 0.11431
55413.79945 19.3424 0.08826
55414.75161 19.29617 0.09782
55414.79555 19.16588 0.06486
55415.79727 19.25012 0.08708
55416.75096 19.38338 0.12653
55416.79342 19.49232 0.07964
55417.75979 19.45151 0.10901
55417.84511 19.40782 0.0843
55418.79843 19.71544 0.10999
