#mjd mag magerr
61.92501 20.10534 0.05771
61.95573 20.08877 0.05548
63.91987 19.99313 0.05215
63.9639 19.98061 0.0523
64.92128 19.95426 0.06171
64.9656 20.07622 0.06402
66.91014 20.03797 0.0576
66.95474 20.05135 0.05691
67.91649 20.02216 0.08867
67.96099 20.05427 0.08218
69.90324 20.09208 0.06195
69.94786 20.00155 0.0597
80.87449 20.08281 0.12757
84.86328 19.92977 0.10498
87.85609 20.0821 0.06294
87.90101 19.90053 0.05839
88.96983 19.98216 0.06259
89.01521 20.09732 0.06761
89.94574 19.99434 0.05962
89.99042 20.16301 0.06897
93.83741 19.94793 0.05868
93.88196 20.01751 0.06012
96.8292 20.26306 0.07096
97.00858 20.15878 0.08574
104.99862 20.39034 0.11074
114.88125 20.10897 0.09035
114.92522 20.42965 0.19728
119.89538 20.18219 0.07337
119.95365 20.34506 0.08994
123.75696 20.07879 0.06866
123.81523 20.13814 0.07249
126.97957 20.22065 0.09961
127.83329 19.99178 0.07372
127.87706 20.15277 0.09042
135.86926 20.53227 0.1674
138.71472 20.48956 0.18157
138.75871 20.03886 0.18156
142.7036 20.15827 0.08297
142.75219 20.23663 0.09246
144.77886 20.04955 0.06895
144.82305 20.11624 0.08517
151.72943 20.43682 0.1066
151.77257 19.98131 0.07562
166.70473 19.81096 0.13579
166.74897 20.39483 0.18987
168.63378 20.16837 0.18167
168.6775 20.05976 0.14811
175.61224 20.04036 0.07079
175.65684 20.16035 0.06847
181.59421 19.86633 0.08573
181.63825 19.79698 0.07929
183.59204 20.06731 0.11899
183.64253 20.08052 0.08065
189.58054 20.18334 0.12021
189.62557 20.11156 0.1062
199.58559 19.92192 0.07051
201.58642 19.76892 0.17119
202.58667 20.12335 0.09375
203.71441 20.34297 0.10346
203.75743 19.83693 0.08742
207.63092 20.00331 0.07415
207.67514 19.9699 0.06424
209.5968 20.07139 0.06744
209.64149 20.07817 0.06487
213.63312 20.0137 0.0879
213.6798 20.01363 0.10006
377.85123 20.02533 0.13503
377.89535 20.14052 0.15545
379.8591 20.01424 0.15985
379.92482 20.13707 0.09549
380.92078 20.09559 0.13818
381.89606 19.93937 0.0883
381.93934 19.95068 0.07831
384.82671 20.11595 0.10043
384.87028 19.97198 0.08786
385.87021 19.94944 0.06681
385.91339 19.95675 0.0617
386.86524 19.9469 0.07139
386.90867 20.01442 0.07556
387.87002 20.10423 0.08198
387.91342 20.04382 0.06452
388.86609 20.03611 0.12165
388.91005 20.00167 0.06244
390.80957 19.87303 0.09458
390.85393 19.99644 0.0787
391.80613 20.10198 0.12572
391.87538 19.95418 0.0708
392.83258 20.01474 0.09301
392.87538 20.01407 0.07533
394.79908 20.35273 0.10372
394.8431 19.90856 0.06743
395.79551 20.06089 0.11684
395.84215 19.84812 0.06944
396.83932 19.93461 0.06755
397.79163 20.17137 0.19633
397.83526 20.13767 0.08797
398.78764 20.27112 0.17686
398.83124 19.74874 0.10974
399.78802 20.1438 0.15868
