#mjd mag magerr
55061.92501 18.74494 0.02448
55061.95573 18.67747 0.02341
55063.91987 18.70991 0.02413
55063.9639 18.72279 0.02403
55064.92128 18.69607 0.02531
55064.9656 18.64878 0.02551
55066.91014 18.67159 0.0252
55066.95474 18.63408 0.02366
55067.91649 18.71142 0.02817
55067.96099 18.70173 0.02846
55069.90324 18.66346 0.02502
55069.94786 18.68921 0.02562
55080.87449 18.7691 0.05342
55080.95988 18.79409 0.06842
55084.86328 18.74094 0.03875
55084.90782 18.78804 0.06503
55087.85609 18.69329 0.02655
55087.90101 18.64009 0.0262
55088.96983 18.65593 0.02655
55089.94574 18.63793 0.0286
55093.83741 18.65573 0.02563
55093.88196 18.68829 0.02443
55096.8292 18.72215 0.02665
55097.00858 18.6385 0.02974
55104.99862 18.70889 0.03493
55107.79764 18.6897 0.05566
55114.88125 18.51711 0.03633
55114.92522 18.71593 0.07184
55119.89538 18.6853 0.02967
55123.75696 18.63692 0.02708
55123.81523 18.61525 0.02758
55127.83329 18.63684 0.03004
55127.87706 18.65889 0.03136
55135.82555 18.72985 0.06432
55135.86926 18.75491 0.06262
55138.71472 18.6421 0.06176
55138.75871 18.76114 0.06395
55142.7036 18.65403 0.0287
55142.75219 18.73329 0.03394
55144.77886 18.59678 0.02801
55144.82305 18.63643 0.03238
55151.72943 18.56107 0.03237
55151.77257 18.63586 0.03031
55166.70473 18.71323 0.05832
55166.74897 18.56321 0.05918
55168.63378 18.6651 0.04788
55168.6775 18.66369 0.04905
55175.61224 18.62155 0.02505
55175.65684 18.62126 0.0246
55181.59421 18.69617 0.04182
55181.63825 18.66313 0.03578
55183.59204 18.74551 0.05702
55183.64253 18.60343 0.03159
55189.58054 18.63921 0.03821
55189.62557 18.67077 0.03592
55194.59026 18.72112 0.06436
55199.58559 18.6207 0.02801
55201.58642 18.66009 0.07448
55202.58667 18.64476 0.03325
55203.71441 18.61872 0.03434
55203.75743 18.62907 0.03777
55207.63092 18.62864 0.02998
55207.67514 18.65954 0.03034
55209.5968 18.5985 0.02512
55209.64149 18.56936 0.02477
55213.63312 18.62497 0.04068
55213.6798 18.65492 0.04416
55377.85123 18.70282 0.05633
55377.89535 18.73602 0.05209
55379.8591 18.54864 0.05231
55379.92482 18.62893 0.03838
55380.87684 18.73579 0.05534
55380.92078 18.73695 0.04748
55381.89606 18.75308 0.03925
55381.93934 18.69163 0.03229
55384.82671 18.67899 0.03258
55384.87028 18.60855 0.03025
55385.87021 18.61838 0.02768
55385.91339 18.63386 0.02574
55386.86524 18.62078 0.03084
55386.90867 18.62902 0.02816
55387.87002 18.66898 0.02989
55387.91342 18.62561 0.02547
55388.86609 18.66333 0.03567
55388.91005 18.62396 0.02657
55390.80957 18.68218 0.04146
55390.85393 18.67763 0.0331
55391.80613 18.69082 0.04843
55391.87538 18.58504 0.02742
55392.83258 18.68126 0.03586
55392.87538 18.64109 0.02848
55394.79908 18.76072 0.03821
55394.8431 18.68317 0.03056
55395.79551 18.67259 0.049
55395.84215 18.61517 0.03138
55396.79527 18.709 0.05225
55396.83932 18.662 0.02936
55397.79163 18.59773 0.05784
55397.83526 18.66032 0.03283
55398.78764 18.61105 0.05125
55398.83124 18.67354 0.04025
55399.78802 18.57967 0.05647
55399.83261 18.65606 0.04483
55400.78534 18.70357 0.06635
55400.8289 18.56416 0.05013
55401.78133 18.54844 0.08124
55401.82518 18.55289 0.06752
55402.77979 18.47398 0.09168
55402.8246 18.81745 0.07132
55403.77642 18.51561 0.09027
55403.81973 18.67602 0.07275
55404.77424 18.66574 0.07308
55404.84266 18.69776 0.05524
55405.8416 18.73401 0.06194
55407.7691 18.63662 0.08595
55407.83003 18.67235 0.07337
55411.79896 18.60616 0.0428
55412.75232 18.5124 0.06295
55412.79539 18.59649 0.0483
55413.75577 18.78425 0.0715
55413.79945 18.6274 0.05218
55414.75161 18.60317 0.06428
55414.79555 18.59788 0.03915
55415.75266 18.46066 0.05494
55415.79727 18.63511 0.05822
55416.75096 18.59138 0.06287
55416.79342 18.64332 0.046
55417.75979 18.65451 0.06291
55417.84511 18.56882 0.0537
55418.79843 18.56244 0.04955
55418.84121 18.60424 0.03981
55419.75121 18.69894 0.06934
55419.79504 18.62001 0.04483
55420.78929 18.61921 0.06347
55420.83264 18.6375 0.0456
55421.73664 18.6507 0.03591
55421.79901 18.63375 0.02583
55422.75115 18.61068 0.03276
55422.79487 18.6263 0.02968
55423.74742 18.57407 0.0319
