#mjd mag magerr
61.92501 19.94694 0.05772
61.95573 19.82147 0.05044
63.91987 19.74591 0.05031
63.9639 19.83979 0.05045
64.92128 19.71507 0.0538
64.9656 19.77478 0.05819
66.91014 19.88559 0.05759
66.95474 19.81308 0.05106
67.91649 19.86742 0.07726
67.96099 19.77573 0.06821
69.90324 19.89146 0.05545
69.94786 19.81621 0.06279
80.87449 20.1161 0.13203
84.86328 19.93394 0.09346
87.85609 19.78729 0.06221
87.90101 19.85009 0.05879
88.96983 19.95693 0.05961
89.01521 19.81095 0.05946
89.94574 19.80093 0.06324
89.99042 19.78794 0.06061
93.83741 19.86273 0.0573
93.88196 19.87729 0.06009
96.8292 19.75015 0.05821
97.00858 19.8985 0.07268
104.99862 19.88889 0.09866
107.79764 20.1007 0.15486
114.88125 19.99812 0.0801
114.92522 19.83393 0.15367
119.89538 20.0413 0.07904
119.95365 19.9178 0.07711
123.75696 19.75492 0.06336
123.81523 19.67025 0.06032
126.97957 20.07455 0.09469
127.83329 19.94184 0.07593
127.87706 19.73089 0.07247
135.82555 20.14885 0.16269
135.86926 19.70091 0.1428
138.71472 19.9181 0.15826
138.75871 20.00914 0.19395
142.7036 19.90903 0.07178
142.75219 19.97429 0.07976
144.77886 19.83578 0.06717
144.82305 19.72143 0.06863
151.72943 19.79807 0.07775
151.77257 19.72986 0.06524
168.63378 19.7931 0.10673
168.6775 19.77369 0.1201
175.61224 19.81055 0.05744
175.65684 19.71626 0.05596
181.59421 20.05916 0.11267
181.63825 19.88513 0.08269
183.64253 19.85843 0.07712
189.58054 20.03121 0.1142
189.62557 19.76177 0.0751
194.59026 19.96012 0.21454
199.58559 19.8217 0.06787
202.58667 19.90176 0.08152
203.71441 19.84373 0.08544
203.75743 19.62307 0.07823
207.63092 19.77965 0.0655
207.67514 19.78154 0.06027
209.5968 19.7875 0.05644
209.64149 19.76436 0.05592
213.63312 19.60597 0.08576
213.6798 19.82691 0.08751
377.85123 19.85582 0.12756
377.89535 19.95502 0.13018
379.8591 19.68864 0.09756
379.92482 19.78793 0.08168
380.87684 19.63379 0.11577
380.92078 19.85395 0.11643
381.89606 19.68908 0.07668
381.93934 19.84363 0.07738
384.82671 19.71299 0.06709
384.87028 19.71955 0.06956
385.87021 19.89537 0.07067
385.91339 19.82186 0.05527
386.86524 19.74278 0.06611
386.90867 19.76202 0.06417
387.87002 19.79098 0.06478
387.91342 19.88561 0.0602
388.86609 19.66933 0.07902
388.91005 19.80596 0.06317
390.80957 19.84218 0.11915
390.85393 19.86963 0.07709
391.80613 19.85982 0.09796
391.87538 19.87204 0.07039
392.83258 19.60926 0.07118
392.87538 19.79709 0.06588
394.79908 19.88872 0.11297
394.8431 19.79817 0.07107
395.79551 19.58759 0.08829
395.84215 19.75617 0.07502
396.79527 19.739 0.10448
396.83932 19.682 0.06267
397.79163 19.88773 0.13946
397.83526 19.92132 0.07606
398.78764 20.07805 0.16975
398.83124 19.95753 0.09656
399.78802 19.79167 0.15166
399.83261 19.92306 0.11215
400.78534 19.54557 0.16736
400.8289 19.89816 0.11346
401.78133 19.93444 0.17597
401.82518 19.74889 0.15245
402.8246 19.87245 0.16465
404.77424 19.95674 0.17997
404.84266 19.89376 0.17225
405.8416 19.59701 0.13926
407.7691 19.78762 0.15098
407.83003 19.88634 0.20276
411.79896 19.79616 0.09397
412.75232 19.7364 0.13289
412.79539 19.74249 0.08661
413.75577 19.88325 0.17283
413.79945 20.0664 0.13115
414.75161 20.08717 0.20073
414.79555 19.85188 0.08874
415.75266 19.83766 0.12781
417.75979 19.91551 0.15103
417.84511 19.96383 0.11796
418.79843 19.82444 0.11119
418.84121 19.76924 0.09151
419.75121 19.65494 0.15716
419.79504 19.73501 0.0927
420.78929 19.99821 0.14108
420.83264 19.64649 0.10416
421.73664 19.87471 0.08009
421.79901 19.70874 0.05796
422.75115 19.84368 0.07117
422.79487 19.8193 0.06718
423.74742 19.77407 0.06809
423.79284 19.92512 0.06616
424.75349 19.75004 0.07961
424.80178 19.77343 0.05889
425.76166 19.6852 0.08368
425.80573 19.72535 0.05928
426.80123 19.81648 0.07532
426.8444 19.76008 0.055
427.79708 19.85517 0.10835
427.8408 19.65251 0.06827
428.79281 19.59906 0.07386
428.83703 19.79978 0.09574
429.8142 20.00432 0.08745
429.85716 19.77532 0.07135
430.75769 19.99634 0.12227
431.75639 19.72493 0.10046
431.80024 20.01837 0.11446
432.73907 19.55483 0.15205
432.78359 19.97532 0.13545
433.7493 19.84986 0.15636
434.73769 19.52543 0.1652
435.69148 19.89943 0.16939
436.88891 20.02198 0.12264
436.8919 19.64727 0.11515
436.89501 19.68272 0.13915
436.89797 19.97337 0.11436
436.90109 19.53672 0.11136
436.9042 19.64126 0.11586
436.90728 19.70946 0.14954
