#mjd mag magerr
55061.95573 17.70047 0.01459
55063.91987 17.80491 0.01361
55063.9639 17.77378 0.01378
55064.92128 17.78407 0.01476
55064.9656 17.78078 0.01505
55066.91014 17.78059 0.01456
55066.95474 17.80008 0.01468
55067.91649 17.80742 0.0162
55067.96099 17.73973 0.01762
55069.90324 17.81646 0.01485
55069.94786 17.81121 0.01509
55080.87449 17.8681 0.03302
55080.95988 17.84609 0.04047
55084.86328 17.83793 0.02167
55084.90782 17.81604 0.03394
55087.85609 17.74229 0.01573
55087.90101 17.80009 0.01514
55088.96983 17.76493 0.01475
55089.01521 17.77195 0.01594
55089.94574 17.80793 0.01585
55089.99042 17.78794 0.01571
55093.83741 17.78773 0.01479
55093.88196 17.78329 0.0141
55096.8292 17.76815 0.01568
55097.00858 17.7975 0.01793
55104.99862 17.76289 0.02122
55107.79764 17.8547 0.03347
55114.88125 17.81211 0.02162
55114.92522 17.76193 0.04732
55119.89538 17.8393 0.01744
55119.95365 17.7578 0.01907
55123.75696 17.76292 0.01585
55123.81523 17.77425 0.01585
55126.97957 17.82255 0.02237
55127.83329 17.78784 0.0169
55127.87706 17.80489 0.01917
55135.82555 17.74985 0.03283
55135.86926 17.77391 0.03292
55138.71472 17.79709 0.03468
55138.75871 17.72714 0.03676
55142.7036 17.80903 0.01752
55142.75219 17.84729 0.02014
55144.77886 17.80478 0.01708
55144.82305 17.81543 0.01888
55151.72943 17.74807 0.01943
55151.77257 17.81086 0.01763
55166.70473 17.80423 0.03172
55168.63378 17.7981 0.02769
55168.6775 17.72269 0.02834
55175.61224 17.79756 0.01494
55175.65684 17.79626 0.01529
55181.59421 17.76417 0.02314
55181.63825 17.76913 0.02061
55183.59204 17.82051 0.03208
55183.64253 17.84043 0.01869
55189.58054 17.87621 0.02224
55189.62557 17.78377 0.02054
55199.58559 17.7927 0.01651
55201.58642 17.74509 0.04603
55202.58667 17.75176 0.0186
55203.71441 17.78172 0.02028
55203.75743 17.77707 0.02217
55207.63092 17.80964 0.01947
55207.67514 17.80354 0.01665
55209.5968 17.7725 0.01494
55209.64149 17.76836 0.01534
55213.63312 17.78997 0.03043
55213.6798 17.76192 0.03191
55377.85123 17.81582 0.03451
55377.89535 17.88402 0.03102
55378.90615 17.82797 0.03887
55379.8591 17.80364 0.02959
55379.92482 17.84793 0.02142
55380.87684 17.81779 0.02946
55380.92078 17.84195 0.02606
55381.89606 17.83708 0.02148
55381.93934 17.81763 0.01952
55384.82671 17.81999 0.01862
55384.87028 17.78255 0.01745
55385.87021 17.81537 0.0167
55385.91339 17.77186 0.01495
55386.86524 17.84779 0.01801
55386.90867 17.83702 0.01657
55387.87002 17.77898 0.01739
55387.91342 17.83061 0.01492
55388.86609 17.75433 0.02057
55388.91005 17.83896 0.01559
55390.80957 17.79018 0.02249
55390.85393 17.82763 0.01906
55391.80613 17.83482 0.02495
55391.87538 17.81504 0.01715
55392.83258 17.82126 0.02028
55392.87538 17.81109 0.01701
55394.79908 17.84372 0.02168
55394.8431 17.80517 0.0166
55395.79551 17.77859 0.02923
55395.84215 17.81117 0.01907
55396.79527 17.817 0.02759
55396.83932 17.797 0.01707
55397.79163 17.79173 0.02986
55397.83526 17.80332 0.01932
55398.78764 17.80205 0.03006
55398.83124 17.82754 0.02405
55399.78802 17.85967 0.03527
55399.83261 17.82506 0.02732
55400.78534 17.87857 0.03796
55400.8289 17.82616 0.02743
55401.78133 17.80444 0.04764
55401.82518 17.75289 0.03533
55402.77979 17.75898 0.05918
55402.8246 17.86945 0.04339
55403.81973 17.81102 0.04902
55404.77424 17.79874 0.04728
55404.84266 17.85276 0.03145
55405.8416 17.87101 0.03792
55406.79514 17.89258 0.05952
55407.7691 17.88062 0.04131
55407.83003 17.80835 0.03843
55408.78389 17.87362 0.0698
55411.79896 17.83316 0.02486
55412.75232 17.7284 0.03721
55412.79539 17.76849 0.02646
55413.75577 17.77825 0.03605
55414.75161 17.73617 0.04362
55414.79555 17.72988 0.02542
55415.79727 17.75812 0.03974
55416.79342 17.73032 0.02597
55417.75979 17.74651 0.03665
55418.79843 17.82343 0.03046
55418.84121 17.79924 0.02402
