#mjd mag magerr
55061.92501 19.71294 0.04774
55061.95573 19.65047 0.04406
55063.91987 19.66791 0.04512
55063.9639 19.70779 0.04547
55064.92128 19.61407 0.04801
55064.9656 19.57878 0.0505
55066.91014 19.69059 0.04831
55066.95474 19.67608 0.04578
55067.91649 19.69842 0.06258
55067.96099 19.73874 0.06272
55069.90324 19.66646 0.05355
55069.94786 19.60621 0.04992
55084.86328 19.82794 0.08237
55087.85609 19.66029 0.05033
55087.90101 19.70809 0.0522
55088.96983 19.70093 0.05203
55089.01521 19.66895 0.05607
55089.94574 19.67293 0.05416
55089.99042 19.65794 0.05751
55093.83741 19.62273 0.04872
55093.88196 19.62629 0.04871
55096.8292 19.74615 0.05821
55097.00858 19.7425 0.06629
55104.99862 19.70589 0.07723
55107.79764 19.5847 0.10778
55114.88125 19.77711 0.07151
55119.89538 19.8793 0.06726
55119.95365 19.7088 0.06585
55123.75696 19.79292 0.05728
55123.81523 19.62225 0.05603
55126.97957 19.63655 0.0781
55127.83329 19.75084 0.06446
55127.87706 19.67189 0.06578
55135.86926 19.54691 0.1376
55138.71472 19.8281 0.13247
55138.75871 19.81614 0.18885
55142.7036 19.71803 0.06119
55142.75219 19.64129 0.07556
55144.77886 19.65278 0.05889
55144.82305 19.69143 0.06703
55151.77257 19.90386 0.06594
55166.70473 19.81323 0.11316
55166.74897 19.55321 0.13288
55168.63378 19.9101 0.10762
55168.6775 19.65669 0.09433
55175.61224 19.55556 0.04918
55175.65684 19.66726 0.05119
55181.59421 19.86517 0.09591
55181.63825 19.70113 0.07711
55183.59204 19.71651 0.11431
55183.64253 19.73143 0.06903
55189.58054 19.54121 0.08624
55189.62557 19.83777 0.07799
55194.59026 19.79112 0.11695
55199.58559 19.6947 0.06069
55202.58667 19.59276 0.06906
55203.71441 19.63873 0.07525
55203.75743 19.74307 0.08802
55207.63092 19.66165 0.06115
55207.67514 19.74754 0.06057
55209.5968 19.6265 0.04836
55209.64149 19.67436 0.05203
55213.63312 19.56097 0.0703
55213.6798 19.60792 0.07983
55377.89535 19.47402 0.10549
55379.8591 19.66964 0.10086
55379.92482 19.59193 0.0675
55380.92078 19.50995 0.08605
55381.89606 19.54508 0.06629
55381.93934 19.46163 0.061
55384.82671 19.56299 0.058
55384.87028 19.58655 0.05558
55385.87021 19.45938 0.05299
55385.91339 19.50385 0.04678
55386.86524 19.62278 0.05922
55386.90867 19.52002 0.05288
55387.87002 19.49098 0.05232
55387.91342 19.55861 0.04487
55388.91005 19.52096 0.05009
55390.80957 19.59819 0.08118
55390.85393 19.44663 0.06111
55391.87538 19.54904 0.05222
55392.83258 19.59226 0.06559
55392.87538 19.52409 0.0544
55394.8431 19.66517 0.06238
55395.79551 19.68659 0.09217
55395.84215 19.50117 0.05905
55396.83932 19.497 0.05368
55397.79163 19.50373 0.09239
55397.83526 19.46532 0.05887
55398.78764 19.60205 0.10517
55398.83124 19.70053 0.08457
55399.78802 19.54267 0.10949
55399.83261 19.64706 0.09126
55400.78534 19.73857 0.12448
55400.8289 19.43016 0.08507
55401.78133 19.60444 0.14228
55402.8246 19.72145 0.18265
55403.81973 19.65002 0.14308
55404.84266 19.59176 0.08909
55405.8416 19.48601 0.09998
55412.79539 19.64549 0.09187
55413.75577 19.62025 0.11878
55413.79945 19.5824 0.09978
55414.75161 19.69817 0.12224
55414.79555 19.72288 0.08458
55415.75266 19.74766 0.11065
55415.79727 19.59011 0.10492
55416.75096 19.58638 0.1328
55416.79342 19.68832 0.09259
55417.75979 19.42351 0.12005
55417.84511 19.71982 0.09765
55418.84121 19.67624 0.07722
55419.75121 19.55094 0.13011
55419.79504 19.66601 0.08693
55420.78929 19.66821 0.11669
55421.73664 19.5787 0.06761
55421.79901 19.57574 0.04937
55422.75115 19.45268 0.05879
55422.79487 19.5243 0.0542
