#mjd mag magerr
61.92501 19.66481 0.05421
61.95573 19.49276 0.04937
63.91987 19.60808 0.05373
63.9639 19.54549 0.04999
64.92128 19.55386 0.05515
64.9656 19.62841 0.05599
66.91014 19.57033 0.05489
66.95474 19.6 0.05284
67.91649 19.89845 0.08907
67.96099 19.7182 0.08019
69.90324 19.50257 0.05295
69.94786 19.5139 0.05315
80.87449 19.62739 0.11835
84.86328 19.53138 0.07582
87.85609 19.55359 0.058
87.90101 19.6115 0.05754
88.96983 19.72526 0.05932
89.01521 19.65514 0.05874
89.94574 19.56296 0.05667
89.99042 19.74043 0.06284
93.83741 19.58919 0.05684
93.88196 19.62886 0.05485
96.8292 19.54036 0.05576
97.00858 19.55855 0.0725
104.99862 19.77583 0.08331
107.79764 19.76333 0.1067
114.88125 19.53059 0.06719
114.92522 19.43307 0.12032
119.89538 19.69692 0.0671
119.95365 19.70659 0.07393
123.75696 19.47568 0.05683
123.81523 19.67375 0.0662
126.97957 19.71039 0.0798
127.83329 19.68281 0.066
127.87706 19.63568 0.07019
138.71472 19.62749 0.11576
138.75871 19.71252 0.15377
142.7036 19.56495 0.06266
142.75219 19.51991 0.08128
144.77886 19.55083 0.06212
144.82305 19.51128 0.0651
151.72943 19.77758 0.07341
151.77257 19.57246 0.06419
166.70473 19.63263 0.11398
166.74897 19.53551 0.10759
168.63378 19.73408 0.1076
168.6775 19.83005 0.09424
175.61224 19.65729 0.05838
175.65684 19.64767 0.05301
181.59421 19.63285 0.09025
181.63825 19.53498 0.07474
183.59204 19.4748 0.11365
183.64253 19.60528 0.06635
189.58054 19.76211 0.08982
189.62557 19.59476 0.06824
194.59026 19.3641 0.11304
199.58559 19.56364 0.061
201.58642 19.39954 0.12866
202.58667 19.45088 0.06739
203.71441 19.52866 0.07039
203.75743 19.49159 0.08203
207.63092 19.48891 0.06716
207.67514 19.5506 0.06105
209.5968 19.6292 0.0541
209.64149 19.40103 0.05325
213.63312 19.73937 0.08043
213.6798 19.5576 0.08304
377.85123 19.82679 0.16716
377.89535 19.62598 0.10099
378.90615 19.43228 0.11937
379.8591 19.57023 0.10017
379.92482 19.52585 0.066
380.87684 19.5659 0.10119
380.92078 19.46337 0.09237
381.89606 19.58595 0.07439
381.93934 19.48443 0.06321
384.82671 19.47458 0.0617
