#mjd mag magerr
55061.92501 19.02499 0.0358
55061.95573 18.9368 0.03294
55063.91987 18.9361 0.03509
55063.9639 19.01052 0.03547
55064.92128 19.0403 0.03911
55064.9656 18.98162 0.04037
55066.91014 19.02122 0.04094
55066.95474 18.96022 0.03471
55067.91649 18.93587 0.04857
55067.96099 19.07145 0.05194
55069.90324 19.03961 0.0354
55069.94786 18.97779 0.03641
55080.95988 18.99123 0.12471
55084.86328 19.05661 0.05046
55087.85609 19.02634 0.03762
55087.90101 19.04917 0.03798
55088.96983 19.07717 0.04127
55089.01521 19.00754 0.0409
55089.94574 19.05069 0.04094
55089.99042 19.05947 0.04026
55093.83741 19.07575 0.0365
55093.88196 18.99687 0.03549
55096.8292 18.99624 0.03741
55097.00858 19.14136 0.04788
55104.99862 19.32136 0.05983
55107.79764 19.2084 0.08481
55114.88125 19.10655 0.04741
55114.92522 19.08712 0.09609
55119.89538 19.09558 0.04364
55119.95365 19.2204 0.05054
55123.75696 19.11012 0.03886
55123.81523 19.0878 0.03933
55126.97957 19.20524 0.06292
55127.83329 19.11314 0.04291
55127.87706 19.07251 0.04721
55135.82555 19.2167 0.07646
55135.86926 19.15938 0.09067
55138.71472 19.03101 0.09193
55138.75871 19.29324 0.10543
55142.7036 19.08957 0.04445
55142.75219 19.14502 0.05282
55144.77886 19.13476 0.04352
55144.82305 19.1354 0.04916
55151.72943 19.14854 0.04898
55151.77257 19.1441 0.04402
55166.70473 19.16998 0.08051
55166.74897 18.98698 0.08548
55168.63378 19.28271 0.10823
55168.6775 19.14944 0.06473
55175.61224 19.08841 0.03872
55175.65684 19.09178 0.03772
55181.59421 19.09793 0.06168
55181.63825 19.16169 0.05421
55183.59204 19.08249 0.06477
55183.64253 19.14352 0.04324
55189.58054 19.18809 0.05903
55189.62557 19.13514 0.04777
55194.59026 19.20497 0.08437
55199.58559 19.16254 0.0422
55201.58642 19.19661 0.0913
55202.58667 19.00898 0.05308
55203.71441 19.0318 0.05262
55203.75743 19.06613 0.05298
55207.63092 19.11482 0.04475
55207.67514 18.99977 0.0404
55209.5968 19.04616 0.03799
55209.64149 18.96194 0.03547
55213.63312 19.32224 0.05673
55213.6798 19.11669 0.05911
55377.85123 19.1299 0.07843
55377.89535 19.04682 0.08257
55379.8591 18.97633 0.06124
55379.92482 19.05231 0.05022
55380.87684 19.16656 0.07635
55380.92078 19.05387 0.06302
55381.89606 19.07388 0.05102
55381.93934 19.09744 0.04731
55384.82671 18.99115 0.04064
55384.87028 19.03293 0.04154
55385.87021 19.00713 0.03791
55385.91339 19.05242 0.03619
55386.86524 19.09936 0.04172
55386.90867 19.01516 0.03794
55387.87002 19.02072 0.04075
55387.91342 18.9823 0.03462
55388.86609 19.09928 0.05119
55388.91005 19.01754 0.03836
55390.80957 19.05916 0.05335
55390.85393 18.97338 0.04458
55391.80613 18.99815 0.05447
55391.87538 19.01093 0.04303
55392.87538 19.00984 0.04007
55394.79908 18.92522 0.05138
55394.8431 19.03243 0.04283
55395.79551 19.2016 0.07145
55395.84215 18.93554 0.04136
55396.79527 19.11487 0.06225
55396.83932 18.98982 0.03966
55397.79163 19.14596 0.07175
55397.83526 19.01743 0.04573
55398.78764 19.18261 0.07969
55398.83124 19.03526 0.06015
55399.78802 18.92922 0.07407
55399.83261 18.96896 0.06342
55400.78534 18.98578 0.09322
55400.8289 18.94878 0.06496
55401.82518 19.07517 0.08731
55402.8246 19.09357 0.0984
55403.81973 18.86265 0.08365
55404.77424 19.14382 0.10435
55404.84266 19.16102 0.07585
55405.8416 19.14092 0.08531
55407.7691 19.18568 0.10393
55407.83003 19.05579 0.08182
55408.78389 19.08773 0.14778
55411.79896 19.06726 0.06593
55412.75232 19.08407 0.079
55412.79539 19.02988 0.06859
55413.75577 19.12414 0.07885
55413.79945 19.07459 0.06358
55414.75161 18.99262 0.09187
55414.79555 19.07927 0.06704
55415.75266 18.96395 0.07219
55415.79727 19.03917 0.07688
55416.75096 19.06333 0.09237
55416.79342 19.16537 0.06954
55417.75979 19.02272 0.08337
55417.84511 18.99565 0.06756
55418.79843 19.25235 0.08087
55418.84121 19.06576 0.0598
55419.75121 18.91234 0.07742
55419.79504 19.08745 0.06472
55420.78929 19.19095 0.09037
55420.83264 19.10837 0.06815
55421.73664 19.03656 0.04845
55421.79901 19.04311 0.03641
55422.75115 19.01578 0.04494
55422.79487 19.08615 0.03906
55423.74742 18.95872 0.04525
55423.79284 19.05687 0.04084
55424.75349 18.99008 0.05332
55424.80178 18.99935 0.03891
55425.76166 18.97779 0.05186
55425.80573 18.96208 0.03699
55426.80123 19.06873 0.05187
55426.8444 19.05103 0.03645
55427.79708 19.07234 0.05141
55427.8408 19.02991 0.04054
55428.79281 19.0015 0.05029
55428.83703 19.02767 0.0452
55429.8142 18.99359 0.04963
55429.85716 19.04081 0.04505
55430.75769 19.02488 0.06948
55430.80485 18.98848 0.0576
55431.75639 19.06196 0.07037
55431.80024 18.99553 0.05754
55432.73907 18.93954 0.09592
55432.78359 19.0748 0.10139
55433.70425 19.35913 0.12653
55433.7493 19.09124 0.09253
55434.69401 19.02142 0.13197
