#mjd mag magerr
55135.82555 18.46206 0.04896
55135.86926 18.38136 0.05081
55138.71472 18.394 0.04997
55142.7036 18.38905 0.02567
55144.77886 18.37618 0.02384
55144.82305 18.37237 0.02728
55151.77257 18.38252 0.02542
55166.70473 18.57711 0.05162
55166.74897 18.42018 0.05441
55384.87028 18.2724 0.02267
55391.80613 18.40012 0.03378
55392.83258 18.22692 0.03366
55395.79551 18.22908 0.04285
55395.84215 18.18416 0.03379
55398.78764 18.16561 0.04275
55398.83124 18.22235 0.03386
55402.8246 18.24007 0.05328
55403.77642 18.45599 0.07405
55412.79539 18.16724 0.04154
55414.79555 18.16149 0.03414
55415.75266 18.12427 0.04625
55422.75115 18.21954 0.02454
55423.74742 18.23331 0.02332
55424.75349 18.28022 0.03601
55425.76166 18.14474 0.03057
55426.80123 18.15127 0.03983
55426.8444 18.19275 0.03232
55427.79708 18.24703 0.03256
55427.8408 18.24093 0.02931
55428.79281 18.20553 0.02916
55428.83703 18.26165 0.02571
55429.8142 18.17999 0.03582
55429.85716 18.21802 0.03504
55430.75769 18.19528 0.03997
55430.80485 18.19884 0.03548
55431.75639 18.19567 0.04481
55431.80024 18.25355 0.04431
55432.73907 18.29258 0.04608
55432.78359 18.28713 0.04355
55433.70425 18.34105 0.07145
55433.7493 18.16431 0.05188
55434.69401 18.24268 0.07277
55434.73769 18.16935 0.05131
55435.69148 18.24984 0.06353
55436.88575 18.2176 0.03335
55436.88891 18.2926 0.03422
55436.8919 18.29396 0.03486
55436.89501 18.27167 0.03608
55436.89797 18.35025 0.03609
55436.90109 18.25961 0.03671
55436.9042 18.41657 0.03978
55436.90728 18.36408 0.03751
55436.91041 18.31002 0.03864
55436.91351 18.31708 0.03918
55436.91641 18.25523 0.03646
55436.91931 18.31527 0.04138
55436.92221 18.24039 0.03727
55436.92514 18.33223 0.0381
55436.92806 18.2079 0.03867
55436.93096 18.30107 0.03701
55436.93413 18.24905 0.03814
55436.93703 18.22678 0.03395
55436.93974 18.22058 0.0359
55436.94297 18.23571 0.03835
55436.94613 18.33211 0.03989
55436.94915 18.22378 0.03679
55436.95231 18.26335 0.03639
