#mjd mag magerr
55061.92501 19.62281 0.06059
55061.95573 19.53176 0.04917
55063.91987 19.49608 0.0601
55063.9639 19.51849 0.05039
55064.92128 19.61486 0.05366
55064.9656 19.58141 0.0529
55066.91014 19.46533 0.05928
55066.95474 19.503 0.05114
55067.91649 19.69045 0.07518
55067.96099 19.6802 0.07669
55069.90324 19.50057 0.04996
55069.94786 19.5219 0.05444
55080.87449 19.1354 0.13103
55084.86328 19.43338 0.07711
55087.85609 19.58658 0.0594
55087.90101 19.5125 0.05385
55088.96983 19.52126 0.05553
55089.01521 19.56414 0.05415
55089.94574 19.62496 0.05786
55089.99042 19.54943 0.05416
55093.83741 19.58619 0.05884
55093.88196 19.46786 0.04987
55096.8292 19.40636 0.05298
55097.00858 19.35155 0.07519
55104.99862 19.52983 0.07314
55107.79764 19.56333 0.1098
55114.88125 19.56459 0.06492
55114.92522 19.42608 0.16757
55119.89538 19.49693 0.06102
55119.95365 19.44559 0.06215
55123.75696 19.41568 0.05573
55123.81523 19.54775 0.05472
55126.97957 19.53039 0.0747
55127.83329 19.44081 0.06829
55127.87706 19.42169 0.07099
55135.82555 19.47452 0.1233
55135.86926 19.48708 0.11795
55138.71472 19.79049 0.12905
55142.7036 19.44895 0.05967
55142.75219 19.44692 0.07649
55144.77886 19.45783 0.05853
55144.82305 19.33428 0.05951
55151.72943 19.38958 0.0787
55151.77257 19.43546 0.06619
55166.70473 19.66763 0.15376
55166.74897 19.62151 0.14297
55168.63378 19.44508 0.08902
55168.6775 19.52005 0.09494
55175.61224 19.46829 0.05133
55175.65684 19.53967 0.05112
55181.59421 19.39785 0.08328
55181.63825 19.51197 0.07553
55183.59204 19.6718 0.11216
55183.64253 19.51628 0.07414
55189.58054 19.62611 0.10101
55189.62557 19.40376 0.07652
55194.59026 19.4521 0.11304
55199.58559 19.40364 0.07046
55201.58642 19.20354 0.14329
55202.58667 19.38588 0.06629
55203.71441 19.35065 0.0661
55203.75743 19.51159 0.07155
55207.63092 19.37191 0.05699
55207.67514 19.4726 0.05995
55209.5968 19.5732 0.0558
55209.64149 19.36803 0.04986
55213.63312 19.59737 0.0663
55213.6798 19.5496 0.07908
55377.85123 19.76279 0.12678
55377.89535 19.83598 0.11358
55378.90615 19.62428 0.12826
55379.8591 19.57823 0.09408
55379.92482 19.52585 0.07539
55380.87684 19.7209 0.10739
55380.92078 19.57537 0.12765
55381.89606 19.34395 0.0693
55381.93934 19.42943 0.06341
55384.82671 19.59459 0.06549
55384.87028 19.43058 0.0616
55385.87021 19.46216 0.05511
55385.91339 19.60817 0.05971
55386.86524 19.43811 0.07816
55386.90867 19.53624 0.06029
55387.87002 19.44293 0.06959
55387.91342 19.44845 0.05016
55388.86609 19.39114 0.07952
55388.91005 19.42895 0.06492
55390.80957 19.64443 0.09638
55390.85393 19.46568 0.0739
55391.80613 19.37621 0.10568
55391.87538 19.64032 0.06651
55392.83258 19.46183 0.07739
55392.87538 19.44292 0.06957
55394.79908 19.63363 0.11508
55394.8431 19.62736 0.083
55395.79551 19.76286 0.10423
55395.84215 19.65065 0.06931
55396.79527 19.51302 0.10539
55396.83932 19.42883 0.05392
55397.79163 19.39899 0.1052
55397.83526 19.64444 0.06878
55398.78764 19.61953 0.15767
55398.83124 19.60596 0.08038
55399.78802 19.26456 0.15117
55399.83261 19.59638 0.12298
55400.78534 19.6001 0.1171
55400.8289 19.52895 0.09896
55401.78133 19.34572 0.15368
55401.82518 19.73067 0.11875
55402.8246 19.63322 0.20794
55403.77642 19.82972 0.16342
55403.81973 19.52571 0.12309
55404.77424 19.74021 0.14019
55404.84266 19.48403 0.11348
55405.8416 19.66527 0.13967
55407.83003 19.70819 0.12383
55411.79896 19.50785 0.09461
55412.75232 19.87856 0.13128
55412.79539 19.90868 0.11699
55413.75577 19.83378 0.16647
55413.79945 19.59787 0.12034
55414.79555 19.83037 0.10405
55415.75266 19.63183 0.16225
55415.79727 19.96959 0.13664
55417.84511 19.66544 0.12128
55418.84121 19.87159 0.10994
55419.75121 19.68652 0.14198
55421.73664 19.7528 0.09082
55421.79901 19.52537 0.0636
55422.75115 19.61824 0.09237
55422.79487 19.53157 0.06727
55423.74742 19.63934 0.09086
55423.79284 19.61648 0.06771
55424.75349 19.48426 0.09366
55424.80178 19.67116 0.06409
55425.76166 19.7428 0.08789
55425.80573 19.61913 0.06021
55426.80123 19.58934 0.07697
55426.8444 19.6668 0.06229
55427.79708 19.67465 0.08526
