#mjd mag magerr
55142.7036 19.54281 0.09362
55142.75219 19.51365 0.0978
55144.77886 19.55386 0.07909
55144.82305 19.68905 0.09949
55151.72943 19.65896 0.10184
55151.77257 19.35158 0.08489
55168.63378 19.89514 0.151
55168.6775 19.83579 0.12172
55175.61224 19.46368 0.08803
55175.65684 19.77861 0.07614
55181.59421 19.89929 0.137
55181.63825 20.06073 0.15963
55183.64253 19.75683 0.09406
55189.58054 19.85363 0.1028
55199.58559 19.58142 0.10588
55202.58667 19.60859 0.10677
55203.71441 19.66193 0.10895
55207.63092 19.70686 0.10153
55207.67514 19.81702 0.12956
55209.5968 19.78302 0.08407
55209.64149 19.6694 0.0839
55384.82671 19.94404 0.12241
55384.87028 19.92722 0.13727
55385.87021 20.21273 0.11225
55385.91339 20.03584 0.10255
55386.86524 20.11975 0.16067
55386.90867 20.29599 0.1106
55387.87002 20.16903 0.12022
55387.91342 19.98252 0.09758
55388.86609 20.38303 0.17755
55388.91005 20.2549 0.09984
55390.80957 20.11633 0.13951
55390.85393 20.27399 0.13479
55392.83258 20.18291 0.14603
55392.87538 19.96125 0.10039
55394.8431 20.08433 0.14886
55395.79551 20.25126 0.18957
55395.84215 20.03815 0.13728
55396.79527 20.06387 0.14758
55396.83932 19.85448 0.1363
55397.83526 19.88128 0.1009
55398.78764 20.4432 0.21995
55398.83124 20.08044 0.1197
55400.8289 20.22803 0.15844
55412.79539 19.94925 0.19137
55413.79945 20.4968 0.16442
55414.79555 20.04137 0.15993
55416.79342 19.96654 0.17614
55417.84511 20.01369 0.16151
55418.79843 20.4459 0.24474
55418.84121 19.93744 0.17011
55419.75121 20.0258 0.20839
55419.79504 20.09653 0.20224
55420.83264 20.04066 0.17736
55421.79901 20.07547 0.1003
55422.75115 20.23885 0.12368
55422.79487 20.18473 0.12326
55423.74742 20.14694 0.11829
55423.79284 20.19227 0.10489
55424.75349 20.21402 0.15237
55424.80178 20.27486 0.1142
55425.76166 20.09409 0.1609
55425.80573 20.1971 0.13145
55426.80123 20.38909 0.14202
55426.8444 20.10667 0.11448
55427.79708 19.91867 0.12998
55427.8408 20.12537 0.12677
55428.79281 19.83241 0.14485
55428.83703 20.51811 0.13978
55429.85716 19.86114 0.16625
55430.75769 20.28987 0.20228
55430.80485 19.94922 0.15917
55431.80024 20.12527 0.15236
55436.88891 20.54181 0.18447
55436.9042 19.80108 0.16978
55436.95231 20.04554 0.19838
55436.9553 20.13705 0.20077
55436.95826 20.21849 0.20777
55438.88857 20.26651 0.18666
55438.89169 20.37398 0.17536
55438.89798 20.24562 0.19316
55438.90086 20.44523 0.20824
55438.9065 20.1664 0.17084
55438.91204 20.49677 0.15229
55440.87507 20.52678 0.16507
55440.87823 20.2327 0.15268
55440.88428 19.87298 0.12239
55440.88675 20.26763 0.13686
55440.89518 20.37787 0.14437
55440.89832 20.2277 0.13415
55440.90145 19.97756 0.12307
55440.90439 20.54326 0.12566
55440.90729 20.30374 0.15456
55440.91025 20.37975 0.16913
55440.91316 20.11436 0.13017
55440.91591 19.92785 0.12628
55440.92149 20.21106 0.11827
55440.92426 20.14393 0.12228
55440.93095 20.08935 0.14916
55440.93364 19.9901 0.13177
55440.93623 20.36737 0.14175
55440.9395 20.35866 0.13549
55440.94264 20.2052 0.11491
55440.94582 20.16741 0.17284
55440.94883 20.18546 0.13929
55440.95182 19.86705 0.12609
55440.95489 20.09307 0.13277
55440.95791 20.28333 0.14306
55441.87301 20.00436 0.09713
55441.87592 20.31515 0.10611
55441.88645 20.07561 0.09653
55441.88962 20.08331 0.121
55441.89542 20.39487 0.1498
55441.89828 19.91762 0.11171
55441.90107 20.14964 0.10952
55441.9037 20.23662 0.1268
55441.90634 20.20898 0.10245
55441.90906 20.32462 0.10105
55441.9118 20.1127 0.10759
55441.91445 20.41542 0.11338
55441.91722 20.11815 0.10638
55441.91981 19.74733 0.12237
55441.92242 20.20908 0.11799
55441.92546 20.20974 0.09522
55441.9281 20.22201 0.10292
55441.93183 20.27191 0.11429
55441.95194 20.12921 0.12068
55441.95469 20.29969 0.10639
