#mjd mag magerr
55061.92501 20.33338 0.10842
55061.95573 20.17212 0.09735
55063.91987 20.50626 0.11961
55063.9639 20.51339 0.11
55064.92128 20.74867 0.14729
55064.9656 20.35243 0.12112
55066.91014 20.42538 0.13703
55066.95474 20.52991 0.11981
55069.90324 20.46879 0.13927
55069.94786 20.27957 0.10823
55084.86328 20.54753 0.15459
55087.85609 20.34233 0.10476
55087.90101 20.17576 0.10137
55088.96983 20.45271 0.10982
55089.01521 20.326 0.11099
55089.94574 20.43437 0.11912
55089.99042 20.18591 0.12309
55093.83741 20.22309 0.12292
55093.88196 20.48961 0.11212
55096.8292 20.13343 0.12463
55097.00858 20.52804 0.1313
55114.88125 20.23646 0.12112
55119.89538 20.4568 0.15578
55119.95365 20.41654 0.15371
55123.75696 20.19149 0.11091
55123.81523 20.50906 0.12542
55126.97957 20.50752 0.15019
55127.83329 20.64166 0.13461
55127.87706 20.31184 0.19787
55142.7036 20.19381 0.12129
55142.75219 20.61465 0.21654
55144.77886 20.31786 0.13281
55144.82305 20.44605 0.16386
55151.77257 20.63958 0.16305
55175.61224 20.57968 0.13555
55175.65684 20.63061 0.14418
55181.63825 20.75073 0.1953
55183.59204 20.36209 0.17129
55183.64253 20.33183 0.1467
55189.62557 20.25292 0.13867
55202.58667 20.73459 0.1772
55203.71441 20.54093 0.1563
55207.67514 20.15102 0.13875
55209.5968 20.23402 0.1372
55209.64149 20.3954 0.11567
55213.63312 20.40039 0.14586
55213.6798 20.37995 0.19063
55379.92482 20.64082 0.18116
55380.92078 20.26697 0.16318
55381.89606 20.35229 0.13917
55381.93934 20.56269 0.14467
55384.82671 20.46304 0.15218
55385.87021 20.27073 0.14812
55385.91339 20.67084 0.13481
55386.86524 20.35775 0.15248
55386.90867 20.85299 0.16986
55387.87002 20.43503 0.13851
55387.91342 20.47152 0.10966
55388.86609 20.74803 0.18665
55388.91005 20.1089 0.12521
55390.80957 20.30033 0.19298
55390.85393 20.54799 0.15787
55391.80613 20.2987 0.18619
55391.87538 20.72325 0.20576
55392.83258 20.40991 0.14682
55392.87538 20.37425 0.12425
55394.79908 20.78039 0.18554
55394.8431 20.60533 0.18985
55395.84215 20.67815 0.20845
55397.83526 20.49327 0.12878
55399.83261 20.6499 0.17668
55404.84266 20.19214 0.18571
55412.79539 20.14625 0.20126
55416.79342 20.30054 0.2103
55418.84121 20.24344 0.1762
55421.73664 20.48044 0.14207
55421.79901 20.29847 0.1047
55422.75115 20.46385 0.16886
55422.79487 20.28773 0.12156
55423.74742 20.29193 0.15777
55423.79284 20.43827 0.12927
55424.75349 20.69802 0.17287
55424.80178 20.50386 0.12619
55425.76166 20.33709 0.13362
55425.80573 20.3391 0.12016
55426.80123 20.21109 0.1696
55426.8444 20.38167 0.11518
55427.8408 20.15637 0.13596
55428.79281 20.17741 0.17554
55428.83703 20.70411 0.14488
55429.8142 20.36782 0.16056
55429.85716 20.15314 0.14416
55430.75769 20.01187 0.19908
55430.80485 20.33322 0.21865
55432.78359 20.05862 0.17357
55436.88891 20.58281 0.20187
55436.8919 20.77161 0.17659
55436.89501 20.56819 0.18325
55438.89169 20.35798 0.13998
55438.89798 20.60762 0.18776
55438.90086 20.77023 0.17255
55438.90927 20.37674 0.16935
55438.91204 20.54677 0.17608
55438.91763 20.53069 0.20694
55438.92394 20.50233 0.19944
55438.92954 20.2038 0.18506
55438.93259 20.11387 0.19217
55438.93833 20.3128 0.16787
55438.94678 20.24563 0.19046
55440.87507 20.21378 0.16777
55440.87823 20.4477 0.12789
55440.88428 20.22798 0.13868
55440.88675 20.57163 0.18674
55440.8894 20.45409 0.11987
55440.89205 20.51517 0.13158
55440.89518 20.39588 0.14777
55440.90145 20.74256 0.15166
55440.90439 20.41926 0.14865
55440.90729 20.78173 0.15596
55440.91025 20.58474 0.17753
55440.91316 20.27835 0.14576
55440.91591 20.25784 0.15137
55440.9187 20.40946 0.14748
55440.92149 20.63206 0.13696
55440.92426 20.53193 0.15566
55440.93364 20.5111 0.12987
55440.93623 20.15837 0.14075
55440.9395 20.19066 0.1212
55440.94582 20.38941 0.14175
55440.94883 20.61146 0.13769
55440.95182 20.31705 0.13029
55440.95489 20.43107 0.13077
55440.95791 20.25733 0.16905
55441.87301 20.56836 0.11571
55441.87592 20.43615 0.1177
55441.88645 20.26661 0.11071
55441.88962 20.42831 0.1163
55441.89254 20.42959 0.1017
55441.89542 20.22988 0.11063
55441.89828 20.25162 0.1232
55441.90107 20.46264 0.11482
55441.9037 20.29162 0.10622
55441.90634 20.11898 0.12212
55441.90906 20.59162 0.1439
55441.9118 20.3517 0.12668
55441.91445 20.37442 0.11748
55441.91722 20.57615 0.12706
55441.91981 20.59833 0.11648
55441.92242 20.38308 0.14467
55441.92546 20.26374 0.13889
55441.9281 20.67201 0.13149
55441.93183 20.32591 0.13988
55441.93458 20.08114 0.11887
55441.93727 20.49953 0.11277
55441.94048 20.39685 0.12009
55441.94326 20.13628 0.11359
55441.94546 20.29841 0.1207
55441.94852 20.25865 0.09978
55441.95194 20.24421 0.10749
55441.95469 20.15569 0.11318
55441.95786 20.48573 0.1111
55441.96081 20.70456 0.13949
55441.96392 20.31194 0.10649
55441.96715 20.41763 0.13119
55441.97012 20.35996 0.10779
55441.97294 20.44987 0.10812
55441.97532 20.51416 0.12518
55441.97757 20.11808 0.12129
55441.9798 20.58538 0.1172
55441.9835 20.18163 0.10362
55441.9863 20.23625 0.10398
55441.99078 20.35422 0.11582
55441.99382 20.40618 0.11848
55442.00593 20.35112 0.1141
55442.00906 20.39231 0.15987
55442.01216 20.29749 0.12369
55442.01486 20.59842 0.14748
55442.01753 20.41743 0.20048
55442.70382 20.21273 0.11431
