#mjd mag magerr
55061.92501 21.13199 0.14135
55061.95573 21.0068 0.13084
55063.91987 20.7601 0.11576
55063.9639 20.99052 0.14074
55064.92128 21.0263 0.14526
55064.9656 21.32562 0.18214
55066.91014 20.59122 0.14497
55066.95474 20.96523 0.13216
55069.90324 21.05761 0.13365
55069.94786 20.81579 0.13935
55087.85609 20.89834 0.18344
55087.90101 21.18517 0.15794
55088.96983 20.74017 0.17624
55089.01521 20.83854 0.16375
55093.83741 21.00975 0.16694
55093.88196 20.88687 0.11966
55096.8292 21.04724 0.14678
55104.99862 20.81436 0.19154
55123.75696 20.74412 0.16404
55127.83329 20.81214 0.18545
55127.87706 21.07851 0.16166
55142.7036 20.96357 0.17714
55151.72943 20.69054 0.16605
55175.61224 20.9064 0.12136
55175.65684 21.01878 0.14119
55183.64253 20.83352 0.16806
55199.58559 20.71854 0.16195
55207.63092 21.03482 0.1368
55207.67514 21.24477 0.19594
55209.5968 20.66715 0.11986
55209.64149 20.88794 0.16724
55213.63312 20.62724 0.15705
55213.6798 20.77169 0.16246
55377.89535 20.46182 0.21986
55379.92482 20.80831 0.23443
55381.89606 20.97788 0.26562
55381.93934 20.95244 0.16343
55384.82671 20.63715 0.15354
55384.87028 21.08793 0.17253
55385.87021 20.49113 0.12873
55385.91339 20.71442 0.15252
55386.86524 20.90136 0.15123
55386.90867 20.77216 0.16513
55387.87002 20.62972 0.12301
55387.91342 20.7563 0.15293
55388.91005 20.67054 0.12055
55390.85393 20.78638 0.18474
55391.87538 20.69393 0.14694
55392.83258 20.788 0.14954
55392.87538 21.13584 0.13295
55396.83932 20.81382 0.12825
55397.83526 20.94743 0.20184
55400.8289 20.50478 0.14317
55418.84121 20.98576 0.16787
55421.79901 20.70711 0.11903
55422.75115 20.66678 0.14484
55422.79487 20.77514 0.16754
55423.74742 20.73572 0.20453
55423.79284 20.96687 0.13874
55424.80178 20.41636 0.13396
55425.80573 20.52909 0.11376
55426.80123 20.70273 0.13993
55426.8444 20.73103 0.10486
55427.8408 20.77492 0.12994
55428.83703 20.89667 0.16713
55429.8142 20.49759 0.15254
55438.91204 20.69033 0.17695
55438.93259 20.67013 0.19055
55440.87823 20.39864 0.12775
55440.88428 20.45814 0.11157
55440.88675 21.0823 0.16925
55440.8894 20.42456 0.14694
55440.89205 20.84973 0.14483
55440.89518 20.84262 0.16354
55440.89832 20.61619 0.17063
55440.90145 20.94655 0.13315
55440.90439 20.54681 0.14854
55440.90729 20.82758 0.13404
55440.91316 21.0081 0.15765
55440.9187 20.97093 0.21322
55440.92426 20.66321 0.16154
55440.93095 20.89219 0.14204
55440.93364 20.71192 0.13865
55440.93623 20.93539 0.17643
55440.9395 20.72091 0.12784
55440.94264 20.85975 0.15873
55440.94883 20.81111 0.19763
55440.95489 20.64251 0.11835
55440.95791 21.15037 0.14324
55441.87301 20.61838 0.12545
55441.87592 20.38657 0.09749
55441.88645 20.49552 0.13764
55441.88962 20.93073 0.12185
55441.89254 20.61679 0.11905
55441.89542 20.76593 0.13595
55441.89828 20.72703 0.15593
55441.90107 20.80782 0.13135
55441.9037 20.9291 0.16703
55441.90634 20.54603 0.14884
55441.90906 20.79074 0.12335
55441.9118 20.89872 0.12325
55441.91722 20.56059 0.11956
55441.91981 21.02858 0.13754
55441.92242 20.67299 0.12425
55441.92546 20.83476 0.14326
55441.9281 20.70769 0.16594
55441.93183 20.89138 0.12844
55441.93727 20.92836 0.12675
55441.94048 20.6714 0.11495
55441.94326 20.56584 0.10074
55441.94546 20.91844 0.16425
55441.94852 20.5162 0.10785
55441.95194 20.78536 0.13225
55441.95469 20.5709 0.10936
55441.95786 20.88008 0.14404
55441.96081 20.82277 0.16364
55441.96392 20.95503 0.16974
55441.96715 20.73894 0.15285
55441.97012 20.77483 0.13654
55441.97294 20.83455 0.16244
55441.97532 21.02311 0.12474
55441.97757 20.48645 0.12405
55441.9798 20.79139 0.12575
55441.9835 20.492 0.13524
55441.9863 20.57531 0.14394
55441.98852 20.8744 0.13894
55441.99078 20.66428 0.16033
55441.99382 20.57874 0.15334
55442.00593 20.7316 0.12265
55442.00906 20.8688 0.20794
55442.01216 20.76242 0.16996
55442.01486 20.54019 0.16505
55442.70382 20.69359 0.17445
55442.71448 20.39026 0.11475
55442.72168 20.38846 0.13044
55442.72527 20.59232 0.13425
55442.73272 20.64199 0.13896
55442.74184 20.67402 0.12606
55442.74882 20.74936 0.12655
55442.75572 20.71168 0.12956
55442.76147 20.47423 0.12785
55442.76615 20.80123 0.12765
55442.77616 20.64871 0.11957
55442.78135 20.7358 0.12176
55442.78615 20.85492 0.13015
55442.79145 20.70543 0.12536
55442.79615 20.5051 0.10386
55442.80186 20.72562 0.13596
55442.8093 20.54979 0.10327
55442.81443 20.50928 0.10226
55442.81939 20.61787 0.12504
55442.82447 20.71206 0.14844
55442.8293 20.52745 0.12275
55442.84012 20.56763 0.11386
55442.84597 20.72784 0.11206
55442.85112 20.87613 0.13175
55442.85657 20.57399 0.12575
55442.86387 20.86982 0.13266
55442.87002 20.73428 0.11087
55442.87503 20.70771 0.11206
55442.88048 20.72567 0.13945
55442.88617 20.87678 0.13565
55442.89221 20.83161 0.12527
55442.89785 20.61107 0.11086
55442.90297 20.63983 0.10377
55442.90871 20.75583 0.11036
55442.91368 20.85278 0.12404
55442.91875 20.68606 0.14926
55442.92384 20.69279 0.11966
55442.93037 20.8151 0.17425
55442.93642 20.6144 0.11077
55442.94588 21.08498 0.14854
55442.95166 20.76478 0.13854
55442.95754 20.78164 0.10746
55442.96246 20.72179 0.11688
55442.96833 20.83952 0.17373
55442.97317 20.91329 0.12925
55442.97782 21.10182 0.13944
55442.98206 20.60946 0.10747
55442.9872 20.67765 0.11376
55442.99348 21.11656 0.14335
55442.99858 20.57911 0.13306
55443.00329 20.71601 0.12555
55443.01002 20.65028 0.15505
55443.70415 20.81688 0.15903
55443.71028 20.86866 0.14873
55443.71632 20.47114 0.12225
55443.72231 21.00966 0.15283
55443.72832 20.84294 0.14194
55443.736 21.05129 0.16672
55443.74306 20.59585 0.12225
55443.74812 20.5379 0.14463
55443.75372 20.81827 0.15944
55443.75946 20.37619 0.13355
55443.78539 20.87597 0.15304
55443.79156 20.77682 0.12534
55443.79717 20.5608 0.13034
55443.80302 20.8497 0.12664
55443.80895 20.57197 0.12464
55443.81493 20.77031 0.12005
55443.8204 20.78943 0.12953
55443.82634 20.72317 0.12094
55443.83239 20.98806 0.13805
55443.83783 20.66178 0.14234
55443.84415 20.61355 0.10475
55443.84958 20.48264 0.11964
55443.85553 20.79201 0.16373
55443.86252 20.5588 0.13874
55443.87576 21.03828 0.13644
55443.88141 20.64922 0.11444
55443.88892 20.57756 0.13905
55443.89412 20.769 0.12995
55443.90077 20.85918 0.13104
55443.90658 20.85427 0.13114
55443.91235 20.80185 0.12054
55443.92403 20.88614 0.15294
55443.92967 20.83415 0.17974
55443.93496 20.85644 0.11893
55443.94073 21.04893 0.12795
55443.94779 21.09204 0.13384
55443.95355 20.59432 0.13774
55443.95925 20.63635 0.11594
55443.9693 20.67467 0.14154
55443.97555 21.022 0.13575
55443.98144 20.93548 0.13863
55443.98725 20.94357 0.16436
55444.00093 20.44529 0.13874
55444.0061 20.62916 0.14314
55444.01187 20.8436 0.14314
55444.0175 20.71133 0.15153
55444.71487 21.13415 0.15953
55444.72796 20.85329 0.14952
55444.73377 20.6379 0.16403
55444.74094 20.63313 0.14903
55444.74655 20.88113 0.13684
55444.75167 20.73586 0.15684
55444.75678 20.66612 0.14634
55444.76225 20.81638 0.13173
55444.7673 20.65564 0.11854
55444.77353 20.92235 0.13623
55444.77876 20.64035 0.13123
55444.78368 20.78177 0.13514
55444.79848 20.78765 0.14205
55444.80403 20.97201 0.13003
55444.81599 20.89253 0.13654
55444.8213 20.77444 0.12294
55444.83332 20.96149 0.13635
55444.83854 20.3731 0.13044
55444.84549 20.75827 0.12844
55444.85161 20.8104 0.11237
55444.85679 20.87671 0.11824
55444.86267 20.55212 0.11537
55444.86777 21.14549 0.16327
55444.87321 20.72935 0.13626
55444.87872 20.92191 0.12854
55444.88467 20.88713 0.15493
55444.89581 20.72785 0.15306
55444.90153 20.81388 0.10315
55444.92279 20.77468 0.12083
55444.93139 21.12548 0.13514
55444.94041 20.55617 0.11604
55444.94568 20.63801 0.11505
55444.951 21.07264 0.14954
55444.95724 20.76827 0.12356
55444.96289 20.596 0.15142
55444.96923 20.6623 0.10583
55444.97411 20.54434 0.13513
55444.98915 20.91798 0.15043
55444.99553 20.49153 0.12095
55445.00157 20.76549 0.15314
55445.00779 20.6161 0.11815
55445.01282 20.39726 0.16005
55445.67731 20.59529 0.14395
55445.69681 21.14836 0.18033
55445.70294 20.94088 0.17473
55445.71534 20.83635 0.17134
55445.73457 20.85026 0.17024
55445.74013 20.90595 0.13323
55445.75096 20.43779 0.14735
55445.75643 20.84287 0.18154
55445.76191 20.75314 0.15884
55445.76784 20.70927 0.15364
55445.7737 20.89028 0.12764
55445.779 20.78754 0.13674
55445.78479 20.78607 0.14274
55445.79025 20.87354 0.10985
55445.79613 20.4428 0.11825
55445.81095 20.79898 0.13095
55445.81845 20.61362 0.10584
55445.82455 20.86934 0.11386
55445.83024 20.83802 0.13223
55445.84021 20.92615 0.13015
55445.84549 20.84606 0.11965
55445.85174 20.70684 0.10945
55445.85762 20.81459 0.12433
55445.8636 20.67809 0.13324
55445.86963 20.5995 0.10636
55445.87567 20.47707 0.10856
55445.88207 21.10456 0.12265
55445.88844 20.73191 0.13224
55445.89432 20.67264 0.10825
55445.89983 20.62274 0.10066
55445.90668 20.75792 0.11006
55445.91299 20.65384 0.10655
55445.91722 20.73887 0.11175
55445.92351 20.89159 0.13954
55445.92915 20.86044 0.12033
55445.93496 21.05343 0.11885
55445.94048 20.87362 0.11034
55445.95216 20.58861 0.11435
55445.95886 20.54782 0.11514
55445.97191 20.87955 0.13124
55445.97872 20.61473 0.13973
55445.98437 20.81985 0.12114
55445.98972 20.71038 0.12104
55445.99581 20.65593 0.10135
55446.00245 20.92714 0.12553
55446.00827 20.77695 0.10895
55446.01324 20.83682 0.14025
55446.01787 20.8008 0.13475
55446.66046 20.90823 0.22115
55446.67089 20.68491 0.18104
55446.67601 20.92999 0.16075
55446.68915 20.46047 0.13724
55446.70044 20.66544 0.16443
55446.70781 20.79967 0.15283
55446.71375 20.92675 0.15374
55446.7269 20.98933 0.14254
55446.73768 20.85525 0.17343
55446.74841 20.73173 0.15724
55446.75986 20.69456 0.14783
55446.76487 20.80438 0.12604
55446.77004 20.44437 0.13224
55446.77518 20.79311 0.13164
55446.78018 20.85016 0.11525
55446.78654 20.74417 0.10785
55446.79243 20.84368 0.11306
55446.79818 20.78797 0.12124
55446.80822 20.79852 0.13104
55446.81336 20.52874 0.12704
55446.81934 20.97553 0.16783
55446.82569 20.73707 0.13215
55446.83186 20.82626 0.11874
55446.83803 20.69021 0.11254
55446.84316 20.95225 0.10464
55446.84946 20.74261 0.11873
55446.85529 21.05536 0.16389
55446.86132 20.74074 0.11565
55446.87321 20.64278 0.09735
55446.87945 20.82052 0.15653
55446.88583 20.58239 0.11894
55446.89176 20.93867 0.12115
55446.89901 20.51308 0.11006
55446.90569 20.98242 0.12854
55446.91293 20.67252 0.10275
55446.91958 20.65646 0.13263
55446.92538 20.84534 0.14225
55446.93113 20.63238 0.11705
55446.93686 20.91418 0.12576
55446.94237 20.69928 0.10976
55446.94842 20.66699 0.12594
55446.95451 20.70156 0.14734
55446.96034 20.62473 0.10584
55446.96641 20.69927 0.11225
55446.97287 20.85508 0.13244
55446.97827 20.85174 0.11235
55446.98464 20.78662 0.12644
55446.99026 20.78699 0.14584
55446.99646 20.64705 0.09935
55447.00329 20.77453 0.11215
55448.00377 20.69574 0.10654
55449.82958 20.62644 0.12126
55449.87259 20.75477 0.12355
55450.82585 20.77291 0.14494
55450.86998 20.85076 0.15262
55451.65338 20.88949 0.17854
55451.70095 20.89173 0.14684
55452.64792 20.39486 0.19204
55452.69243 20.77581 0.14324
55453.6895 20.82529 0.19762
55466.62486 21.14073 0.17323
55466.62661 20.41116 0.18174
55466.62943 20.74019 0.19145
55467.62749 21.01218 0.16357
55468.7394 20.83266 0.13415
55468.78277 20.61982 0.17762
55470.82246 20.39395 0.13333
55471.77466 20.7735 0.12215
55472.62548 20.6332 0.16434
55473.62096 20.91919 0.21023
55477.66775 20.8603 0.13014
55477.71276 20.74145 0.15953
55478.66775 20.69218 0.13364
55479.61565 20.67562 0.19083
55479.65968 20.48058 0.17133
55480.61506 20.75323 0.16463
55480.65805 20.94712 0.15423
55481.69382 20.58476 0.15373
55482.66188 20.86381 0.13962
55482.67843 20.55992 0.14234
55483.61039 20.56597 0.18213
55483.66512 20.50635 0.14993
55484.66377 20.666 0.18744
55485.61939 20.6865 0.14745
55485.66329 20.51826 0.14466
55498.71756 20.82263 0.12996
55498.79 20.56209 0.23854
55499.59404 20.61917 0.19173
55499.63881 20.65681 0.1346
55503.77762 20.80062 0.13328
55504.82418 20.4763 0.14154
55506.73387 20.61176 0.14174
55513.658 20.75958 0.14223
55513.7418 20.66035 0.20423
55514.73749 20.26407 0.14646
55515.69951 20.73485 0.19482
55515.74236 20.52978 0.17474
55527.74242 20.71418 0.19854
55530.70615 20.88926 0.15857
55531.77418 20.26028 0.165
55532.78408 20.66765 0.14734
55535.68432 20.608 0.16477
55537.62557 20.65914 0.14765
55538.57995 20.72022 0.13384
55538.62381 20.8518 0.12634
55539.58012 20.40253 0.1608
55539.62283 20.54668 0.11701
55540.61811 20.48768 0.13498
55540.66215 20.64358 0.14468
55541.61644 20.79081 0.17813
55544.64191 20.89829 0.20236
55545.59598 20.61429 0.19671
55558.75663 20.49222 0.15303
55567.59621 20.52039 0.15991
55579.61368 20.42407 0.15425
55583.61703 20.53894 0.15733
55584.63985 20.44676 0.10806
55586.61685 20.6572 0.14824
55722.89872 20.76947 0.19004
55723.91976 20.70191 0.19963
55750.83279 20.66692 0.17175
55750.87598 20.9413 0.15763
55762.8402 20.46327 0.15837
55766.83041 20.84152 0.20913
55769.80074 20.80908 0.15804
55769.84468 21.01523 0.14754
55770.82573 20.80353 0.16807
55771.78074 20.57788 0.12436
55771.82449 20.71413 0.14016
55775.7599 20.62772 0.2049
55779.79086 20.45275 0.14884
55780.74948 20.47497 0.18564
55780.79415 20.5253 0.14024
55794.75972 20.6389 0.17294
55809.7101 20.92374 0.18322
55823.67275 20.67246 0.13384
55824.6697 20.33403 0.14094
55850.60468 20.6409 0.16004
55850.64918 20.63758 0.19553
55852.60416 20.56269 0.20285
55853.6463 20.5082 0.12309
55854.64607 20.66475 0.12968
55866.64679 20.72587 0.15885
55868.63002 20.29024 0.13364
55882.86968 20.95776 0.17736
55882.87146 20.53549 0.19575
55883.86679 20.81401 0.18127
55887.63181 20.73453 0.13148
55887.68352 21.12898 0.15297
55889.80049 20.82911 0.13334
55889.84447 21.10675 0.19133
55893.58261 20.62944 0.22973
55893.62546 20.80849 0.21443
55916.64026 20.88388 0.17523
55922.6423 20.54223 0.14874
55923.59751 20.7375 0.16066
55923.64145 20.95103 0.16195
55925.67897 20.90222 0.13335
55926.58279 20.87089 0.24553
55939.64879 20.74699 0.16174
55939.6851 20.99243 0.20955
55947.59349 20.85835 0.16726
55949.64923 20.72707 0.19269
56060.97134 20.15856 0.20614
56076.96161 20.62853 0.20244
56089.9375 20.57037 0.19014
56096.94475 21.04996 0.18094
56097.90204 20.55028 0.19734
56099.8979 20.5495 0.16004
56099.92867 20.90895 0.15684
56102.88948 20.8748 0.22163
56107.90655 20.86927 0.17804
56108.89669 21.08401 0.19123
56123.86323 20.49363 0.14504
56125.8655 20.79134 0.15163
56125.89611 20.78365 0.17473
56127.87262 20.68038 0.18124
56131.84966 20.78987 0.15345
56132.85526 20.79978 0.16364
56133.80732 20.52815 0.16253
56133.83817 21.14326 0.21563
56135.8357 20.7182 0.11693
56136.84105 21.03167 0.18284
56151.84315 20.52282 0.13604
56151.87618 20.78217 0.14045
56151.91621 20.82732 0.10575
56164.86055 21.18299 0.14204
56164.89061 20.64028 0.10204
56164.92052 20.63235 0.12544
56165.82275 20.84772 0.17032
56165.85221 20.93446 0.15704
56165.88255 20.75981 0.14073
56166.78411 20.98687 0.25812
56166.82415 20.94251 0.24373
56166.85436 20.76778 0.15213
56177.67775 20.72458 0.17184
56177.71467 21.12527 0.17284
56178.7245 20.50972 0.13724
56178.75548 21.04664 0.13405
56189.71737 20.78183 0.15905
56189.74707 21.01201 0.18693
56233.75399 20.57482 0.20664
56235.64419 20.94966 0.14153
56252.58576 20.72544 0.17828
56252.64555 20.86179 0.22455
56252.66096 20.75759 0.21455
56252.69879 20.71026 0.15857
56252.73499 20.57179 0.17937
56252.76856 20.68787 0.15956
56252.821 20.95219 0.20566
56252.85634 20.73937 0.1576
56253.58621 20.70115 0.18233
56253.63682 21.18125 0.19993
56265.6592 20.86341 0.16477
56267.61751 21.20489 0.19162
