#mjd mag magerr
55061.92501 19.96099 0.08678
55061.95573 19.8988 0.08985
55063.91987 19.8801 0.09127
55063.9639 19.86052 0.07328
55064.92128 19.9423 0.10598
55064.9656 19.86762 0.08978
55066.91014 19.98222 0.08542
55066.95474 19.95223 0.08159
55067.91649 19.91887 0.1348
55067.96099 19.93245 0.14442
55069.90324 19.99161 0.06411
55069.94786 20.01379 0.06951
55080.95988 19.57323 0.20592
55084.86328 20.06261 0.11017
55087.85609 20.16634 0.0813
55087.90101 19.93517 0.07359
55088.96983 19.98617 0.07519
55089.01521 19.76654 0.07152
55089.94574 19.98068 0.08182
55089.99042 20.07047 0.08382
55093.83741 19.93475 0.06721
55093.88196 20.02287 0.069
55096.8292 19.98424 0.07695
55097.00858 20.25336 0.10083
55104.99862 20.21136 0.10917
55107.79764 20.0844 0.15386
55114.88125 19.86355 0.08088
55119.89538 19.93258 0.09226
55119.95365 20.0984 0.10761
55123.75696 19.99611 0.07358
55123.81523 20.0078 0.07986
55127.83329 19.98215 0.086
55127.87706 20.03751 0.09311
55138.71472 19.82901 0.14388
55142.7036 20.00957 0.07929
55142.75219 19.98502 0.09706
55144.77886 20.05176 0.08186
55144.82305 20.0854 0.09678
55151.72943 20.15254 0.0921
55151.77257 20.0451 0.08366
55166.70473 20.02498 0.14566
55168.63378 20.22771 0.13307
55168.6775 20.09644 0.13425
55175.61224 20.00641 0.07582
55175.65684 19.80378 0.06184
55181.59421 20.08493 0.11188
55181.63825 19.99269 0.09514
55183.59204 19.78749 0.11443
55183.64253 20.17452 0.1004
55189.58054 20.33609 0.11347
55189.62557 20.13914 0.09638
55194.59026 19.72397 0.15965
55199.58559 20.10654 0.0871
55202.58667 20.07698 0.10034
55203.71441 20.2788 0.11563
55203.75743 19.97713 0.10783
55207.63092 20.02582 0.08095
55207.67514 19.95677 0.0792
55209.5968 19.94616 0.06591
55209.64149 20.00294 0.07408
55213.63312 20.11224 0.09293
55213.6798 20.38568 0.13543
55377.85123 20.1379 0.21805
55377.89535 20.18682 0.12831
55378.90615 20.21086 0.14468
55379.8591 20.36133 0.16539
55379.92482 20.17331 0.10166
55380.87684 20.02656 0.13449
55381.89606 20.09088 0.10076
55381.93934 19.99444 0.08886
55384.82671 20.07315 0.09736
55384.87028 19.89793 0.07428
55385.87021 19.97113 0.07616
55385.91339 19.96042 0.07045
55386.86524 20.06236 0.08996
55386.90867 19.99216 0.07687
55387.87002 19.95872 0.07067
55387.91342 19.8973 0.06197
55388.86609 20.11728 0.10879
55388.91005 19.83754 0.06659
55390.80957 20.06316 0.10887
55390.85393 20.00538 0.11127
55391.80613 20.02215 0.11508
