#mjd mag magerr
55061.92501 21.12199 0.13235
55061.95573 20.7878 0.16833
55063.91987 21.2251 0.19693
55063.9639 20.80952 0.14324
55066.95474 20.91123 0.14095
55069.90324 21.34061 0.13585
55069.94786 21.37479 0.14835
55093.83741 21.11375 0.14055
55093.88196 21.03187 0.15165
55096.8292 20.76924 0.1182
55123.75696 21.08212 0.13225
55144.82305 21.1944 0.17414
55175.61224 21.23441 0.15221
55199.58559 21.13354 0.20724
55207.63092 21.16982 0.18766
55207.67514 21.08276 0.17894
55209.5968 21.33216 0.13455
55209.64149 21.25393 0.16284
55384.87028 21.08994 0.15074
55385.87021 20.85713 0.11794
55385.91339 20.84142 0.14912
55387.87002 21.18672 0.16566
55387.91342 20.8243 0.15473
55388.91005 20.75254 0.17344
55391.87538 21.05093 0.21523
55392.87538 20.84085 0.13385
55395.84215 21.05054 0.16704
55396.83932 20.96482 0.13955
55397.83526 20.96243 0.16941
55422.75115 20.90578 0.18593
55423.79284 21.04787 0.17093
55424.80178 21.03135 0.15303
55425.80573 20.83809 0.12636
55426.8444 20.98303 0.16163
55429.85716 21.14481 0.16394
55440.87507 20.99063 0.18443
55440.88675 20.9443 0.16575
55440.89832 20.92519 0.15553
55440.90145 21.08755 0.19703
55440.90439 21.17881 0.16384
55440.91025 20.83439 0.18393
55440.91591 20.79325 0.18703
55440.92149 20.67685 0.15474
55440.92426 21.20321 0.18963
55440.93364 21.25992 0.17684
55440.94264 20.65775 0.24222
55440.94883 21.24411 0.16514
55440.95791 20.69037 0.16023
55441.87301 20.78838 0.17123
55441.87592 20.93757 0.15905
55441.88645 21.02952 0.13964
55441.88962 20.95373 0.13115
55441.89254 21.05779 0.15784
55441.89542 20.86993 0.12135
55441.90107 20.91982 0.16604
55441.9037 20.7871 0.17433
55441.90634 20.98403 0.13285
55441.90906 20.69473 0.13465
55441.9118 21.39972 0.15854
55441.91445 21.03671 0.13854
55441.91981 21.31758 0.17783
55441.9281 20.91369 0.13135
55441.93183 21.25538 0.13934
55441.93458 21.07763 0.15224
55441.93727 20.79836 0.15614
55441.94048 20.65341 0.14364
55441.94326 21.29684 0.17503
55441.94546 21.21844 0.16335
55441.95194 20.82536 0.16804
55441.96081 21.08077 0.14434
55441.96715 20.95194 0.18464
55441.97012 20.96983 0.13194
55441.97294 20.95756 0.17644
55441.97532 21.00511 0.14464
55441.97757 21.03844 0.18793
55441.9798 21.14039 0.12945
55441.9835 20.943 0.13234
55441.9863 21.35531 0.15964
55441.99078 20.97828 0.13854
55441.99382 21.05774 0.15084
55442.00593 20.8946 0.19243
55442.70734 20.76624 0.18474
55442.71097 21.19993 0.14355
55442.72527 21.00932 0.14915
55442.73272 20.94 0.13856
55442.74184 21.19002 0.16824
55442.74882 21.06036 0.17414
55442.76615 20.93323 0.13825
55442.77616 20.90371 0.13776
55442.78135 21.2578 0.13545
55442.79615 20.8171 0.13284
55442.80186 21.22862 0.15355
55442.8093 20.90979 0.12716
55442.81939 21.17287 0.14494
55442.8293 20.98445 0.12165
55442.83541 20.68656 0.11147
55442.84012 20.91363 0.12646
55442.84597 21.01384 0.13895
55442.85112 21.12413 0.13105
55442.85657 20.89399 0.12385
55442.87002 20.68328 0.13455
55442.87503 21.09271 0.13975
55442.88048 20.93267 0.12696
55442.88617 21.12277 0.13045
55442.89221 21.32461 0.13606
55442.89785 21.03807 0.14614
55442.90297 21.07883 0.13385
55442.90871 20.92883 0.11715
55442.91368 20.88578 0.16303
55442.91875 20.97906 0.12817
55442.92384 20.95979 0.16134
55442.93037 20.73809 0.11318
55442.93642 20.7694 0.16864
55442.95166 20.97478 0.12125
55442.96246 21.26679 0.16006
55442.97317 21.05029 0.15225
55442.97782 21.03582 0.15034
55442.9872 20.77765 0.12876
55442.99348 20.99156 0.16805
55442.99858 21.16011 0.14236
55443.00329 21.13001 0.13175
55443.01002 21.00928 0.15405
55443.68488 20.97798 0.17454
55443.70415 20.86688 0.20233
55443.72832 20.86694 0.17353
55443.736 21.00929 0.14603
55443.74306 20.98185 0.14025
55443.76526 21.08121 0.17783
55443.78027 21.17411 0.15953
55443.79717 21.1378 0.14343
55443.80302 21.0937 0.15704
55443.80895 21.26797 0.18943
55443.8204 21.13144 0.15833
55443.82634 20.83617 0.13354
55443.83783 20.62278 0.13724
55443.84415 20.93355 0.13444
55443.84958 20.82964 0.11344
55443.85553 20.95001 0.16223
55443.86252 21.0628 0.14593
