#mjd mag magerr
55061.92501 20.23499 0.09088
55061.95573 20.1248 0.09235
55063.91987 20.4221 0.08548
55063.9639 20.25552 0.09786
55064.92128 20.1313 0.09379
55064.9656 20.23262 0.12176
55066.91014 20.34622 0.08691
55066.95474 20.52323 0.08938
55069.90324 20.43461 0.13045
55069.94786 20.22979 0.10397
55087.85609 20.42634 0.10708
55087.90101 20.21517 0.11726
55088.96983 20.49817 0.11026
55089.01521 19.96954 0.09759
55089.94574 20.39668 0.12328
55089.99042 20.22447 0.11149
55093.83741 20.19875 0.09668
55093.88196 20.19187 0.10856
55096.8292 20.00024 0.10901
55097.00858 20.33536 0.16218
55104.99862 20.25536 0.14595
55114.88125 20.40855 0.1454
55119.95365 20.3294 0.127
55123.75696 20.20511 0.14734
55123.81523 20.38081 0.14713
55142.7036 20.04157 0.11356
55142.75219 20.36901 0.16944
55144.77886 20.58276 0.14384
55144.82305 20.3274 0.13616
55151.72943 20.28354 0.13317
55151.77257 20.2401 0.13624
55166.70473 19.99398 0.20844
55168.63378 19.98871 0.18
55175.61224 20.0674 0.09752
55175.65684 19.92178 0.10765
55181.59421 20.20393 0.19418
55181.63825 20.15369 0.15062
55183.59204 20.17849 0.17139
55183.64253 20.14352 0.14197
55189.58054 20.27309 0.14755
55189.62557 19.97114 0.12337
55199.58559 20.34254 0.14146
55202.58667 20.18298 0.1779
55203.71441 19.8578 0.12571
55203.75743 20.09713 0.17241
55207.63092 20.18482 0.14069
55207.67514 19.98776 0.10587
55209.5968 19.89516 0.11096
55213.63312 20.20124 0.14196
55213.6798 20.01669 0.16463
55379.92482 20.06631 0.15944
55380.92078 20.51887 0.20234
55384.82671 20.15215 0.13554
55385.87021 20.54413 0.12374
55385.91339 20.18442 0.11713
55386.86524 20.41336 0.12854
55386.90867 20.43716 0.15014
55387.87002 20.48572 0.15197
55387.91342 20.4323 0.11879
55388.91005 20.39254 0.10576
55390.85393 20.66738 0.13026
55391.80613 20.47715 0.18185
55392.83258 20.24 0.14024
55392.87538 20.45384 0.09977
55394.79908 20.61322 0.15696
55394.8431 20.36343 0.13904
55395.84215 20.26554 0.14675
55396.83932 20.18382 0.13235
55397.83526 20.08643 0.1375
55398.83124 20.77826 0.15916
55411.79896 20.60626 0.20086
55418.84121 20.34876 0.15991
55419.79504 20.37045 0.1951
55421.73664 20.32756 0.15015
55422.75115 20.68778 0.17954
55422.79487 20.50914 0.15444
55423.74742 20.31172 0.13295
55423.79284 20.65487 0.15654
55424.75349 20.33608 0.15721
55425.76166 20.62879 0.14816
55425.80573 20.52508 0.11716
55426.8444 20.57403 0.11134
55427.8408 20.78392 0.13144
55428.79281 20.4545 0.16283
55428.83703 20.42067 0.15653
55429.85716 20.55781 0.15254
55436.95826 20.44477 0.18423
55438.89798 20.73569 0.19654
55438.91204 20.59133 0.16255
55440.87507 20.65063 0.14614
55440.87823 20.39564 0.14614
55440.88675 20.7883 0.13077
55440.8894 20.45456 0.16664
55440.89205 20.83573 0.14973
55440.89518 20.32362 0.12355
55440.90145 20.88055 0.11746
55440.90439 20.64481 0.11985
55440.90729 20.50258 0.16673
55440.91025 20.77939 0.17463
55440.91316 20.5351 0.15495
55440.91591 20.87225 0.20053
55440.9187 20.49793 0.15353
55440.92149 20.46885 0.16783
55440.92426 20.25021 0.13315
55440.93095 20.67219 0.14434
55440.93364 20.70292 0.16304
55440.93623 20.71239 0.18232
55440.9395 20.49991 0.18403
55440.94264 20.56575 0.15633
55440.94582 20.24798 0.14144
55440.94883 20.37611 0.16024
55440.95182 20.8295 0.22873
55440.95791 20.55437 0.11724
