#mjd mag magerr
55061.92501 20.18999 0.0697
55061.95573 20.1868 0.07087
55135.82555 19.86469 0.19596
55135.86926 19.98438 0.19688
55138.71472 19.71801 0.16807
55142.7036 19.91757 0.08978
55142.75219 19.86502 0.11375
55144.77886 19.79776 0.09366
55144.82305 19.8754 0.08479
55151.72943 19.99154 0.0889
55151.77257 19.7471 0.08327
55166.70473 19.89298 0.19764
55166.74897 19.80098 0.16719
55168.6775 19.94844 0.15792
55175.61224 19.86841 0.0637
55175.65684 19.89178 0.06333
55181.59421 19.79693 0.107
55181.63825 19.92669 0.08897
55183.59204 19.92849 0.14384
55183.64253 19.90452 0.07913
55189.58054 19.79509 0.10547
55189.62557 19.67814 0.0773
55199.58559 19.94154 0.07172
55202.58667 19.91398 0.09225
55203.71441 19.9258 0.09957
55203.75743 19.67113 0.09139
55207.63092 19.77782 0.07304
55207.67514 19.72976 0.07171
55209.5968 19.94215 0.0674
55209.64149 19.82594 0.06499
55213.63312 19.75024 0.08831
55213.6798 20.09869 0.10247
55377.85123 20.0489 0.19695
55379.8591 19.83533 0.1441
55379.92482 20.02431 0.11435
55380.87684 20.27256 0.18066
55380.92078 20.25487 0.16645
55381.89606 20.26188 0.11395
55381.93934 19.94044 0.09506
55384.87028 20.10893 0.08846
55385.87021 19.97613 0.09455
55385.91339 20.05542 0.07384
55386.86524 20.02736 0.09215
55386.90867 20.10216 0.08336
55387.87002 20.19072 0.08082
55387.91342 19.9293 0.0704
55388.86609 20.11328 0.11358
55388.91005 19.90654 0.07878
55390.80957 20.15216 0.13696
55390.85393 19.93838 0.09408
55392.83258 19.903 0.10276
55392.87538 20.11584 0.09077
55394.79908 19.99322 0.10139
55394.8431 19.95343 0.09436
55395.79551 20.2256 0.15056
55395.84215 20.12054 0.08988
55396.79527 20.16387 0.14037
55396.83932 19.95982 0.07948
55397.79163 19.95996 0.16052
55397.83526 19.96143 0.09155
55398.83124 20.03127 0.11508
55399.83261 20.19896 0.19074
55400.8289 20.04178 0.13437
55404.84266 20.07302 0.13838
55413.79945 19.82059 0.14929
55414.75161 19.92162 0.14258
55414.79555 20.25727 0.12067
55415.79727 19.86017 0.12074
55416.79342 19.93737 0.14433
55417.75979 20.02472 0.16864
55417.84511 20.12965 0.1232
55418.84121 20.16676 0.15354
55420.78929 20.23095 0.19224
55420.83264 19.76737 0.11447
55421.73664 20.28756 0.11186
55421.79901 20.05411 0.07815
55422.75115 19.88478 0.11146
55422.79487 19.78715 0.09556
55423.74742 20.03372 0.09967
55423.79284 19.82087 0.07168
55424.75349 20.09508 0.12313
55424.80178 20.00036 0.07954
55425.76166 19.98179 0.09958
55425.80573 19.96408 0.0721
55426.80123 20.07273 0.13485
55426.8444 19.82403 0.07004
55427.79708 20.12834 0.10865
55427.8408 20.20392 0.09296
55428.79281 19.9955 0.11314
55428.83703 20.05267 0.10594
55429.8142 20.30259 0.11735
55430.75769 19.98988 0.15048
55430.80485 19.84548 0.12479
55431.75639 20.09496 0.12706
55432.78359 19.7988 0.18125
55436.89797 20.18026 0.14785
55436.90728 20.16754 0.18464
55436.91041 20.13014 0.12936
55436.91351 20.20804 0.18444
55436.91641 20.03488 0.16307
55436.92221 19.92696 0.15934
55436.92806 20.21021 0.15345
55436.93096 19.80691 0.13176
55436.93413 20.07809 0.14775
55436.93974 20.19358 0.15814
55436.94297 20.0476 0.16863
55436.94613 20.15138 0.18404
55436.94915 20.30409 0.19884
55436.95231 20.23252 0.20104
55436.9553 20.29624 0.20213
55436.96116 19.96202 0.16824
55436.96403 20.29019 0.16104
55436.96671 20.33344 0.19214
55438.88857 20.18763 0.15806
55438.89169 19.86625 0.13765
55438.89485 20.22655 0.13136
55438.89798 20.31769 0.13485
55438.90086 19.96911 0.12586
55438.90371 20.23621 0.13644
55438.91204 20.13433 0.14755
55438.91487 19.90248 0.13685
55438.92084 20.20188 0.13107
55438.93259 20.24013 0.17755
55438.94411 19.9321 0.14375
55438.94678 20.3049 0.15556
55438.95017 19.77545 0.12977
55438.95913 20.29488 0.19234
55438.96141 20.16597 0.15805
55440.87507 20.28563 0.09845
55440.87823 20.12264 0.08108
55440.88428 20.10414 0.08838
55440.88675 20.1103 0.0912
55440.8894 20.02956 0.09507
55440.89205 19.95673 0.08686
55440.89518 20.27662 0.09956
55440.89832 19.94919 0.09815
55440.90145 20.25455 0.10356
55440.90439 20.06081 0.09676
55440.90729 20.05658 0.10975
55440.91025 20.09539 0.11175
55440.91316 19.8431 0.09258
55440.91591 20.26125 0.10375
55440.9187 20.28393 0.09555
55440.92149 20.01185 0.09036
55440.92426 19.84421 0.08587
55440.93095 20.18819 0.09425
55440.93364 20.08792 0.10666
55440.93623 19.96839 0.08495
55440.9395 20.00591 0.12134
55440.94264 20.26575 0.11094
55440.94582 20.18198 0.10356
55440.95182 19.9955 0.11355
55440.95489 20.33051 0.10366
55440.95791 20.07437 0.11794
55441.87301 20.04938 0.08897
55441.87592 20.14057 0.08181
55441.88645 19.86952 0.07937
55441.88962 20.16073 0.08807
55441.89254 19.86779 0.07308
55441.89542 19.95093 0.09167
55441.89828 20.29403 0.10665
55441.90107 19.94081 0.07948
55441.9037 20.0761 0.07647
55441.90634 19.83703 0.07188
55441.90906 20.05374 0.07928
55441.9118 20.01072 0.07589
55441.91445 19.88571 0.09106
55441.91722 19.95659 0.0745
55441.91981 19.95658 0.10095
55441.92242 19.92599 0.09476
55441.92546 20.09376 0.0796
55441.9281 20.12769 0.08907
55441.93183 20.17138 0.09186
55441.93458 20.00463 0.09057
55441.93727 19.85436 0.07759
55441.94048 19.9654 0.08376
55441.94326 20.01284 0.07396
55441.94546 20.10144 0.0865
55441.94852 19.9092 0.09036
55441.95194 20.07736 0.08897
55441.95469 20.0029 0.07528
55441.95786 20.01408 0.07408
55441.96081 20.19977 0.08457
55441.96392 20.01303 0.07789
55441.96715 19.94194 0.07909
55441.97012 20.03383 0.08386
55441.97294 19.94855 0.07799
55441.97532 20.11611 0.09756
55441.97757 20.03645 0.07518
55441.9798 19.86939 0.08788
55441.9835 19.961 0.07308
55441.9863 19.95931 0.09216
55441.98852 19.9904 0.10026
55441.99078 20.02828 0.07857
55441.99382 19.98074 0.08837
55442.00593 20.1526 0.08907
55442.01216 20.11542 0.0957
55442.01486 19.94519 0.12277
55442.01753 20.30493 0.16926
55442.02001 20.22387 0.13049
55442.02226 20.10372 0.18217
55442.70382 19.90459 0.0843
55442.70734 20.10024 0.08848
55442.71097 20.20593 0.11366
55442.71448 20.00926 0.08706
55442.71808 20.17336 0.12605
55442.72168 20.14847 0.09056
55442.72527 20.04932 0.08598
55442.73272 19.995 0.09868
55442.74184 19.96102 0.08219
55442.74882 20.07136 0.08228
55442.75572 20.00268 0.08019
55442.76147 19.98423 0.08128
55442.76615 20.03823 0.08657
55442.77616 20.28671 0.0873
55442.78135 19.8768 0.07
55442.78615 20.03692 0.07469
55442.79145 19.99043 0.06941
55442.79615 19.9761 0.07498
55442.80186 20.14663 0.0817
55442.8093 20.11279 0.0687
55442.81443 19.85427 0.07019
55442.81939 20.05688 0.06678
55442.82447 19.99706 0.07229
55442.8293 19.90545 0.07108
55442.83541 20.03556 0.0734
55442.84012 19.91263 0.06451
55442.84597 19.95284 0.08838
55442.85112 19.92012 0.07979
55442.85657 19.97099 0.07898
55442.86387 20.07582 0.083
55442.87002 20.00028 0.08638
55442.87503 20.05171 0.07549
55442.88048 20.03367 0.06881
55442.88617 19.99578 0.0706
55442.89221 20.01561 0.07831
55442.89785 20.05407 0.08627
55442.90297 20.03783 0.0682
55442.90871 20.05684 0.07518
55442.91368 20.02978 0.07647
55442.91875 20.17106 0.0889
55442.92384 20.09679 0.07559
55442.93037 20.02209 0.10049
55442.93642 19.9494 0.0771
55442.94588 20.19798 0.09156
55442.95166 19.99078 0.07048
55442.95754 19.98864 0.07888
55442.96246 20.15179 0.08281
55442.96833 20.21652 0.08057
55442.97317 20.01129 0.072
55442.97782 20.10982 0.08048
55442.98206 20.06346 0.0776
55442.9872 20.07865 0.08049
55442.99348 20.03556 0.08539
55442.99858 20.02611 0.07641
55443.00329 19.98402 0.0705
55443.01002 20.03328 0.08609
55443.01702 20.05431 0.13397
55443.67742 19.98248 0.13326
55443.69287 19.97836 0.09938
55443.70415 20.23689 0.10875
55443.71028 20.08266 0.10235
55443.71632 19.85214 0.09147
55443.72231 20.33766 0.09675
55443.72832 20.10994 0.08856
55443.74306 19.81185 0.08158
55443.74812 20.0149 0.08335
55443.75372 19.77027 0.10027
55443.75946 20.24019 0.09637
55443.76526 19.88921 0.09335
55443.77007 20.3492 0.09536
55443.78027 20.15911 0.09695
55443.78539 20.12297 0.08107
55443.79156 20.15382 0.09046
55443.79717 20.0788 0.07976
55443.80302 20.0857 0.07597
55443.80895 20.18697 0.10195
55443.81493 20.17731 0.09267
55443.8204 20.01343 0.09305
55443.82634 19.99017 0.08596
55443.83239 20.02806 0.07669
55443.83783 20.14777 0.08117
55443.84415 20.00555 0.07257
55443.84958 20.19064 0.07716
55443.85553 20.02301 0.07486
55443.86252 20.3318 0.08756
55443.87576 20.07329 0.08526
55443.88141 20.04222 0.07117
55443.88892 20.04456 0.07909
55443.89412 20.17401 0.08128
55443.90077 20.11618 0.08396
55443.90658 19.98927 0.07687
55443.91235 20.01085 0.07816
55443.91779 20.20535 0.10265
55443.92403 20.05614 0.12635
55443.92967 20.21415 0.08838
55443.93496 19.95944 0.08015
55443.94073 20.07793 0.08378
55443.94779 20.08204 0.08127
55443.95355 20.08432 0.08056
55443.95925 19.98635 0.07976
55443.9693 20.11667 0.12825
55443.97555 19.907 0.08827
55443.98144 20.12449 0.08585
55443.99456 20.18606 0.10787
55444.00093 20.04729 0.08566
55444.0061 20.08316 0.08816
55444.01187 20.0756 0.10036
55444.0175 20.18333 0.13183
55444.02231 19.94447 0.12697
55444.66648 20.10457 0.16597
55444.67727 20.06337 0.14176
55444.69526 20.13733 0.13115
55444.70198 20.26397 0.11595
55444.7091 19.99706 0.11655
55444.71487 20.12315 0.11155
55444.72103 19.97168 0.08697
55444.72796 20.13229 0.09584
55444.73377 20.0359 0.08776
55444.74094 20.00813 0.08785
55444.74655 19.85613 0.09546
55444.75167 19.86987 0.09806
55444.75678 19.87012 0.07797
55444.76225 20.00338 0.08704
55444.7673 20.14964 0.08456
55444.77353 20.31035 0.09654
55444.78368 20.22277 0.09376
55444.79848 19.97765 0.07209
55444.80403 20.01001 0.08076
55444.81599 20.03853 0.07997
55444.8213 20.03244 0.07567
55444.83332 20.19949 0.08598
55444.83854 20.0651 0.07757
55444.84549 19.96927 0.09006
55444.85161 20.1884 0.09219
55444.85679 20.00671 0.07617
55444.86267 20.13812 0.10538
55444.86777 20.06249 0.10501
55444.87321 20.05735 0.07721
55444.87872 19.9869 0.07327
55444.88467 20.12613 0.10115
55444.89016 20.02207 0.09407
55444.89581 20.00485 0.0938
55444.90153 20.03088 0.08716
55444.90845 20.17706 0.08976
55444.91349 20.12973 0.07936
55444.92279 20.09268 0.07665
55444.93139 20.08048 0.08176
55444.94041 19.95417 0.07046
55444.94568 20.12702 0.07407
55444.951 20.29164 0.09097
55444.95724 19.94527 0.08418
55444.96289 20.137 0.08394
55444.96923 19.9193 0.08014
55444.97411 20.11334 0.08155
55444.98062 20.24819 0.08796
55444.98915 20.09898 0.08355
55444.99553 20.16153 0.07738
55445.00157 20.05249 0.07967
55445.00779 20.0081 0.07808
55445.01282 20.15626 0.09338
55445.01777 20.0287 0.10584
55445.02227 19.82088 0.15945
55445.66261 20.04961 0.11917
55445.66749 20.21656 0.14455
55445.67244 20.15746 0.11586
55445.67731 19.83629 0.09298
55445.6905 20.10613 0.11744
55445.69681 19.98336 0.09526
55445.70294 20.18488 0.10645
55445.70921 20.0993 0.11224
55445.71534 20.26835 0.13715
55445.72141 20.0801 0.13176
55445.72791 19.96726 0.10585
55445.73457 20.23926 0.10876
55445.74013 20.10395 0.11134
55445.7456 20.22914 0.12274
55445.75096 20.09979 0.12785
55445.75643 20.00287 0.08438
55445.76191 20.25214 0.08997
55445.76784 19.89728 0.07777
55445.7737 20.12428 0.07957
55445.779 19.84354 0.07048
55445.78479 19.79007 0.07957
55445.79025 19.94854 0.07637
55445.79613 19.9258 0.09326
55445.81095 20.21799 0.08427
55445.81845 19.91662 0.07645
55445.82455 19.92633 0.07758
55445.83024 19.98202 0.06726
55445.84021 20.00014 0.07429
55445.84549 20.04806 0.07008
55445.85174 19.88184 0.06978
55445.85762 19.91659 0.07195
55445.8636 20.07009 0.07338
55445.86963 19.9545 0.06819
55445.87567 20.11907 0.08977
55445.88207 19.97756 0.06998
55445.88844 19.85191 0.07746
55445.89432 20.00464 0.07787
55445.89983 19.82874 0.06798
55445.90668 20.07392 0.06979
55445.91299 20.06684 0.08116
55445.91722 19.86787 0.07677
55445.92351 19.95159 0.08697
55445.92915 20.02144 0.07665
55445.93496 20.15943 0.07817
55445.94048 19.92162 0.06846
55445.95216 20.02861 0.07617
55445.95886 19.99782 0.07267
55445.97191 19.99155 0.08047
55445.97872 19.96573 0.07876
55445.98437 20.12385 0.08256
55445.98972 19.84338 0.08066
55445.99581 20.00693 0.07477
55446.00245 20.08014 0.07376
55446.00827 20.26995 0.08986
55446.01324 20.23582 0.08528
55446.01787 20.0218 0.10706
55446.66046 19.93923 0.12879
55446.66501 20.04039 0.11265
55446.67089 20.00091 0.11057
55446.67601 20.12999 0.11726
55446.6814 19.95764 0.10448
55446.68915 20.06947 0.09425
55446.70044 20.05644 0.10245
55446.70781 20.00467 0.09414
55446.71375 20.14975 0.09707
55446.71998 20.15162 0.10924
55446.7269 20.04833 0.08766
55446.73768 20.12125 0.10705
55446.74263 19.88045 0.07656
55446.74841 20.17573 0.08707
55446.75986 20.13656 0.08606
55446.76487 20.20938 0.09666
55446.77004 20.00337 0.07237
55446.77518 20.02311 0.07117
55446.78018 20.08116 0.07688
55446.78654 20.16217 0.08127
55446.79243 20.01268 0.07479
55446.79818 20.23897 0.08236
55446.80822 20.06651 0.08497
55446.81336 20.16374 0.07426
55446.81934 19.99153 0.07358
55446.82569 20.03307 0.06949
55446.83186 20.04526 0.07387
55446.83803 20.10421 0.08626
55446.84316 20.12925 0.08175
55446.84946 20.04061 0.07386
55446.85529 20.12936 0.08902
55446.86132 20.15674 0.08456
55446.87321 20.10978 0.07267
55446.87945 19.96352 0.07027
55446.88583 20.17739 0.08906
55446.89176 20.13367 0.07218
55446.89901 20.06308 0.08657
55446.90569 20.05342 0.07647
55446.91293 20.02052 0.06657
55446.91958 19.98846 0.07196
55446.92538 20.18934 0.0777
55446.93113 20.05238 0.08077
55446.93686 19.96918 0.06791
55446.94237 20.11128 0.08078
55446.94842 20.11599 0.07227
55446.95451 19.93756 0.08216
55446.96034 20.03473 0.07665
55446.96641 20.08227 0.08107
55446.97287 20.02508 0.08506
55446.97827 19.89074 0.06769
55446.98464 20.14362 0.07976
55446.99026 19.963 0.07038
55446.99646 19.96905 0.07516
55447.00329 19.95153 0.07048
55447.02248 20.32375 0.12795
55448.00377 20.09674 0.07605
55448.65527 20.24966 0.15907
55448.70146 20.00154 0.11567
55449.82958 19.98244 0.07081
55449.87259 20.19977 0.07869
55450.82585 20.06691 0.08706
55450.86998 19.98976 0.08624
55451.65338 20.06149 0.12986
55451.70095 20.07473 0.08937
55452.64792 20.04886 0.11656
55452.69243 19.99281 0.11086
55453.64519 20.18342 0.16885
55453.6895 20.21829 0.13413
55454.64058 20.02313 0.14775
55454.68793 19.7674 0.09793
55455.63923 19.91564 0.15995
55455.7154 20.30259 0.12085
55456.63346 19.8476 0.16496
55456.67702 19.91861 0.13575
55457.6732 20.14946 0.10866
55460.72453 19.8893 0.12156
55466.61959 20.04813 0.16516
55466.62134 19.99727 0.11756
55466.6231 20.3462 0.13386
55466.62486 19.98373 0.11005
55466.62661 20.21516 0.13656
55466.62943 20.10119 0.13487
55466.63143 20.15323 0.13675
55466.63348 20.015 0.16294
55467.62749 20.05218 0.14119
55468.7394 20.19166 0.12744
55469.73472 20.07616 0.14848
55470.82246 20.15995 0.09428
55471.77466 20.0195 0.09886
55471.82993 19.93955 0.14312
55472.62548 19.9732 0.13195
55472.66936 19.99047 0.10524
55473.62096 20.13919 0.11824
55477.66775 20.0803 0.08766
55477.71276 20.21945 0.10624
55478.62384 20.09266 0.12144
55478.66775 20.09718 0.12874
55479.61565 19.97961 0.12325
55479.65968 20.14658 0.10815
55480.65805 20.20213 0.10174
55481.61182 20.28298 0.11783
55481.69382 20.02776 0.08026
55482.61769 20.36225 0.11785
55482.66188 20.02381 0.09164
55482.67843 20.01792 0.09016
55483.61039 20.05997 0.11294
55483.66512 20.03635 0.09175
55484.66377 20.252 0.12207
55484.70695 20.14104 0.10906
55485.61939 20.0135 0.14265
55485.66329 20.11526 0.10138
55486.61418 20.05212 0.15387
55497.84041 20.29355 0.16287
55497.89223 20.37718 0.16424
55498.71756 20.06663 0.07909
55498.79 19.99009 0.10933
55499.59404 20.26317 0.10333
55499.63881 20.09681 0.09708
55501.66259 20.02299 0.10108
55501.75706 20.06123 0.10017
55502.72145 19.91886 0.08768
55502.82148 19.90294 0.09738
55503.77762 19.86461 0.1087
55503.8732 20.06619 0.13666
55504.82418 20.2443 0.09316
55506.68972 20.27147 0.13263
55506.73387 20.18176 0.08416
55507.81368 20.33586 0.09768
55513.658 20.28258 0.10844
55513.7418 19.89135 0.08548
55514.69377 20.02899 0.10238
55514.73749 19.79907 0.11867
55515.69951 20.26985 0.11264
55516.67238 20.17754 0.14986
55517.61497 20.34792 0.12365
55517.6584 20.22182 0.13725
55518.6578 20.18474 0.14879
55527.74242 20.12717 0.14166
55530.70615 20.08726 0.11649
55530.75072 19.98796 0.13173
55531.77418 20.04728 0.13452
55532.78408 19.93665 0.08577
55532.82836 20.21822 0.10012
55535.68432 20.116 0.08862
55537.58157 19.86119 0.15067
55537.62557 20.04214 0.13925
55538.57995 20.17222 0.10915
55538.62381 20.19381 0.08436
55539.58012 19.97853 0.09316
55539.62283 19.92168 0.10323
55540.61811 19.94369 0.07793
55540.66215 20.10758 0.1066
55541.61644 20.15981 0.13836
55544.59603 20.34423 0.11309
55545.63939 20.0311 0.14219
55558.75663 20.27122 0.10775
55561.77682 19.83874 0.15826
55567.59621 20.01839 0.11735
55575.595 20.11243 0.19477
55575.6386 20.31312 0.17404
55579.61368 20.39007 0.15805
55583.61703 20.08494 0.12144
55583.66119 20.44457 0.19622
55584.63985 19.98776 0.09328
55584.68286 20.39666 0.13265
55586.61685 20.2852 0.10046
55586.66038 20.23869 0.11297
55722.89872 20.40847 0.13386
55723.91976 20.35391 0.16774
55723.9634 20.11817 0.11546
55733.86776 20.44251 0.18554
55733.91212 20.24776 0.12386
55750.87598 19.8393 0.09085
55756.88391 19.90265 0.14745
55756.93392 19.95755 0.15937
55759.89212 19.82425 0.11678
55762.79606 20.09001 0.13461
55766.7805 20.08453 0.13217
55766.83041 19.83352 0.10675
55768.77509 20.05522 0.14065
55768.82037 20.08618 0.10917
55769.84468 19.97823 0.07578
55770.78189 19.79059 0.10229
55770.82573 20.11853 0.09677
55771.78074 19.84788 0.09898
55771.82449 19.97813 0.0875
55774.75968 20.01295 0.10626
55774.80363 20.00315 0.09936
55775.7599 19.99772 0.10869
55775.80332 20.05022 0.10493
55779.7464 20.20054 0.15176
55779.79086 20.13875 0.09656
55780.74948 19.84797 0.11347
55780.79415 19.71629 0.09147
55782.7956 19.96177 0.15034
55783.80103 19.89131 0.17796
55784.74207 19.9034 0.19827
55790.77463 19.72329 0.19965
55793.79097 19.91801 0.15339
55794.75972 20.0149 0.11126
55794.81629 20.11369 0.13507
55812.70198 20.30678 0.23153
55813.70671 19.97883 0.12366
55820.63925 19.99341 0.13194
55821.63464 19.90485 0.12576
55822.67415 20.26789 0.10495
55823.62908 20.16815 0.13085
55823.67275 20.11246 0.11344
55824.62608 20.27249 0.17285
55824.6697 19.90903 0.13005
55838.61464 19.91204 0.13577
55838.65944 20.20956 0.18274
55843.61073 19.83067 0.20467
55849.60547 20.14422 0.11705
55850.60468 20.1459 0.16264
55850.64918 20.00058 0.13865
55851.60318 20.21874 0.12207
55851.64641 20.07912 0.11658
55852.60416 19.98269 0.11518
55852.6481 19.93888 0.09469
55853.60163 20.20032 0.15245
55853.6463 20.0942 0.09642
55854.64607 20.03276 0.09032
55866.5884 20.19873 0.12625
55866.64679 20.14187 0.10917
55867.58757 20.09634 0.18114
55867.63053 20.1733 0.13995
55868.5865 20.23936 0.17754
55868.63002 20.30824 0.15374
55880.92255 20.06582 0.20995
55882.87146 19.84949 0.12408
55882.91495 19.91008 0.11523
55883.86679 20.20301 0.1289
55883.91496 20.30011 0.17238
55887.63181 20.09053 0.09381
55887.68352 20.05998 0.11059
55889.80049 19.9451 0.07527
55889.84447 19.99075 0.07996
55891.57974 20.15414 0.14217
55891.6225 19.99241 0.11445
55893.62546 19.95649 0.12325
55894.58144 20.24462 0.14134
55896.58202 20.07127 0.16812
55898.82137 19.82203 0.17728
55906.58378 19.76297 0.12898
55916.59575 20.20507 0.11253
55916.64026 20.08088 0.09325
55922.6423 20.03823 0.09566
55923.59751 20.0545 0.09501
55923.64145 19.82503 0.10367
55924.60837 19.93642 0.09437
55925.59941 20.00151 0.16704
55925.67897 20.01122 0.09017
55926.58279 20.07789 0.1098
55926.62543 19.96715 0.09042
55930.58585 19.92975 0.1845
55931.58458 20.22229 0.14769
55931.62692 20.18311 0.15089
55932.62858 20.01589 0.13817
55936.60917 20.22976 0.1422
55936.65247 20.07012 0.15255
55937.58951 19.8051 0.13968
55939.64879 20.09299 0.12286
55939.6851 20.15343 0.15977
55943.69972 20.05013 0.09718
55943.74446 20.02386 0.13187
55944.64379 19.92029 0.08928
55944.67224 19.93011 0.11557
55947.59349 19.88035 0.08941
55947.63713 20.01728 0.16979
55949.64923 20.00707 0.12564
55952.60617 19.94361 0.12236
55952.64932 20.09934 0.11497
55953.59751 19.89393 0.12068
55953.64127 20.15782 0.11197
55954.64157 20.24429 0.15941
55962.61935 20.04901 0.14076
55962.69096 19.953 0.23649
56060.97134 20.13156 0.16915
56061.96903 20.05559 0.16527
56070.97101 20.15115 0.18196
56071.95528 20.18506 0.18435
56075.93073 19.94626 0.15944
56076.96161 20.03453 0.17565
56078.92335 19.98467 0.13249
56078.95394 20.08138 0.15368
56079.91957 20.04209 0.17045
56079.94994 19.8805 0.13457
56086.90079 20.15624 0.15896
56086.9317 19.9155 0.16834
56086.96186 19.89747 0.16266
56088.93216 19.87213 0.17694
56088.96298 19.71721 0.13524
56089.90743 20.00965 0.20364
56090.89626 19.88693 0.16619
56091.96189 20.12428 0.11657
56092.94551 19.65981 0.08566
56093.88544 19.78679 0.15678
56093.91605 20.09283 0.13428
56093.95942 19.78336 0.09887
56094.8793 19.95493 0.16838
56094.93794 19.9733 0.12195
56095.89413 19.76215 0.13168
56095.92394 19.74893 0.14538
56095.95378 19.86433 0.10656
56096.8846 19.95149 0.12436
56096.94475 19.98896 0.10457
56099.86796 19.8334 0.10176
56099.8979 19.89651 0.10376
56099.92867 19.64596 0.07657
56100.9014 20.01559 0.10875
56100.93113 19.76585 0.08438
56101.86099 20.10705 0.1559
56101.89166 20.04318 0.11536
56101.92164 19.98886 0.12234
56102.85884 19.75199 0.11495
56102.88948 19.9778 0.09226
56102.91975 19.91423 0.07816
56103.85688 20.17927 0.17176
56103.89198 19.89796 0.12276
56103.92203 19.96183 0.13033
56104.89266 19.90885 0.09486
56104.92258 19.94304 0.09347
56105.87772 19.79752 0.10647
56105.90846 19.63428 0.08577
56105.93782 19.70177 0.09097
56106.87859 19.82792 0.10577
56106.90907 19.97457 0.09355
56107.84497 20.16156 0.19455
56107.90655 19.96028 0.09048
56108.89669 20.05601 0.14734
56108.92686 20.07244 0.10805
56109.93363 19.80507 0.10186
56110.86774 19.923 0.157
56110.89782 19.65206 0.15987
56110.92786 19.81354 0.13466
56113.96218 19.69136 0.15075
