#mjd mag magerr
55061.92501 20.22981 0.08194
55061.95573 20.07376 0.07398
55063.91987 20.19308 0.07177
55063.9639 20.09949 0.07363
55064.92128 20.18786 0.0814
55064.9656 20.17541 0.08609
55066.91014 20.09433 0.08053
55066.95474 20.132 0.08125
55067.96099 20.1052 0.11876
55069.90324 19.97957 0.07341
55069.94786 20.0839 0.0763
55084.86328 20.18338 0.10778
55087.85609 20.03558 0.07688
55087.90101 20.0855 0.07661
55088.96983 19.88026 0.09857
55089.01521 20.17314 0.08659
55089.94574 19.84996 0.08082
55089.99042 20.10142 0.08051
55093.83741 20.03219 0.06662
55093.88196 20.04086 0.07471
55096.8292 20.03536 0.08168
55097.00858 20.05255 0.09505
55104.99862 19.97883 0.12224
55107.79764 20.39334 0.27084
55114.88125 20.35759 0.12134
55119.89538 20.11592 0.09354
55119.95365 20.33959 0.11548
55123.75696 20.07968 0.09857
55123.81523 19.99475 0.08268
55126.97957 20.45639 0.13276
55127.83329 20.06481 0.08505
55127.87706 20.10668 0.09357
55142.7036 19.95595 0.10604
55142.75219 20.10291 0.12255
55144.77886 20.18583 0.11367
55144.82305 20.24428 0.10416
55151.72943 20.24358 0.13056
55151.77257 20.23846 0.10436
55166.70473 20.44163 0.17085
55168.6775 20.50805 0.18537
55175.61224 20.01229 0.0734
55175.65684 20.06466 0.07342
55181.59421 20.37885 0.12774
55181.63825 19.81097 0.11262
55183.64253 19.98428 0.08582
55189.58054 20.40211 0.13238
55189.62557 19.85376 0.10476
55199.58559 20.16464 0.11157
55202.58667 19.90388 0.11648
55203.71441 20.03366 0.14434
55203.75743 20.13859 0.1054
55207.63092 20.09191 0.09414
55207.67514 20.0236 0.10269
55209.5968 20.3722 0.08902
55209.64149 19.96603 0.07541
55213.63312 20.21537 0.12005
55213.6798 20.1616 0.11574
55379.8591 20.13223 0.13345
55379.92482 20.23385 0.11116
55380.92078 20.16437 0.14435
55381.89606 20.11895 0.10886
55381.93934 20.26743 0.10707
55384.82671 19.95658 0.09536
55384.87028 19.99358 0.08438
55385.87021 20.01816 0.08287
55385.91339 19.95917 0.07388
55386.86524 20.14611 0.08835
55386.90867 20.03024 0.08187
55387.87002 20.01393 0.07547
55387.91342 19.99945 0.07325
55388.86609 20.19314 0.11665
55388.91005 20.09895 0.08118
55390.85393 20.31468 0.11277
55391.80613 20.35022 0.13176
55391.87538 20.17032 0.09418
55392.83258 20.22482 0.10496
55392.87538 20.04692 0.07336
55394.79908 19.89563 0.12857
55394.8431 19.86036 0.08739
55395.79551 20.32586 0.15285
55395.84215 20.04765 0.08509
55396.79527 20.00902 0.13947
55396.83932 19.93583 0.08028
55397.79163 20.25099 0.14197
55397.83526 19.87244 0.08477
55398.83124 20.26296 0.11585
55399.83261 20.25738 0.15067
55400.78534 20.2801 0.18656
55400.8289 19.91995 0.14314
55401.78133 20.27172 0.17527
55401.82518 20.16667 0.16594
55403.81973 20.15671 0.19675
55404.84266 19.77403 0.13777
55405.8416 20.36827 0.15696
55411.79896 19.86285 0.10459
55412.75232 20.41956 0.18378
55414.75161 20.05331 0.18924
55414.79555 20.13637 0.11848
55415.79727 20.04159 0.17417
55416.79342 20.113 0.16518
55417.75979 19.67078 0.16013
55417.84511 20.03044 0.13115
55418.79843 20.30367 0.20454
55418.84121 20.11659 0.15672
55419.79504 20.0031 0.15027
55421.73664 19.9268 0.1071
55421.79901 19.97637 0.07768
55422.75115 20.16524 0.10076
55422.79487 20.03757 0.08825
55423.74742 20.05034 0.08896
55423.79284 19.98448 0.0752
55424.75349 20.05126 0.11253
55424.80178 19.95716 0.07617
55425.76166 19.9008 0.10348
55425.80573 19.88513 0.0727
55426.80123 20.00134 0.13004
55426.8444 19.90581 0.07097
55427.79708 20.02565 0.09376
55427.8408 20.03544 0.08218
55428.79281 19.99715 0.09705
55428.83703 20.20237 0.09446
55429.8142 19.90639 0.09335
55429.85716 20.08684 0.09549
55430.75769 20.05962 0.18434
55430.80485 19.81894 0.09887
55431.75639 19.78433 0.11239
55431.80024 20.07902 0.12854
55433.7493 20.0171 0.18616
55436.88891 20.26976 0.14456
55436.8919 19.80987 0.11217
55436.89501 20.18876 0.19553
55436.9042 20.33336 0.15915
55436.90728 20.13379 0.14695
55436.91041 20.04954 0.13207
55436.91351 20.17966 0.17444
55436.91641 19.73624 0.14426
55436.91931 19.86205 0.12636
55436.92221 20.09432 0.13825
55436.92514 19.84922 0.15473
55436.92806 20.16004 0.13946
55436.93413 19.91035 0.16004
55436.93703 20.09769 0.13225
55436.93974 20.15167 0.13255
55436.94297 20.02232 0.16905
55436.94613 20.05187 0.11986
55436.94915 20.31548 0.15105
55436.95231 20.09832 0.12956
55436.95826 19.99274 0.12196
55436.96116 20.02018 0.13635
55436.96671 19.97133 0.13748
55438.88857 20.06279 0.12686
55438.89169 20.23163 0.15155
55438.89485 19.93538 0.13116
55438.89798 19.67586 0.14164
55438.90086 19.97822 0.10595
55438.90371 20.11072 0.11536
55438.90927 20.33119 0.11838
55438.91204 20.00748 0.12356
55438.91763 19.89409 0.10406
55438.92084 20.31281 0.14675
55438.92394 20.2619 0.14155
55438.93259 20.18229 0.13626
55438.93551 19.92543 0.14436
55438.94106 20.15532 0.13644
55438.94678 20.35562 0.15175
55438.95017 19.64785 0.13995
55438.95913 19.82748 0.13076
55438.96141 20.25987 0.14064
55440.87507 20.09507 0.09306
55440.87823 19.77529 0.07157
55440.88428 19.85446 0.07598
55440.88675 20.02835 0.08515
55440.8894 20.029 0.08276
55440.89205 19.94214 0.08665
55440.89518 20.00352 0.07797
55440.89832 20.14985 0.09115
55440.90145 20.01722 0.08394
55440.90439 20.08395 0.08615
55440.90729 19.80548 0.07168
55440.91025 20.12671 0.08558
55440.91316 19.8739 0.08466
55440.91591 20.0355 0.08477
55440.9187 19.89798 0.08215
55440.92149 20.08451 0.08544
55440.92426 19.89893 0.09995
55440.93095 20.09269 0.08895
55440.93364 20.14056 0.09585
55440.93623 19.90314 0.08485
55440.9395 20.31869 0.12014
55440.94264 19.98904 0.08196
55440.94582 20.14614 0.10456
55440.94883 19.96317 0.08955
55440.95182 20.02286 0.09555
55440.95489 19.93463 0.08356
55440.95791 19.94065 0.08736
55441.87301 19.85441 0.07488
55441.87592 19.93659 0.0717
55441.88645 20.00227 0.07779
55441.88962 19.92326 0.07209
55441.89254 19.90409 0.073
55441.89542 19.72404 0.0699
55441.89828 19.71102 0.0678
55441.90107 19.9288 0.08227
55441.9037 19.90352 0.08388
55441.90634 19.96955 0.07445
55441.90906 19.95959 0.06989
55441.9118 19.89719 0.06999
55441.91445 20.06063 0.07097
55441.91722 19.88171 0.07307
55441.91981 19.9123 0.07977
55441.92242 19.88137 0.07618
55441.92546 19.92971 0.06759
55441.9281 19.92671 0.0679
55441.93183 20.06211 0.08087
55441.93458 19.91708 0.07129
55441.93727 19.92276 0.06939
55441.94048 19.76818 0.06402
55441.94326 20.01711 0.0721
55441.94546 19.79301 0.0684
55441.94852 19.87766 0.06659
55441.95194 20.01317 0.0748
55441.95469 19.9226 0.0713
55441.95786 19.98523 0.07117
55441.96081 19.93121 0.07438
55441.96392 19.8014 0.0679
55441.96715 19.9521 0.06922
55441.97012 19.87183 0.06659
55441.97294 19.99854 0.07187
55441.97532 19.86538 0.06669
55441.97757 20.02727 0.07957
55441.9798 19.88365 0.0723
55441.9835 19.83829 0.06857
55441.9863 19.85579 0.07461
55441.98852 19.81361 0.0712
55441.99078 19.87352 0.07727
55441.99382 19.96638 0.078
55442.00593 19.87936 0.08828
55442.00906 20.08472 0.09186
55442.01216 20.14014 0.10068
55442.01486 20.16693 0.10177
55442.01753 20.00958 0.11209
55442.02001 19.78233 0.14427
55442.02226 20.20883 0.18197
55442.70382 19.97223 0.07898
55442.70734 20.10342 0.09717
55442.71097 20.07721 0.08447
55442.71448 19.91638 0.08006
55442.71808 20.19071 0.09135
55442.72168 20.11445 0.07416
55442.72527 19.91698 0.07528
55442.73272 19.93973 0.08866
55442.74184 19.98247 0.07129
55442.74882 19.93616 0.07269
55442.75572 19.86767 0.07166
55442.76147 20.04371 0.07338
55442.76615 19.89799 0.07239
55442.77616 19.98518 0.07147
55442.78135 19.92152 0.07006
55442.78615 19.89006 0.06815
55442.79145 19.95325 0.0653
55442.79615 19.96287 0.06958
55442.80186 19.85663 0.06647
55442.8093 19.87159 0.0625
55442.81443 19.97145 0.06648
55442.81939 19.9123 0.06657
55442.82447 20.06829 0.07197
55442.8293 19.77452 0.06358
55442.83541 19.91378 0.06677
55442.84012 19.99464 0.07017
55442.84597 19.99483 0.06369
55442.85112 19.93138 0.07357
55442.85657 20.05134 0.07507
55442.86387 19.84842 0.07258
55442.87002 20.0289 0.07307
55442.87503 20.04335 0.06941
55442.88048 19.85805 0.06607
55442.88617 19.93726 0.06408
55442.89221 20.0754 0.07199
55442.89785 19.91438 0.07169
55442.90297 20.05248 0.07105
55442.90871 19.79264 0.06769
55442.91368 19.89373 0.07507
55442.91875 19.95033 0.07007
55442.92384 19.98685 0.06448
55442.93037 19.88841 0.07079
55442.93642 19.93883 0.07348
55442.94588 19.83037 0.07788
55442.95166 19.89266 0.06713
55442.95754 20.08082 0.08117
55442.96246 19.92876 0.06978
55442.96833 19.93341 0.08107
55442.97317 19.84211 0.06987
55442.97782 19.93636 0.07227
55442.98206 19.90276 0.0624
55442.9872 19.93509 0.07067
55442.99348 20.06404 0.08985
55442.99858 20.11904 0.07949
55443.00329 19.78249 0.06799
55443.01002 19.89054 0.0725
55443.01702 19.82263 0.0804
55443.02387 20.02677 0.1509
55443.67742 20.15449 0.11467
55443.68488 20.06156 0.10118
55443.69287 19.96975 0.12027
55443.70415 20.26199 0.10337
55443.71028 19.8351 0.09367
55443.71632 20.04669 0.09015
55443.72231 19.95609 0.08576
55443.72832 20.04648 0.08967
55443.736 19.78444 0.09155
55443.74306 19.99039 0.07636
55443.74812 19.94031 0.08336
55443.75372 19.7597 0.07197
55443.75946 19.94425 0.07545
55443.76526 19.88458 0.08017
55443.77007 20.17409 0.09815
55443.78027 19.92761 0.07468
55443.78539 19.98591 0.07706
55443.79156 20.11984 0.08086
55443.79717 19.84506 0.06988
55443.80302 19.91978 0.06659
55443.80895 20.12499 0.08885
55443.81493 20.07892 0.07857
55443.8204 19.91905 0.07341
55443.82634 19.974 0.07016
55443.83239 19.88267 0.07296
55443.83783 19.89516 0.07048
55443.84415 19.90755 0.07347
55443.84958 19.96533 0.07596
55443.85553 20.07346 0.07697
55443.86252 20.03082 0.07876
55443.87576 19.76317 0.06366
55443.88141 19.86382 0.0689
55443.88892 19.96692 0.07097
55443.89412 20.10612 0.09989
55443.90077 20.16735 0.07995
55443.90658 19.88476 0.06799
55443.91235 20.10839 0.08055
55443.91779 19.84046 0.07655
55443.92403 20.10248 0.08946
55443.92967 20.32726 0.10505
55443.93496 19.98175 0.08146
55443.94073 20.17466 0.08765
55443.94779 19.9331 0.07676
55443.95355 19.87031 0.07886
55443.95925 19.92086 0.07346
55443.9693 19.99244 0.08285
55443.97555 19.97108 0.07666
55443.98144 19.85459 0.07156
55443.98725 19.99651 0.09856
55443.99456 19.76436 0.07437
55444.00093 19.96223 0.07646
55444.0061 19.98085 0.07657
55444.01187 19.95218 0.08606
55444.0175 19.83608 0.09217
55444.02231 19.91772 0.13706
55444.66648 20.08638 0.14108
55444.67221 20.07235 0.13889
55444.67727 19.86102 0.11979
55444.68199 20.06417 0.14029
55444.68857 20.0133 0.10426
55444.69526 20.15706 0.10979
55444.70198 20.07986 0.10588
55444.7091 20.25751 0.13836
