#mjd mag magerr
55061.92501 21.01083 0.10643
55061.95573 20.70475 0.09328
55063.91987 20.90854 0.10632
55063.9639 20.84151 0.10973
55064.92128 20.81646 0.10693
55064.9656 20.75496 0.12112
55066.91014 21.02586 0.12476
55066.95474 20.9765 0.11736
55069.90324 20.67332 0.101
55069.94786 20.85503 0.10846
55087.85609 21.05324 0.11059
55087.90101 21.06419 0.13119
55088.96983 20.76391 0.11697
55089.01521 20.7447 0.10589
55089.94574 20.99476 0.1319
55089.99042 20.90282 0.13832
55093.83741 20.81449 0.10817
55093.88196 20.96276 0.11467
55096.8292 20.76772 0.10652
55097.00858 20.56717 0.11144
55114.88125 20.98399 0.12252
55119.89538 21.06313 0.14109
55119.95365 20.8915 0.14918
55123.75696 20.79625 0.10341
55123.81523 20.71486 0.11448
55127.83329 20.5552 0.11501
55135.82555 20.60652 0.20929
55142.7036 20.79744 0.12047
55142.75219 20.86507 0.14474
55144.77886 20.8032 0.1306
55144.82305 20.83772 0.13578
55151.72943 20.97362 0.19134
55175.61224 20.74028 0.13229
55175.65684 20.49981 0.08951
55181.63825 20.99614 0.15139
55183.59204 20.39997 0.2382
55183.64253 20.78458 0.13089
55199.58559 20.7863 0.12928
55386.86524 20.92866 0.12418
55391.87538 21.16127 0.16097
55396.83932 21.13465 0.15078
55422.75115 21.35482 0.16897
55426.80123 20.98075 0.17017
55426.8444 20.64637 0.13147
55429.85716 21.1394 0.17072
55438.90371 21.05655 0.16908
55438.90927 20.83935 0.16048
55441.87301 21.04651 0.14325
55441.87592 20.96743 0.12616
55441.88645 21.06239 0.18004
55441.88962 21.1428 0.16228
55441.89254 21.36757 0.13607
55441.89542 21.09717 0.14157
55441.89828 20.90921 0.12476
55441.90107 20.94394 0.17125
55441.9037 21.04274 0.14645
55441.90634 20.95019 0.12206
55441.90906 20.88049 0.11448
55441.9118 21.00693 0.15816
55441.91445 20.96044 0.16034
55441.91722 21.12766 0.12798
55441.91981 21.18007 0.12347
55441.92242 21.06655 0.18714
55441.92546 21.33005 0.13056
55441.9281 20.85563 0.11896
55441.93183 20.93822 0.12105
55441.93458 20.91072 0.17055
55441.94048 20.72266 0.16744
55441.94546 20.95785 0.16106
55441.94852 21.37533 0.16905
55441.95194 21.29021 0.16544
55441.95469 20.99138 0.12749
55441.95786 20.92719 0.12589
55441.96081 21.15362 0.14625
55441.96392 21.05761 0.14046
55441.96715 21.27149 0.15376
55441.97012 21.12628 0.11887
55441.97294 21.24869 0.13278
55441.97532 21.13057 0.12978
55441.9798 20.80642 0.11478
55441.9835 20.85818 0.12706
55441.9863 21.30038 0.16526
55441.98852 21.0304 0.13697
55442.00593 21.0095 0.18615
55442.00906 20.97966 0.14136
55442.01216 21.07907 0.14305
55444.71487 20.8132 0.17004
55444.73377 20.912 0.15035
55444.74094 21.02206 0.14184
55444.75167 21.09233 0.14696
55444.75678 20.69578 0.13215
55444.76225 21.10529 0.17714
55444.7673 21.01485 0.13627
55444.77353 20.93363 0.13245
55444.77876 21.08247 0.13627
55444.79848 21.0901 0.15305
55444.80403 20.87224 0.13966
55444.81599 21.0843 0.13435
55444.8213 21.38597 0.15665
