#mjd mag magerr
55061.92501 20.12134 0.066
55061.95573 20.13777 0.06165
55063.91987 20.23713 0.06231
55063.9639 20.14061 0.05578
55064.92128 20.16626 0.07343
55064.9656 20.14521 0.07216
55066.91014 20.28797 0.06985
55066.95474 20.14235 0.06059
55067.96099 20.19027 0.10709
55069.90324 20.18608 0.08229
55069.94786 20.22455 0.07324
55084.86328 20.43777 0.1279
55087.85609 20.2631 0.07901
55087.90101 20.23653 0.07405
55088.96983 20.08216 0.06608
55089.01521 20.38232 0.0813
55089.94574 20.35135 0.07717
55089.99042 20.26701 0.07346
55093.83741 20.10593 0.06716
55093.88196 20.16951 0.0668
55096.8292 20.05806 0.06448
55097.00858 20.07478 0.10741
55104.99862 20.18434 0.10026
55107.79764 19.92166 0.12997
55114.88125 20.22797 0.08468
55119.89538 20.24119 0.10636
55119.95365 20.24706 0.10031
55123.75696 20.14579 0.07774
55123.81523 20.24314 0.08286
55126.97957 20.48165 0.12099
55127.83329 20.33778 0.09779
55127.87706 20.11477 0.08733
55142.7036 20.13627 0.08367
55142.75219 20.21263 0.11985
55144.77886 20.05955 0.08003
55144.82305 20.15624 0.09545
55151.72943 20.06082 0.08493
55151.77257 20.29131 0.0846
55166.70473 20.40196 0.15308
55168.6775 20.37076 0.15651
55175.61224 20.07036 0.07253
55175.65684 20.24435 0.07303
55181.59421 20.16733 0.1141
55181.63825 20.06198 0.10131
55183.64253 20.10952 0.08684
55189.58054 20.46934 0.1262
55189.62557 20.11455 0.09052
55199.58559 20.00792 0.07621
55202.58667 19.97935 0.0915
55203.71441 19.92097 0.08524
55203.75743 20.04993 0.09529
55207.63092 20.00231 0.07703
55207.67514 20.1619 0.06802
55209.5968 19.97639 0.06066
55209.64149 20.01517 0.06676
55213.63312 20.07671 0.09558
55213.6798 20.01463 0.11715
55377.89535 20.21252 0.13449
55379.92482 20.39607 0.10278
55381.89606 20.22037 0.10029
55381.93934 20.07168 0.09419
55384.82671 20.21295 0.08516
55384.87028 20.14498 0.08217
55385.87021 20.05844 0.072
55385.91339 19.98375 0.07995
55386.86524 20.2699 0.08878
55386.90867 20.03142 0.07705
55387.87002 20.12823 0.0829
55387.91342 19.96982 0.0716
55388.91005 20.08067 0.0736
55390.85393 20.17244 0.11757
55391.87538 20.35718 0.09844
55392.83258 20.26874 0.10115
55392.87538 20.17407 0.09363
55394.79908 20.10573 0.12829
55394.8431 20.12156 0.084
55395.79551 20.29789 0.11447
55395.84215 20.21612 0.09912
55396.79527 20.21475 0.12297
55396.83932 20.20761 0.08311
55397.79163 19.94737 0.13029
55397.83526 20.32567 0.10709
55398.83124 20.34774 0.11232
55399.78802 20.0098 0.1722
55399.83261 20.41157 0.13368
55400.8289 20.41574 0.13752
55405.8416 20.14203 0.13971
55411.79896 20.35358 0.13181
55413.79945 19.88121 0.12656
55414.75161 19.92447 0.1561
55414.79555 20.21148 0.13138
55418.79843 19.92207 0.13725
55421.73664 20.12464 0.08612
55421.79901 20.2063 0.0743
55422.75115 20.28776 0.12755
55422.79487 20.1796 0.07611
55423.74742 20.26965 0.09971
55423.79284 20.12426 0.09112
55424.75349 20.03195 0.11099
55424.80178 20.224 0.08766
55425.76166 20.09412 0.11181
55425.80573 20.19153 0.065
55426.80123 20.22482 0.10871
55426.8444 20.2716 0.07548
55427.79708 20.22689 0.10966
55427.8408 20.27065 0.0964
55428.79281 20.23434 0.10419
55428.83703 20.33282 0.11941
55429.8142 20.2085 0.10955
55429.85716 20.12197 0.09913
55430.75769 19.8373 0.15835
55430.80485 20.4245 0.12521
55432.73907 20.26853 0.19479
55434.73769 20.52083 0.20554
55436.88575 19.9527 0.1423
55436.88891 20.22753 0.10657
55436.8919 20.01424 0.12087
55436.89797 20.20987 0.11849
55436.9042 20.5605 0.14037
55436.91041 20.28999 0.13877
55436.91641 20.15942 0.18996
55436.94915 20.33119 0.12958
55436.9553 20.0885 0.18545
55436.96671 20.16937 0.16115
55438.89169 20.37405 0.14216
55438.89485 20.13878 0.14527
55438.89798 20.22766 0.14436
55438.90086 20.2236 0.15087
55438.90371 20.39139 0.11566
55438.91204 20.37529 0.13896
55438.91763 20.22136 0.13127
55438.92672 20.31213 0.13056
55438.92954 20.20429 0.13716
55438.93259 20.28404 0.14259
55438.93833 19.92448 0.14548
55438.94106 20.13538 0.15486
55438.94411 20.47591 0.15638
55438.95017 20.40469 0.13556
55438.95913 20.05248 0.15905
55438.96141 20.13685 0.17455
55440.87507 20.15466 0.08798
55440.87823 20.1114 0.08515
55440.88428 20.21957 0.07535
55440.88675 20.22574 0.09657
55440.8894 20.24052 0.08726
55440.89205 20.24165 0.08464
55440.89518 20.31385 0.09318
55440.89832 20.17942 0.08704
55440.90145 20.15884 0.08074
55440.90439 20.29292 0.09048
55440.90729 20.16013 0.09174
55440.91025 20.30846 0.08576
55440.91316 20.18616 0.08705
55440.91591 20.23797 0.09125
55440.9187 20.2228 0.08743
55440.92149 20.38186 0.09433
55440.92426 20.11917 0.07965
55440.93095 20.3881 0.09504
55440.93364 20.38415 0.08448
55440.93623 20.10749 0.08556
55440.9395 20.2776 0.12049
55440.94264 20.01829 0.10465
55440.94582 20.24835 0.08343
55440.94883 20.12888 0.07914
55440.95182 20.18225 0.11341
55440.95489 20.35219 0.09849
55440.95791 20.16502 0.08854
55441.87301 20.10931 0.0748
55441.87592 20.08122 0.07713
55441.88645 20.03054 0.06444
55441.88962 20.2606 0.08116
55441.89254 20.32742 0.09987
55441.89542 20.19589 0.0788
55441.89828 20.12366 0.0833
55441.90107 20.22165 0.07845
55441.9037 20.1378 0.07424
55441.90634 20.25797 0.08004
55441.90906 20.34908 0.08414
55441.9118 20.19487 0.07514
55441.91445 20.22927 0.07961
55441.91722 20.31216 0.08623
55441.91981 20.17331 0.09257
55441.92242 20.19823 0.07383
55441.92546 20.38476 0.0783
55441.9281 20.11173 0.07613
55441.93183 20.14811 0.082
55441.93458 20.17455 0.07242
55441.93727 20.13631 0.08848
55441.94048 20.2722 0.08302
55441.94326 20.20816 0.07606
55441.94546 20.14689 0.07814
55441.94852 20.16411 0.07531
55441.95194 20.23374 0.07312
55441.95469 20.24984 0.0789
55441.95786 20.28389 0.08341
55441.96081 20.34253 0.0907
55441.96392 20.11395 0.07583
55441.96715 20.27229 0.0781
55441.97012 20.19294 0.07973
55441.97294 20.36046 0.08264
55441.97532 20.27307 0.08234
55441.97757 20.22442 0.09179
55441.9798 20.20662 0.07834
55441.9835 20.29845 0.08069
55441.9863 20.14149 0.08968
55441.98852 20.29098 0.0819
55441.99078 20.05092 0.0668
55441.99382 20.17351 0.08669
55442.00593 19.9867 0.08031
55442.00906 20.30949 0.11018
55442.01216 20.22463 0.10498
55442.01486 20.14894 0.0987
55442.02001 20.25646 0.13518
55442.70382 20.17219 0.10201
55442.70734 20.2534 0.10187
55442.71097 20.22005 0.09186
55442.71448 19.87887 0.09803
55442.71808 20.23729 0.09138
55442.72168 20.11744 0.08631
55442.72527 20.30971 0.11416
55442.73272 20.17337 0.08449
55442.74184 20.09605 0.08251
55442.74882 20.25608 0.0758
55442.75572 20.19877 0.08266
55442.76147 20.16853 0.07949
55442.76615 20.13096 0.07771
55442.77616 20.25522 0.08631
55442.78135 20.18215 0.07993
55442.78615 20.22894 0.08145
55442.79145 20.36003 0.07742
55442.79615 20.21731 0.08832
55442.80186 20.25059 0.07849
55442.8093 20.19156 0.07117
55442.81443 20.10565 0.07297
55442.81939 20.03761 0.07659
55442.82447 20.14361 0.0781
55442.8293 20.04275 0.07505
55442.83541 20.11767 0.07788
55442.84012 20.18339 0.08169
55442.84597 20.29446 0.08337
55442.85112 20.23917 0.10241
55442.85657 20.20117 0.07844
55442.86387 20.22551 0.08196
