#mjd mag magerr
55061.92501 19.57183 0.04689
55061.95573 19.48975 0.04437
55063.91987 19.59454 0.04723
55063.9639 19.54151 0.04615
55064.92128 19.55145 0.05299
55064.9656 19.68296 0.05805
55066.91014 19.61186 0.05507
55066.95474 19.6315 0.05244
55067.91649 19.66877 0.07933
55067.96099 19.74573 0.07544
55069.90324 19.52432 0.04344
55069.94786 19.61903 0.04805
55084.86328 19.49639 0.06224
55087.85609 19.62424 0.05318
55087.90101 19.68619 0.04915
55088.96983 19.61491 0.04619
55089.01521 19.6877 0.05158
55089.94574 19.74676 0.05117
55089.99042 19.59182 0.05092
55093.83741 19.62649 0.04588
55093.88196 19.60276 0.0425
55096.8292 19.54372 0.04766
55097.00858 19.74718 0.06488
55104.99862 19.81799 0.0715
55107.79764 19.67592 0.13021
55114.88125 19.72299 0.06735
55114.92522 19.78804 0.13239
55119.89538 19.74413 0.06091
55119.95365 19.5265 0.05881
55123.75696 19.66625 0.05849
55123.81523 19.59486 0.05347
55126.97957 19.76682 0.07557
55127.83329 19.6392 0.06121
55127.87706 19.82261 0.06705
55135.82555 19.84152 0.12086
55135.86926 19.61944 0.10968
55138.71472 19.7205 0.15421
55138.75871 19.68035 0.11865
55142.7036 19.66244 0.05844
55142.75219 19.59307 0.07029
55144.77886 19.63219 0.05783
55144.82305 19.58071 0.06237
55151.72943 19.74162 0.06621
55151.77257 19.60082 0.05755
55166.70473 19.53781 0.10093
55166.74897 19.55784 0.11326
55168.63378 19.54924 0.08308
55168.6775 19.78818 0.11603
55175.61224 19.51628 0.05129
55175.65684 19.58381 0.05106
55181.59421 19.79503 0.08592
55181.63825 19.65914 0.06627
55183.59204 19.54797 0.09024
55183.64253 19.59258 0.05963
55189.58054 19.77789 0.0916
55189.62557 19.64321 0.07371
55194.59026 19.8095 0.11546
55199.58559 19.6593 0.06217
55380.87684 19.51075 0.09035
55380.92078 19.90207 0.10011
55381.89606 19.52233 0.06527
55381.93934 19.42434 0.05614
55386.86524 19.64165 0.06295
55386.90867 19.74699 0.06749
55391.80613 19.48927 0.10267
55391.87538 19.56427 0.07005
55396.79527 19.48734 0.10626
55396.83932 19.51264 0.05778
55401.78133 19.59631 0.19735
55401.82518 19.91181 0.13248
55407.7691 19.35809 0.17047
55407.83003 19.61449 0.10487
55413.75577 19.80736 0.11817
55413.79945 19.62881 0.09381
55416.75096 19.83148 0.11917
55416.79342 19.84919 0.11521
55419.75121 19.71112 0.15798
55419.79504 19.5861 0.11149
55422.75115 19.62483 0.07106
55422.79487 19.64189 0.061
55426.80123 19.52074 0.0736
55426.8444 19.39737 0.05718
55429.8142 19.42279 0.07324
55429.85716 19.5844 0.0598
55432.73907 19.91266 0.13442
55432.78359 19.71101 0.11969
55438.88857 19.73967 0.09053
55438.89169 19.60141 0.09792
55438.89485 19.68422 0.08982
55438.89798 19.61761 0.08295
55438.90086 19.81309 0.09301
55438.90371 19.67755 0.08736
55438.9065 19.75068 0.08074
55438.90927 19.69335 0.09353
55438.91204 19.63212 0.08211
55438.91487 19.72859 0.08435
55438.91763 19.60987 0.08256
55438.92084 19.67322 0.12055
55438.92394 19.56377 0.1129
55438.92672 19.48207 0.10412
55438.92954 19.51619 0.08722
55438.93259 19.40959 0.10392
55438.93551 19.57856 0.09493
55438.93833 19.6704 0.13108
55438.94106 19.71856 0.09753
55438.94411 19.2451 0.11543
55438.94678 19.53441 0.08806
55438.95017 19.21624 0.10824
55438.95913 19.66917 0.08943
55438.96141 19.73549 0.09688
55441.87301 19.67052 0.05023
55441.87592 19.52743 0.04787
55441.88645 19.48038 0.04704
55441.88962 19.5948 0.05094
55441.89254 19.43657 0.0462
55441.89542 19.53216 0.0469
55441.89828 19.46321 0.04617
55441.90107 19.62294 0.05076
55441.9037 19.49774 0.04735
55441.90634 19.56519 0.05344
55441.90906 19.50849 0.04619
55441.9118 19.59193 0.0497
55441.91445 19.59744 0.05092
55441.91722 19.54666 0.0505
55441.91981 19.61507 0.05436
55441.92242 19.62155 0.05204
55441.92546 19.52505 0.04578
55441.9281 19.56964 0.05175
55441.93183 19.59623 0.05142
55441.93458 19.44272 0.04888
55441.93727 19.61709 0.05373
55441.94048 19.51366 0.04765
55441.94326 19.56928 0.04762
55441.94546 19.54985 0.05038
55441.94852 19.57233 0.04766
55441.95194 19.51822 0.04675
55441.95469 19.48338 0.04883
55441.95786 19.47919 0.04546
55441.96081 19.65862 0.05125
55441.96392 19.58761 0.05067
55441.96715 19.54249 0.0453
55441.97012 19.58928 0.05215
55441.97294 19.51069 0.04552
55441.97532 19.55457 0.04782
55441.97757 19.48647 0.04644
55441.9798 19.58942 0.04928
55441.9835 19.48618 0.04896
55441.9863 19.62239 0.05199
55441.98852 19.5214 0.04631
55441.99078 19.51836 0.04778
55441.99382 19.62002 0.05509
55442.00593 19.5545 0.05695
55442.00906 19.68766 0.05754
55442.01216 19.51107 0.05564
55442.01486 19.66366 0.07093
55442.01753 19.78485 0.08223
55442.02001 19.79475 0.09497
55442.02226 19.61407 0.10176
55444.66648 19.49668 0.07768
55444.67221 19.72324 0.09168
55444.67727 19.66452 0.08634
55444.68857 19.60009 0.06602
55444.69526 19.60527 0.07299
55444.70198 19.59996 0.07214
55444.7091 19.73438 0.07442
55444.71487 19.6112 0.06302
55444.72103 19.45881 0.06551
55444.72796 19.64671 0.0626
55444.73377 19.535 0.05373
55444.74094 19.56306 0.05532
55444.74655 19.59365 0.05912
55444.75167 19.60333 0.05725
55444.75678 19.54978 0.05342
55444.76225 19.63129 0.05414
55444.7673 19.56785 0.05108
55444.77353 19.66963 0.05533
55444.77876 19.58047 0.0499
55444.78368 19.56761 0.05275
55444.79848 19.5231 0.04727
55444.80403 19.58524 0.04667
55444.81599 19.7023 0.05354
55444.8213 19.66097 0.05194
55444.83332 19.51938 0.04619
55444.83854 19.6146 0.0517
55444.84549 19.5334 0.04585
55444.85161 19.51395 0.04537
55444.85679 19.58976 0.04664
55444.86267 19.66095 0.05683
55444.86777 19.63453 0.06008
55444.87321 19.59869 0.04846
55444.87872 19.49333 0.05133
55444.88467 19.54652 0.04976
55444.89016 19.68789 0.05473
55444.89581 19.6988 0.06038
55444.90153 19.54951 0.04543
55444.90845 19.66214 0.05154
55444.91349 19.62132 0.05116
55444.92279 19.56155 0.04828
55444.93139 19.60075 0.04899
55444.94041 19.54324 0.04808
55444.94568 19.6573 0.05253
55444.951 19.72091 0.05901
55444.95724 19.71519 0.05174
55444.96289 19.58572 0.04968
55444.96923 19.54584 0.04877
55444.97411 19.5618 0.05041
55444.98062 19.6385 0.05244
55444.98915 19.65627 0.05442
55444.99553 19.61106 0.05361
55445.00157 19.5527 0.05035
55445.00779 19.64342 0.05471
55445.01282 19.78064 0.06232
55445.01777 19.78529 0.07511
55445.02227 19.68564 0.09334
55448.65527 19.93738 0.09882
55448.70146 19.797 0.08294
55451.65338 19.43471 0.06894
55451.70095 19.5091 0.05756
55454.64058 19.68445 0.09322
55454.68793 19.84959 0.09254
55457.63067 19.48798 0.09285
55457.6732 19.79048 0.08692
55460.63624 19.72046 0.11832
55460.72453 19.69206 0.08311
55463.71104 19.56007 0.14573
55466.61784 19.69721 0.09319
55466.61959 19.64959 0.09413
55466.62134 19.67499 0.08332
55466.6231 19.84608 0.08651
55466.62486 19.67856 0.07771
55466.62661 19.58069 0.0737
55466.62943 19.70006 0.07842
55466.63143 19.65117 0.0922
55466.63348 19.65874 0.08322
55466.67604 19.6594 0.11421
55471.77466 19.59357 0.04945
55471.82993 19.76179 0.07673
55477.66775 19.53823 0.05593
55477.71276 19.51445 0.05126
55480.61506 19.65097 0.07573
55480.65805 19.62528 0.06342
55484.66377 19.54171 0.06185
55484.70695 19.59192 0.05728
55485.61939 19.4711 0.07231
55485.66329 19.47009 0.06855
55497.84041 19.86685 0.10545
55497.89223 19.50595 0.08402
55514.69377 19.56572 0.07142
55514.73749 19.64528 0.07205
55516.67238 19.78842 0.09229
55516.71654 19.71351 0.09299
55517.61497 19.60201 0.07422
55517.6584 19.59065 0.07743
55518.61481 19.67699 0.09499
55518.6578 19.50073 0.09516
55527.74242 19.71725 0.07724
55532.78408 19.5378 0.05475
55532.82836 19.48302 0.06488
55537.58157 19.70416 0.10339
55537.62557 19.57609 0.06415
55538.57995 19.57239 0.05852
55538.62381 19.48943 0.04793
56469.87982 20.02057 0.12692
56469.91685 19.52581 0.0852
56471.87375 19.68137 0.10904
56471.91001 19.4577 0.0765
56473.90477 19.44719 0.11083
56475.86334 19.80201 0.10047
56475.9008 19.65619 0.09883
56476.86102 20.02718 0.12283
56476.89765 19.95314 0.13101
56477.85777 19.65357 0.13862
56485.83631 19.72293 0.08302
56486.83403 19.71326 0.07409
56486.87106 19.67296 0.0644
56488.83006 19.47873 0.06308
56488.86647 19.71115 0.06394
56489.82698 19.72392 0.07836
56489.86366 19.67089 0.05885
56491.8581 19.49354 0.15684
56498.802 19.93978 0.12231
56498.83888 19.852 0.12821
56502.79167 19.69155 0.07451
56502.82864 19.68929 0.0754
56503.78903 19.67119 0.06788
56503.82769 19.61622 0.07022
56504.82017 19.87965 0.08075
56504.86992 19.67843 0.06324
56504.90811 19.60774 0.06015
56505.81768 19.78612 0.07327
56505.9509 19.68312 0.0585
56505.98842 19.71169 0.08087
56506.89349 19.65592 0.06495
56507.80198 19.55935 0.06606
56507.84712 19.63871 0.06112
56507.99891 19.66133 0.06359
56508.90167 19.6602 0.04702
56509.79634 19.61651 0.06056
56509.83877 19.61894 0.05635
56510.8262 19.61259 0.04854
56511.79111 19.73914 0.06326
56511.84089 19.65442 0.05434
56512.78788 19.72141 0.06865
56512.82519 19.62216 0.05972
56513.78624 19.77873 0.06673
56513.82352 19.64663 0.05536
56514.7834 19.61419 0.06015
56514.82081 19.62018 0.05619
56515.78106 19.67669 0.06097
56515.82231 19.75255 0.05905
56516.77774 19.61309 0.05716
56516.81437 19.64753 0.05013
56517.77605 19.83754 0.06973
56517.81715 19.62511 0.04949
56517.97309 19.68868 0.04947
56518.87478 19.60633 0.05065
56518.96686 19.63844 0.05062
56519.00311 19.68857 0.05467
56519.90443 19.52554 0.04531
56519.96504 19.52588 0.04235
56520.00171 19.51001 0.04827
56520.90327 19.5715 0.04506
56520.95521 19.64058 0.04759
56520.99262 19.60728 0.04788
56537.84525 19.52503 0.04243
56537.9874 19.64447 0.04448
56551.66063 19.69237 0.14079
56551.72202 19.86023 0.13256
56551.75862 19.78284 0.08442
56565.92832 19.57401 0.05516
56565.98151 19.70769 0.0629
56566.01544 19.61459 0.06998
56579.73584 19.57885 0.07265
56579.85963 19.49131 0.06597
56579.88516 19.76778 0.07635
56596.59731 19.70267 0.07588
56596.81771 19.79506 0.07844
56596.84238 19.73341 0.07089
56625.70494 19.7489 0.05976
56625.74386 19.6297 0.05814
56639.58002 19.75662 0.12187
56639.60438 19.63423 0.09798
56653.61955 19.97394 0.1313
56697.60505 19.70114 0.08984
56699.60928 19.87561 0.11452
56816.96412 19.68761 0.07423
56816.97531 19.27673 0.08351
56818.96227 19.45136 0.05103
56818.97512 19.51295 0.08414
56819.96647 19.39421 0.11163
56820.96625 19.53874 0.10334
56820.97769 19.69927 0.13794
56821.96237 19.35781 0.10006
56821.9727 19.52179 0.13495
56822.96143 19.57298 0.09163
56822.97681 19.78272 0.11592
56823.96094 19.549 0.14085
56823.97346 19.79931 0.12834
56824.96428 19.44377 0.09172
56824.97573 19.39791 0.09825
56826.96127 19.51279 0.07912
56826.97472 19.46429 0.0923
56827.96384 19.44156 0.06852
56827.97622 19.23781 0.0799
56828.9654 19.48915 0.06642
56828.97804 19.63821 0.08998
56829.96383 19.45088 0.05456
56829.97653 19.39949 0.0671
56830.96102 19.38733 0.05097
56830.97338 19.45543 0.06368
56831.96161 19.44225 0.04866
56831.97427 19.52587 0.05663
56832.9648 19.51671 0.05182
56832.97563 19.36309 0.04852
56833.96568 19.55214 0.05351
56833.97644 19.54572 0.06801
56834.96484 19.44607 0.04815
56834.9776 19.37322 0.06438
56835.96569 19.47211 0.05817
56835.97723 19.5888 0.08146
56836.96625 19.42292 0.04579
56836.97711 19.35109 0.05577
56837.96638 19.47777 0.04413
56837.98211 19.40846 0.08133
56838.96389 19.36904 0.04273
56838.9786 19.46693 0.06617
56840.96951 19.4586 0.04941
56840.98137 19.40623 0.0669
56844.96636 19.4591 0.05492
56844.97887 19.4187 0.05385
56847.96648 19.50953 0.04282
56847.98151 19.46754 0.05245
56851.97048 19.55865 0.07122
56851.98675 19.4619 0.08149
56856.96087 19.56951 0.09303
56856.98328 19.4945 0.07454
56859.96515 19.43478 0.04181
56859.98697 19.48415 0.05291
56863.94981 19.35218 0.03971
56867.98799 19.39744 0.04138
56868.96536 19.35316 0.041
56868.98567 19.42238 0.04328
56874.97428 19.40503 0.03686
56874.99622 19.34381 0.04598
56875.98151 19.42953 0.04143
56875.99752 19.37758 0.04631
56878.9086 19.37348 0.06198
56878.93847 19.34903 0.06285
56879.92838 19.51463 0.07994
56879.95816 19.44305 0.07631
56882.96877 19.28142 0.08966
56882.98848 19.59409 0.08994
56884.99956 19.28356 0.06035
56890.94091 19.32847 0.03926
56890.97479 19.39478 0.04252
56972.71463 19.40886 0.05542
56972.73749 19.3833 0.05385
56979.72374 19.51296 0.08022
56980.71766 19.36725 0.04789
56980.83416 19.34232 0.05442
56981.71538 19.38808 0.04809
56981.77818 19.48138 0.05292
56984.71333 19.74086 0.08066
56984.78092 19.45881 0.09331
56986.72544 19.47803 0.05921
56986.79095 19.52452 0.07406
56987.70535 19.31195 0.05299
56987.76948 19.41981 0.05853
56988.66321 19.5152 0.05904
56989.60286 19.32623 0.05183
56989.66828 19.44754 0.05616
56990.59847 19.40272 0.05598
56990.66232 19.47517 0.05243
57000.62591 19.37694 0.04996
57000.65668 19.48449 0.07134
57011.62365 19.29655 0.0494
57011.65019 19.38739 0.05012
57018.60146 19.49171 0.05684
57018.62586 19.41549 0.05283
57030.59868 19.34536 0.05243
57040.60372 19.2805 0.05172
57040.65327 19.38981 0.0623
57059.60766 19.33655 0.04983
57059.61723 19.26529 0.04925
57064.61072 19.48338 0.06092
57064.62756 19.28621 0.06075
57069.61019 19.31186 0.05429
57069.6409 19.36215 0.06783
57089.62798 19.3092 0.08797
57179.97424 19.22969 0.10481
57180.95646 19.31877 0.07929
57185.96692 19.22288 0.06203
57187.96362 19.13407 0.04585
57188.93765 19.38093 0.04884
57188.96808 19.20583 0.05099
57189.95594 19.23944 0.04417
57190.94422 19.13063 0.04862
57190.9766 19.20967 0.09885
57191.9217 19.38293 0.05537
57191.95614 19.2534 0.04844
57192.94672 19.3327 0.05784
57192.97846 19.44439 0.09937
57193.93573 19.28108 0.05174
57193.96862 19.26692 0.06125
57194.94374 19.21102 0.04798
57194.97431 19.32006 0.06418
57195.94595 19.20331 0.05816
57195.97546 19.28787 0.07418
57196.92539 19.28155 0.05971
57196.97637 19.33043 0.10417
57197.91796 19.31354 0.05316
57197.96971 19.28133 0.05316
57198.93165 19.20973 0.05245
57198.96479 19.2298 0.04837
57199.9472 19.26832 0.05449
57199.9815 19.30471 0.09802
57207.95261 19.27066 0.0756
57207.98422 19.24186 0.07215
57208.90735 19.46257 0.08308
57208.94607 19.30315 0.06597
57209.93937 19.23276 0.06806
57209.97959 19.17169 0.06482
57210.9363 19.20555 0.05466
57210.97519 19.29098 0.05599
57211.94997 19.25175 0.05379
57211.98409 19.24445 0.07483
57212.9376 19.21502 0.09667
57212.97329 19.47891 0.09662
57214.96163 19.2842 0.04695
57216.93262 19.31772 0.04885
57216.97994 19.22995 0.04521
57218.92712 19.27184 0.04189
57218.977 19.25282 0.04411
57219.94247 19.25322 0.03609
57219.97077 19.32369 0.03679
57220.92305 19.3153 0.03799
57220.98129 19.34173 0.04472
57225.95176 19.17654 0.03366
57226.95332 19.25382 0.03497
57227.93417 19.32347 0.03886
57227.97035 19.28771 0.04027
57231.91879 19.2134 0.04164
57231.96902 19.25305 0.0371
57232.8829 19.26967 0.06223
57237.93379 19.33927 0.06348
57237.98326 19.30282 0.06955
57238.91268 19.37558 0.05753
57238.96563 19.22859 0.04936
57239.93796 19.24279 0.04938
57239.98313 19.39415 0.05773
57240.95317 19.28333 0.05191
57241.93368 19.31234 0.05107
57242.93933 19.3511 0.04262
57242.98523 19.29047 0.04052
57244.91131 19.31444 0.04117
57244.96611 19.31631 0.03707
57245.87591 19.25237 0.0376
57245.91376 19.31818 0.03666
57246.89995 19.29284 0.03489
57246.93423 19.2891 0.03776
57247.92574 19.22644 0.03366
57247.95614 19.17638 0.03409
57248.84393 19.20141 0.03581
57248.8782 19.29874 0.03978
57249.88436 19.24341 0.03644
57249.9163 19.24435 0.03777
57250.88236 19.28505 0.03853
57250.92114 19.28946 0.04014
57251.8693 19.27374 0.03791
57251.91419 19.29022 0.03559
57267.93864 19.20356 0.08967
57267.9816 19.42105 0.06194
57554.97044 19.40408 0.06667
57555.93989 19.41994 0.05441
57555.96363 19.3394 0.05529
57564.94449 19.40558 0.07901
57564.95195 19.51758 0.08641
57565.94418 19.63266 0.07784
57567.951 19.38832 0.06844
57567.97572 19.43918 0.08718
57569.92685 19.46245 0.05297
57570.93954 19.26703 0.05342
57571.91515 19.40477 0.05795
57571.96845 19.46477 0.06184
57572.94 19.37947 0.05008
57572.961 19.56594 0.06071
57573.95955 19.35504 0.04948
57574.96997 19.27292 0.05196
57575.96076 19.50629 0.04932
57576.95096 19.40995 0.05059
57577.97714 19.48492 0.06365
57578.93031 19.35655 0.05077
57578.9597 19.36837 0.04907
57579.93833 19.3774 0.04992
57579.96636 19.55392 0.06051
57580.94991 19.46318 0.05299
57580.97641 19.40362 0.05847
57581.93908 19.48688 0.04867
57581.96061 19.46676 0.04778
57582.96612 19.35855 0.04631
57582.9889 19.24754 0.1036
57583.93612 19.36014 0.0448
57583.97225 19.44541 0.05018
57584.92871 19.4321 0.04386
57584.97404 19.39726 0.04699
57585.92275 19.34547 0.06181
57585.96134 19.51634 0.05207
57586.91575 19.30799 0.07269
57595.9848 19.56517 0.10321
57596.95384 19.29861 0.07581
57596.98786 19.45105 0.07233
57597.93735 19.2868 0.05507
57597.9794 19.45143 0.06309
57598.9281 19.37496 0.0532
57598.97263 19.53809 0.05605
57600.96483 19.48092 0.05103
57601.9531 19.55803 0.05206
57601.99102 19.45256 0.05944
57602.95616 19.40829 0.0506
57602.99208 19.37685 0.05388
57603.95654 19.44576 0.04696
57603.99274 19.42137 0.05128
57604.96148 19.44754 0.04881
57604.99535 19.23007 0.05218
57605.93926 19.57798 0.04627
57605.97693 19.45926 0.05132
57606.94732 19.40782 0.0441
57606.99101 19.52086 0.0509
57607.92659 19.43163 0.04577
57607.97806 19.37605 0.05499
57608.92515 19.38727 0.04715
57608.96585 19.60553 0.05558
57609.94301 19.50056 0.05434
57610.89516 19.5901 0.07996
57610.92695 19.44791 0.05159
57611.90199 19.41353 0.04784
57611.93252 19.42773 0.05033
57612.88937 19.79634 0.0736
57612.93148 19.39151 0.04583
57613.84046 19.51587 0.06595
57613.87193 19.36924 0.05729
57613.90353 19.42701 0.04638
57614.96436 19.45431 0.06243
57614.99496 19.43615 0.04746
57615.90761 19.41268 0.06928
57615.95637 19.45751 0.06184
57621.98607 19.41812 0.11613
57622.96114 19.72804 0.13058
57622.98808 19.61576 0.11806
57623.99038 19.68918 0.11717
57624.01266 19.57756 0.1509
57624.97236 19.67869 0.10661
57624.99829 19.34619 0.11634
57625.94454 19.76828 0.08211
