#mjd mag magerr
55061.92501 20.33434 0.06859
55061.95573 20.22877 0.05966
55063.91987 20.26613 0.06211
55063.9639 20.23461 0.05996
55064.92128 20.19626 0.06935
55064.9656 20.24821 0.0743
55066.91014 20.36497 0.07005
55066.95474 20.22335 0.06288
55067.91649 20.37217 0.08395
55067.96099 20.45027 0.08716
55069.90324 20.24008 0.06683
55069.94786 20.28655 0.07454
55080.87449 20.23081 0.20041
55080.95988 20.47606 0.18482
55084.86328 20.39676 0.10916
55087.85609 20.3151 0.07462
55087.90101 20.50853 0.08153
55088.96983 20.24615 0.07147
55089.01521 20.40031 0.0816
55089.94574 20.19634 0.07717
55089.99042 20.29801 0.07715
55093.83741 20.34393 0.08203
55093.88196 20.18951 0.06151
55096.8292 20.27106 0.07725
55097.00858 20.52278 0.11551
55104.99862 20.63534 0.12602
55107.79764 20.15265 0.12927
55114.88125 20.37797 0.09279
55119.89538 20.47219 0.10596
55119.95365 20.67506 0.14744
55123.75696 20.38779 0.08273
55123.81523 20.25514 0.08586
55126.97957 20.67065 0.13048
55127.83329 20.02778 0.07412
55127.87706 20.47577 0.13129
55135.82555 20.54398 0.18251
55135.86926 20.53427 0.16839
55142.7036 20.19127 0.09506
55142.75219 20.35163 0.10276
55144.77886 20.43955 0.1023
55144.82305 20.42924 0.09765
55151.77257 20.37031 0.09829
55166.70473 20.27696 0.20326
55168.63378 20.48837 0.14929
55168.6775 20.12876 0.13312
55175.61224 20.60535 0.0853
55175.65684 20.32335 0.07654
55181.63825 20.62798 0.12235
55183.64253 20.31452 0.1037
55189.58054 20.46634 0.14809
55189.62557 20.26856 0.1065
55199.58559 20.36492 0.11277
55201.58642 20.54692 0.22116
55202.58667 20.45435 0.10803
55203.71441 20.22897 0.11104
55203.75743 20.67093 0.1407
55207.63092 20.28831 0.12831
55207.67514 20.2469 0.11144
55209.5968 20.17839 0.07433
55209.64149 20.27717 0.07734
55213.63312 20.35071 0.1213
55377.85123 20.67233 0.19216
55379.92482 20.70307 0.12857
55380.92078 20.44859 0.16457
55381.89606 20.42537 0.11658
55381.93934 20.35468 0.09389
55384.82671 20.63395 0.17038
55384.87028 20.38598 0.10433
55385.87021 20.43744 0.08629
55385.91339 20.25674 0.07826
55386.86524 20.4789 0.11466
55386.90867 20.38242 0.09053
55387.87002 20.44723 0.09915
55387.91342 20.35582 0.08373
55388.86609 20.59811 0.14123
55388.91005 20.31467 0.08398
55390.80957 20.32103 0.12826
55390.85393 20.64544 0.12277
55391.80613 20.35498 0.15539
55391.87538 20.42718 0.09385
55392.83258 20.36774 0.10845
55392.87538 20.34207 0.08737
55394.79908 20.68773 0.13379
55394.8431 20.40756 0.0892
55395.79551 20.15889 0.16008
55395.84215 20.50512 0.11977
55396.79527 20.55575 0.14427
