#mjd mag magerr
61.92501 20.06399 0.0685
61.95573 19.8948 0.06158
63.91987 20.0501 0.0687
63.9639 20.06052 0.07079
64.92128 19.9383 0.07181
64.9656 19.94062 0.0712
66.91014 19.97822 0.07393
66.95474 19.93222 0.06501
67.96099 20.35545 0.10637
69.90324 20.03261 0.0698
69.94786 20.02579 0.07201
80.87449 20.04939 0.15944
84.86328 19.93261 0.08959
87.85609 20.08234 0.07491
87.90101 19.94417 0.0715
88.96983 20.04317 0.07809
89.01521 20.11154 0.0819
89.94574 19.98269 0.07493
89.99042 20.01847 0.08762
93.83741 19.92675 0.07021
93.88196 20.02387 0.0707
96.8292 20.01824 0.07216
97.00858 19.97836 0.09664
104.99862 20.12836 0.10148
107.79764 20.0314 0.15316
114.88125 20.04255 0.09206
119.89538 20.06258 0.08557
119.95365 19.9984 0.08974
123.75696 19.90512 0.07268
123.81523 19.9878 0.07317
126.97957 19.92525 0.10107
127.83329 19.97414 0.08301
127.87706 19.87851 0.08012
135.82555 19.77769 0.14419
135.86926 20.04838 0.17349
138.71472 19.91701 0.13509
138.75871 19.73624 0.18048
142.7036 19.77957 0.07309
142.75219 19.99202 0.09147
144.77886 20.03276 0.07797
144.82305 20.0404 0.08969
151.72943 20.10254 0.08111
151.77257 19.8891 0.07797
166.70473 20.03298 0.13196
168.63378 19.97271 0.12808
168.6775 19.65144 0.12158
175.61224 19.96641 0.07055
175.65684 19.87578 0.06194
181.59421 19.88393 0.10153
181.63825 20.30169 0.12257
183.59204 19.91449 0.11663
183.64253 19.96452 0.08053
189.58054 20.21609 0.10987
189.62557 20.09114 0.09259
194.59026 19.54197 0.15625
199.58559 19.92354 0.0825
202.58667 19.80498 0.08487
203.71441 19.7688 0.09399
203.75743 19.93713 0.10036
207.63092 20.02982 0.07838
207.67514 19.92877 0.0773
209.5968 20.04115 0.0694
209.64149 19.83193 0.07009
213.63312 19.78124 0.09669
213.6798 19.93169 0.10034
377.85123 20.15091 0.14477
377.89535 20.30982 0.17158
379.8591 20.03933 0.16259
379.92482 19.84331 0.09586
380.87684 20.15056 0.16327
380.92078 19.80487 0.12256
381.89606 19.95488 0.09446
381.93934 19.93244 0.08626
384.82671 19.99615 0.08057
384.87028 19.91893 0.08726
385.87021 19.89613 0.06766
385.91339 19.94542 0.06915
386.86524 20.08836 0.08326
386.90867 20.07216 0.07787
387.87002 19.98572 0.07734
387.91342 20.1753 0.07696
388.91005 19.92654 0.06859
390.80957 20.00116 0.11257
390.85393 20.01938 0.09049
391.80613 20.03315 0.11618
391.87538 19.91993 0.08377
392.83258 20.036 0.08757
392.87538 19.87884 0.07449
394.8431 20.00943 0.08707
395.79551 20.0376 0.12681
395.84215 20.06354 0.09317
396.79527 20.00187 0.11698
396.83932 19.92682 0.07858
397.79163 20.09196 0.13869
397.83526 19.91043 0.09463
398.78764 20.34962 0.16329
398.83124 19.97727 0.11148
399.78802 19.81622 0.1225
399.83261 19.82096 0.10757
400.8289 19.95778 0.15267
404.84266 19.98002 0.18956
405.8416 20.23292 0.23384
407.83003 20.26579 0.18295
411.79896 19.77526 0.13215
412.79539 19.73288 0.12889
413.75577 19.91514 0.13026
413.79945 20.19359 0.15067
414.75161 20.38262 0.20605
414.79555 19.87127 0.10744
415.75266 20.24594 0.1936
416.79342 19.88737 0.11356
417.75979 20.03272 0.17628
417.84511 20.15265 0.12721
418.79843 20.17035 0.16888
418.84121 20.04676 0.11463
419.79504 20.17345 0.12362
420.83264 19.83137 0.10629
421.73664 19.88956 0.08708
421.79901 20.07111 0.07476
422.75115 20.09978 0.09836
422.79487 20.06514 0.08517
423.74742 19.74673 0.09517
423.79284 19.95287 0.08197
