#wave flux
4910.0 2.71457
4911.5 2.36135
4913.0 2.24025
4914.5 2.04046
4916.0 2.25786
4917.5 2.13041
4919.0 1.85
4920.5 2.38061
4922.0 1.90277
4923.5 2.26299
4925.0 2.64521
4926.5 2.19835
4928.0 2.01413
4929.5 2.18658
4931.0 2.18832
4932.5 1.83078
4934.0 2.39841
4935.5 1.87682
4937.0 2.17112
4938.5 2.28979
4940.0 2.44488
4941.5 2.05891
4943.0 2.2366
4944.5 2.22052
4946.0 2.32522
4947.5 2.41374
4949.0 2.02966
4950.5 2.3469
4952.0 2.25934
4953.5 2.52271
4955.0 2.21862
4956.5 2.33481
4958.0 2.40327
4959.5 2.1996
4961.0 2.00918
4962.5 2.31521
4964.0 2.14088
4965.5 2.10767
4967.0 2.24632
4968.5 2.30412
4970.0 1.97033
4971.5 1.9921
4973.0 2.31695
4974.5 2.45667
4976.0 2.34474
4977.5 2.07546
4979.0 2.03509
4980.5 2.40999
4982.0 2.60168
4983.5 2.27224
4985.0 2.41812
4986.5 2.06271
4988.0 2.21148
4989.5 2.31555
4991.0 1.84816
4992.5 1.86351
4994.0 2.61031
4995.5 2.32839
4997.0 2.55971
4998.5 2.19382
5000.0 1.85044
5001.5 1.98105
5003.0 2.08833
5004.5 2.16019
5006.0 2.37408
5007.5 2.39477
5009.0 2.16187
5010.5 2.26569
5012.0 1.99058
5013.5 2.17171
5015.0 1.94165
5016.5 1.86185
5018.0 1.5262
5019.5 2.08958
5021.0 2.01591
5022.5 2.14727
5024.0 2.05769
5025.5 2.12397
5027.0 1.98043
5028.5 2.16903
5030.0 2.56796
5031.5 2.298
5033.0 2.36193
5034.5 1.95951
5036.0 2.49668
5037.5 2.27191
5039.0 1.89586
5040.5 2.53532
5042.0 2.15156
5043.5 2.0726
5045.0 2.21646
5046.5 2.15223
5048.0 2.0397
5049.5 2.1163
5051.0 1.98655
5052.5 1.58459
5054.0 2.28759
5055.5 1.96546
5057.0 1.89191
5058.5 1.84372
5060.0 1.94653
5061.5 1.85144
5063.0 2.17841
5064.5 2.32522
5066.0 1.98025
5067.5 1.92163
5069.0 2.04572
5070.5 2.19619
5072.0 2.23539
5073.5 1.69196
5075.0 2.21797
5076.5 2.19983
5078.0 2.09628
5079.5 2.21267
5081.0 2.09833
5082.5 2.2727
5084.0 1.96422
5085.5 2.25884
5087.0 2.12064
5088.5 2.14566
5090.0 2.13211
5091.5 2.04292
5093.0 1.81806
5094.5 2.03164
5096.0 2.32049
5097.5 2.37431
5099.0 2.12799
5100.5 1.84265
5102.0 2.41022
5103.5 2.22749
5105.0 1.63332
5106.5 2.08268
5108.0 1.99983
5109.5 1.75511
5111.0 2.17276
5112.5 2.025
5114.0 2.18955
5115.5 1.98652
5117.0 1.8644
5118.5 1.97794
5120.0 2.28583
5121.5 2.03579
5123.0 2.04225
5124.5 2.05758
5126.0 2.12939
5127.5 1.98239
5129.0 1.99362
5130.5 1.9323
5132.0 2.00163
5133.5 2.01861
5135.0 1.92119
5136.5 2.16203
5138.0 2.00775
5139.5 2.16356
5141.0 2.14231
5142.5 2.11442
5144.0 1.82842
5145.5 2.08097
5147.0 1.95628
5148.5 2.01702
5150.0 1.95003
5151.5 1.75454
5153.0 2.08855
5154.5 2.05931
5156.0 1.94571
5157.5 2.06626
5159.0 1.99076
5160.5 2.04734
5162.0 1.77894
5163.5 2.11006
5165.0 1.95569
5166.5 2.17198
5168.0 2.06342
5169.5 1.94071
5171.0 2.08886
5172.5 2.17879
5174.0 1.97706
5175.5 2.12604
5177.0 2.29865
5178.5 2.08367
5180.0 1.96339
5181.5 2.10591
5183.0 2.14708
5184.5 1.89111
5186.0 1.85213
5187.5 2.07326
5189.0 1.93692
5190.5 2.24793
5192.0 2.16589
5193.5 2.1193
5195.0 2.12315
5196.5 2.16842
5198.0 2.07613
5199.5 1.9993
5201.0 1.91212
5202.5 2.09018
5204.0 2.06361
5205.5 2.04265
5207.0 2.19221
5208.5 2.17493
5210.0 2.204
5211.5 1.92181
5213.0 1.89794
5214.5 1.88101
5216.0 1.84873
5217.5 1.8784
5219.0 1.93311
5220.5 1.67238
5222.0 1.75194
5223.5 1.92065
5225.0 1.98302
5226.5 1.82372
5228.0 2.18746
5229.5 2.05201
5231.0 1.83639
5232.5 1.9618
5234.0 1.83656
5235.5 1.77264
5237.0 1.95699
5238.5 1.79882
5240.0 1.93087
5241.5 1.94387
5243.0 1.88335
5244.5 2.12114
5246.0 1.8076
5247.5 2.00147
5249.0 1.9514
5250.5 1.90212
